,creator,duration,id,labels,ladder,title,views
3239,Baauer,119.0,bhIuwXrh2aw,[1332],"[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 607.273}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'137 - 1920x1080 (DASH video)': 4331.25}, {'18 - 640x360 (medium)': 555.776}, {'22 - 1280x720 (hd720)': 2138.75}]",Halem Shake Hatyai by MOVE 89.mp4,1297.0
3466,,119.0,M0-0ZYMsBgA,[3],"[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 608.765}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'137 - 1920x1080 (DASH video)': 4331.25}, {'18 - 640x360 (medium)': 632.062}, {'22 - 1280x720 (hd720)': 2692.195}]",Arce - Galiza underground acapella en directo en Donosti,2414.0
5804,,119.0,HiEAr4UPqrs,"[6, 8]","[{'160 - 256x144 (144p)': 111.475}, {'133 - 426x240 (240p)': 247.13}, {'134 - 640x360 (360p)': 606.385}, {'135 - 854x480 (480p)': 1110.154}, {'136 - 1280x720 (720p)': 2184.263}, {'137 - 1920x1080 (1080p)': 4156.303}, {'18 - 640x360 (medium)': 721.831}, {'22 - 1280x720 (hd720)': 3.783}]","Starshot MultiCam Video - EMCA Supernova @ FC Internationals 2014, Bournemouth",2030.0
16135,,119.0,i-41DtaQ9qc,[25],"[{'160 - 256x144 (144p)': 110.387}, {'133 - 426x240 (240p)': 250.645}, {'134 - 640x360 (360p)': 330.493}, {'135 - 854x480 (480p)': 584.08}, {'136 - 1280x720 (720p)': 1091.289}, {'137 - 1920x1080 (1080p)': 1906.081}, {'18 - 640x360 (medium)': 439.459}, {'22 - 1280x720 (hd720)': 3.707}]",Champagne- Official Trailer [Cinema Release],3100.0
16188,,119.0,zNnU4hBJHuM,"[15, 502]","[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 610.559}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'137 - 1920x1080 (DASH video)': 4331.25}, {'18 - 640x360 (medium)': 711.733}, {'22 - 1280x720 (hd720)': 2609.606}]",23   MAYO   ONDA 2015   VACA  VELERA,2237.0
17156,,119.0,ALvODfRUYwk,"[49, 127]","[{'160 - 256x144 (144p)': 115.721}, {'133 - 426x240 (240p)': 268.212}, {'134 - 640x360 (360p)': 532.227}, {'135 - 854x480 (480p)': 1105.654}, {'136 - 1280x720 (720p)': 2061.233}, {'137 - 1920x1080 (1080p)': 3876.552}, {'18 - 640x360 (medium)': 465.952}, {'22 - 1280x720 (hd720)': 3.696}]",2014 LCISD Houston Rodeo Art,2272.0
17311,Within Temptation,119.0,z7SMdZOgeu4,"[254, 845]","[{'160 - 256x144 (144p)': 111.913}, {'133 - 426x240 (240p)': 246.424}, {'134 - 640x360 (360p)': 610.241}, {'135 - 854x480 (480p)': 1112.766}, {'136 - 1280x720 (720p)': 2220.095}, {'137 - 1920x1080 (1080p)': 4153.143}, {'18 - 640x360 (medium)': 736.042}, {'22 - 1280x720 (hd720)': 4.08}]",Euro Truck Simulator 2 Мультиплеер | Трейлер | Скачать,7385.0
21219,,119.0,eBjwvNx4aDg,"[0, 12]","[{'160 - 256x144 (144p)': 111.445}, {'133 - 426x240 (240p)': 247.859}, {'134 - 640x360 (360p)': 611.413}, {'135 - 854x480 (480p)': 1117.903}, {'136 - 1280x720 (720p)': 2237.022}, {'137 - 1920x1080 (1080p)': 4201.063}, {'18 - 640x360 (medium)': 738.288}, {'22 - 1280x720 (hd720)': 2063.46}]",BAWAG P.S.K. Cup 2014 - Die Qualifikation,1551.0
23947,Keith Blainville [PRS],119.0,t9-NmJXdoAk,[16],"[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 449.112}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'137 - 1920x1080 (DASH video)': 4331.25}, {'264 - 1920x1080 (DASH video)': 4900.616}, {'18 - 640x360 (medium)': 377.236}, {'22 - 1280x720 (hd720)': 1257.114}]",I AM BIG BIRD: What Caroll Spinney has meant to me.,1652.0
28857,,119.0,LJexNVlEWsQ,"[81, 108, 217, 447, 790]","[{'160 - 256x144 (DASH video)': 108.0}, {'134 - 640x360 (DASH video)': 215.843}, {'133 - 426x240 (DASH video)': 242.0}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'137 - 1920x1080 (DASH video)': 4331.25}, {'18 - 640x360 (medium)': 319.576}, {'22 - 1280x720 (hd720)': 1137.06}]",Next Destinies - EX's and Shinies - Pokemon TCG [HD],2921.0
29143,The Prodigy,119.0,ElD5c30puXE,"[0, 1917]","[{'160 - 256x144 (144p)': 117.826}, {'133 - 426x240 (240p)': 247.609}, {'134 - 640x360 (360p)': 539.989}, {'135 - 854x480 (480p)': 1046.363}, {'136 - 1280x720 (720p)': 1866.646}, {'137 - 1920x1080 (1080p)': 3626.415}, {'18 - 640x360 (medium)': 532.104}, {'22 - 1280x720 (hd720)': 1218.234}]",Florensia: Volcano Imps AOE,1048.0
31510,,119.0,venhz7l3cSU,"[2, 7, 75, 165, 172, 1202]","[{'160 - 256x144 (144p)': 114.175}, {'133 - 426x240 (240p)': 250.245}, {'134 - 640x360 (360p)': 605.902}, {'135 - 854x480 (480p)': 1117.776}, {'136 - 1280x720 (720p)': 2217.347}, {'137 - 1920x1080 (1080p)': 4173.622}, {'264 - 1920x1080 (1080p)': 6640.097}, {'18 - 640x360 (medium)': 730.696}, {'22 - 1280x720 (hd720)': 2328.473}]",FOR SALE 1953 FORD F-100 !!!! YOU JUST GOT TO SEE THIS!! STK# P5714A,1487.0
32750,Baauer,119.0,v7oR7P5tR7w,[1332],"[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 612.293}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'137 - 1920x1080 (DASH video)': 4331.25}, {'18 - 640x360 (medium)': 607.381}, {'22 - 1280x720 (hd720)': 2296.686}]",Harlem Shake Part II,2166.0
33415,,119.0,zzmGMXs5Enc,"[0, 1, 25, 2288]","[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 641.793}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'298 - 1280x720 (DASH video)': 3465.498}, {'137 - 1920x1080 (DASH video)': 4331.25}, {'299 - 1920x1080 (DASH video)': 5890.535}, {'18 - 640x360 (medium)': 653.058}, {'22 - 1280x720 (hd720)': 2181.813}]",Tom Clancy’s Rainbow Six Siege - Box Art & Collector’s Edition!,5565.0
36134,,119.0,JTUT48A1UjU,[3],"[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 607.752}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'137 - 1920x1080 (DASH video)': 4331.25}, {'18 - 640x360 (medium)': 704.168}]",チェッカーズLIVE 1992「愛と夢のFASCIST」,2447.0
894,,120.0,T7VY6B_1yng,"[11, 20, 22, 32, 211, 321, 334]","[{'160 - 192x144 (144p)': 114.315}, {'133 - 320x240 (240p)': 249.771}, {'134 - 480x360 (360p)': 403.879}, {'135 - 640x480 (480p)': 881.532}, {'136 - 960x720 (720p)': 2007.531}, {'137 - 1440x1080 (1080p)': 3859.948}, {'18 - 480x360 (medium)': 368.421}, {'22 - 960x720 (hd720)': 1566.493}]",pate a tarte sucree,4051.0
1588,,120.0,VtM-71X1oR0,[25],"[{'160 - 256x144 (144p)': 110.645}, {'133 - 426x240 (240p)': 253.07}, {'134 - 640x360 (360p)': 465.648}, {'135 - 854x480 (480p)': 889.684}, {'136 - 1280x720 (720p)': 1550.687}, {'137 - 1920x1080 (1080p)': 2526.573}, {'18 - 640x360 (medium)': 511.834}, {'22 - 1280x720 (hd720)': 1168.048}]","FANTASTIC FOUR ""Reed's rebirth"" [Mr. Fantastic]",121596.0
2316,Mr Oizo,120.0,EawECRV3HA4,"[49, 2161]","[{'160 - 256x144 (144p)': 110.911}, {'133 - 426x240 (240p)': 250.3}, {'134 - 640x360 (360p)': 605.677}, {'135 - 854x480 (480p)': 1111.601}, {'136 - 1280x720 (720p)': 2214.048}, {'137 - 1920x1080 (1080p)': 4152.98}, {'18 - 640x360 (medium)': 652.662}, {'22 - 1280x720 (hd720)': 1800.271}]",Hand Lettering / Paint Marker: I don't know ... I am just here,2006.0
3831,,120.0,34IUTzKQyKk,"[3, 4, 10]","[{'160 - 256x144 (144p)': 113.296}, {'133 - 426x240 (240p)': 253.899}, {'134 - 640x360 (360p)': 572.824}, {'135 - 854x480 (480p)': 1119.178}, {'136 - 1280x720 (720p)': 2234.548}, {'137 - 1920x1080 (1080p)': 4167.802}, {'18 - 640x360 (medium)': 639.097}]",Bi Rain - LAST TALK - ENDING 19th May 2011 in Dresden Germany - Semperoper Live,1439.0
5348,,120.0,KVvL_oxS4IQ,"[21, 23, 24, 343, 858, 2778]","[{'160 - 256x144 (144p)': 111.38}, {'133 - 426x240 (240p)': 248.762}, {'134 - 640x360 (360p)': 329.032}, {'135 - 854x480 (480p)': 614.521}, {'136 - 1280x720 (720p)': 1146.993}, {'137 - 1920x1080 (1080p)': 2969.826}, {'18 - 640x360 (medium)': 472.226}, {'22 - 1280x720 (hd720)': 4.179}]",Top 5 MUST HAVE Apps for Android Wear Watches!,16892.0
6397,,120.0,z7HyXjP7g1o,"[100, 161]","[{'160 - 256x144 (144p)': 113.264}, {'133 - 426x240 (240p)': 247.86}, {'134 - 640x360 (360p)': 640.694}, {'135 - 854x480 (480p)': 1161.104}, {'136 - 1280x720 (720p)': 2334.751}, {'137 - 1920x1080 (1080p)': 4368.451}, {'18 - 640x360 (medium)': 737.965}, {'22 - 1280x720 (hd720)': 2420.734}]",The Korean Gym,24198.0
6495,,120.0,Glv2k0ZZbs0,"[21, 23, 718, 786]","[{'160 - 256x144 (144p)': 113.826}, {'133 - 426x240 (240p)': 249.309}, {'134 - 640x360 (360p)': 563.761}, {'135 - 854x480 (480p)': 1108.723}, {'136 - 1280x720 (720p)': 2099.669}, {'137 - 1920x1080 (1080p)': 4128.973}, {'18 - 640x360 (medium)': 503.694}, {'22 - 1280x720 (hd720)': 1393.133}]",Nokia Lumia 1520 vs Apple iPhone 5s Camera Comparison,23073.0
6596,,120.0,-5l8B9szDU4,[25],"[{'160 - 256x144 (144p)': 88.179}, {'133 - 426x240 (240p)': 155.094}, {'134 - 640x360 (360p)': 338.724}, {'135 - 854x480 (480p)': 627.67}, {'136 - 1280x720 (720p)': 1090.795}, {'137 - 1920x1080 (1080p)': 1925.799}, {'18 - 640x360 (medium)': 377.016}, {'22 - 1280x720 (hd720)': 654.207}]",KILL YOUR DARLINGS Trailer | Festival 2013,166111.0
6600,Jonathan King,120.0,daaJfdEDMfY,"[2, 30, 3005]","[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 607.319}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'137 - 1920x1080 (DASH video)': 4331.25}, {'18 - 640x360 (medium)': 733.312}, {'22 - 1280x720 (hd720)': 3141.649}]",TRIJYA CUSTOM フェンダー製作風景,3294.0
9447,,120.0,0D8-nH02TVg,[126],"[{'160 - 256x144 (144p)': 110.872}, {'133 - 426x240 (240p)': 247.826}, {'134 - 640x360 (360p)': 611.36}, {'135 - 854x480 (480p)': 1118.246}, {'136 - 1280x720 (720p)': 2228.769}, {'137 - 1920x1080 (1080p)': 4170.39}, {'18 - 640x360 (medium)': 738.183}, {'22 - 1280x720 (hd720)': 4.021}]",Baby Allison on the Victoria,44588.0
9886,,120.0,O_d6a3Zs7xo,"[0, 12]","[{'160 - 256x144 (144p)': 110.304}, {'133 - 426x240 (240p)': 247.324}, {'134 - 640x360 (360p)': 604.203}, {'135 - 854x480 (480p)': 1106.146}, {'136 - 1280x720 (720p)': 2160.751}, {'137 - 1920x1080 (1080p)': 3971.892}, {'18 - 640x360 (medium)': 738.231}, {'22 - 1280x720 (hd720)': 1885.561}]",Academia de Futbol Marco Fabián,6432.0
10116,,120.0,rWQMmSgGJ5E,"[15, 502, 3018]","[{'160 - 256x144 (144p)': 110.499}, {'133 - 426x240 (240p)': 245.502}, {'134 - 640x360 (360p)': 607.115}, {'135 - 854x480 (480p)': 1109.755}, {'136 - 1280x720 (720p)': 2216.35}, {'137 - 1920x1080 (1080p)': 4168.433}, {'18 - 640x360 (medium)': 735.417}, {'22 - 1280x720 (hd720)': 3.997}]",ROTARİ SİSTEMDE MANDA SAĞIMI,17261.0
11398,,120.0,pCAOn43MERU,"[26, 2459]","[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 605.801}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'137 - 1920x1080 (DASH video)': 4331.25}, {'18 - 640x360 (medium)': 656.47}, {'22 - 1280x720 (hd720)': 2725.523}]",光る! ブルーバスター シャイニングスイング GASHAPON,3268.0
11654,,120.0,OwYeHsTKJMw,"[2, 44, 46, 109, 1731]","[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 482.432}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'137 - 1920x1080 (DASH video)': 4331.25}, {'18 - 640x360 (medium)': 376.796}, {'22 - 1280x720 (hd720)': 1419.448}]",SPACE SHUTTLE ATTEMPTS TO LAND AT JFK,4341.0
11717,,120.0,Kz2QHbost9w,"[15, 18, 170]","[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 581.706}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'137 - 1920x1080 (DASH video)': 4331.25}, {'18 - 640x360 (medium)': 666.889}, {'22 - 1280x720 (hd720)': 2402.923}]","お腹が邪魔して出れない猫 ""Cat that a stomach is rich""",3493.0
12117,,120.0,cBSRJLEiEzc,[14],"[{'160 - 256x144 (144p)': 109.77}, {'133 - 426x240 (240p)': 249.182}, {'134 - 640x360 (360p)': 622.305}, {'135 - 854x480 (480p)': 1134.862}, {'136 - 1280x720 (720p)': 2210.616}, {'137 - 1920x1080 (1080p)': 4162.721}, {'18 - 640x360 (medium)': 700.263}]",Peja - Kinder des Zorns (Wersja bez Azyla).,10372.0
12980,Leona Lewis,120.0,eiYCk93CU-o,[25],"[{'160 - 256x144 (144p)': 111.836}, {'133 - 426x240 (240p)': 230.109}, {'134 - 640x360 (360p)': 541.689}, {'135 - 854x480 (480p)': 977.293}, {'136 - 1280x720 (720p)': 1652.325}, {'137 - 1920x1080 (1080p)': 2520.537}, {'18 - 640x360 (medium)': 468.694}, {'22 - 1280x720 (hd720)': 730.597}]",Accidentally In Love,1525.0
13013,,120.0,buwyUpJjciE,"[35, 85]","[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 607.531}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'137 - 1920x1080 (DASH video)': 4331.25}, {'18 - 640x360 (medium)': 727.718}, {'22 - 1280x720 (hd720)': 2764.23}]",GTA5 ベストラ,1218.0
13546,,120.0,FB_MWBicgbQ,"[159, 300, 2360]","[{'160 - 192x144 (144p)': 115.57}, {'133 - 320x240 (240p)': 248.904}, {'134 - 480x360 (360p)': 263.451}, {'135 - 640x480 (480p)': 543.833}, {'136 - 960x720 (720p)': 1067.164}, {'137 - 1440x1080 (1080p)': 1893.934}, {'18 - 480x360 (medium)': 356.537}]","Rydia's Theme, Final Fantasy IV - flute cover",3123.0
13876,,120.0,YqPVQZl--Qo,"[0, 1, 42, 290, 431]","[{'160 - 256x144 (144p)': 113.651}, {'133 - 426x240 (240p)': 247.353}, {'134 - 640x360 (360p)': 619.706}, {'135 - 854x480 (480p)': 1132.63}, {'136 - 1280x720 (720p)': 2257.323}, {'137 - 1920x1080 (1080p)': 4129.804}, {'18 - 640x360 (medium)': 694.754}, {'22 - 1280x720 (hd720)': 1752.879}]",Dendi lose on Pudge! Bad ping or bad luck?,24907.0
15692,,120.0,46TMliq00kM,"[53, 58, 148, 214, 494, 1696]","[{'160 - 256x144 (144p)': 111.732}, {'133 - 426x240 (240p)': 255.479}, {'134 - 640x360 (360p)': 603.176}, {'135 - 854x480 (480p)': 738.342}, {'136 - 1280x720 (720p)': 1309.209}, {'137 - 1920x1080 (1080p)': 2293.139}, {'18 - 640x360 (medium)': 455.007}, {'22 - 1280x720 (hd720)': 3.728}]",S-Works Power Saddle,68473.0
15829,,120.0,KrEEt2whvmI,"[0, 1, 42, 111]","[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 622.92}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'137 - 1920x1080 (DASH video)': 4331.25}, {'18 - 640x360 (medium)': 714.84}, {'22 - 1280x720 (hd720)': 2704.294}]",Super Teemo Skin League of Legends HD,46159.0
15984,Slow Magic,120.0,_1SRITOREaU,[179],"[{'160 - 256x144 (144p)': 111.405}, {'133 - 426x240 (240p)': 246.525}, {'134 - 640x360 (360p)': 523.989}, {'135 - 854x480 (480p)': 1003.051}, {'136 - 1280x720 (720p)': 1690.94}, {'137 - 1920x1080 (1080p)': 3025.044}, {'18 - 640x360 (medium)': 498.95}, {'22 - 1280x720 (hd720)': 3.376}]",Погода в Украине 6 - 7 декабря,1482.0
17009,Crystal Fighters,120.0,lJheT8IYKkM,"[53, 58, 151, 228]","[{'160 - 256x144 (144p)': 111.077}, {'133 - 426x240 (240p)': 246.909}, {'134 - 640x360 (360p)': 612.016}, {'135 - 854x480 (480p)': 1117.671}, {'136 - 1280x720 (720p)': 2241.022}, {'137 - 1920x1080 (1080p)': 4156.573}, {'18 - 640x360 (medium)': 724.539}]",Mateusz 'Gizmo' Wróblewski 2011 EDIT,17045.0
17032,,120.0,KF-AD5oUi0Q,[12],"[{'160 - 256x144 (144p)': 111.448}, {'133 - 426x240 (240p)': 249.435}, {'134 - 640x360 (360p)': 426.924}, {'135 - 854x480 (480p)': 855.702}, {'136 - 1280x720 (720p)': 1632.014}, {'137 - 1920x1080 (1080p)': 3101.478}, {'18 - 640x360 (medium)': 548.59}, {'22 - 1280x720 (hd720)': 1316.212}]",Juan Camilo Angulo Nuevo Refuerzo Independiente Medellín 2015 / DIM OFICIAL,34993.0
18868,,120.0,rjxabHFRmnM,"[31, 40, 57, 117]","[{'160 - 256x144 (144p)': 118.948}, {'133 - 426x240 (240p)': 256.866}, {'134 - 640x360 (360p)': 277.442}, {'135 - 854x480 (480p)': 527.468}, {'136 - 1280x720 (720p)': 1078.924}, {'137 - 1920x1080 (1080p)': 2333.88}, {'18 - 640x360 (medium)': 468.144}]",羅嘉良 Gallen Lo - 未來的守望者 (衛斯理 The 'W' Files) [鋼琴 Piano - Klafmann],8452.0
18874,,120.0,cP6ykwBxfoI,"[17, 19, 394]","[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 608.265}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'137 - 1920x1080 (DASH video)': 4331.25}, {'18 - 640x360 (medium)': 702.278}, {'22 - 1280x720 (hd720)': 2644.491}]",Treino Livre - Race Park (01/09) [REISDOASFALTO.COM],1764.0
21476,,120.0,NiAfYUxIIqI,[3470],"[{'160 - 256x144 (144p)': 114.68}, {'133 - 426x240 (240p)': 254.024}, {'134 - 640x360 (360p)': 512.426}, {'135 - 854x480 (480p)': 1083.968}, {'136 - 1280x720 (720p)': 2172.926}, {'137 - 1920x1080 (1080p)': 4140.427}, {'264 - 1920x1080 (1080p)': 7077.38}, {'18 - 640x360 (medium)': 574.671}, {'22 - 1280x720 (hd720)': 1601.663}]",Mazda Raceway Laguna Seca and Google Apps - Retail Manager,2244.0
24808,,120.0,CBR0VsRnE70,[622],"[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 605.065}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'137 - 1920x1080 (DASH video)': 4331.25}, {'18 - 640x360 (medium)': 691.64}, {'22 - 1280x720 (hd720)': 2950.698}]",Skull Tales Promo,1570.0
25672,,120.0,8_H-O1pxvxI,"[5, 579, 3390]","[{'160 - 256x144 (144p)': 118.91}, {'134 - 640x360 (360p)': 227.481}, {'133 - 426x240 (240p)': 275.392}, {'135 - 854x480 (480p)': 391.403}, {'136 - 1280x720 (720p)': 590.601}, {'137 - 1920x1080 (1080p)': 877.38}, {'18 - 640x360 (medium)': 269.297}, {'22 - 1280x720 (hd720)': 395.815}]",How to Apply Fixodent Denture Adhesive Correctly | Fixodent,87351.0
25894,,120.0,oaqDCn0MJ7Q,"[2, 7, 90, 224, 267]","[{'160 - 256x144 (144p)': 115.831}, {'133 - 426x240 (240p)': 261.442}, {'134 - 640x360 (360p)': 530.35}, {'135 - 854x480 (480p)': 1015.076}, {'136 - 1280x720 (720p)': 1827.356}, {'137 - 1920x1080 (1080p)': 4128.862}, {'18 - 640x360 (medium)': 605.889}, {'22 - 1280x720 (hd720)': 1361.063}]",Chevy 383 Crate Engine,1364.0
26020,,120.0,IcKUoxsc7iU,"[18, 43, 59, 101, 286, 374]","[{'160 - 256x144 (144p)': 114.223}, {'133 - 426x240 (240p)': 250.036}, {'134 - 640x360 (360p)': 609.962}, {'135 - 854x480 (480p)': 1144.677}, {'136 - 1280x720 (720p)': 2244.544}, {'137 - 1920x1080 (1080p)': 4205.926}, {'18 - 640x360 (medium)': 713.363}, {'22 - 1280x720 (hd720)': 4.426}]",Wędkarstwo spinningowe - Szczupaki na spinning w Maju - Majówka z gośćmi,12158.0
27201,,120.0,ZRCkNhpQERA,"[11, 29, 173, 477]","[{'160 - 256x144 (144p)': 110.526}, {'133 - 426x240 (240p)': 249.08}, {'134 - 640x360 (360p)': 605.442}, {'135 - 854x480 (480p)': 1108.205}, {'136 - 1280x720 (720p)': 2211.399}, {'137 - 1920x1080 (1080p)': 4131.124}, {'18 - 640x360 (medium)': 624.329}, {'22 - 1280x720 (hd720)': 1353.648}]",デジキューBBQテラス アクアシティお台場店,3731.0
27985,,120.0,Sc5NwGRAmdM,"[21, 23, 24, 343, 858]","[{'160 - 256x144 (144p)': 114.015}, {'133 - 426x240 (240p)': 276.747}, {'134 - 640x360 (360p)': 369.412}, {'135 - 854x480 (480p)': 755.056}, {'136 - 1280x720 (720p)': 1583.442}, {'137 - 1920x1080 (1080p)': 4128.658}, {'18 - 640x360 (medium)': 528.891}, {'22 - 1280x720 (hd720)': 1373.623}]",Roulette Watch (v1.0) for Sony SmartWatch 2,4658.0
