ms-ssim, psnr-y, psnr-u, psnr-v
0.989158, 34.825616, 39.624423, 39.447036
0.988967, 34.696448, 39.785671, 39.551159
0.988574, 34.433034, 39.727857, 39.497040
0.988730, 34.628011, 39.762453, 39.503957
0.988621, 34.462750, 39.699797, 39.457863
0.988663, 34.676650, 39.743125, 39.447750
0.988645, 34.660217, 39.659023, 39.356040
0.988472, 34.549088, 39.610593, 39.298878
0.988367, 34.355596, 39.540051, 39.300769
0.987926, 33.994093, 39.526791, 39.197068
0.987533, 33.943780, 39.499298, 39.094279
0.987198, 33.845649, 39.500485, 39.069279
0.986764, 33.442060, 39.377949, 38.964699
0.986796, 33.618100, 39.407713, 38.989972
0.986994, 33.806483, 39.441564, 39.046268
0.987643, 34.040399, 39.559438, 39.028515
0.988488, 34.497360, 39.482356, 39.106004
0.989905, 34.883705, 39.729428, 39.431649
0.990456, 35.262932, 39.924771, 39.534601
0.990599, 35.469908, 39.973660, 39.612074
0.991205, 35.859461, 39.981510, 39.649129
0.992414, 36.138440, 40.549014, 40.098867
0.992749, 36.408328, 40.728289, 40.396442
0.992962, 36.597245, 40.749818, 40.518286
0.993361, 36.964331, 40.790911, 40.647103
0.993709, 37.204950, 41.022343, 40.849585
0.993604, 37.001891, 41.121777, 40.766464
0.993582, 36.920504, 41.203155, 40.800106
0.993835, 37.174922, 41.230438, 40.943929
0.993808, 37.144370, 41.345698, 40.888782
0.993791, 37.081413, 41.423729, 40.972633
0.993906, 37.260021, 41.607258, 41.062404
0.994188, 37.499136, 41.654847, 41.352400
0.994091, 37.229029, 41.606728, 41.170632
0.994308, 37.370347, 41.521956, 41.361650
0.994270, 37.291794, 41.483031, 41.304396
0.994458, 37.526437, 41.683437, 41.447696
0.994323, 37.409867, 41.616575, 41.378953
0.994349, 37.425544, 41.605972, 41.361329
0.994430, 37.459850, 41.703814, 41.394632
0.994612, 37.688816, 41.801180, 41.514247
0.994664, 37.480647, 41.817589, 41.480568
0.994793, 37.671620, 41.988278, 41.622721
0.994643, 37.539200, 42.221465, 41.738769
0.994786, 37.851472, 42.222031, 41.798767
0.994784, 37.970378, 42.567401, 42.046615
0.994978, 38.021518, 42.719496, 42.213366
0.994740, 37.903960, 42.689686, 42.350755
0.995511, 38.313909, 42.741840, 42.365822
0.995228, 37.797852, 42.622589, 42.241602
0.995171, 38.033963, 42.714855, 42.365191
0.995269, 38.174001, 42.820715, 42.428582
0.995702, 38.346201, 42.969310, 42.501735
0.995208, 38.218690, 42.987052, 42.526068
0.995246, 38.129738, 42.978224, 42.600753
0.995299, 38.105412, 43.081853, 42.768500
0.995693, 38.497277, 43.104759, 42.825219
0.995444, 38.284311, 43.243190, 42.954994
0.995505, 38.436799, 43.382419, 42.980143
0.995491, 38.525976, 43.280235, 42.926963
0.995738, 38.629698, 43.271735, 43.086637
0.995615, 38.491817, 43.259320, 42.961035
0.995596, 38.482545, 43.364862, 43.015945
0.995785, 38.710529, 43.393650, 43.171714
0.995929, 38.858307, 43.497927, 43.343141
0.995773, 38.827249, 43.603272, 43.380996
0.995830, 38.786377, 43.657039, 43.437194
0.995930, 38.992313, 43.658677, 43.495589
0.996029, 38.881730, 43.680027, 43.521378
0.996114, 39.064947, 43.737106, 43.567773
0.996060, 38.814264, 43.713508, 43.520320
0.996018, 38.829738, 43.668579, 43.459681
0.996213, 39.012072, 43.783066, 43.596687
0.996052, 38.865319, 43.806481, 43.643837
0.996063, 39.009643, 43.795259, 43.686861
0.996180, 39.025857, 43.787064, 43.684602
0.996255, 39.103936, 43.781942, 43.702830
0.996085, 38.902259, 43.742546, 43.685884
0.996243, 38.918846, 43.804096, 43.788439
0.996245, 38.931096, 43.887331, 43.869587
0.996352, 39.109408, 43.887267, 43.843424
0.996335, 39.135149, 43.959103, 43.781443
0.996296, 38.974938, 43.980025, 43.664263
0.996202, 38.890090, 43.968476, 43.839690
0.996443, 39.206896, 44.065069, 43.956373
0.996266, 38.947342, 44.131806, 43.892322
0.996357, 39.100668, 43.996586, 43.745454
0.996340, 39.012639, 44.014725, 43.813643
0.996577, 39.315257, 44.218318, 44.029635
0.996483, 39.112794, 44.152355, 44.006106
0.996504, 39.103080, 44.281024, 44.070002
0.996455, 39.102235, 44.221839, 44.037308
0.996556, 39.235748, 44.208597, 44.087647
0.996553, 39.058205, 44.192924, 43.952216
0.996581, 39.179765, 44.305250, 44.012947
0.996604, 39.086761, 44.270883, 44.084032
0.996704, 39.305287, 44.229721, 44.046453
0.996667, 39.306807, 44.298285, 44.199860
0.996589, 39.153087, 44.184081, 44.058278
0.996562, 39.203191, 44.155755, 43.827120
0.996581, 39.130265, 43.962160, 43.764251
0.996498, 39.226445, 44.151404, 43.790565
0.996515, 39.134004, 44.124843, 43.766551
0.996394, 39.083030, 44.116137, 43.732105
0.996663, 39.226565, 44.154463, 43.794820
0.996458, 38.943596, 44.182507, 43.761205
0.996513, 39.081148, 44.125248, 43.866086
0.996492, 39.223166, 44.143595, 43.878833
0.996677, 39.266647, 44.267252, 44.111354
0.996437, 39.247296, 44.299410, 44.127410
0.996443, 38.981681, 44.343229, 44.101735
0.996448, 38.990474, 44.262508, 44.056283
0.996771, 39.319254, 44.334784, 44.229029
0.996471, 38.965955, 44.366376, 44.122479
0.996594, 39.073700, 44.344579, 44.159703
0.996549, 39.163732, 44.377603, 44.168564
0.996680, 39.303478, 44.369448, 44.220113
0.996506, 39.153425, 44.394174, 44.196631
0.996601, 39.226417, 44.327629, 44.197592
0.996495, 39.099952, 44.241363, 44.013935
0.996707, 39.226997, 44.452055, 44.198279
0.996560, 39.143036, 44.317520, 43.998226
0.996355, 38.986702, 44.128086, 43.783503
0.996466, 39.144441, 44.113105, 43.743103
0.996489, 38.887586, 44.150384, 43.833306
0.996194, 38.978742, 43.782754, 43.526496
0.996380, 39.086321, 43.926068, 43.649949
0.996289, 38.981180, 43.756176, 43.649464
0.996493, 39.141149, 44.074540, 43.846718
0.996322, 39.000162, 43.797200, 43.627059
0.996163, 38.932981, 44.028710, 43.725260
0.996081, 38.870116, 43.885860, 43.672594
0.996594, 39.187543, 44.076744, 44.002230
0.996103, 39.027951, 43.980025, 43.766240
0.996204, 39.001470, 44.067468, 43.839501
0.996245, 38.972313, 44.077011, 43.782941
0.996644, 39.196449, 44.228199, 44.160520
0.996201, 38.889725, 44.089456, 43.978718
0.996436, 39.020051, 44.152967, 43.924971
0.996450, 38.939925, 44.044463, 43.962030
0.996678, 39.146443, 44.105230, 44.127884
0.996551, 38.910115, 43.969453, 43.898281
0.996531, 39.013342, 43.942424, 43.950723
0.996361, 38.814806, 43.798766, 43.682710
0.996660, 39.038026, 44.273538, 44.139797
0.996374, 38.879286, 44.085438, 43.715290
0.996368, 38.889710, 44.022042, 43.715352
0.996372, 38.856841, 44.104356, 43.772465
0.996598, 39.069274, 44.303420, 44.042673
0.996300, 39.083660, 44.029370, 43.717012
0.996286, 38.893415, 44.105364, 43.793881
0.996267, 39.000557, 44.281865, 43.724459
0.996534, 39.141186, 44.294209, 43.857883
0.996474, 39.163451, 44.239143, 43.670282
0.996312, 38.859201, 44.112431, 43.662198
0.996282, 38.856294, 44.142035, 43.879471
0.996521, 39.020015, 44.127816, 44.013869
0.996465, 39.044234, 44.208459, 43.928843
0.996359, 39.008254, 44.158478, 44.060740
0.996370, 39.003350, 44.333083, 44.048444
0.996586, 39.272129, 44.504891, 44.290699
0.996343, 39.161545, 44.362379, 43.995733
0.996437, 39.137944, 44.479382, 44.211559
0.996459, 39.219306, 44.587509, 44.331595
0.996671, 39.376788, 44.507398, 44.321829
0.996639, 39.433088, 44.551515, 44.312297
0.996640, 39.334819, 44.545408, 44.216938
0.996463, 39.234001, 44.473010, 44.191689
0.996748, 39.559538, 44.669203, 44.618807
0.996669, 39.700925, 44.765439, 44.612151
0.996674, 39.741789, 44.693544, 44.537453
0.996675, 39.578260, 44.703257, 44.489141
0.996686, 39.463101, 44.636402, 44.428810
0.996621, 39.458935, 44.699400, 44.432361
0.996656, 39.525895, 44.752229, 44.469718
0.996545, 39.474066, 44.797577, 44.540128
0.996629, 39.453638, 44.660941, 44.608374
0.996581, 39.366275, 44.704724, 44.364449
0.996649, 39.449902, 44.709744, 44.139729
0.996571, 39.277204, 44.629871, 44.192649
0.996759, 39.487398, 44.849545, 44.529437
0.996691, 39.326174, 44.950971, 44.499806
0.996626, 39.542890, 44.919710, 44.417378
0.996610, 39.476191, 44.883922, 44.404175
0.996741, 39.417059, 44.868102, 44.534482
0.996632, 39.503095, 44.980155, 44.544664
0.996698, 39.491661, 44.948929, 44.489362
0.996663, 39.472921, 44.740537, 44.330674
0.996786, 39.515341, 44.769120, 44.517368
0.996704, 39.530659, 44.737891, 44.288523
0.996628, 39.338744, 44.763482, 44.310816
0.996580, 39.216741, 44.689542, 44.316319
0.996786, 39.555786, 44.829954, 44.541986
0.996580, 39.239782, 44.746223, 44.414850
0.996586, 39.322953, 44.656511, 44.332516
0.996653, 39.375696, 44.751682, 44.509685
0.996720, 39.496731, 44.705496, 44.406193
0.996493, 39.338503, 44.650255, 44.250184
0.996666, 39.402552, 44.721586, 44.343584
0.996716, 39.678440, 44.652924, 44.444705
0.996728, 39.363120, 44.525509, 44.337763
0.996639, 39.481701, 44.551962, 44.176350
0.996668, 39.484711, 44.641725, 44.172182
0.996533, 39.281132, 44.628126, 44.259441
0.996755, 39.509158, 44.803101, 44.492742
0.996592, 39.088720, 44.477843, 44.061605
0.996634, 39.196232, 44.591419, 44.172524
0.996609, 39.250367, 44.562558, 44.199173
0.996804, 39.480432, 44.833611, 44.504817
0.996611, 39.435801, 44.717713, 44.305321
0.996672, 39.267298, 44.646140, 44.196219
0.996650, 39.470960, 44.762700, 44.318932
0.996795, 39.599129, 44.882716, 44.565623
0.996763, 39.490854, 44.797104, 44.475206
0.996708, 39.297800, 44.941911, 44.667442
0.996912, 39.676366, 45.132243, 44.774608
0.996793, 39.224718, 45.166710, 44.859694
0.996764, 39.377094, 45.149143, 44.972512
0.996817, 39.728704, 45.153421, 44.949174
0.996956, 39.759078, 45.269143, 45.041704
0.996851, 39.559650, 45.171779, 44.930268
0.996808, 39.628625, 45.157875, 44.786785
0.996914, 39.833740, 45.269670, 44.857374
0.996978, 39.912602, 45.219232, 44.944195
0.996855, 39.816810, 45.351055, 44.904567
0.996852, 39.715591, 45.341122, 44.897944
0.996881, 39.632056, 45.301793, 44.879419
0.996936, 39.835054, 45.329339, 45.009040
0.996976, 39.894266, 45.462026, 44.981142
0.996960, 39.883110, 45.529828, 45.092558
0.996965, 39.841783, 45.449545, 44.989625
0.997020, 39.842740, 45.470490, 45.053233
0.996947, 39.884675, 45.443867, 45.053484
0.996833, 39.706350, 45.411588, 45.059846
0.996916, 39.837527, 45.474728, 44.974237
0.997027, 39.939163, 45.425692, 45.068735
0.996898, 39.845349, 45.380630, 44.927179
0.996890, 39.666391, 45.326755, 44.791429
0.996905, 39.667038, 45.382073, 44.939710
0.997057, 39.948430, 45.432442, 45.095767
0.996995, 39.852523, 45.524883, 45.019154
0.996923, 39.659910, 45.546758, 45.073019
0.996780, 39.582465, 45.394362, 44.905537
0.997009, 39.897984, 45.455047, 45.059595
0.996816, 39.556275, 45.376032, 44.982870
0.996744, 39.656402, 45.322837, 44.868343
0.996846, 39.718363, 45.318922, 44.969639
0.996992, 39.947662, 45.431164, 45.122373
0.996698, 39.443253, 45.238656, 44.815517
0.996618, 39.260504, 45.247132, 44.806498
0.998040, 40.811510, 46.849421, 46.491537
0.997662, 40.424775, 46.809505, 46.316192
0.997454, 40.192079, 46.711352, 46.247373
0.997068, 40.075407, 46.597069, 46.000159
0.997074, 40.068181, 46.573144, 46.018194
0.996939, 39.862942, 46.382369, 45.912214
0.996961, 39.825788, 46.295766, 45.822818
