ms-ssim, psnr-y, psnr-u, psnr-v
0.988344, 34.544984, 46.760771, 48.259444
0.986910, 34.066067, 46.797114, 48.119943
0.987001, 34.070170, 46.860314, 48.031529
0.987219, 34.345401, 46.846765, 48.055677
0.987405, 34.207234, 46.719448, 48.044002
0.987077, 34.313495, 46.824446, 48.128935
0.987008, 34.151850, 46.821429, 48.151582
0.987606, 34.489977, 46.769704, 48.133013
0.986286, 33.802396, 46.690205, 48.055510
0.986269, 34.050776, 46.787376, 48.010324
0.985574, 33.638518, 46.757798, 47.963804
0.985247, 33.435140, 46.704618, 47.823046
0.985415, 33.558182, 46.675474, 47.849242
0.985771, 33.851317, 46.798989, 47.755510
0.986040, 33.788234, 46.795864, 47.738090
0.986479, 34.073694, 46.824824, 47.753952
0.988073, 34.336897, 46.892773, 47.846218
0.988743, 34.529890, 46.968037, 47.807088
0.988964, 34.505318, 47.082771, 47.946345
0.989927, 35.308648, 47.086109, 48.054007
0.991371, 35.322908, 47.214629, 48.236577
0.992183, 36.145193, 47.440124, 48.382279
0.991892, 35.754229, 47.394710, 48.223192
0.992832, 36.631689, 47.391413, 48.324156
0.992696, 36.348464, 47.547678, 48.374904
0.992965, 36.617449, 47.657049, 48.273117
0.992615, 36.245493, 47.635772, 48.287362
0.993292, 36.674584, 47.673687, 48.423887
0.992922, 36.231051, 47.794647, 48.477476
0.993109, 36.504422, 47.810717, 48.527265
0.992626, 36.033527, 47.738866, 48.529872
0.993713, 36.986246, 47.787576, 48.640609
0.993464, 36.225939, 47.859765, 48.638698
0.994022, 37.083071, 47.948951, 48.687483
0.993936, 36.919845, 48.054508, 48.825235
0.994070, 37.320323, 48.031363, 48.718108
0.993313, 36.228575, 48.051003, 48.758561
0.994445, 37.416752, 48.071235, 48.791276
0.993977, 36.610904, 48.071906, 48.797610
0.994282, 37.232616, 48.071235, 48.742491
0.994153, 36.645028, 48.075092, 48.717330
0.994716, 37.533428, 48.071906, 48.804947
0.994386, 37.302922, 48.189650, 48.700250
0.994533, 37.591641, 48.233096, 48.704514
0.994267, 37.203138, 48.212098, 48.716553
0.994776, 37.557755, 48.206216, 48.760918
0.994242, 36.862746, 48.222324, 48.764455
0.994432, 37.401837, 48.226491, 48.685745
0.994630, 37.367513, 48.278739, 48.704514
0.994980, 37.706474, 48.260495, 48.772326
0.994500, 36.975021, 48.366644, 48.723948
0.994789, 37.842893, 48.316702, 48.702381
0.994523, 36.889730, 48.290181, 48.778239
0.995194, 37.905508, 48.368079, 48.842615
0.994623, 36.936871, 48.379219, 48.875367
0.994948, 37.630015, 48.446303, 48.788112
0.994663, 37.025997, 48.378140, 48.675910
0.995369, 38.129466, 48.427342, 48.856048
0.994614, 37.110550, 48.514068, 48.724922
0.994951, 37.856382, 48.417530, 48.729210
0.994628, 37.166926, 48.450690, 48.645197
0.995266, 37.929365, 48.423887, 48.673214
0.994748, 37.234084, 48.563529, 48.612991
0.994993, 37.568471, 48.491300, 48.586491
0.994943, 37.439066, 48.507577, 48.637362
0.995452, 38.135224, 48.576124, 48.675332
0.994999, 37.355625, 48.692315, 48.666289
0.995153, 37.870430, 48.692315, 48.678607
0.994632, 36.885490, 48.614320, 48.652088
0.995533, 38.246665, 48.736431, 48.888092
0.995193, 37.367602, 48.783567, 48.754440
0.995585, 38.108332, 48.737799, 48.767995
0.995062, 37.661599, 48.707423, 48.623636
0.995349, 38.097493, 48.744448, 48.680150
0.995117, 37.731188, 48.680728, 48.614510
0.995757, 38.394205, 48.738972, 48.700443
0.995089, 37.575818, 48.739558, 48.482632
0.995519, 38.341440, 48.645962, 48.497027
0.995195, 37.501910, 48.641755, 48.578196
0.995658, 38.302135, 48.672251, 48.612611
0.995271, 37.957049, 48.646728, 48.597261
0.995467, 38.220320, 48.624398, 48.626683
0.995214, 37.684966, 48.621163, 48.737017
0.995717, 38.381361, 48.610334, 48.877989
0.995148, 37.734052, 48.742296, 48.884856
0.995087, 37.735949, 48.720054, 48.836614
0.995403, 38.266262, 48.738190, 48.766028
0.995695, 38.456327, 48.779422, 48.923636
0.995245, 37.711320, 48.845218, 48.877586
0.995395, 38.055305, 48.780014, 48.897204
0.994966, 37.660719, 48.711694, 48.914061
0.995675, 38.367612, 48.691928, 49.107769
0.995106, 37.610961, 48.789693, 48.966882
0.995119, 37.730968, 48.737213, 48.827828
0.995214, 37.747511, 48.770160, 48.962147
0.995714, 38.345406, 48.655538, 49.043563
0.995449, 38.058023, 48.687676, 48.928329
0.995134, 37.455318, 48.784357, 48.820254
0.995082, 37.695855, 48.715192, 48.877384
0.995531, 38.317478, 48.799988, 48.992292
0.994973, 37.818826, 48.734674, 48.915079
0.995096, 37.846082, 48.707811, 48.800187
0.995396, 38.260893, 48.735650, 48.954335
0.995576, 38.324929, 48.712277, 49.002456
0.995880, 38.451728, 48.899840, 48.947973
0.995376, 37.848486, 48.914264, 48.900245
0.995483, 37.814135, 48.904304, 48.853037
0.995303, 37.615964, 48.902477, 48.910603
0.996050, 38.753900, 48.956595, 48.991463
0.995789, 38.429057, 48.971622, 48.895582
0.995779, 38.477872, 48.938140, 48.816273
0.995522, 38.310911, 48.918540, 48.905726
0.995791, 38.463751, 48.892139, 48.951050
0.995280, 37.911009, 48.903898, 48.908773
0.995857, 38.622932, 48.912637, 48.760525
0.995836, 38.438918, 48.905523, 48.823840
0.995692, 38.558431, 48.880008, 48.632019
0.995845, 38.861583, 48.925268, 48.610144
0.995698, 38.702323, 48.911823, 48.673984
0.995776, 38.550910, 48.832219, 48.734478
0.995826, 38.527358, 48.849427, 48.741709
0.995886, 38.644552, 48.879604, 48.792858
0.995875, 38.505382, 48.868313, 48.828227
0.995836, 38.284791, 48.859061, 48.902477
0.995884, 38.519393, 48.890924, 48.911213
0.995745, 38.311345, 48.923636, 49.020771
0.995863, 38.282573, 48.917725, 49.078928
0.995667, 38.675134, 48.852836, 49.052797
0.995659, 38.782082, 48.807130, 48.964617
0.995434, 38.195398, 48.789298, 49.065632
0.995889, 38.565642, 48.921801, 48.990842
0.995695, 38.468808, 48.920578, 48.931801
0.995701, 38.524069, 48.901869, 48.934458
0.995623, 38.487282, 48.965852, 49.017227
0.995936, 38.643137, 49.023900, 49.014518
0.995846, 38.581946, 49.037696, 49.078505
0.995796, 38.639864, 49.066264, 48.955773
0.995748, 38.547276, 49.085909, 48.980705
0.995928, 38.540525, 49.072803, 49.020979
0.995926, 38.498733, 49.106493, 49.084215
0.995668, 38.198201, 49.094385, 49.173587
0.995524, 38.416178, 49.077871, 49.086756
