ms-ssim, psnr-y, psnr-u, psnr-v
0.989145, 36.477383, 43.262642, 40.112790
0.987292, 35.736494, 43.299743, 40.178860
0.987663, 35.748833, 43.389314, 40.260991
0.987238, 35.459697, 43.360894, 40.236586
0.988429, 35.982852, 43.306340, 40.058530
0.986869, 35.337072, 43.260704, 39.834520
0.987480, 35.561353, 43.234046, 39.974465
0.987684, 35.555248, 43.188234, 39.846509
0.988405, 35.909524, 43.033038, 39.756668
0.987493, 35.469199, 43.013173, 39.572916
0.987335, 35.434669, 42.918972, 39.505239
0.986762, 35.203231, 42.815865, 39.417893
0.987101, 35.241913, 42.702958, 39.379353
0.987737, 35.470810, 42.924093, 39.639042
0.988708, 35.947223, 43.258269, 39.917970
0.989023, 36.042224, 43.279235, 39.798848
0.990187, 36.646745, 43.186274, 39.970648
0.991916, 37.154722, 43.740196, 40.642556
0.992257, 37.498586, 43.776515, 40.651685
0.992719, 37.941596, 43.871180, 40.881094
0.993599, 38.644638, 43.891618, 41.119849
0.993634, 38.540866, 44.370234, 41.451234
0.993846, 38.598633, 44.549056, 41.526113
0.993907, 38.880624, 44.236578, 41.561308
0.994335, 39.437786, 44.444560, 41.709775
0.994122, 39.089906, 44.790642, 41.931122
0.994231, 39.318299, 45.088087, 42.155165
0.994308, 39.351126, 45.202577, 42.399426
0.994995, 40.121784, 45.012353, 42.506991
0.994675, 39.731172, 44.992263, 42.512999
0.994637, 39.579641, 45.184779, 42.579547
0.994747, 39.865639, 45.070751, 42.448006
0.995352, 40.423169, 45.162419, 42.907117
0.995111, 39.768927, 45.481831, 42.995637
0.995366, 40.185406, 45.612670, 43.189432
0.995472, 40.322056, 45.677087, 43.286858
0.995884, 40.852040, 45.600129, 43.471230
0.995778, 40.660795, 45.676218, 43.166456
0.995848, 40.711234, 45.619145, 43.352404
0.995737, 40.618416, 45.726229, 43.166185
0.996223, 41.218063, 45.889641, 43.732228
0.995908, 40.890314, 45.907731, 43.349917
0.995885, 40.774007, 46.004947, 43.500500
0.995941, 40.689788, 46.100769, 43.377070
0.996389, 41.376181, 46.090878, 43.868823
0.996076, 40.811643, 46.120617, 43.707122
0.996206, 40.973123, 46.204091, 43.769165
0.996125, 41.042352, 46.119227, 43.801650
0.996552, 41.561551, 46.215664, 44.102272
0.996274, 41.278022, 46.304237, 44.076143
0.996395, 41.419506, 46.417729, 44.207082
0.996237, 41.079248, 46.241761, 44.033800
0.996653, 41.803534, 46.486298, 44.354182
0.996428, 41.491817, 46.394883, 44.189220
0.996455, 41.538607, 46.596830, 44.583228
0.996483, 41.435051, 46.700338, 44.463214
0.996741, 42.031039, 46.831747, 44.973087
0.996557, 41.834219, 46.753093, 44.818052
0.996655, 41.791291, 46.771816, 44.714462
0.996598, 41.881232, 46.724238, 44.522547
0.996875, 42.362174, 46.850307, 45.185986
0.996797, 42.130332, 46.777162, 44.916790
0.996675, 41.889198, 46.824698, 45.026048
0.996693, 42.197312, 47.009576, 45.082609
0.996983, 42.627455, 47.039472, 45.253697
0.996852, 42.133694, 47.073304, 45.152308
0.996767, 41.948777, 47.087578, 45.255800
0.996738, 42.155755, 47.048071, 45.102192
0.997092, 42.810134, 47.257912, 45.598421
0.996829, 42.250795, 47.090118, 45.330409
0.996434, 42.233094, 46.576825, 44.987894
0.996651, 42.118718, 47.091857, 45.282438
0.997033, 42.906887, 47.283279, 45.584408
0.996834, 42.587363, 47.233797, 45.433354
0.996939, 42.483493, 47.310764, 45.539454
0.996949, 42.601431, 47.242929, 45.470398
0.997239, 43.088207, 47.512169, 46.076456
0.997050, 42.385951, 47.308655, 45.652626
0.997113, 42.699904, 47.371966, 45.651954
0.997081, 42.453312, 47.390266, 45.567237
0.997321, 43.178648, 47.549313, 45.947631
0.997047, 42.423408, 47.369113, 45.568838
0.997136, 42.677943, 47.467749, 45.770898
0.997225, 42.842217, 47.463375, 45.636236
0.997411, 43.368691, 47.589326, 46.218069
0.997198, 42.648104, 47.398153, 45.455506
0.997291, 42.812830, 47.389836, 45.531229
0.997196, 42.553854, 47.265701, 45.518082
0.997436, 43.275928, 47.543669, 46.390442
0.997272, 42.645208, 47.463375, 45.922421
0.997352, 42.964136, 47.427245, 45.863353
0.997146, 42.439772, 47.544114, 46.066937
0.997425, 43.415826, 47.641841, 46.400811
0.997117, 42.926527, 47.441719, 45.953699
0.997187, 42.947261, 47.618372, 45.918437
0.997166, 42.742749, 47.625324, 45.971438
0.997451, 43.475707, 47.762216, 46.517827
0.997253, 42.724007, 47.555708, 46.093535
0.997335, 42.936714, 47.519838, 46.185595
0.997288, 42.768488, 47.565393, 45.928761
0.997576, 43.566971, 47.860883, 46.614410
0.997427, 43.175757, 47.691618, 46.193637
0.997453, 43.204995, 47.723988, 46.347408
0.997452, 43.334826, 47.831919, 46.439199
0.997592, 43.657631, 47.915837, 46.704006
0.997429, 43.176150, 47.710857, 46.314515
0.997474, 43.426224, 47.841128, 46.659825
0.997340, 42.995038, 47.850357, 46.342340
0.997601, 43.894644, 48.020085, 46.829606
0.997349, 43.072977, 47.939673, 46.160264
0.997505, 43.388173, 47.869674, 46.325489
0.997458, 43.474703, 47.810086, 46.156596
0.997728, 43.982345, 48.185347, 47.029572
0.997537, 43.372140, 48.128595, 46.430230
0.997576, 43.313073, 48.043336, 46.432413
0.997501, 43.395434, 48.089205, 46.273551
0.997778, 44.094081, 48.207772, 46.996863
0.997556, 43.662517, 48.096954, 46.238572
0.997583, 43.788314, 48.119604, 46.671223
0.997568, 43.276692, 48.252449, 46.769580
0.997806, 44.358528, 48.319363, 47.121923
0.997675, 43.723659, 48.272240, 47.019431
0.997709, 43.939316, 48.180016, 46.893284
0.997534, 43.717581, 48.091730, 46.760028
0.997719, 44.169998, 48.483369, 47.232692
0.997538, 43.490012, 48.449410, 46.903903
0.997549, 43.874351, 48.369515, 46.775918
