ms-ssim, psnr-y, psnr-u, psnr-v
0.959455, 30.320255, 39.530659, 40.886058
0.940988, 29.139418, 38.987364, 40.929826
0.944681, 29.494824, 39.339535, 41.054169
0.941188, 29.757965, 39.727538, 41.550092
0.955920, 30.822459, 39.513875, 41.655459
0.939426, 29.730439, 39.057254, 41.351473
0.945699, 29.495274, 39.043164, 40.987795
0.949707, 29.751575, 38.943135, 41.059535
0.964822, 30.850360, 39.046163, 41.094930
0.951022, 29.581026, 39.042787, 40.893402
0.941392, 29.153814, 38.265154, 40.550794
0.929215, 28.350264, 38.499006, 40.360520
0.935375, 28.320400, 38.135275, 40.100579
0.912872, 27.554198, 37.882990, 39.580051
0.905382, 27.723630, 37.717541, 39.402837
0.886938, 27.282038, 37.593033, 39.821811
0.901494, 27.665429, 37.340039, 38.928941
0.869096, 26.652960, 37.359357, 39.294878
0.877852, 26.618909, 37.410760, 39.109621
0.879211, 26.968763, 37.744475, 39.462686
0.906282, 28.675961, 38.166050, 39.604529
0.895075, 28.195684, 38.585510, 39.625573
0.902184, 28.406532, 38.434497, 39.715701
0.905959, 28.551057, 38.727553, 38.992997
0.918981, 29.204959, 39.310768, 39.635773
0.909663, 28.464929, 39.560430, 39.606796
0.911305, 28.711606, 39.445426, 39.759288
0.909005, 28.807192, 39.421254, 40.113783
0.919481, 30.889989, 39.718468, 40.083124
0.905477, 29.514037, 39.376115, 39.410792
0.910523, 28.426324, 38.921943, 39.654749
0.918739, 29.687736, 39.476307, 39.711591
0.918700, 31.405279, 40.198208, 40.105448
0.925551, 29.424289, 39.440301, 39.977765
0.926076, 29.052802, 38.729834, 39.237524
0.929027, 28.968174, 38.746699, 39.670270
0.937616, 29.920933, 38.984136, 39.953190
0.925805, 30.334713, 39.546801, 40.298251
0.921619, 29.886734, 39.612743, 40.417736
0.944904, 30.282997, 39.532841, 40.111021
0.929296, 29.200609, 39.737907, 39.816522
0.931300, 28.758146, 39.299101, 40.011405
0.946358, 29.272547, 38.872665, 39.862707
0.932628, 28.477789, 38.710937, 40.179622
0.923697, 28.409229, 38.873592, 39.968079
0.916762, 28.234000, 39.021375, 39.668987
0.946500, 29.763583, 39.276192, 40.289192
0.934526, 28.777508, 39.448348, 39.905936
0.930649, 28.750378, 38.981035, 39.142205
0.925196, 28.296890, 38.971746, 39.321841
0.937522, 29.173298, 39.443219, 39.697749
0.938705, 29.125512, 39.642362, 39.698700
0.934846, 28.715697, 39.049815, 39.242766
0.929898, 28.437140, 39.202131, 39.430595
0.936756, 28.502669, 39.170672, 39.824094
0.929879, 28.150131, 39.503514, 39.789329
0.937708, 28.368310, 39.199610, 39.661801
0.933981, 28.222176, 39.223079, 40.241389
0.954926, 29.516895, 39.227079, 40.247333
0.947907, 28.572429, 39.193507, 40.338317
0.947456, 28.061280, 38.913959, 40.120843
0.942789, 28.011991, 39.131345, 40.503766
0.951821, 28.697060, 38.864308, 40.163937
0.941947, 28.077625, 39.202936, 40.457648
0.939084, 27.786743, 38.881987, 40.065368
0.928582, 27.224294, 38.865938, 39.940155
0.941721, 27.917000, 38.793195, 40.051332
0.930800, 27.523937, 38.934356, 40.270269
0.930968, 27.873930, 39.168665, 40.348895
0.925557, 27.788040, 39.377473, 40.286149
0.940373, 28.837232, 39.533709, 40.161522
0.931280, 28.156415, 39.480663, 40.419692
0.930790, 28.544216, 39.535963, 40.744822
0.931648, 28.792253, 39.800920, 41.140934
0.946407, 29.673327, 39.555379, 40.781391
0.932915, 29.011923, 39.987681, 41.119713
0.932423, 28.666170, 39.725992, 40.782580
0.933999, 28.735859, 39.644263, 40.980682
0.939687, 28.920919, 39.562437, 40.588391
0.932647, 28.231587, 39.770303, 40.726219
0.929582, 28.367433, 39.284716, 40.322584
0.922063, 27.646361, 39.035038, 40.286065
0.938049, 27.804874, 38.698778, 40.199904
0.932527, 27.385521, 39.153995, 40.378045
0.929145, 27.722694, 39.460793, 40.352039
0.931782, 27.749694, 39.517194, 40.213277
0.939122, 28.082891, 39.325776, 40.423522
0.922687, 26.773553, 39.280241, 40.793577
0.926286, 27.197909, 39.443932, 40.052601
0.920700, 26.866215, 39.480385, 40.257413
0.934461, 27.375745, 39.402472, 40.392836
0.925990, 26.833234, 39.284472, 40.558454
0.926388, 26.914791, 39.064621, 40.566395
0.918802, 26.834997, 39.347510, 40.801269
0.922438, 27.006608, 38.744663, 40.434511
0.917834, 26.641953, 39.237545, 40.804979
0.919554, 26.632421, 38.894954, 40.248910
0.910669, 26.232447, 38.970488, 40.253949
0.915714, 26.672552, 39.253535, 40.764750
0.897585, 26.146891, 38.863383, 40.684049
0.899283, 26.118636, 38.787143, 40.385034
0.896461, 26.332329, 38.851171, 40.487978
0.916002, 27.407316, 38.363290, 40.330444
0.901564, 27.632896, 38.902721, 41.108265
0.897681, 28.047078, 38.635453, 41.496397
0.901419, 28.020714, 38.350153, 41.416192
0.919860, 28.420555, 38.550690, 41.136790
0.907488, 27.244507, 38.589134, 41.272440
0.919363, 27.825551, 38.799949, 41.341461
0.921002, 28.035006, 38.910562, 41.243292
0.931991, 28.646583, 38.631905, 41.094426
0.921289, 28.251883, 38.759621, 41.456530
0.923912, 28.538907, 39.118890, 41.448498
0.921976, 29.037340, 39.280750, 41.828722
0.935364, 30.013487, 39.195005, 41.619040
0.924494, 29.898858, 39.706508, 42.204458
0.927090, 30.806223, 39.912000, 42.754534
0.924879, 30.890776, 39.784652, 42.722772
0.931024, 31.543497, 39.887691, 42.909260
0.923740, 31.395191, 40.198345, 43.304103
0.928323, 31.733728, 40.159028, 43.191829
0.932683, 31.803225, 40.343263, 43.400048
0.936389, 32.056605, 40.478194, 43.231461
0.937930, 32.062999, 40.925878, 43.647467
0.936566, 31.898961, 40.845742, 43.522789
0.936561, 31.750924, 40.576797, 43.518499
0.943242, 32.039423, 40.438470, 43.233661
0.940576, 31.616137, 40.238545, 43.151206
0.942363, 31.728242, 40.561218, 43.477510
