ms-ssim, psnr-y, psnr-u, psnr-v
0.995753, 40.438390, 46.334355, 47.939998
0.994123, 39.247219, 45.365233, 47.440269
0.994705, 39.593575, 45.562625, 47.506279
0.994448, 39.337538, 45.641789, 47.822096
0.995090, 40.057106, 45.764390, 48.356430
0.994311, 39.486643, 45.552854, 48.161154
0.994744, 39.744881, 45.306490, 48.002563
0.992315, 38.553915, 44.644160, 47.047144
0.991970, 38.220476, 44.616158, 46.779402
0.989071, 36.825245, 43.773897, 46.119868
0.986962, 36.021248, 43.492843, 45.834918
0.984674, 35.815865, 43.281459, 45.262466
0.989330, 36.754563, 43.992128, 46.293317
0.989234, 36.898548, 44.085304, 46.251009
0.992354, 37.935988, 44.440127, 47.153962
0.991130, 37.950887, 44.377603, 46.437128
0.991648, 38.179582, 44.564427, 46.137978
0.992247, 38.268682, 44.701328, 46.340314
0.994073, 39.196943, 45.062947, 46.400697
0.993227, 38.664088, 44.894878, 46.736916
0.993998, 39.213170, 45.082778, 47.239329
0.993692, 39.030746, 45.124668, 47.440124
0.994505, 39.724355, 45.419317, 47.603298
0.994035, 39.369370, 45.229325, 47.207068
0.994356, 39.114754, 44.947377, 47.210641
0.994232, 39.196183, 45.003413, 47.227169
0.994854, 39.728993, 45.392733, 47.912443
0.994477, 39.855890, 45.965448, 47.993829
0.994597, 39.818508, 45.905389, 47.841605
0.994278, 39.781749, 46.129825, 47.862001
0.995038, 40.462499, 46.119975, 47.833664
0.994563, 39.864974, 46.136368, 48.093246
0.995154, 40.471024, 45.952979, 48.071068
0.994865, 40.133011, 45.986968, 47.977560
0.995499, 40.301316, 46.187007, 48.361803
0.995132, 39.876915, 45.926817, 48.175035
0.995154, 39.896919, 45.773959, 48.279091
0.994541, 39.662182, 45.433446, 47.864876
0.995662, 40.684485, 45.885688, 48.071235
0.994871, 39.657133, 45.563378, 47.748814
0.995181, 39.912647, 45.795540, 47.673229
0.994426, 39.769293, 45.762125, 47.485286
0.995467, 40.184363, 45.708976, 47.470521
0.995255, 40.136319, 45.785033, 47.613845
0.995601, 40.529459, 45.785627, 47.513937
0.995317, 40.251297, 45.766164, 47.851791
0.995735, 40.449765, 45.775736, 47.929280
0.994757, 39.347977, 45.169630, 47.911958
0.995059, 40.037802, 45.707322, 47.993664
0.995135, 39.904868, 45.441396, 47.318790
0.995874, 40.641723, 45.581006, 47.719194
0.995131, 40.094713, 45.523578, 47.568228
0.995341, 40.454071, 45.850569, 48.042837
0.995332, 40.271688, 45.908749, 48.161154
0.995565, 39.975822, 45.562813, 47.793232
0.995223, 39.642236, 45.464509, 47.838109
0.995501, 39.968423, 45.579589, 47.445635
0.995346, 40.461460, 45.681821, 47.781144
0.996140, 41.050473, 45.982925, 47.946996
0.995388, 40.438744, 45.860430, 47.846536
0.995758, 40.495352, 45.930603, 48.051003
0.995363, 39.940903, 45.532256, 47.797007
0.995437, 40.373892, 45.676507, 48.019257
0.995379, 40.514659, 45.899693, 48.076602
