ms-ssim, psnr-y, psnr-u, psnr-v
0.978398, 33.293791, 42.792590, 42.562779
0.975297, 32.953556, 42.918410, 42.666835
0.973974, 32.772926, 43.056585, 42.784744
0.973509, 32.466394, 42.835247, 42.737912
0.974069, 32.532368, 42.746608, 42.697557
0.971953, 32.571756, 43.116793, 42.873007
0.973747, 32.691103, 43.113420, 42.876198
0.972690, 32.528045, 43.222946, 42.892037
0.977318, 33.379634, 43.605009, 43.500559
0.972981, 32.810915, 43.876855, 43.524378
0.970748, 32.380229, 43.662744, 43.239607
0.968192, 31.659156, 43.466351, 43.157851
0.968044, 31.643377, 43.066156, 43.013643
0.969495, 32.104870, 43.337333, 43.136332
0.972880, 32.641445, 43.383558, 43.186329
0.973393, 32.656197, 43.497518, 43.151907
0.976878, 33.105826, 43.157256, 43.011290
0.978956, 33.361384, 43.670160, 43.366620
0.979768, 33.441162, 43.610526, 43.324505
0.980591, 33.805053, 43.604290, 43.372808
0.982935, 34.422258, 43.535451, 43.299576
0.983640, 34.615202, 43.918782, 43.767298
0.984243, 34.771632, 43.876153, 43.740011
0.984155, 34.826076, 43.943526, 43.639425
0.985902, 35.155823, 43.683931, 43.488407
0.985415, 35.069989, 43.770472, 43.551404
0.985137, 34.787377, 43.788064, 43.650070
0.985455, 34.745401, 43.795259, 43.551878
0.986965, 35.200755, 43.793255, 43.591904
0.986268, 35.100230, 44.032279, 43.644200
0.986133, 34.932809, 43.991080, 43.543716
0.985366, 34.620784, 43.977804, 43.566050
0.986648, 34.958330, 43.830023, 43.533682
0.985175, 34.656045, 43.925874, 43.532385
0.984913, 34.563944, 44.012618, 43.542062
0.983549, 34.131079, 44.102743, 43.638398
0.989365, 37.213914, 44.697473, 44.660788
0.987613, 36.015283, 44.885934, 44.723524
0.987863, 35.516474, 44.921819, 44.685390
0.988457, 35.776952, 44.840057, 44.538344
0.989955, 36.562350, 44.794738, 44.449143
0.988135, 35.992860, 45.030706, 44.646597
0.988343, 36.059008, 45.024053, 44.624487
0.988337, 35.949042, 44.934579, 44.713765
0.989642, 36.360141, 44.959558, 44.736569
0.988132, 35.863978, 44.630554, 44.160452
0.987770, 35.703582, 44.711523, 44.255471
0.987583, 35.593182, 44.647359, 44.229444
0.989035, 36.217905, 44.680243, 44.268508
0.987524, 35.647070, 44.731517, 44.246431
0.987874, 35.843971, 44.887061, 44.422946
0.988246, 35.995449, 44.810293, 44.319709
0.989515, 36.342629, 44.767083, 44.309125
0.988065, 35.770536, 44.845795, 44.304616
0.988510, 35.955328, 44.802864, 44.263763
0.987814, 35.685963, 44.845476, 44.270953
0.989709, 36.496377, 44.790248, 44.220458
0.988044, 35.742213, 44.928154, 44.292313
0.989006, 36.136059, 44.994821, 44.325790
0.988624, 35.919640, 45.005812, 44.527362
0.989582, 36.549223, 45.048384, 44.692774
0.988453, 36.241524, 44.828683, 44.703334
0.988939, 36.240405, 44.995399, 44.662929
0.988693, 36.387274, 45.096781, 44.758164
0.990126, 36.684243, 45.190387, 44.888108
0.988309, 36.676510, 45.903151, 45.300111
0.990037, 37.311148, 45.743944, 45.149058
0.990000, 37.230610, 45.753172, 45.228628
0.991118, 37.822729, 45.921910, 45.451195
0.989803, 37.107669, 46.071800, 45.295863
0.990232, 37.708231, 45.939109, 45.414587
0.990468, 37.849003, 45.924056, 45.470766
0.991479, 38.158079, 45.720080, 45.295155
0.990501, 37.835164, 45.906000, 45.407411
0.990900, 38.074027, 45.872435, 45.354729
0.991441, 38.243473, 45.582045, 45.321502
0.988314, 37.090195, 45.857611, 45.454130
0.989306, 37.382093, 45.974850, 45.309861
0.990061, 36.930774, 46.033263, 45.530202
0.991658, 37.782038, 46.067677, 45.529642
0.991071, 37.327686, 46.065459, 45.543479
0.990817, 37.019375, 46.336266, 45.605160
0.991445, 37.382186, 46.051436, 45.440756
0.990229, 36.813035, 46.149161, 45.323193
0.990357, 36.988907, 46.009428, 45.244771
0.989874, 36.919031, 45.962663, 45.174875
0.990710, 37.107723, 45.963075, 45.236823
0.989798, 36.644666, 46.148623, 45.442128
0.987948, 36.288423, 46.123185, 45.577795
0.990517, 37.164828, 45.835820, 45.544697
0.987458, 36.481219, 46.506239, 45.887005
0.987688, 36.611362, 46.475142, 46.074974
0.987487, 36.416378, 46.588960, 46.005468
0.991090, 37.566158, 46.164908, 45.901218
0.989821, 36.838673, 46.237364, 45.725155
0.990343, 36.901361, 46.105243, 45.783449
0.990344, 37.066210, 45.833216, 45.438562
0.991805, 37.627612, 45.700812, 45.432076
0.989995, 36.669250, 45.553229, 45.194446
0.990418, 36.706181, 45.551259, 45.167912
0.989767, 36.364288, 45.621147, 45.037368
0.990917, 37.122825, 45.484140, 44.996224
0.989472, 36.707176, 45.662817, 45.137784
0.989299, 36.210086, 45.577040, 45.049804
0.988966, 36.163079, 45.441854, 45.133266
0.989600, 36.564064, 45.602691, 44.942237
0.987527, 36.153884, 45.768629, 45.453304
