ms-ssim, psnr-y, psnr-u, psnr-v
0.977765, 32.333391, 41.404009, 41.098024
0.971368, 31.415234, 41.606804, 41.275909
0.972241, 31.577964, 41.540805, 40.918124
0.970153, 31.383264, 41.731638, 41.487592
0.976092, 31.958392, 41.567602, 41.139880
0.971973, 31.607180, 41.844516, 41.523514
0.973707, 31.874156, 42.183931, 41.548263
0.971112, 31.500906, 42.137561, 41.501896
0.974950, 32.050387, 42.031237, 41.396830
0.962279, 30.690161, 42.060661, 41.518544
0.952112, 30.177592, 42.170859, 41.639078
0.947742, 29.807513, 42.223644, 41.620823
0.949576, 29.880975, 42.242478, 41.498057
0.955729, 30.132033, 41.971418, 41.309869
0.952736, 30.022192, 42.163585, 41.580442
0.956938, 30.543182, 42.203851, 41.561682
0.960385, 30.788770, 42.099555, 41.429936
0.967183, 31.339787, 41.987080, 41.332716
0.963164, 31.094437, 42.230277, 41.705013
0.965656, 31.326519, 42.441766, 41.696161
0.967812, 31.542811, 42.481098, 41.657869
0.972015, 31.945251, 42.550444, 41.665992
0.968600, 31.707962, 42.414663, 41.809218
0.969635, 31.793198, 42.525227, 41.895116
0.969661, 31.910596, 42.461065, 41.975081
0.973230, 32.190503, 42.515796, 41.851154
0.969127, 32.029210, 42.683090, 42.063391
0.970754, 32.121482, 42.879848, 42.193446
0.971354, 32.283449, 42.660659, 41.994685
0.974389, 32.577315, 42.638439, 41.882320
0.969938, 32.431142, 42.474672, 42.020738
0.970577, 32.444173, 42.832738, 42.224080
0.969760, 32.221719, 42.585324, 42.125736
0.973825, 32.713192, 42.746166, 41.939323
0.968757, 32.324281, 42.521583, 42.184103
0.970866, 32.653218, 42.525974, 42.197562
0.968131, 32.221565, 42.348646, 42.104685
0.975727, 33.024875, 42.453059, 42.098750
0.969371, 32.365388, 42.408425, 42.074879
0.971984, 32.778513, 42.717883, 42.347344
0.969941, 32.412228, 42.568581, 42.260865
0.974128, 32.811790, 42.613517, 42.216151
0.969910, 32.432428, 42.521583, 42.212410
0.972856, 32.712977, 42.797762, 42.352507
0.969771, 32.345140, 42.651363, 42.178015
0.974568, 32.857019, 42.720327, 42.391986
0.970011, 32.314050, 42.551432, 42.291050
0.970494, 32.386998, 42.554348, 42.110289
0.969787, 32.372979, 42.555572, 42.076859
0.974301, 32.615291, 42.331090, 41.829757
0.971599, 32.325552, 42.373398, 41.920334
