ms-ssim, psnr-y, psnr-u, psnr-v
0.983313, 34.401505, 39.320544, 40.539773
0.981022, 33.699477, 39.561799, 40.553553
0.980611, 33.540777, 39.239563, 40.448801
0.980021, 33.450720, 39.266227, 40.529902
0.980858, 33.839194, 39.073225, 40.457241
0.979268, 33.650229, 39.309876, 40.250875
0.979917, 33.811294, 39.383568, 40.700812
0.978851, 33.494135, 39.374463, 40.651351
0.980345, 34.054996, 39.411705, 40.926849
0.976954, 33.230628, 39.276634, 40.939190
0.977529, 33.186239, 39.196308, 40.312155
0.975004, 32.581467, 39.203393, 40.224819
0.975755, 32.564349, 38.977875, 40.217918
0.975921, 32.557006, 39.017372, 40.184554
0.977360, 32.977946, 39.250587, 40.371066
0.978370, 33.348417, 39.540709, 40.679799
0.980635, 34.216037, 40.048239, 40.482514
0.980440, 33.809924, 40.059536, 41.227317
0.982478, 34.478926, 40.022843, 41.547143
0.982795, 34.568375, 40.724860, 42.215020
0.984420, 35.364711, 40.692285, 42.583998
0.984304, 34.911883, 40.654510, 42.293753
0.985134, 35.321242, 40.547206, 41.954911
0.985960, 35.235233, 40.407678, 42.005038
0.987045, 35.734945, 40.629216, 42.712122
0.986754, 35.587320, 40.642435, 42.396567
0.987203, 35.984041, 40.905810, 42.795673
0.987404, 36.073799, 40.996003, 42.955613
0.988234, 36.629208, 41.290516, 42.936971
0.987954, 36.148087, 41.134754, 43.175024
0.987837, 36.128284, 40.978783, 42.711000
0.987794, 36.021588, 40.660408, 42.834042
0.987818, 36.245392, 40.603468, 42.894733
0.988053, 35.795887, 40.700751, 43.004344
0.987608, 35.892388, 40.355923, 42.641078
0.987208, 35.730062, 40.376876, 42.452416
0.987020, 36.012682, 40.687782, 42.915596
0.986831, 35.518778, 40.082165, 42.552749
0.986407, 35.699651, 40.141661, 42.386687
0.986295, 35.713587, 40.160383, 42.214106
0.985922, 35.754219, 40.304749, 42.413342
0.985549, 35.205002, 39.922306, 42.055624
0.985425, 35.154791, 40.231677, 41.848114
0.984113, 34.796088, 39.993574, 42.100996
0.991958, 38.696629, 43.596268, 44.569812
0.989287, 36.689040, 43.021024, 43.951307
0.989696, 37.300925, 42.569148, 43.797701
0.988561, 36.583359, 42.759020, 43.947415
0.989101, 37.141991, 42.587220, 43.797513
0.988348, 37.031827, 42.458579, 43.777575
0.989262, 37.057639, 42.125352, 43.474485
0.988794, 36.657579, 41.986296, 43.437655
0.989573, 37.191061, 42.401697, 43.556854
0.989013, 36.890703, 42.576661, 43.501320
0.988940, 36.759829, 42.157999, 43.140691
0.988342, 36.722242, 42.230583, 43.131331
0.988419, 36.952112, 42.436313, 43.356760
0.987544, 36.666693, 41.969937, 43.000066
0.987842, 36.709383, 41.994064, 43.128806
0.987498, 36.455256, 42.077492, 43.137246
0.988374, 37.359927, 42.421594, 43.466932
0.987413, 36.577731, 41.891237, 43.135471
0.988233, 37.059998, 41.906855, 43.284353
0.988185, 36.964379, 42.065787, 43.233936
0.989720, 38.041763, 42.543164, 43.647588
0.989198, 37.621023, 42.343354, 43.678746
0.990473, 38.510803, 42.457474, 43.846591
0.990639, 38.413126, 42.591110, 43.733833
0.990521, 38.656804, 42.591632, 43.971670
0.990637, 38.506878, 42.864509, 44.007092
0.990654, 38.789421, 42.416121, 43.765992
0.990826, 38.709835, 42.557690, 43.959883
0.990755, 39.057385, 42.551103, 43.777637
0.991366, 39.433644, 42.690754, 44.158273
0.991261, 39.129158, 42.630818, 44.217145
0.991746, 39.314515, 42.669781, 44.272909
0.991568, 39.530811, 42.826422, 44.339324
0.991736, 39.228977, 42.641558, 44.418101
0.992033, 39.323081, 42.295171, 44.245806
0.992123, 39.334242, 42.547249, 44.431709
0.992010, 38.947599, 42.191498, 44.306659
0.991656, 38.589356, 42.152676, 44.044065
0.991495, 38.630136, 41.880990, 43.774147
0.992042, 39.026640, 42.101377, 43.843741
0.991796, 38.143843, 41.805058, 43.459797
0.991777, 38.409958, 41.827050, 43.505828
0.991189, 37.771603, 41.911519, 43.482460
0.991873, 38.499746, 41.971130, 43.438405
0.990980, 37.654087, 41.862574, 43.440655
0.991421, 37.669644, 41.956796, 43.483858
0.990585, 37.118826, 41.641137, 43.116257
0.991820, 38.083058, 41.975411, 43.325741
0.990565, 36.915838, 41.665992, 43.033143
0.990833, 36.938091, 41.744037, 42.959898
0.990598, 36.767348, 41.672208, 42.956387
0.991212, 37.350057, 41.797384, 43.031725
0.989879, 36.491114, 41.230959, 42.477074
0.990261, 36.509762, 41.409970, 42.752071
0.990114, 36.449948, 41.147157, 42.418355
0.990607, 37.015243, 41.738691, 43.070817
0.989324, 36.101658, 41.275278, 42.736440
0.989274, 36.207519, 41.152843, 42.770082
0.989054, 36.319220, 40.944903, 42.604417
0.990171, 36.859179, 41.347907, 42.919075
0.989990, 36.650807, 40.961011, 42.669298
0.990123, 36.755089, 40.796118, 42.508666
0.989963, 36.447396, 40.779984, 42.595620
0.990819, 37.098784, 41.402853, 42.883552
0.990071, 36.417382, 41.319170, 42.248350
0.990271, 36.489702, 41.296817, 42.567873
0.990011, 36.132111, 41.095535, 42.365642
0.990173, 36.535972, 41.142225, 42.651844
0.988878, 35.775504, 40.933452, 42.259678
0.989062, 36.017755, 41.004260, 42.123818
0.988450, 35.541918, 40.669147, 42.315386
0.989623, 36.412647, 41.124687, 42.622589
0.987748, 35.409349, 40.711727, 42.262229
0.988233, 35.576757, 40.592193, 42.266410
0.987843, 35.386695, 40.497608, 42.183585
0.988926, 35.982324, 40.664486, 42.135509
0.988017, 35.312125, 40.545961, 42.012632
0.988179, 35.237416, 40.307048, 42.134313
0.987820, 35.107709, 40.326329, 41.804108
0.988930, 35.731448, 40.388719, 41.797779
0.987767, 35.176038, 40.109520, 41.902237
0.988138, 35.194174, 40.191048, 41.881957
0.987629, 34.873910, 40.097344, 42.036789
0.988665, 35.599429, 40.375480, 41.922408
0.987459, 35.092769, 40.040109, 41.821085
0.988079, 35.243816, 40.118506, 41.764622
0.987656, 34.929914, 40.146199, 41.851594
0.988293, 35.570230, 40.280459, 42.169093
0.987380, 35.052628, 40.292153, 41.813659
0.987857, 35.275796, 40.249878, 41.877929
0.987880, 35.052051, 40.187800, 41.860208
0.988745, 35.613717, 40.318814, 41.904181
0.987556, 35.076121, 40.101943, 41.708342
0.988098, 35.226808, 40.041876, 41.838008
0.987397, 34.972130, 40.228453, 42.134228
0.989037, 35.648840, 40.374027, 42.122497
0.987912, 34.934868, 40.196731, 42.213627
0.988039, 35.044878, 40.205845, 42.012299
0.987664, 34.778203, 40.235151, 42.042138
0.988809, 35.549385, 40.114936, 42.148775
0.987775, 35.015974, 39.895464, 42.090919
0.988091, 35.113388, 40.108368, 42.004333
0.987798, 35.076571, 40.178887, 41.851554
0.988691, 35.608590, 40.347111, 41.946967
0.987740, 35.063295, 40.199603, 41.939282
0.987410, 35.184624, 40.280793, 41.986998
0.987120, 35.005744, 39.991096, 41.834618
0.988066, 35.489009, 40.141580, 41.771139
0.987254, 35.122076, 40.069057, 41.704084
0.987267, 35.122637, 40.117405, 41.888653
0.986801, 35.071064, 40.054268, 41.787474
0.988016, 35.513639, 39.940336, 41.830793
0.986710, 35.063418, 39.739949, 41.660052
0.986715, 35.048764, 39.877696, 41.607220
0.986213, 34.916730, 39.848174, 41.439753
0.986732, 35.281453, 39.887640, 41.516951
0.985878, 34.897595, 39.752791, 41.533806
0.985911, 34.989297, 39.733555, 41.474436
0.985289, 34.894396, 39.516376, 41.387900
0.984871, 34.549041, 39.333435, 41.141104
0.983939, 34.099113, 39.233141, 41.142055
0.994644, 39.469237, 45.594250, 46.255751
0.993391, 38.154315, 45.437465, 46.276544
0.993463, 37.609325, 45.443684, 46.301003
0.992927, 37.756535, 45.244509, 46.326161
0.994056, 38.623370, 45.335227, 46.233081
0.992820, 38.018793, 44.927910, 46.133471
0.993207, 38.635486, 44.779553, 45.784340
0.992318, 37.744090, 44.899962, 46.024048
0.993096, 38.138724, 45.456974, 46.250127
0.992636, 37.992372, 44.749186, 46.068628
0.993022, 38.365679, 45.016748, 46.148623
0.993051, 38.387422, 44.918817, 46.163395
0.992823, 38.009274, 44.851142, 46.131326
0.992847, 37.933560, 44.896894, 46.140879
0.993083, 38.389288, 44.993088, 46.152284
0.991977, 38.243133, 44.077078, 45.538051
0.992459, 38.042762, 44.183670, 45.513336
0.991851, 38.029757, 43.991932, 45.453579
0.992543, 38.289727, 44.345502, 45.779393
0.992096, 38.112970, 44.265577, 45.772675
0.991906, 37.827916, 44.203779, 45.677183
0.992198, 38.305340, 44.329116, 45.753565
0.992321, 38.342176, 44.313708, 45.711993
0.991857, 37.732831, 44.129236, 45.558395
0.991925, 37.773270, 43.748860, 45.304363
0.991766, 37.954087, 43.819999, 45.278119
0.992553, 38.674961, 44.046188, 45.596809
0.991670, 37.847614, 43.511631, 44.973251
0.991846, 37.950206, 43.479606, 44.982953
0.991451, 37.646538, 43.635380, 45.181331
0.992342, 38.599910, 43.875451, 45.144955
0.991915, 38.158549, 43.656736, 45.036618
0.991941, 38.175786, 43.569497, 44.858574
0.991732, 37.861701, 43.525025, 44.867140
0.992395, 38.694302, 43.821069, 45.248969
0.991612, 37.600609, 43.707613, 44.968081
0.992079, 37.932018, 43.540881, 44.904971
0.991937, 38.094952, 43.686739, 45.065966
0.992507, 38.626949, 43.779259, 45.137443
0.991367, 37.673489, 43.532680, 44.953177
0.992568, 38.454524, 43.898922, 45.281556
0.992150, 38.403137, 43.894564, 45.184262
0.992360, 38.304407, 43.631097, 44.930593
0.991921, 37.961328, 43.339531, 44.735247
0.992661, 38.639238, 43.784128, 45.239267
0.991810, 37.665723, 43.346584, 44.429897
0.992541, 38.494736, 43.617553, 44.664305
0.991753, 37.637967, 43.489924, 44.674413
0.992571, 38.666207, 43.824031, 44.993006
0.991795, 37.592267, 43.516267, 44.690157
0.991911, 38.147773, 43.591367, 44.735869
0.992325, 38.498086, 43.622243, 44.688850
0.992048, 37.936122, 43.259486, 44.229652
0.992177, 38.269884, 43.250143, 44.116879
0.995334, 37.902835, 43.366109, 45.163963
0.994121, 36.468839, 43.177847, 45.059343
0.994337, 36.717613, 42.760697, 44.588937
0.993788, 36.111242, 42.373488, 44.463433
0.994171, 36.650006, 42.120112, 44.174505
0.993763, 36.117960, 42.089693, 44.224603
0.993788, 36.626459, 41.994436, 43.983881
0.993285, 36.350886, 41.640832, 43.735562
0.993219, 36.092058, 41.650336, 43.576040
0.993725, 36.682012, 41.919602, 43.587664
0.993229, 36.231764, 41.738613, 43.662198
0.992715, 35.937632, 41.546994, 43.588321
0.993429, 36.625383, 41.770982, 43.758535
0.993384, 36.536440, 41.686903, 43.683076
0.993160, 36.508207, 41.512655, 43.487590
0.992502, 36.126276, 41.201604, 43.256001
0.992409, 36.015040, 41.383407, 43.257660
0.992505, 36.133143, 41.221879, 43.149640
0.992946, 36.473744, 41.419669, 43.372808
0.992348, 36.158467, 40.930570, 42.923119
0.992770, 36.494054, 41.201569, 43.261867
0.992182, 36.012838, 41.176590, 43.350030
0.992711, 36.394054, 41.227352, 43.314460
0.991939, 35.782823, 41.068248, 43.242914
0.992240, 36.091285, 41.261701, 43.167919
0.991852, 35.866701, 40.997713, 43.087914
0.991869, 35.874534, 40.784020, 42.913551
0.991402, 35.646585, 40.515019, 42.760697
0.991012, 35.441884, 40.377218, 42.573588
0.990368, 34.948608, 40.064175, 42.264165
0.989479, 34.297244, 39.687889, 42.046112
