ms-ssim, psnr-y, psnr-u, psnr-v
0.989274, 36.162437, 43.171226, 41.882683
0.988256, 35.984845, 43.708534, 41.985594
0.988774, 36.395652, 43.543125, 42.090496
0.985268, 35.966184, 43.543716, 41.392795
0.986646, 35.763708, 42.931374, 41.696586
0.982600, 35.241608, 43.142307, 41.328633
0.985515, 35.678531, 43.490216, 41.904383
0.980682, 34.420857, 43.431892, 41.636335
0.982483, 34.680880, 43.657403, 42.027318
0.983916, 34.621943, 43.966131, 42.482162
0.988806, 37.368393, 42.949837, 41.277522
0.984323, 36.063009, 42.570611, 40.643284
0.984109, 36.007205, 42.089101, 40.388062
0.982807, 35.800939, 42.197778, 39.832885
0.983958, 36.022602, 41.870044, 39.841720
0.982004, 35.854333, 41.987700, 39.566881
0.983715, 36.265679, 42.161006, 40.338939
0.983578, 36.042805, 42.215194, 40.374312
0.983499, 35.857704, 41.755413, 40.422571
0.994209, 35.748106, 42.550586, 42.767462
0.993492, 35.224730, 42.614996, 42.978431
0.992788, 34.810101, 42.585751, 42.625506
0.992596, 34.783072, 42.422507, 42.336457
0.992801, 34.687484, 42.332521, 42.125779
0.993165, 34.730824, 42.264781, 41.994519
0.992574, 34.447827, 42.104897, 42.150403
0.992735, 34.583771, 41.954337, 41.950732
0.992446, 34.539251, 42.054743, 42.088721
0.992474, 34.294385, 41.641632, 41.652247
0.992002, 33.997480, 41.617219, 41.709116
0.992810, 35.468207, 41.685593, 42.622541
0.991112, 34.425783, 41.469595, 41.832067
0.990162, 34.334929, 41.232555, 41.825856
0.989093, 34.130353, 41.097654, 41.676050
0.989405, 33.811591, 40.827651, 40.993276
0.989198, 34.063668, 40.852573, 41.317790
0.988648, 34.042314, 40.863525, 41.454301
0.988398, 34.163343, 40.830656, 41.262959
0.986904, 33.298038, 40.826260, 41.204568
0.991234, 38.503206, 43.607647, 42.274034
0.987329, 37.177084, 43.486307, 41.420503
0.987888, 37.261954, 43.275289, 41.139099
0.987090, 37.201934, 43.402107, 41.061770
0.988483, 37.544771, 43.280180, 41.248897
0.988934, 37.812209, 43.462174, 41.611270
0.988864, 37.863822, 43.607647, 41.691105
0.988416, 37.874484, 43.757666, 41.738184
0.987944, 37.484437, 43.428093, 41.206396
0.987299, 37.381532, 43.334686, 41.478511
0.988224, 37.443310, 42.945046, 41.718034
0.987036, 37.163926, 43.245506, 41.654694
0.987314, 37.106827, 43.216693, 41.650030
0.988578, 37.298438, 43.079145, 41.823669
0.987217, 36.849835, 42.991836, 41.575331
0.986549, 36.559515, 42.926143, 41.564641
0.993549, 36.005554, 41.606501, 41.671210
0.989271, 33.885334, 40.995116, 40.569641
0.989187, 34.087840, 40.831415, 40.213771
0.988860, 34.366487, 40.626529, 40.335917
0.989659, 34.597865, 40.769645, 40.449178
0.987563, 34.064422, 40.708588, 40.340860
0.988657, 34.336438, 40.886891, 40.578409
0.987798, 33.890235, 40.584055, 40.606021
0.988921, 33.792012, 40.574977, 40.799729
0.987479, 33.225272, 40.265155, 40.248356
0.993694, 39.678519, 44.817101, 43.670951
0.991636, 38.308932, 44.573855, 43.190521
0.991236, 38.155554, 44.504301, 42.967706
0.990383, 37.834827, 44.309407, 43.040504
0.991084, 37.979217, 44.227646, 42.986636
0.989522, 37.598215, 43.870543, 42.097903
0.989875, 37.657381, 43.621461, 41.837051
0.989684, 37.564983, 43.546080, 42.067133
0.989921, 37.574940, 43.419299, 41.963485
0.989015, 37.542189, 43.392166, 41.629067
0.988784, 37.460495, 43.423435, 41.494074
0.988100, 37.314026, 43.405769, 41.698054
0.988570, 37.375034, 43.422171, 41.765250
0.987974, 37.326743, 43.393707, 41.779082
0.987158, 36.796633, 43.096009, 41.620254
0.993551, 37.197529, 42.424881, 43.291372
0.989649, 35.991575, 42.203807, 42.158514
0.989686, 35.710912, 41.639993, 41.540321
0.990843, 35.779299, 41.760231, 41.644417
0.991388, 35.853161, 41.707219, 41.601889
0.990536, 35.639495, 41.441755, 41.492969
0.990103, 35.271583, 41.476528, 41.552482
0.991029, 35.422806, 41.477960, 41.310646
0.990603, 34.968083, 41.277557, 41.071524
0.990911, 35.056446, 41.152843, 40.879654
0.990357, 35.014896, 41.187979, 40.750595
0.991356, 35.364114, 41.363546, 40.903686
0.989823, 34.918590, 41.154241, 40.600586
0.990181, 35.051439, 41.233631, 40.635291
0.990224, 35.097482, 41.363081, 40.637197
0.991265, 35.424074, 41.395208, 40.896099
0.989695, 34.843657, 41.355362, 40.778671
0.989899, 34.915309, 41.458723, 40.962544
0.989789, 34.673963, 41.323244, 40.866108
0.990404, 34.803514, 41.443030, 40.938931
0.989147, 34.098022, 41.008807, 40.698295
0.988900, 33.773974, 40.850252, 40.383065
0.989231, 33.671179, 40.825533, 40.414400
0.990170, 33.770629, 40.630424, 40.148308
0.989018, 33.147488, 40.344112, 39.863366
0.988670, 33.042573, 40.102424, 39.752816
0.987704, 32.551446, 40.095046, 39.569460
0.992964, 39.419802, 44.276335, 43.162232
0.989180, 37.898251, 44.079283, 42.009684
0.989050, 37.951376, 43.744464, 41.693960
0.988502, 37.851859, 43.623567, 41.752948
0.989699, 38.028873, 43.190194, 41.549271
0.988516, 37.738960, 43.255393, 41.615172
0.988092, 37.584821, 43.120061, 41.461759
0.988053, 37.431246, 43.117382, 41.405164
0.988247, 37.298806, 42.854363, 41.183653
0.987742, 37.048154, 42.799405, 41.195268
0.987848, 37.172506, 42.744494, 41.087808
0.986381, 36.663599, 42.487348, 40.898027
0.984784, 36.081498, 42.095573, 40.205626
0.998016, 42.463575, 47.074369, 48.283840
0.997348, 41.320392, 47.321610, 48.032360
0.996714, 40.559159, 46.610577, 47.673076
0.996507, 40.423904, 46.899038, 48.046668
0.996696, 41.108763, 46.828347, 48.144588
0.996530, 40.837424, 46.975324, 48.047168
0.996100, 41.132574, 47.700226, 48.990014
0.995627, 41.077406, 47.663605, 48.444842
0.996176, 41.876842, 48.945512, 49.367523
0.995836, 42.399528, 48.996023, 49.145809
0.995854, 42.545523, 49.005781, 49.707583
0.996848, 43.837619, 48.731746, 49.854917
0.997065, 44.491493, 50.058238, 50.788466
0.997210, 45.241494, 50.442895, 51.001331
0.997407, 45.553746, 50.573904, 51.449848
0.998013, 46.971874, 50.641223, 51.185850
0.998046, 46.539357, 50.829707, 51.328598
0.997784, 46.395026, 51.537937, 51.659133
0.997904, 46.308061, 51.385024, 51.352079
0.997691, 45.930398, 51.281662, 51.302773
0.997956, 46.071694, 51.035689, 50.995083
0.997642, 45.724813, 50.964632, 50.611342
0.997300, 45.290205, 50.422399, 50.005593
0.997189, 44.433250, 49.922922, 49.721040
0.997172, 44.572731, 49.731589, 49.510349
0.996579, 44.043518, 50.230574, 49.681523
0.997162, 44.724764, 50.045281, 49.380418
0.996673, 44.987873, 50.501741, 50.153015
0.997465, 46.154655, 50.521437, 50.599926
