ms-ssim, psnr-y, psnr-u, psnr-v
0.988212, 35.223803, 45.026464, 45.845647
0.985896, 34.523891, 44.992428, 45.893903
0.985382, 34.518781, 44.943705, 45.938596
0.985711, 34.513058, 44.924417, 45.864865
0.986288, 34.618120, 44.723601, 45.711506
0.985918, 34.479994, 44.776570, 45.815833
0.985693, 34.393459, 44.864096, 45.901015
0.985902, 34.403019, 44.801364, 45.887208
0.986471, 34.690584, 44.740615, 45.915376
0.984260, 34.045627, 44.731906, 45.812543
0.982823, 33.692148, 44.656053, 45.845447
0.982445, 33.520351, 44.633287, 45.828914
0.982241, 33.589830, 44.648502, 45.839026
0.982614, 33.698705, 44.769982, 45.854189
0.983522, 34.005641, 44.794817, 45.901218
0.984383, 34.247410, 44.806340, 45.889540
0.986438, 34.723237, 44.774216, 45.861337
0.987897, 35.265428, 44.930512, 46.316081
0.988655, 35.706513, 44.843563, 46.271004
0.989642, 36.071070, 44.837271, 46.220586
0.990047, 36.040817, 45.127050, 46.496199
0.990346, 36.178067, 45.190646, 46.618127
0.990382, 36.138212, 45.193323, 46.623287
0.990829, 36.452510, 45.168943, 46.588365
0.991218, 36.519359, 45.411861, 46.803243
0.991010, 36.447891, 45.411588, 46.842343
0.990965, 36.303476, 45.394181, 46.835024
0.991907, 36.808509, 45.365323, 46.775794
0.991615, 36.753471, 45.537958, 46.864247
0.991847, 36.772263, 45.634515, 47.040001
0.991628, 36.683716, 45.656565, 46.910312
0.992301, 37.072178, 45.706350, 46.813141
0.992021, 37.045519, 45.825615, 47.100560
0.991884, 36.876704, 45.658584, 46.976235
0.991798, 36.756825, 45.670814, 46.937594
0.992609, 37.161673, 45.632029, 46.999612
0.991950, 36.948125, 45.722519, 47.082771
0.991876, 36.807610, 45.797227, 47.175181
0.992672, 37.234983, 45.779294, 47.102169
0.991951, 36.917168, 45.850167, 47.306827
0.991953, 36.866910, 45.823717, 47.279786
0.991745, 36.715505, 45.833216, 47.301771
0.992969, 37.172976, 45.755236, 47.203224
0.991764, 36.746180, 45.783845, 47.306968
0.992369, 36.741390, 45.905389, 47.265005
0.991845, 36.601556, 45.884067, 47.185283
0.992920, 36.989655, 45.840129, 47.221239
0.991927, 36.602491, 45.867891, 47.226893
0.992122, 36.501318, 45.845949, 47.162111
0.991505, 36.377867, 45.684142, 46.966738
0.992717, 36.786525, 45.644567, 47.076235
0.991591, 36.246297, 45.717058, 47.050588
0.991962, 36.349837, 45.738553, 47.081436
0.991614, 36.179763, 45.712479, 47.139603
0.992444, 36.635324, 45.668886, 46.976886
0.991141, 36.105232, 45.570251, 46.918402
0.991584, 36.035242, 45.609246, 47.111833
0.990725, 35.802639, 45.630500, 47.140685
0.992580, 36.438925, 45.531509, 47.034189
0.991113, 35.708776, 45.593682, 47.131632
0.991748, 35.951484, 45.590651, 47.158578
0.991138, 35.568597, 45.514638, 47.110624
0.992414, 36.401248, 45.509246, 47.001577
0.991017, 35.423708, 45.578928, 47.034849
0.991879, 35.698499, 45.521435, 46.782889
0.990965, 35.377967, 45.472240, 46.768711
0.992374, 36.259871, 45.575719, 46.828851
