ms-ssim, psnr-y, psnr-u, psnr-v
0.988656, 35.226669, 41.305561, 41.089923
0.988086, 34.954347, 41.185885, 41.001956
0.987766, 34.807034, 41.093417, 40.885353
0.987281, 34.632693, 40.990584, 40.776295
0.986640, 34.564004, 40.922807, 40.729031
0.985539, 35.808652, 42.812767, 42.145690
0.986554, 35.843088, 42.639398, 42.129148
0.989146, 36.630636, 42.605369, 42.044564
0.986339, 35.492675, 42.710024, 42.059191
0.984019, 34.999772, 42.478184, 41.440881
0.982200, 34.393320, 42.175427, 41.137978
0.983055, 34.589535, 41.876479, 40.835499
0.982017, 33.682826, 42.011137, 40.991208
0.984254, 34.487685, 42.119091, 41.221671
0.983602, 34.585770, 42.172582, 41.375903
0.986010, 35.588096, 42.237357, 41.350224
0.986562, 35.754118, 42.858954, 41.990137
0.987569, 36.048331, 42.964964, 42.074120
0.988013, 36.176098, 43.039662, 42.052773
0.988749, 36.467727, 43.162178, 41.963855
0.988384, 36.368971, 43.296728, 42.188210
0.989811, 36.964685, 43.548327, 42.450807
0.990067, 37.022283, 43.496232, 42.539739
0.990749, 37.195439, 43.443425, 42.372044
0.992158, 37.551610, 43.904826, 43.124887
0.991632, 37.472900, 44.326356, 43.387261
0.992236, 37.879360, 44.086174, 43.390911
0.992246, 37.901759, 44.134581, 42.884313
0.993269, 38.481577, 43.893987, 43.398276
0.992243, 37.791680, 43.882920, 43.152339
0.993307, 38.411820, 43.922649, 43.255337
0.993469, 38.454876, 44.408932, 43.960338
0.994197, 39.015034, 44.417667, 44.217214
0.994121, 38.965924, 44.367662, 44.057413
0.993621, 38.595464, 44.191072, 43.418667
0.993535, 38.723115, 44.656893, 44.062138
0.993737, 39.019191, 44.519217, 44.189494
0.993952, 39.186633, 44.620548, 43.882026
0.994067, 39.480947, 44.893023, 44.362664
0.994228, 39.763288, 44.618882, 43.963526
0.993758, 39.622302, 44.326851, 44.355891
0.994939, 40.168892, 44.089121, 44.109334
0.994475, 39.935339, 44.730973, 44.098108
0.994651, 40.252384, 44.821698, 43.997570
0.994541, 40.249449, 44.808553, 44.173207
0.995251, 40.853074, 44.816943, 44.252479
0.994716, 40.105013, 44.832259, 44.325365
0.995306, 40.689872, 44.905780, 44.194846
0.994661, 40.052833, 44.883520, 44.134919
0.995312, 40.825834, 45.036951, 44.364449
0.994641, 40.051021, 44.909015, 44.068601
0.995194, 40.303985, 44.787493, 44.003149
0.994871, 39.698054, 44.657503, 43.666025
0.995604, 40.258488, 45.007798, 44.346213
0.995159, 39.916970, 45.102699, 44.183191
0.995896, 40.315336, 45.558864, 44.758399
0.995999, 40.293586, 45.526749, 45.073439
0.995355, 39.802137, 45.416405, 44.867461
0.995487, 39.711750, 45.317144, 44.795527
0.995559, 39.888156, 45.370269, 44.824237
0.995942, 40.265169, 45.442311, 44.971691
0.995546, 39.967431, 45.491629, 44.963162
0.995548, 39.906051, 45.520224, 44.827968
0.995583, 40.028994, 45.381171, 44.722671
0.995675, 40.087088, 45.403601, 44.815834
0.995338, 39.847317, 45.450187, 44.724687
0.995468, 39.939530, 45.523392, 44.833611
0.995398, 39.882888, 45.477955, 44.910067
0.995833, 40.288249, 45.642076, 45.040453
0.995847, 40.209189, 45.831415, 45.180987
0.995943, 40.310807, 45.659835, 45.073019
0.996017, 40.322943, 45.911603, 45.446980
0.995453, 40.019488, 45.918029, 45.383697
0.995773, 40.293957, 45.858114, 45.319901
0.995672, 40.149389, 45.774847, 45.140514
0.995916, 40.320586, 45.739925, 45.096443
0.995389, 39.988724, 45.852982, 45.008295
0.995627, 40.088034, 45.833617, 44.982541
0.995580, 40.056848, 45.846451, 45.084884
0.996131, 40.285995, 45.661374, 45.012436
0.995695, 39.881375, 45.515755, 44.800733
0.995601, 39.949385, 45.786023, 45.032120
0.995381, 39.666941, 45.390382, 44.688696
0.995899, 40.145389, 45.579495, 44.749576
0.995636, 39.982005, 45.809555, 45.054320
0.995763, 40.161895, 45.864865, 45.154363
0.995600, 40.097417, 45.849464, 44.985999
0.995789, 40.011726, 45.553417, 44.821778
0.995546, 39.981211, 45.548352, 44.830510
0.995802, 40.078851, 45.570439, 44.865778
0.995507, 40.004357, 45.684819, 44.894394
0.995978, 40.247955, 45.524511, 45.026713
0.995622, 40.068811, 45.563190, 44.737425
0.995536, 39.767342, 45.449453, 44.263623
0.996241, 40.421643, 45.634801, 44.744509
0.996082, 40.182653, 45.773662, 45.074616
0.995525, 39.892041, 45.710046, 45.023389
0.995881, 40.057629, 45.814636, 45.158903
0.995696, 39.856857, 45.729453, 44.943379
0.996041, 40.175124, 45.547883, 44.838465
0.995555, 39.896759, 45.486080, 44.784504
0.995393, 39.656390, 45.412497, 44.643856
0.994943, 39.577934, 45.367390, 44.533814
0.995636, 40.593136, 45.602406, 44.923443
0.995049, 40.468229, 45.887512, 45.200154
0.994719, 40.453766, 45.853485, 44.900285
0.995899, 40.826600, 45.732876, 45.051058
0.995400, 40.551194, 45.715401, 45.126965
0.996200, 40.972135, 45.745709, 45.272221
0.995517, 40.570446, 45.900913, 45.455506
0.995734, 40.575000, 46.166205, 45.761632
0.995961, 40.650858, 46.454996, 46.322238
0.996632, 41.216213, 46.098959, 46.165016
0.996340, 40.982648, 46.276987, 46.293985
0.996366, 41.065359, 46.482576, 46.457885
0.996208, 40.963180, 46.402980, 46.500866
0.996337, 41.053503, 46.534501, 46.541801
0.995933, 40.988385, 46.556676, 46.633867
0.995985, 40.916284, 46.431264, 46.481646
0.995910, 40.861533, 46.532266, 46.403322
0.996405, 41.198443, 46.659825, 46.551594
0.996029, 40.895786, 46.603160, 46.425983
0.996097, 40.890474, 46.433103, 46.337952
0.996598, 41.108855, 46.381801, 46.179086
0.996135, 40.784442, 46.242421, 46.119227
0.996032, 40.616722, 46.303010, 45.974229
0.996142, 40.590898, 46.078679, 45.737770
0.996516, 40.913857, 46.113991, 45.865369
0.996064, 40.608628, 46.040502, 45.675252
0.996070, 40.619712, 46.103431, 45.801896
0.996118, 40.750471, 46.199078, 46.036619
0.996389, 40.953788, 46.255972, 45.919867
0.996032, 40.773039, 46.225295, 45.942392
0.996238, 40.738483, 46.228254, 45.993195
0.996151, 40.814014, 46.055332, 45.789787
0.996642, 41.014538, 45.944754, 45.720470
0.995998, 40.754945, 45.795540, 45.523765
0.996110, 40.758950, 45.934495, 45.495795
0.995900, 40.713151, 45.852379, 45.386045
0.996372, 40.855340, 45.796135, 45.486912
0.995950, 40.553049, 45.835119, 45.455965
0.996015, 40.456857, 45.717545, 45.353205
0.995940, 40.508647, 45.648787, 45.238830
0.996273, 40.746986, 45.778800, 45.280763
0.995895, 40.480529, 45.625439, 45.172295
0.995810, 40.428927, 45.767150, 45.248619
0.995483, 40.327160, 45.562531, 45.070919
0.996037, 40.573158, 45.575248, 45.225755
0.995691, 40.456653, 45.521248, 45.025549
0.995583, 40.335317, 45.505996, 45.024635
0.995125, 40.364369, 45.384600, 45.198250
0.995545, 40.604594, 45.684916, 45.583841
0.994899, 40.423839, 45.634419, 45.312791
0.995249, 40.365441, 45.720763, 45.377924
0.995547, 40.496231, 45.909564, 45.428427
0.995148, 40.566894, 46.045965, 45.470858
0.995887, 40.803328, 46.096831, 45.723886
0.996020, 40.890266, 46.147546, 45.848761
0.996246, 41.046806, 46.268126, 45.763110
0.995904, 40.722406, 46.248915, 45.888931
0.996478, 41.178997, 46.279094, 46.048805
0.995901, 40.832349, 46.087162, 45.963901
0.995781, 40.632698, 46.124576, 45.879714
0.995993, 40.755622, 45.917825, 45.873445
0.996451, 40.955131, 45.925794, 45.924056
0.996017, 40.609515, 45.915376, 45.676894
0.996048, 40.574783, 45.747966, 45.675445
0.995814, 40.476073, 45.582328, 45.515848
0.996048, 40.619049, 45.518734, 45.471503
0.995706, 40.486589, 45.624867, 45.439110
0.995722, 40.565219, 45.624103, 45.753860
0.995770, 40.425416, 45.607250, 45.674866
0.996286, 40.924391, 45.869910, 45.779591
0.995519, 40.716901, 45.942290, 45.958333
0.995548, 40.722615, 46.117516, 46.029386
0.995538, 40.708880, 46.177568, 46.014226
0.996474, 41.155877, 46.026454, 46.028339
0.995718, 40.585624, 46.103218, 46.102366
0.995764, 40.594972, 46.052488, 46.080905
0.995639, 40.538737, 46.092153, 45.951744
0.996406, 40.838200, 45.916804, 45.895629
0.995867, 40.465843, 46.043443, 45.864260
0.995817, 40.376961, 46.035570, 45.810053
0.995777, 40.478792, 45.937570, 45.836621
0.996191, 40.620865, 45.660219, 45.400610
0.995740, 40.439568, 45.783548, 45.391377
0.995663, 40.476160, 45.590273, 45.345325
0.995501, 40.383200, 45.632889, 45.191078
0.995710, 40.498861, 45.433720, 45.173240
0.995496, 40.477684, 45.528055, 45.289587
0.995139, 40.335677, 45.556422, 45.146835
0.995572, 40.548421, 45.645814, 45.233334
0.995092, 40.407628, 45.447071, 44.917601
0.994707, 40.356533, 45.535994, 44.906427
0.995458, 40.407657, 45.450278, 44.995894
0.995545, 40.431588, 45.473991, 44.912577
0.995198, 40.443654, 45.804879, 45.119230
0.996039, 40.738715, 45.816630, 45.425054
0.996003, 40.737283, 45.951641, 45.313501
0.995187, 40.390055, 46.091622, 45.569968
0.995425, 40.513739, 46.170422, 45.692275
0.996350, 40.928280, 46.358578, 45.907324
0.995445, 40.542437, 46.418416, 45.987279
0.995529, 40.576670, 46.413493, 46.069368
0.995664, 40.639921, 46.420822, 46.181688
0.996346, 40.828616, 46.397960, 46.074656
0.995844, 40.500488, 46.234179, 45.957818
0.995729, 40.475963, 46.365476, 46.086631
0.995785, 40.516954, 46.251229, 45.927942
0.996290, 40.747886, 46.286311, 45.965861
0.995777, 40.574172, 46.328854, 45.934393
0.995781, 40.523331, 46.382596, 45.987797
0.995680, 40.395440, 46.232642, 45.711116
0.996185, 40.669544, 46.296546, 45.829514
0.995763, 40.476772, 46.191788, 45.724569
0.995802, 40.553383, 46.270783, 45.790184
0.995857, 40.569358, 46.165124, 45.785231
0.996230, 40.748600, 46.236924, 45.917519
0.995773, 40.536527, 46.265582, 45.879309
0.995799, 40.537362, 46.361969, 46.032215
0.995723, 40.389055, 46.163071, 45.885992
0.996323, 40.717634, 46.222009, 45.873748
0.995857, 40.415909, 45.956582, 45.639873
0.995797, 40.468469, 46.069262, 45.817428
0.995783, 40.358696, 46.003281, 45.755925
0.996304, 40.578558, 46.097682, 45.846350
0.995953, 40.403640, 45.952464, 45.593113
0.995872, 40.324900, 46.076773, 45.697608
0.995929, 40.287216, 45.902438, 45.599844
0.996235, 40.383036, 45.847857, 45.593777
0.995728, 40.129564, 45.691015, 45.401063
0.995862, 40.104599, 45.763799, 45.497555
0.995823, 40.060238, 45.673033, 45.404508
0.996135, 40.127242, 45.638150, 45.455139
0.995934, 40.044575, 45.568743, 45.460005
0.995835, 39.877550, 45.389659, 45.315544
0.995630, 39.757768, 45.256151, 45.064624
0.995924, 39.863676, 45.214368, 45.007798
0.995542, 39.698085, 45.244159, 44.971691
0.995575, 39.702169, 45.320079, 45.151282
0.995505, 39.632008, 45.206821, 44.985752
0.995885, 39.730214, 45.115070, 45.019320
0.995442, 39.548161, 44.981307, 44.815279
0.995406, 39.488176, 44.886739, 44.732527
0.995322, 39.394118, 44.752151, 44.580377
0.995525, 39.324222, 44.647206, 44.543250
0.995115, 39.148595, 44.539607, 44.336060
0.994987, 39.075363, 44.395468, 44.071269
0.994869, 38.822709, 44.286560, 43.975976
0.994276, 38.438964, 44.059010, 43.646378
