ms-ssim, psnr-y, psnr-u, psnr-v
0.989722, 31.774260, 41.390059, 40.323034
0.988035, 31.016705, 41.502634, 40.429835
0.988042, 31.041463, 41.445034, 40.252148
0.987283, 30.956474, 41.468569, 40.249712
0.986751, 30.436148, 41.387181, 40.084509
0.994118, 36.074251, 43.725445, 42.506525
0.991005, 34.283017, 43.692605, 42.343085
0.991173, 34.313840, 43.533446, 42.203677
0.990129, 34.232819, 43.457189, 42.146846
0.991307, 34.501086, 43.353252, 42.094388
0.988559, 33.499702, 43.081003, 41.870647
0.987183, 33.070475, 43.114223, 41.783296
0.986480, 32.710785, 42.842783, 41.529753
0.986894, 32.430861, 42.920610, 41.483398
0.985581, 32.395313, 42.747100, 41.307220
0.985599, 32.290846, 42.766672, 41.344096
0.985037, 32.150781, 42.653576, 41.258627
0.986240, 32.196325, 42.638727, 41.187842
0.986462, 32.625979, 42.730066, 41.205430
0.987233, 32.927711, 42.509272, 41.221671
0.987734, 33.121192, 42.357270, 41.047679
0.989038, 33.350320, 42.289014, 41.018476
0.988948, 33.588118, 42.429588, 40.929275
0.989339, 33.760991, 42.497414, 41.080697
0.989689, 33.861280, 42.569997, 41.118564
0.989972, 33.723052, 42.496531, 41.205396
0.989843, 34.041696, 42.644103, 41.179229
0.989054, 33.512043, 42.478693, 41.096813
0.992325, 34.173706, 43.645833, 42.369563
0.991254, 33.075904, 43.489632, 42.301780
0.991592, 33.656965, 43.370138, 42.127825
0.991199, 33.260164, 43.277845, 41.954255
0.991603, 33.621389, 43.125317, 41.828841
0.991355, 33.302261, 43.035770, 41.671632
0.991505, 33.306273, 43.068115, 41.706754
0.991692, 33.752467, 43.093557, 41.696933
0.992230, 33.929129, 43.150180, 41.792722
0.991813, 33.511380, 43.073361, 41.727319
0.991553, 33.406052, 43.093078, 41.710860
0.991744, 33.542707, 43.073626, 41.652667
0.991312, 33.101539, 43.010925, 41.611952
0.991150, 33.120574, 42.929065, 41.551959
0.991331, 33.233548, 42.998398, 41.608431
0.991317, 33.182722, 42.998450, 41.480936
0.991305, 33.157609, 42.933633, 41.390563
0.990743, 32.682126, 42.890359, 41.293753
0.991533, 33.294649, 42.980611, 41.551586
0.990786, 32.558992, 42.989547, 41.393371
0.991166, 32.944357, 43.002778, 41.375329
0.990863, 32.782526, 42.971744, 41.318214
0.990610, 32.669126, 43.003509, 41.427684
0.990229, 32.460305, 43.013905, 41.319949
0.996178, 38.033157, 45.176251, 44.040486
0.994615, 36.820094, 45.215323, 43.943137
0.994476, 36.839187, 45.132414, 43.883112
0.994288, 36.401359, 44.695238, 43.463972
0.995301, 37.312995, 44.614495, 43.532209
0.994781, 36.882098, 44.853618, 43.431316
0.994918, 36.844873, 44.795369, 43.313899
0.994912, 36.893245, 44.655366, 43.277345
0.995748, 37.770552, 44.658802, 43.389257
0.994997, 37.034493, 44.635794, 43.123653
0.994902, 37.066925, 44.487379, 43.056690
0.995060, 37.318209, 44.502458, 42.967913
0.995559, 37.639917, 44.427723, 42.992617
0.995126, 37.291846, 44.465259, 42.876198
0.995123, 37.371456, 44.544366, 42.918614
0.995126, 37.140395, 44.562782, 42.906912
0.995655, 37.701646, 44.467013, 43.027840
0.995323, 37.236649, 44.392018, 43.023330
0.995323, 37.216498, 44.373524, 42.928193
0.995308, 36.884600, 44.395396, 42.979728
0.995837, 37.840687, 44.486130, 43.220586
0.995242, 37.370357, 44.419402, 42.981753
0.995306, 37.302034, 44.480701, 43.032933
0.995177, 37.361047, 44.421861, 42.983310
0.995826, 37.832169, 44.546078, 43.225745
0.995367, 37.445878, 44.525287, 42.966102
0.995412, 37.465754, 44.451400, 42.929527
0.995335, 37.446916, 44.349698, 42.821665
0.995704, 37.655648, 44.385773, 42.937537
0.995436, 37.442930, 44.260556, 42.750545
0.995432, 37.351178, 44.266205, 42.799405
0.995405, 37.384038, 44.292173, 42.708805
0.995266, 37.170439, 44.320487, 42.927424
0.995014, 37.029265, 44.136883, 42.764449
0.994565, 36.454753, 44.037771, 42.790652
0.996620, 36.587373, 46.101194, 45.099655
0.996329, 36.092562, 46.164908, 45.324617
0.995804, 35.467657, 45.752779, 44.719416
0.995666, 35.404274, 45.938904, 44.896491
0.995724, 35.480975, 45.451470, 44.411962
0.995888, 35.653471, 45.697511, 44.655671
0.995526, 35.347146, 45.239092, 44.320275
0.995598, 35.376674, 45.433994, 44.402879
0.995705, 35.557908, 45.077559, 44.123424
0.995624, 35.524497, 45.213760, 44.181685
0.995440, 35.368337, 45.026547, 43.954813
0.995263, 35.242577, 45.114476, 43.951112
0.995295, 35.147454, 44.988965, 43.738898
0.995191, 35.080439, 44.886820, 43.682588
0.994933, 34.939238, 44.757461, 43.409835
0.994929, 34.925452, 44.846673, 43.607467
0.995030, 35.027226, 44.639062, 43.383843
0.994819, 34.942676, 44.715081, 43.545844
0.994690, 34.757279, 44.561512, 43.257218
0.994635, 34.707896, 44.581127, 43.418380
0.994570, 34.569682, 44.479162, 43.172202
0.993785, 33.963422, 44.469352, 43.247548
0.997622, 36.775769, 46.197772, 45.184779
0.996898, 35.285027, 46.074339, 45.243110
0.996760, 35.405413, 45.947117, 44.894716
0.996438, 35.119576, 45.904066, 44.946398
0.996866, 35.743853, 45.751993, 44.710827
0.996369, 34.993658, 45.660797, 44.800496
0.996351, 35.074883, 45.162848, 44.227507
0.996431, 35.123013, 45.092305, 44.160929
0.996705, 35.649742, 45.146664, 44.250253
0.996062, 34.986878, 45.077391, 43.969258
0.996099, 35.130365, 45.027378, 43.931362
0.996292, 35.187224, 44.971117, 43.936211
0.996797, 35.865707, 44.979579, 44.021052
0.996301, 35.104335, 44.868503, 43.821195
0.996368, 35.301992, 44.952033, 43.943072
0.996443, 35.460496, 44.893991, 43.872136
0.996785, 35.992678, 44.912496, 44.016372
0.996380, 35.522362, 44.838783, 43.893859
0.996464, 35.516674, 44.819716, 43.838995
0.996372, 35.297234, 44.763561, 43.666754
0.996636, 35.819094, 44.902304, 43.884645
0.996067, 35.239893, 44.524472, 43.361064
0.996319, 35.530979, 44.584505, 43.553358
0.996312, 35.372652, 44.577752, 43.473729
0.996582, 35.901277, 44.750980, 43.665417
0.996417, 35.524790, 44.556660, 43.362197
0.996429, 35.631238, 44.740771, 43.674847
0.996291, 35.484514, 44.667289, 43.472508
0.996512, 35.746050, 44.741549, 43.698725
0.996179, 35.248503, 44.515964, 43.345003
0.996235, 35.255064, 44.568839, 43.489107
0.996093, 35.160037, 44.523436, 43.367301
0.996045, 35.266627, 44.660101, 43.449492
0.995682, 34.874279, 44.448706, 43.143924
0.995619, 34.801070, 44.391372, 42.935122
0.995340, 34.547604, 44.536561, 43.326303
0.997358, 39.575244, 46.206927, 45.143930
0.995766, 37.769989, 45.983235, 44.648730
0.995521, 37.741304, 45.938493, 44.607468
0.995056, 37.228739, 45.631169, 44.171704
0.996031, 38.222615, 45.474267, 44.071470
0.994932, 37.358671, 45.160103, 43.614729
0.995308, 37.556490, 45.051058, 43.707736
0.995249, 37.343847, 44.953995, 43.400505
0.996127, 38.105847, 44.988306, 43.582117
0.995445, 37.563622, 44.906346, 43.205965
0.995521, 37.535043, 45.002669, 43.405082
0.995227, 37.233932, 44.914116, 43.312330
0.996139, 37.939543, 44.947051, 43.481994
0.995071, 37.099508, 44.600529, 43.002726
