ms-ssim, psnr-y, psnr-u, psnr-v
0.988125, 34.000188, 41.172070, 41.055835
0.984674, 32.716667, 41.110627, 40.839270
0.985250, 32.611020, 41.202465, 40.785115
0.984152, 32.558348, 41.124619, 40.654662
0.985847, 33.298105, 41.052038, 40.821048
0.983376, 32.702775, 41.152264, 40.581186
0.983638, 32.683246, 41.004754, 40.444515
0.983023, 32.535704, 41.131260, 40.475511
0.985380, 33.140706, 41.125534, 40.482222
0.982529, 32.118077, 41.088849, 40.228481
0.981687, 32.025646, 40.894622, 40.081313
0.978313, 31.199523, 40.736919, 40.047817
0.978103, 31.224523, 40.732927, 39.836180
0.977246, 31.269609, 40.960881, 40.023973
0.980448, 31.706202, 40.958665, 40.073918
0.978576, 31.243404, 40.993276, 40.152095
0.982571, 32.380790, 41.085090, 40.318927
0.980647, 32.120227, 41.050673, 40.446397
0.982869, 32.407388, 41.050440, 40.086402
0.983243, 32.399187, 41.054669, 40.020217
0.984773, 33.003994, 41.055635, 40.254281
0.983151, 32.381757, 41.154275, 40.397272
0.984803, 32.679001, 41.104793, 40.400967
0.985275, 32.531214, 41.109817, 40.346630
0.986776, 33.499117, 41.284576, 40.430528
0.985811, 33.007111, 41.353578, 40.446194
0.986789, 33.263684, 41.150765, 40.381923
0.986257, 33.326872, 41.275524, 40.543266
0.987738, 34.131593, 41.296746, 40.688517
0.986602, 33.615607, 41.364154, 40.557919
0.986237, 33.369390, 41.326399, 40.535869
0.985852, 33.031910, 41.258348, 40.402544
0.988003, 33.752659, 41.040634, 40.545458
0.985344, 32.890528, 41.033666, 40.448135
0.986730, 32.994446, 41.119849, 40.167520
0.986088, 32.972372, 41.148893, 40.416010
0.988622, 33.688426, 41.123502, 40.336002
0.986689, 33.245539, 41.364762, 40.455732
0.986685, 33.240279, 41.212299, 40.353428
0.985212, 33.173276, 41.124653, 40.281518
0.988099, 33.888218, 41.214649, 40.653447
0.986253, 33.081868, 41.130819, 40.640224
0.986725, 33.282316, 41.008774, 40.223636
0.985984, 33.367529, 41.161439, 40.531230
0.987379, 33.905816, 41.233249, 40.469917
0.984942, 33.013953, 41.080228, 39.981589
0.985857, 33.118732, 41.329733, 40.569969
0.985180, 33.003724, 41.365800, 40.602777
0.987567, 33.774221, 41.359005, 40.780359
0.985606, 33.012515, 41.358577, 40.604068
0.986316, 33.162880, 41.371888, 40.669574
0.985894, 33.086873, 41.318391, 40.694676
0.987393, 33.653674, 41.259780, 40.672441
0.985904, 33.220201, 41.517321, 40.701089
0.986375, 33.225144, 41.409427, 40.460087
0.985886, 33.076378, 41.513469, 40.633658
0.988309, 34.078889, 41.375042, 40.699676
0.986077, 33.447879, 41.432697, 40.519670
0.985939, 33.088185, 41.321437, 40.238794
0.985738, 33.128802, 41.254195, 40.403060
0.987801, 33.627038, 41.259186, 40.501008
0.985956, 33.016957, 41.448206, 40.600676
0.986852, 33.219824, 41.445909, 40.575634
0.986584, 33.078749, 41.366802, 40.611883
0.987937, 33.424618, 41.239779, 40.659404
0.986508, 33.189734, 41.279451, 40.479770
0.986863, 33.529585, 41.469485, 40.696485
0.985670, 33.215976, 41.414274, 40.789657
0.988259, 33.685782, 41.474363, 40.746807
0.986902, 33.314608, 41.261282, 40.673875
0.986977, 33.378252, 41.325193, 40.595279
0.986441, 33.301179, 41.443795, 40.666679
0.988034, 34.022047, 41.277522, 40.822248
0.986160, 33.134699, 41.310681, 40.589109
0.986991, 33.444141, 41.349797, 40.846250
0.986058, 33.063987, 41.415903, 40.844218
0.988082, 33.635872, 41.331579, 40.654753
0.985965, 32.986819, 41.337726, 40.375394
0.986694, 33.229484, 41.289250, 40.437920
0.986166, 33.060588, 41.302138, 40.175838
0.987502, 33.486112, 41.371135, 40.402744
0.985355, 32.739081, 41.371458, 40.037762
0.985031, 32.714472, 41.338224, 40.138045
0.985310, 32.700144, 41.325406, 40.246005
0.994153, 38.443285, 43.553358, 43.511161
0.990235, 36.457431, 42.827273, 42.823867
0.990806, 36.319766, 42.466917, 41.992658
0.990389, 36.206109, 41.996091, 41.798135
0.991158, 36.554208, 42.055876, 41.935935
0.989565, 36.254678, 41.842479, 42.062719
0.990167, 36.525454, 41.760897, 41.894833
