ms-ssim, psnr-y, psnr-u, psnr-v
0.946073, 29.730641, 39.624087, 40.688486
0.931077, 28.918889, 39.502838, 40.837463
0.927592, 28.681376, 39.548944, 41.029425
0.923520, 28.496958, 39.515651, 41.035490
0.927620, 28.759158, 39.372721, 40.847869
0.929308, 28.906193, 39.471723, 40.848123
0.928299, 28.964089, 39.524987, 40.908321
0.906311, 28.201790, 39.410153, 40.851810
0.893164, 27.841598, 39.358406, 40.884071
0.879203, 27.466592, 39.049752, 40.697559
0.875116, 27.363659, 38.995857, 40.595668
0.867768, 27.229684, 38.929799, 40.586387
0.899105, 28.137529, 38.947993, 40.588152
0.902859, 28.218239, 38.990241, 40.460814
0.900330, 28.222077, 38.845018, 40.572890
0.903645, 28.305194, 38.734713, 40.197661
0.922480, 29.202643, 38.756421, 40.182019
0.922477, 29.122941, 39.220894, 40.395383
0.933806, 29.422032, 39.250543, 40.471519
0.944055, 29.963878, 39.112921, 40.253395
0.952433, 30.640566, 39.159848, 40.273440
0.942211, 30.142735, 39.344431, 40.389920
0.950888, 30.779283, 39.519837, 40.455935
0.947950, 30.837848, 39.617765, 40.558186
0.953460, 31.483793, 39.548897, 40.524591
0.950546, 30.926657, 39.512824, 40.545428
0.954011, 31.390546, 39.710051, 40.722576
0.951616, 31.181800, 39.539792, 40.551417
0.959109, 32.033808, 39.375278, 40.517344
0.943747, 30.660571, 39.001086, 40.465494
0.948819, 31.026704, 39.097504, 40.605630
0.952000, 31.115962, 38.965605, 40.365292
0.956773, 31.642413, 39.003433, 40.365747
0.946791, 30.918718, 38.966449, 40.393237
0.951773, 31.020702, 38.979568, 40.404608
0.947045, 30.949207, 38.951399, 40.439453
0.956415, 31.633083, 39.030458, 40.503678
0.949024, 31.137499, 39.013186, 40.427442
0.944820, 31.174451, 38.939736, 40.575634
0.945073, 31.120983, 38.848404, 40.461714
0.954166, 31.732059, 38.988461, 40.523205
0.946297, 31.211445, 38.873915, 40.455848
0.946607, 31.247988, 38.893658, 40.587913
0.943778, 30.999218, 38.687483, 40.594649
0.946687, 31.304242, 38.593252, 40.668538
0.941676, 30.730592, 38.410529, 40.483828
0.949528, 31.055957, 38.364456, 40.602267
0.945098, 30.612329, 38.458013, 40.724860
0.951549, 31.195454, 38.634079, 40.793765
0.943925, 30.560200, 38.606483, 40.612696
0.943922, 30.349794, 38.516518, 40.666831
0.943174, 30.262965, 38.491762, 40.561188
0.951399, 30.849837, 38.593611, 40.480996
0.943903, 29.948913, 38.483811, 40.434858
0.952582, 30.583222, 38.611567, 40.413250
0.946862, 30.268592, 38.516017, 40.496436
0.951077, 30.554098, 38.455192, 40.291231
0.940565, 29.998694, 38.349956, 40.303543
0.945062, 30.262093, 38.402093, 40.395755
0.942226, 30.096640, 38.254599, 40.311144
0.951636, 30.614142, 38.253375, 40.124660
0.940228, 29.968834, 38.218768, 40.198263
0.937240, 29.983201, 38.385593, 40.510755
0.949833, 30.580882, 38.283418, 40.381353
0.945379, 30.419374, 38.471260, 40.819439
0.939348, 30.001847, 38.310322, 40.666984
0.943495, 30.268007, 38.628912, 40.851301
0.950283, 30.657699, 38.553704, 40.719029
0.946454, 30.330138, 38.681577, 40.764501
0.947403, 30.249272, 38.429416, 40.620827
0.950086, 30.385368, 38.557452, 40.629095
0.953108, 30.600877, 38.395893, 40.573098
0.949125, 30.138923, 38.535407, 40.647073
0.948109, 30.104355, 38.387071, 40.585281
0.953148, 30.151545, 38.436666, 40.673387
0.956490, 30.412946, 38.317145, 40.575693
0.960501, 30.504857, 38.577555, 40.677416
0.957673, 30.273316, 38.649503, 40.634051
0.958191, 30.153066, 38.679417, 40.620978
0.959064, 30.065462, 38.584057, 40.555305
0.962045, 30.347468, 38.399272, 40.485406
0.960361, 30.074608, 38.435974, 40.560683
0.965645, 30.582961, 38.283735, 40.491722
0.967449, 30.732880, 38.433368, 40.526036
0.964814, 30.435160, 38.611795, 40.530758
0.965021, 30.407102, 38.423760, 40.444313
0.965712, 30.392090, 38.272608, 40.398876
0.970728, 30.841585, 38.255298, 40.329034
0.970392, 30.888999, 38.311385, 40.209491
0.968798, 30.589401, 38.230592, 40.117486
0.967523, 30.546009, 38.248554, 40.115151
0.966696, 30.484007, 38.332478, 40.140960
0.965498, 30.506484, 38.310216, 40.236751
0.964128, 30.531398, 38.240845, 40.249352
0.965395, 30.590160, 38.204556, 40.225149
0.965399, 30.738282, 38.345205, 40.354250
0.961335, 30.482943, 38.326626, 40.318364
0.961426, 30.556746, 38.391489, 40.329457
0.959441, 30.306480, 38.380767, 40.300210
0.961365, 30.554649, 38.352137, 40.204010
0.955804, 30.269453, 38.288084, 40.453121
0.957434, 30.504761, 38.373574, 40.507523
0.954673, 30.312539, 38.316684, 40.492688
0.962407, 30.839566, 38.430654, 40.213853
0.959796, 30.812807, 38.476758, 40.174342
0.960861, 30.984597, 38.486946, 40.323485
0.962114, 31.110287, 38.529779, 40.297215
0.959212, 30.857324, 38.528903, 40.392922
0.956727, 30.853062, 38.384800, 40.489616
0.953521, 30.578586, 38.235028, 40.440147
0.960853, 30.912268, 38.003520, 40.300042
0.954898, 30.562783, 38.205524, 40.498077
0.956534, 30.729510, 38.358722, 40.655695
0.955868, 30.601637, 38.400357, 40.591744
