ms-ssim, psnr-y, psnr-u, psnr-v
0.991718, 34.334105, 42.476474, 41.539576
0.991265, 34.039105, 42.561694, 41.687173
0.991626, 34.492349, 42.646073, 41.589626
0.991677, 34.418527, 42.695272, 41.671901
0.991043, 34.204861, 42.781619, 41.707258
0.991080, 34.279160, 42.757294, 41.661546
0.991464, 34.550537, 42.713488, 41.581307
0.990694, 34.111636, 42.696730, 41.586161
0.990367, 34.110384, 42.619245, 41.472528
0.990365, 34.058863, 42.627276, 41.447404
0.990512, 34.066940, 42.645641, 41.563817
0.990119, 33.810075, 42.648188, 41.164171
0.990533, 33.745295, 42.714074, 41.502339
0.991068, 34.413126, 42.737176, 41.384916
0.991490, 34.340323, 42.807777, 41.467067
0.992049, 34.677266, 42.895344, 41.617030
0.992516, 35.034783, 43.092865, 41.733001
0.992676, 34.778986, 43.294049, 42.366994
0.993543, 36.584679, 44.024483, 43.025270
0.994375, 36.948044, 44.166313, 43.269127
0.994842, 37.695213, 44.354538, 43.403823
0.994894, 37.483914, 44.369949, 43.684358
0.995031, 37.483200, 44.415139, 43.804975
0.994904, 37.186028, 44.372379, 43.715168
0.994898, 37.333497, 44.384984, 43.748736
0.995076, 37.325451, 44.320416, 43.640875
0.995183, 37.434009, 44.450599, 43.954813
0.995281, 37.895132, 44.472717, 43.915176
0.995236, 37.674773, 44.508505, 43.987348
0.995339, 37.501793, 44.478136, 43.882792
0.995851, 38.142709, 44.985011, 44.263833
0.995906, 37.985666, 45.036535, 44.433304
0.995924, 37.943280, 45.158903, 44.516925
0.996056, 38.201153, 45.079410, 44.304828
0.996129, 38.249122, 45.143503, 44.376100
0.996166, 38.449493, 45.287556, 44.586683
0.996065, 37.924829, 45.395719, 44.724842
0.996261, 38.239019, 45.367750, 44.632224
0.996309, 38.037645, 45.534125, 44.895604
0.996681, 38.560452, 45.597188, 44.912010
0.996702, 38.559711, 45.636619, 44.918331
0.996323, 37.927220, 45.706836, 44.850263
0.996481, 38.183691, 45.815633, 45.006722
0.996638, 38.263962, 45.802790, 45.228628
0.996461, 37.348378, 46.063769, 45.110406
0.996950, 38.472708, 46.302007, 45.750912
0.997024, 38.498007, 46.339414, 45.795837
0.996816, 38.523339, 47.030890, 46.150022
