ms-ssim, psnr-y, psnr-u, psnr-v
0.974674, 28.800862, 37.706540, 34.814844
0.961323, 27.457511, 37.651827, 34.000168
0.960534, 27.269592, 37.398857, 33.710308
0.957457, 27.041238, 37.413755, 33.841772
0.963330, 27.452769, 37.341838, 33.794927
0.955964, 26.984328, 37.282902, 33.562280
0.956946, 27.151367, 37.145978, 33.293792
0.956759, 27.001231, 37.155510, 33.429474
0.963775, 27.618041, 36.913598, 33.504867
0.942016, 25.691705, 36.857955, 32.381719
0.921126, 24.553638, 36.601475, 31.568925
0.915646, 24.323756, 36.473112, 31.229776
0.898630, 23.763756, 36.284556, 30.834460
0.890381, 23.817143, 36.141147, 30.806290
0.885539, 23.725034, 35.925886, 30.802017
0.884311, 23.886334, 35.907161, 31.026481
0.876951, 23.973345, 35.984013, 30.793997
0.867333, 23.690286, 35.801399, 30.660943
0.862591, 23.574982, 35.744248, 30.625539
0.844894, 22.926983, 35.532266, 30.419169
0.952573, 26.369471, 37.415354, 34.443862
0.927941, 24.636161, 37.197025, 32.514378
0.915746, 24.154950, 36.569347, 31.730786
0.903786, 23.755614, 36.691985, 31.462651
0.915080, 24.214559, 36.107535, 31.963403
0.891593, 24.096649, 36.055048, 30.874806
0.899384, 24.668770, 35.865470, 31.109550
0.890644, 24.740481, 35.996894, 30.899380
0.915531, 25.413195, 36.132709, 32.298612
0.888043, 24.444637, 36.057830, 30.886901
0.895102, 24.690627, 35.783113, 31.257695
0.892138, 24.509282, 35.982562, 31.009644
0.911819, 24.905571, 36.013976, 32.164815
0.893832, 24.129319, 36.119644, 31.075392
0.895059, 24.008696, 36.128003, 31.797380
0.887142, 23.697983, 36.367626, 31.829948
0.911563, 24.542154, 36.369642, 32.330978
0.892582, 23.960612, 36.232532, 31.556224
0.901834, 24.028193, 36.110842, 31.568175
0.893790, 23.874383, 36.042939, 31.200963
0.904220, 23.872856, 36.020712, 32.078031
0.888884, 23.442101, 36.005604, 30.816089
0.890432, 23.292137, 36.082632, 31.279030
0.893892, 23.287631, 36.380120, 31.490891
0.906051, 23.620090, 36.172283, 32.074588
0.894385, 23.274636, 36.771331, 31.541021
0.893177, 23.441400, 36.584935, 31.262470
0.891957, 23.484125, 36.811461, 31.462070
0.902958, 23.791699, 36.406554, 31.631219
0.892522, 23.637987, 36.726574, 31.180741
0.884971, 23.422675, 36.146685, 31.092554
0.889603, 23.777162, 36.214603, 30.743237
0.907900, 24.569680, 36.220553, 31.709314
0.896169, 24.272250, 36.631966, 30.879852
0.904710, 24.537087, 36.777324, 31.085962
0.908844, 25.004624, 37.060656, 31.213363
0.919048, 25.088490, 36.959725, 32.197375
0.919170, 25.197221, 36.958363, 32.359708
0.905260, 25.032070, 36.876551, 31.399740
0.910130, 25.009437, 36.667121, 31.549234
0.906465, 25.112815, 36.611332, 31.144126
0.921083, 25.784024, 36.504416, 32.725120
0.914996, 25.481629, 36.570130, 31.734583
0.916187, 25.305059, 36.661884, 32.150408
0.934425, 26.002662, 36.789459, 33.222622
0.930461, 25.748250, 36.956444, 33.222995
0.930599, 25.808959, 37.063764, 33.018986
0.930933, 26.045289, 36.591177, 32.712346
0.920373, 25.624556, 36.410405, 32.242425
0.921461, 25.714548, 36.337030, 32.202514
0.939155, 26.460694, 36.208596, 33.315620
0.925050, 25.671547, 36.697344, 32.752834
0.922704, 25.452432, 36.466760, 32.682838
0.919511, 25.400448, 36.670288, 32.633850
0.933078, 26.238515, 36.390476, 33.280675
0.921351, 25.744847, 36.525087, 32.737608
0.921009, 25.620179, 36.343285, 32.300755
0.918340, 25.439538, 36.197641, 32.240893
0.917607, 25.417801, 36.022312, 32.075131
0.900668, 24.815700, 36.159962, 31.629732
0.897789, 24.661369, 36.014999, 31.490081
0.895726, 25.345030, 35.948320, 31.921049
0.907089, 26.087382, 36.127243, 32.714440
0.918504, 27.226416, 36.551074, 33.376320
0.955600, 28.488171, 37.487498, 33.899775
0.902799, 23.938713, 35.624933, 30.558766
0.912842, 24.628368, 35.658228, 30.876919
0.912258, 24.962030, 35.503341, 30.994860
0.925949, 25.435860, 35.675889, 31.720437
0.907340, 24.674401, 35.607915, 30.754420
0.901932, 24.262499, 35.633864, 30.648317
0.903206, 24.191527, 35.757646, 31.105261
0.907312, 24.288147, 35.611367, 31.265070
0.892050, 23.767891, 35.874516, 31.175795
0.889226, 23.579953, 35.787073, 31.008388
0.886619, 23.540800, 35.745042, 31.160565
0.880854, 23.183871, 35.639720, 30.721373
0.870104, 22.780794, 35.514220, 30.477427
0.963147, 28.583116, 38.606104, 37.099086
0.935535, 25.812854, 38.416568, 36.192788
0.929345, 26.050455, 38.185088, 36.225952
0.922880, 26.432240, 38.197494, 36.138558
0.932767, 27.141629, 37.828225, 35.864401
0.914060, 26.944783, 37.624613, 35.494443
0.922724, 27.845378, 37.530361, 35.548586
0.925765, 28.326471, 37.395556, 35.169742
0.944818, 29.256414, 37.532936, 35.676121
0.935320, 28.301263, 37.456430, 35.223988
0.937847, 28.596387, 37.212387, 35.152283
0.931799, 28.557229, 37.565408, 35.110779
0.943609, 28.929013, 37.794663, 35.836551
0.918105, 27.756577, 37.876495, 35.582177
0.922078, 28.102862, 37.503234, 35.532518
0.914684, 27.961320, 37.354609, 35.221266
0.938226, 28.953035, 38.088296, 36.110521
0.912696, 26.722038, 37.341286, 35.150520
0.919133, 26.301931, 37.512876, 35.375482
0.911743, 25.961268, 37.699534, 35.643034
0.933016, 26.988252, 37.737888, 36.030968
0.909681, 26.294446, 37.446491, 35.291557
0.916001, 26.439790, 37.363428, 35.098961
0.918230, 26.637069, 37.823600, 35.578343
0.934182, 27.678757, 37.689714, 35.498361
0.922278, 27.259121, 37.339883, 35.189066
0.924181, 27.487369, 37.279981, 34.841897
0.920606, 27.541053, 37.206876, 34.890500
0.944987, 28.406095, 37.305183, 34.896451
0.925245, 26.689394, 37.328752, 34.806095
0.930233, 26.719723, 37.198643, 34.747681
0.921500, 26.689725, 37.197752, 34.855024
0.936711, 27.686033, 37.320327, 35.206873
0.919763, 26.953688, 37.436749, 35.262747
0.921265, 27.011585, 37.425049, 35.431419
0.916650, 26.667194, 37.468740, 35.515494
0.938898, 27.445008, 37.611326, 36.154062
0.929395, 26.110336, 37.492776, 36.283056
0.905622, 24.296969, 37.488465, 35.419726
0.912364, 24.274111, 37.634560, 35.892116
0.913689, 24.541242, 37.430396, 35.915427
0.958440, 27.217363, 38.094577, 36.722506
0.927678, 25.598711, 37.793845, 35.447566
