ms-ssim, psnr-y, psnr-u, psnr-v
0.991360, 34.663569, 46.220633, 44.385038
0.990142, 34.230514, 46.607761, 44.488519
0.989998, 34.178919, 46.437519, 44.395745
0.990288, 34.151180, 46.592972, 44.375882
0.990743, 34.203937, 46.300776, 44.093345
0.990211, 34.190350, 46.558503, 44.166994
0.990016, 34.153499, 46.622120, 44.273717
0.989548, 34.079680, 46.797910, 44.113120
0.990453, 34.354903, 46.554410, 44.008736
0.989344, 33.814865, 46.629638, 43.894591
0.989931, 33.991054, 46.767893, 44.054063
0.989676, 33.934077, 47.039133, 44.023119
0.990059, 33.921094, 47.054112, 44.204017
0.990300, 33.958105, 47.107932, 44.151404
0.990999, 34.270250, 46.882265, 44.297419
0.991419, 34.437224, 47.254986, 44.543625
0.991863, 34.733092, 47.268874, 44.796856
0.992444, 34.969650, 47.298279, 44.672779
0.993488, 35.251323, 47.269245, 44.819379
0.993950, 35.494144, 47.567116, 45.151831
0.993984, 35.639062, 48.252140, 45.731686
0.994550, 35.924490, 48.221313, 45.616449
0.994883, 36.093575, 48.188870, 45.728042
0.994451, 35.840431, 48.446704, 45.841242
0.994496, 35.893016, 48.400247, 45.879192
0.994278, 35.747020, 48.412056, 45.901878
0.995038, 35.914098, 48.176966, 45.733118
0.994657, 35.894675, 48.263086, 45.877442
0.995144, 35.980200, 48.271957, 45.802695
0.994755, 35.875332, 48.341204, 45.571423
0.995501, 35.966272, 47.995629, 45.353399
0.995138, 35.750794, 47.872840, 45.216444
0.995352, 35.974724, 47.575268, 45.192346
0.995212, 35.928718, 47.779009, 45.119486
0.995833, 36.202509, 47.675537, 45.415171
0.995145, 35.777127, 47.927104, 45.688548
0.995426, 35.844535, 47.845642, 45.778676
0.995165, 35.637224, 47.786107, 45.553018
0.995545, 35.911675, 47.499308, 45.392234
0.995272, 35.736548, 47.939641, 45.610875
0.995255, 35.724625, 47.968961, 45.884178
0.995208, 35.864707, 47.790915, 45.816479
0.995907, 36.152960, 47.398777, 45.727001
0.995120, 35.767573, 47.496375, 45.732467
0.995370, 35.806455, 47.417738, 45.550395
0.994888, 35.715922, 47.624509, 45.588269
0.995592, 35.965059, 47.285227, 45.176049
0.994594, 35.764972, 47.592219, 45.251154
0.995090, 35.853322, 47.561160, 45.396209
0.994362, 35.623688, 47.234328, 45.315381
0.994983, 35.782817, 47.219449, 45.437742
0.994159, 35.480754, 47.668210, 45.740939
0.994481, 35.629232, 47.470458, 45.892141
0.993858, 35.596095, 47.585032, 45.991892
0.994912, 36.163610, 47.745140, 46.242690
0.993124, 35.634572, 47.904501, 46.330411
0.994720, 35.956266, 47.740382, 46.320560
0.993699, 35.672600, 47.818613, 46.406234
0.994051, 35.732659, 48.065475, 46.807906
0.993916, 35.761546, 48.202416, 46.927635
0.994605, 36.048151, 48.661626, 47.492078
0.994769, 35.976111, 48.638174, 47.688592
0.994724, 35.903483, 48.308563, 47.783600
0.994188, 35.590660, 47.975285, 47.434277
0.993953, 35.547250, 47.907293, 47.382753
0.995021, 36.035088, 47.865811, 47.184200
0.994657, 35.787846, 47.828307, 46.897563
0.995110, 36.087074, 47.942672, 46.704074
0.994265, 35.760858, 48.239366, 47.381230
0.994994, 36.307857, 48.674169, 47.378567
0.994576, 36.161425, 48.919360, 47.263128
0.995172, 36.386768, 48.232645, 46.994329
0.994297, 35.939470, 48.948752, 47.710096
0.994344, 35.837779, 49.107828, 47.793426
0.994296, 35.763936, 49.265015, 47.837812
0.994749, 36.216657, 49.115199, 47.778174
0.994024, 35.888600, 49.199141, 47.986648
0.994479, 36.189966, 49.434209, 47.809571
0.994113, 36.130911, 49.753802, 48.213468
0.994035, 36.060003, 49.625235, 48.286937
0.994388, 36.359916, 49.205220, 47.784644
0.993523, 35.931079, 49.240706, 48.025772
0.994655, 36.267871, 51.101026, 49.247136
0.994420, 36.245653, 51.273386, 49.752158
0.994719, 36.228837, 51.457247, 49.998539
0.994273, 35.974700, 51.177903, 49.911099
0.994097, 35.565324, 51.020204, 50.300557
0.994139, 35.592091, 50.927057, 50.145664
0.994906, 35.992241, 51.073324, 50.000278
0.993798, 35.095904, 51.193443, 49.945658
0.994296, 35.491763, 50.721834, 48.849140
0.994442, 35.491328, 50.445348, 48.812730
0.995135, 36.005446, 50.286785, 49.028674
0.994996, 35.642887, 50.261959, 48.880209
0.994703, 35.531451, 50.249415, 48.409643
0.995191, 35.838283, 49.774228, 48.382713
0.994491, 35.457696, 49.011463, 47.937909
0.994313, 35.473106, 48.969281, 47.931207
0.994353, 35.289444, 49.189894, 47.862195
0.995032, 35.712554, 49.118889, 47.907938
0.994230, 35.220661, 49.278252, 47.668413
0.994701, 35.337512, 49.210148, 47.892494
0.994386, 35.095541, 49.306329, 47.839926
0.995043, 35.448517, 49.199141, 47.846489
0.994360, 34.994103, 49.495716, 47.489345
0.994506, 35.264421, 49.312560, 47.195675
0.994350, 35.134148, 49.223800, 47.109183
0.994863, 35.416926, 49.122298, 47.274442
0.994072, 35.172479, 48.895287, 47.305007
0.994161, 35.225913, 48.955584, 47.183291
0.994152, 35.061784, 49.332500, 47.354854
0.995078, 35.500750, 49.356130, 47.417930
0.994577, 35.188955, 49.432377, 47.195310
0.995081, 35.404970, 49.275896, 47.322998
0.993954, 34.890968, 49.284738, 47.787360
0.994516, 35.072441, 49.187874, 48.051904
0.994420, 35.196082, 49.318503, 48.103520
0.995577, 35.977014, 49.168298, 47.983367
0.994067, 34.858726, 49.481492, 48.061688
0.994474, 35.256656, 49.110378, 47.644484
0.993708, 34.581867, 49.299515, 47.359965
0.995702, 35.930005, 49.519319, 47.948091
0.994712, 35.097881, 49.562823, 47.610842
0.994825, 35.087506, 48.992941, 47.316993
0.993854, 34.764317, 48.988805, 47.011950
0.995310, 35.718271, 48.851809, 46.462557
0.993996, 34.899492, 48.561320, 46.348380
0.994764, 35.162861, 48.918818, 46.448868
0.994486, 34.924238, 49.300403, 46.498910
0.995440, 35.756283, 49.473165, 47.053582
0.993664, 34.814056, 49.375368, 47.489540
0.994598, 35.603562, 49.980494, 47.648328
0.994163, 35.682671, 49.384717, 47.659881
0.995637, 36.133170, 49.365739, 47.947223
0.995704, 36.240930, 49.612808, 48.338593
0.994748, 35.682838, 49.530545, 48.176966
0.994730, 35.426405, 49.127986, 47.973321
0.994572, 35.158227, 49.333694, 47.857095
0.995848, 36.041361, 48.985499, 47.904501
0.994561, 34.833928, 48.967635, 47.322247
0.994894, 34.907429, 48.836614, 47.520679
0.994933, 34.921464, 49.168298, 47.435818
0.995731, 35.618371, 48.878596, 47.551054
0.995021, 34.934002, 48.778723, 47.233592
0.995126, 34.917239, 48.839809, 47.361480
0.994672, 34.602361, 48.819617, 47.124944
0.995808, 35.390386, 48.615860, 47.231385
0.995281, 34.831732, 48.559072, 47.069497
0.995626, 35.002919, 48.624721, 47.230465
0.995602, 34.968612, 48.635633, 47.106860
0.996080, 35.331572, 48.519808, 46.972619
0.995443, 34.905079, 48.582853, 46.989630
0.995441, 35.027876, 48.505236, 46.978340
0.995075, 34.827704, 48.368594, 46.880738
0.995718, 35.308670, 48.147801, 46.749751
0.994822, 34.752635, 48.055459, 46.623879
0.994805, 34.664722, 48.154164, 46.669362
0.994972, 34.817506, 48.265652, 46.991544
0.995864, 35.429835, 48.423655, 47.331082
0.994933, 34.858758, 48.489485, 47.274628
0.995071, 35.166743, 48.480404, 47.165324
0.995202, 35.185619, 48.403618, 47.212120
0.995869, 35.699664, 48.443056, 47.110077
0.995146, 35.190852, 48.422929, 47.213951
0.995387, 35.359811, 48.503510, 47.119206
0.995357, 35.195644, 48.475259, 47.025608
0.995728, 35.562026, 48.649120, 47.263684
0.995073, 35.128756, 48.566068, 47.264981
0.995233, 35.274167, 48.765090, 47.520286
0.995181, 34.900792, 48.703491, 47.150138
0.995934, 35.620254, 48.677503, 47.013524
0.995325, 35.174374, 48.641735, 47.025082
0.995333, 35.349331, 48.685720, 47.154291
0.995237, 35.265271, 48.626496, 47.004090
0.995830, 35.610017, 48.764567, 47.106502
0.995041, 34.956893, 48.937571, 47.145448
0.995980, 35.578723, 48.940295, 47.155736
0.995030, 35.281417, 48.825452, 46.823949
0.995319, 35.094040, 48.886665, 46.881756
0.995416, 35.361500, 48.545862, 46.698703
0.996246, 35.784135, 48.499323, 46.728736
0.995456, 35.324229, 48.362625, 46.448254
0.995825, 35.553456, 48.454252, 46.544352
0.995629, 35.323426, 48.387270, 46.456092
0.996294, 35.626410, 48.048130, 46.238592
0.995142, 35.026468, 47.710712, 46.131796
0.995279, 34.933661, 47.737695, 45.942004
0.995202, 35.046841, 47.618474, 45.874884
0.995999, 35.549328, 48.037711, 46.629318
0.995345, 35.056113, 47.647519, 46.135366
0.995455, 35.167963, 47.830206, 46.164178
0.995567, 35.155806, 47.990808, 46.466564
0.996216, 35.699027, 48.239134, 46.526181
0.995688, 35.154751, 48.551340, 46.472119
0.995762, 35.306424, 48.828638, 46.964484
0.995611, 35.072903, 48.654220, 46.860769
0.996188, 35.784820, 48.555579, 46.709289
0.995717, 35.273707, 48.577334, 47.088850
0.995805, 35.374544, 48.561819, 47.252398
0.995584, 35.264380, 48.247955, 46.921638
0.995955, 35.567015, 48.317054, 46.925064
0.995741, 35.410477, 48.223393, 46.856887
0.995748, 35.387758, 48.256795, 46.846104
0.995469, 35.213821, 48.126734, 46.711735
0.996094, 35.674347, 48.150300, 46.898925
0.995083, 35.143384, 48.148483, 47.037550
0.995329, 35.299706, 48.185891, 46.937592
0.995146, 35.008901, 47.934017, 46.804738
0.995850, 35.557459, 47.642462, 46.563073
0.995311, 35.267201, 48.184516, 46.592814
0.995511, 35.377693, 48.547106, 46.730538
0.995348, 35.359474, 48.681096, 47.004265
0.996029, 35.884917, 48.411573, 46.716143
0.995714, 35.588021, 48.410126, 46.624039
0.995647, 35.604258, 48.250047, 46.393631
0.995769, 35.722744, 48.742897, 46.651465
0.995993, 36.029329, 49.052101, 46.949121
0.996159, 36.103431, 49.068351, 47.147973
0.995699, 35.654507, 48.916649, 46.977993
0.995789, 35.664523, 48.811672, 46.828304
0.995504, 35.382279, 48.798990, 46.924893
0.996117, 35.751775, 48.518076, 46.837363
0.995570, 35.350959, 48.558074, 46.786111
0.995603, 35.326837, 48.191851, 46.305825
0.995560, 35.247726, 48.192998, 46.527275
0.996001, 35.602937, 47.903428, 46.410646
0.995485, 35.331895, 48.039926, 46.322648
0.995549, 35.402435, 48.012545, 46.170511
0.995329, 35.199945, 47.928400, 46.155127
0.995729, 35.545350, 47.605427, 46.092008
0.995051, 35.038529, 47.885434, 45.787107
0.995348, 35.344229, 47.558383, 45.793441
0.995215, 35.388618, 47.674925, 45.886336
0.996036, 35.636581, 47.539589, 45.966121
0.995344, 35.322596, 47.424846, 45.952812
0.995512, 35.281226, 47.663942, 45.984021
0.995029, 35.222209, 47.597618, 46.174978
0.996098, 36.004444, 47.653594, 45.934495
0.995568, 35.643184, 47.679408, 45.941594
0.995571, 35.547063, 47.901925, 45.957198
0.995443, 35.553787, 48.016509, 45.996456
0.996050, 35.975402, 48.027539, 46.145235
0.995412, 35.710705, 48.022462, 46.362960
0.995497, 35.846459, 48.303146, 46.599963
0.995136, 35.554518, 47.999577, 46.285220
0.995681, 36.012912, 47.943322, 46.434457
0.995232, 35.824445, 48.347857, 46.579817
0.995213, 35.714123, 48.475994, 46.572068
0.994998, 35.438932, 48.657283, 46.613021
0.995685, 35.801514, 48.482121, 46.567016
0.997421, 37.102471, 49.953566, 48.517829
0.996656, 36.275308, 50.142787, 48.607269
0.996253, 36.061235, 50.008287, 48.138274
0.995568, 35.813192, 49.786795, 48.184516
0.995803, 36.072475, 49.691148, 47.892494
0.995911, 36.044690, 50.064765, 47.865386
0.996174, 36.252238, 50.263437, 47.735836
0.995636, 35.898140, 49.988120, 47.856670
0.995885, 36.146853, 50.007241, 47.554816
0.995883, 36.263789, 49.796079, 47.568308
0.995800, 36.284222, 49.541486, 47.528745
0.995932, 36.325580, 49.483963, 47.800757
0.996133, 36.235210, 49.502225, 47.923221
0.995260, 35.657325, 49.245674, 47.733565
0.995498, 35.702673, 49.204062, 47.859432
0.995450, 35.681455, 48.868398, 47.661302
0.996142, 36.183135, 49.265015, 47.979215
0.995059, 35.528173, 49.365739, 47.927968
0.995322, 35.627906, 49.586478, 47.920419
0.995077, 35.499614, 49.527736, 47.924947
0.995849, 35.986802, 49.800728, 48.051238
0.995133, 35.678795, 49.564710, 47.944405
0.995354, 35.787345, 49.730854, 47.945272
0.995075, 35.545616, 49.500055, 47.927536
0.995601, 35.781918, 49.290347, 47.416970
0.994603, 35.332263, 48.723668, 46.877177
0.994792, 35.316040, 48.961606, 47.061886
0.994318, 34.975435, 49.011463, 47.004439
0.994985, 35.162838, 49.163131, 47.180200
0.994450, 35.933867, 49.108961, 47.769840
0.994485, 35.658633, 49.495097, 47.882656
0.994547, 35.947268, 49.273541, 48.182456
0.995066, 36.208342, 50.500035, 48.964619
0.994889, 36.967857, 50.345146, 48.494155
0.994840, 36.619261, 50.313998, 48.328875
0.994851, 36.894996, 50.276393, 48.574327
0.995025, 36.991696, 50.000626, 48.366922
0.994906, 37.346202, 50.265286, 48.490222
0.995162, 37.667402, 50.344016, 48.531451
0.994649, 37.563958, 49.991590, 48.188182
0.994684, 37.842910, 50.089906, 48.254467
0.994513, 37.851731, 50.144225, 48.523272
0.994815, 38.187454, 50.160077, 48.682894
0.994778, 38.260435, 49.974265, 48.599199
0.995492, 38.407937, 49.557479, 48.520055
0.995079, 38.079172, 49.436958, 48.634363
0.995335, 37.931990, 49.698281, 48.204256
0.995030, 37.668698, 49.543678, 48.263786
0.995208, 37.576458, 49.219147, 47.987305
0.994627, 37.103850, 48.889357, 47.630956
