ms-ssim, psnr-y, psnr-u, psnr-v
0.986461, 33.223286, 40.477173, 41.263728
0.985845, 33.191254, 40.640799, 41.437788
0.985294, 33.015160, 40.642435, 41.358612
0.984817, 32.880113, 40.683315, 41.259256
0.983374, 32.561733, 40.780296, 41.294352
0.983034, 32.417209, 40.752583, 41.373536
0.983662, 32.664542, 40.701058, 41.352115
0.984107, 32.744358, 40.665674, 41.387253
0.982843, 32.454702, 40.535721, 41.210469
0.982909, 32.495348, 40.526921, 41.212576
0.981215, 32.162099, 40.443792, 41.096611
0.978747, 31.746029, 40.361712, 41.108299
0.980301, 32.086168, 40.287628, 41.088983
0.980697, 32.216047, 40.312070, 41.094695
0.980466, 31.717421, 40.305786, 41.130412
0.980331, 31.615239, 40.316762, 41.124552
0.981992, 32.014767, 40.297439, 41.189835
0.981483, 31.856167, 40.340578, 41.205189
0.991050, 35.558427, 42.898246, 43.486774
0.991677, 35.713012, 43.166185, 43.683870
0.991675, 35.724537, 43.336882, 43.752021
0.991669, 35.702613, 43.311210, 43.729822
0.992493, 36.012291, 43.441520, 43.963201
0.992449, 36.200252, 43.530146, 43.853756
0.992890, 36.324250, 43.323999, 43.858836
0.992248, 36.001283, 43.215433, 43.522907
0.991892, 36.062207, 43.146296, 43.484500
0.991827, 36.021951, 43.140153, 43.471985
0.991934, 36.002220, 43.060971, 43.151206
0.991525, 35.997019, 43.054895, 43.065520
0.991924, 36.026802, 42.901150, 42.911150
0.991612, 35.785342, 42.994491, 42.983726
0.992287, 35.890128, 42.709390, 42.884313
0.992452, 35.955637, 42.701206, 42.917131
0.991357, 35.614750, 42.632878, 42.726246
0.991459, 35.615859, 42.683090, 42.881522
0.989978, 35.537887, 42.960777, 43.012963
0.990841, 35.944331, 42.868352, 42.923171
0.990228, 35.731389, 42.596998, 42.740858
0.990276, 35.735305, 42.578600, 42.735998
0.988425, 35.257323, 42.596095, 42.696779
0.990777, 35.658825, 42.411065, 42.721598
0.989704, 35.318531, 42.572879, 42.730654
0.991592, 35.880531, 42.377190, 42.603274
0.990253, 35.495908, 42.425475, 42.467794
0.990114, 35.399631, 42.406333, 42.455450
0.989104, 35.068670, 42.466180, 42.080444
0.989697, 35.177605, 42.681442, 42.153920
0.992420, 35.846508, 42.637576, 42.316277
0.990807, 35.452988, 42.707294, 42.690997
0.992761, 35.993050, 42.571320, 42.650160
0.992831, 36.106151, 42.648140, 42.700816
0.991112, 35.486529, 42.912683, 42.841074
0.991498, 35.525263, 43.007528, 42.923171
0.993000, 36.013373, 42.956903, 42.775574
0.993315, 36.175391, 43.050725, 42.855473
0.993095, 36.097996, 42.934762, 42.787970
0.993055, 36.080592, 42.921071, 42.772803
0.993358, 36.295889, 42.945407, 42.894122
0.993062, 36.013767, 42.916312, 42.859509
0.993036, 36.060698, 42.796767, 42.855221
0.993383, 36.189685, 42.939490, 42.972625
0.993645, 36.374677, 43.041083, 43.017934
0.993691, 36.391504, 43.103050, 42.995637
0.993890, 36.566644, 43.128860, 43.110210
0.994047, 36.680554, 43.104652, 43.028155
0.993945, 36.548111, 43.036980, 43.030044
0.994252, 36.713825, 43.060707, 43.015003
0.994327, 36.768292, 43.020605, 43.082438
0.994288, 36.736115, 42.985285, 43.047878
0.994559, 36.957672, 43.090362, 43.172907
0.994585, 36.978952, 42.998242, 43.055951
0.994503, 36.856682, 42.966257, 43.054472
0.994815, 37.137322, 43.081534, 43.143493
0.994703, 37.055072, 43.045664, 43.108018
0.994913, 37.218405, 43.116578, 43.126658
0.994859, 37.110808, 43.130471, 43.133750
0.994960, 37.143459, 43.118507, 43.197336
0.994953, 37.204974, 43.111012, 43.234651
0.995105, 37.282304, 43.104118, 43.250971
0.995123, 37.262365, 43.153852, 43.226844
0.995250, 37.345701, 43.230086, 43.254287
0.995278, 37.372451, 43.321135, 43.267464
0.995432, 37.452152, 43.395420, 43.247603
0.995492, 37.503340, 43.445504, 43.425102
0.995557, 37.556121, 43.510692, 43.496875
0.995670, 37.624163, 43.478791, 43.558277
0.995730, 37.651484, 43.513860, 43.584800
0.995710, 37.724847, 43.629289, 43.625072
0.995574, 37.603385, 43.628325, 43.624290
0.995639, 37.604325, 43.593697, 43.577886
0.995748, 37.641727, 43.599380, 43.580746
0.995830, 37.715301, 43.675395, 43.675882
0.995840, 37.728466, 43.680636, 43.692300
0.995972, 37.790466, 43.700807, 43.672838
0.995865, 37.712457, 43.711911, 43.626758
0.995756, 37.654380, 43.656190, 43.587008
0.995848, 37.672877, 43.656918, 43.524436
0.995984, 37.757805, 43.729637, 43.703933
0.995993, 37.761783, 43.725383, 43.711481
0.995955, 37.735472, 43.758907, 43.686250
0.995959, 37.797266, 43.773150, 43.726986
0.995942, 37.750008, 43.712402, 43.728774
0.995991, 37.768726, 43.729020, 43.787064
0.996050, 37.807447, 43.717873, 43.716889
0.996085, 37.867582, 43.715413, 43.698051
0.996015, 37.804235, 43.750037, 43.671681
0.995899, 37.704033, 43.715905, 43.640573
0.995948, 37.737062, 43.709148, 43.619296
0.995863, 37.243773, 43.788689, 43.756549
0.995814, 37.192988, 43.774022, 43.758535
0.995804, 37.188920, 43.765059, 43.761330
0.995618, 37.103325, 43.723474, 43.656251
0.995356, 36.952880, 43.639546, 43.608787
0.996918, 38.831785, 46.418760, 46.350000
0.996413, 38.601818, 46.235936, 46.426442
0.996173, 38.318471, 45.922216, 46.049541
0.996160, 38.348813, 45.926305, 46.055859
0.995481, 37.940791, 45.727304, 45.912214
0.995306, 37.893165, 45.508410, 45.702948
0.995606, 37.894078, 45.355985, 45.338084
0.995270, 37.897446, 45.244072, 45.359753
0.995488, 37.947131, 45.120843, 45.172209
0.995468, 38.014590, 45.027378, 45.139832
0.994975, 37.724978, 45.041621, 45.026879
0.994636, 37.669388, 44.995234, 44.939792
0.995485, 37.877781, 44.875644, 44.879982
0.995225, 37.846373, 44.849465, 44.910310
0.995151, 37.786352, 44.749186, 44.695007
0.995425, 37.848940, 44.681088, 44.726083
0.995454, 37.887104, 44.721198, 44.769747
0.994970, 37.683636, 44.759102, 44.796157
0.994982, 37.725481, 44.655060, 44.826221
0.995130, 37.702381, 44.600906, 44.741705
0.995013, 37.783971, 44.673263, 44.714849
0.995296, 37.774287, 44.667902, 44.562857
0.995310, 37.806430, 44.697627, 44.643399
0.994839, 37.580602, 44.609205, 44.516407
0.994961, 37.756819, 44.460805, 44.451400
0.995377, 37.796845, 44.553453, 44.301801
0.995471, 37.970493, 44.618201, 44.607544
0.995546, 37.976195, 44.572881, 44.508947
0.995612, 38.027242, 44.580302, 44.523066
0.995394, 37.968062, 44.648273, 44.564501
0.995356, 37.928829, 44.584505, 44.544664
0.995521, 37.902549, 44.520475, 44.518182
0.995645, 38.071797, 44.532107, 44.591870
0.995525, 37.982451, 44.473229, 44.539682
0.995588, 38.011923, 44.455480, 44.527658
0.995493, 37.914285, 44.475353, 44.387064
0.995262, 37.776831, 44.398128, 44.340459
0.995403, 37.827219, 44.380110, 44.416656
0.995502, 38.007986, 44.510350, 44.463871
0.995461, 37.832776, 44.571383, 44.690850
0.995561, 37.901388, 44.607921, 44.720733
0.995303, 37.874841, 44.629492, 44.556212
0.995274, 37.856330, 44.537007, 44.450162
0.995418, 37.800686, 44.472717, 44.419763
0.995576, 38.068245, 44.459126, 44.582177
0.995514, 37.902489, 44.333437, 44.493551
0.995588, 37.924525, 44.348631, 44.531217
0.995271, 37.898150, 44.389361, 44.563380
0.995248, 37.801143, 44.286069, 44.428086
0.995382, 37.826122, 44.246153, 44.279274
0.995194, 37.737578, 44.188123, 44.202403
