ms-ssim, psnr-y, psnr-u, psnr-v
0.995054, 35.432546, 42.272203, 42.394273
0.995055, 35.433648, 42.271499, 42.398944
0.995054, 35.432380, 42.271107, 42.398380
0.995055, 35.433125, 42.271733, 42.398621
0.995056, 35.433583, 42.273847, 42.394514
0.995057, 35.433628, 42.273612, 42.398783
0.995058, 35.433668, 42.273612, 42.398783
0.995058, 35.433668, 42.273612, 42.398944
0.995063, 35.433899, 42.272125, 42.406848
0.995063, 35.433899, 42.272829, 42.406686
0.995063, 35.433899, 42.272829, 42.406686
0.995063, 35.433899, 42.272829, 42.406686
0.995063, 35.433944, 42.271186, 42.405799
0.995063, 35.433944, 42.271186, 42.405799
0.995063, 35.433944, 42.271186, 42.405799
0.995063, 35.433944, 42.271186, 42.405799
0.995063, 35.433944, 42.271186, 42.405799
0.994952, 35.475313, 42.341071, 42.471178
0.995087, 35.488744, 42.358998, 42.490146
0.995066, 35.483445, 42.355806, 42.491545
0.995229, 35.493519, 42.360436, 42.492286
0.996732, 36.413346, 43.592950, 43.855875
0.996732, 36.413346, 43.592950, 43.855875
0.996732, 36.413346, 43.592950, 43.855875
0.996732, 36.413346, 43.592950, 43.855875
0.997412, 36.876663, 44.890267, 44.939020
0.997412, 36.876663, 44.890267, 44.938586
0.997412, 36.876663, 44.890267, 44.938586
0.997412, 36.876663, 44.891840, 44.938297
0.997431, 36.905533, 44.986133, 45.036572
0.997451, 36.913519, 45.017534, 45.037756
0.997447, 36.915445, 45.032137, 45.055843
0.997460, 36.911463, 45.013854, 45.025198
0.997458, 36.915809, 45.005768, 45.029921
0.997467, 36.921741, 45.028149, 45.055398
0.997464, 36.917776, 45.020775, 45.053912
0.997477, 36.923071, 45.018712, 45.057626
0.997523, 37.003648, 45.164152, 45.258386
0.997549, 37.010167, 45.198406, 45.289161
0.997545, 37.014614, 45.220416, 45.315420
0.997562, 37.008304, 45.163695, 45.261034
0.997847, 37.281846, 45.919923, 46.078309
0.997848, 37.282733, 45.925002, 46.079249
0.997849, 37.282758, 45.925365, 46.079249
0.997849, 37.282882, 45.924457, 46.079813
0.997960, 37.408062, 46.309591, 46.469752
0.997976, 37.412380, 46.322300, 46.496374
0.997983, 37.413172, 46.326677, 46.506114
0.997987, 37.412514, 46.323493, 46.512342
0.997998, 37.440775, 46.548436, 46.588636
0.998012, 37.448681, 46.570910, 46.599221
0.998010, 37.449261, 46.583986, 46.625158
0.998024, 37.449873, 46.605797, 46.602826
0.998039, 37.477503, 46.673834, 46.745145
0.998067, 37.486653, 46.674697, 46.735292
0.998064, 37.485268, 46.691552, 46.783677
0.998075, 37.485951, 46.681388, 46.766020
0.998120, 37.554110, 46.895463, 46.969386
0.998134, 37.559785, 46.934442, 47.033097
0.998138, 37.561656, 46.934442, 47.023738
0.998142, 37.561219, 46.944299, 47.007640
0.998213, 37.625509, 47.188568, 47.301455
0.998217, 37.629652, 47.214622, 47.353341
0.998218, 37.629813, 47.212669, 47.348552
0.998217, 37.628289, 47.210961, 47.356115
0.998232, 37.651494, 47.331458, 47.474021
0.998243, 37.655500, 47.399223, 47.550922
0.998245, 37.657007, 47.404323, 47.541695
0.998250, 37.657460, 47.430938, 47.546174
0.998255, 37.661810, 47.499504, 47.573146
0.998272, 37.668041, 47.504200, 47.595751
0.998269, 37.665933, 47.529599, 47.597885
0.998275, 37.666536, 47.538010, 47.604292
0.998284, 37.696601, 47.661573, 47.700184
0.998299, 37.702766, 47.698000, 47.728957
0.998297, 37.701475, 47.698546, 47.719894
0.998303, 37.703859, 47.708112, 47.733634
0.998333, 37.748909, 47.910589, 48.003017
0.998345, 37.752936, 47.919485, 48.006533
0.998343, 37.752957, 47.915465, 48.014453
0.998346, 37.754111, 47.943105, 48.016803
0.998355, 37.772387, 48.103145, 48.169580
0.998366, 37.776326, 48.113647, 48.205330
0.998367, 37.776291, 48.119057, 48.205330
0.998374, 37.777062, 48.120562, 48.206557
0.998387, 37.788838, 48.159246, 48.256562
0.998390, 37.791068, 48.195829, 48.265885
0.998389, 37.790106, 48.201956, 48.265574
0.998394, 37.789479, 48.206250, 48.300872
0.998396, 37.799136, 48.213929, 48.304009
0.998398, 37.799297, 48.238902, 48.305893
0.998397, 37.799087, 48.225935, 48.290534
0.998400, 37.799772, 48.268375, 48.323197
0.998409, 37.811539, 48.326351, 48.351981
0.998410, 37.812289, 48.378720, 48.390231
0.998410, 37.812373, 48.367240, 48.395356
0.998414, 37.813396, 48.405625, 48.411734
0.998433, 37.837614, 48.518901, 48.532774
0.998434, 37.836867, 48.556992, 48.569987
0.998434, 37.837114, 48.563985, 48.582016
0.998435, 37.837241, 48.568319, 48.589049
0.998443, 37.844378, 48.634532, 48.626749
0.998450, 37.846828, 48.647082, 48.660008
0.998449, 37.846560, 48.663416, 48.656943
0.998453, 37.848206, 48.673315, 48.689748
0.998450, 37.850545, 48.685292, 48.658986
0.998456, 37.853359, 48.685634, 48.663757
0.998455, 37.852970, 48.696958, 48.682551
0.998459, 37.855064, 48.732839, 48.714516
0.998460, 37.860877, 48.791785, 48.738038
0.998463, 37.864485, 48.813612, 48.766923
0.998464, 37.865776, 48.810790, 48.759945
0.998466, 37.865911, 48.814318, 48.770067
0.998468, 37.872698, 48.850118, 48.825983
0.998469, 37.873344, 48.857599, 48.829170
0.998469, 37.873707, 48.856173, 48.830587
0.998469, 37.873110, 48.860452, 48.838389
0.998476, 37.896264, 48.962975, 48.918275
0.998480, 37.900273, 49.003344, 48.960419
0.998476, 37.900609, 48.985683, 48.930223
0.998494, 37.910166, 49.150717, 49.065732
0.998496, 37.916068, 49.130928, 49.057138
0.998498, 37.916764, 49.181339, 49.103298
0.998498, 37.916348, 49.169830, 49.105185
0.998499, 37.916068, 49.155678, 49.104053
0.998500, 37.918803, 49.128650, 49.077718
0.998501, 37.919169, 49.165235, 49.109339
0.998501, 37.919112, 49.162940, 49.105562
0.998502, 37.918193, 49.171746, 49.107450
0.998502, 37.925414, 49.177883, 49.066855
0.998505, 37.921698, 49.190953, 49.157970
0.998504, 37.920167, 49.192493, 49.161410
