ms-ssim, psnr-y, psnr-u, psnr-v
0.979199, 34.732663, 44.380110, 41.906977
0.978679, 34.697352, 44.467524, 41.935649
0.978211, 34.493573, 44.444342, 41.910018
0.977543, 34.298615, 44.467743, 41.951797
0.978857, 34.655455, 44.534482, 41.896086
0.977881, 34.514892, 44.536413, 41.931407
0.977912, 34.455571, 44.504891, 42.023944
0.978861, 34.677227, 44.525658, 42.033824
0.979387, 34.791142, 44.522917, 42.043267
0.979427, 34.809465, 44.570635, 42.053485
0.979510, 34.834708, 44.510571, 42.042263
0.979615, 34.860002, 44.558451, 42.071257
0.979229, 34.753876, 44.539310, 42.083947
0.985367, 36.165672, 45.496443, 42.872906
0.985972, 36.336156, 45.617049, 42.999649
0.986066, 36.339333, 45.636141, 42.980403
0.986510, 36.506219, 45.629449, 43.035981
0.989863, 37.719585, 46.572432, 44.013474
0.990277, 37.928586, 46.574094, 44.072537
0.990088, 37.671918, 46.579083, 44.064336
0.990660, 38.064612, 46.552303, 44.036646
0.991394, 38.440168, 46.877086, 44.470156
0.991592, 38.534176, 46.872887, 44.474986
0.991670, 38.629217, 46.842974, 44.509981
0.991786, 38.691749, 46.853344, 44.496862
0.992480, 39.148563, 47.056289, 44.741082
0.992521, 39.178926, 47.037490, 44.756836
0.992570, 39.251841, 47.019957, 44.798681
0.992489, 39.227719, 47.063060, 44.783246
0.992975, 39.313126, 47.235456, 44.971609
0.993030, 39.475525, 47.397149, 45.095091
0.993320, 39.676505, 47.398584, 45.110829
0.993451, 39.751267, 47.343241, 45.112101
0.994146, 39.837288, 47.563902, 45.340586
0.994159, 39.988209, 47.640171, 45.378555
0.994263, 40.128864, 47.641082, 45.391648
0.994193, 40.042714, 47.631529, 45.395448
0.994250, 39.976849, 48.100495, 45.794944
0.994459, 40.019272, 48.348027, 45.937058
0.994675, 40.129961, 48.299710, 45.953391
0.994828, 40.296802, 48.284545, 45.954008
0.994539, 40.024892, 48.645197, 46.301114
0.994707, 40.017494, 48.742882, 46.492236
0.995017, 40.333779, 48.695990, 46.437933
0.995172, 40.383029, 48.565219, 46.344141
0.994675, 39.750107, 48.616410, 46.453263
0.995051, 39.769590, 48.403938, 46.339977
0.995306, 39.837653, 48.390388, 46.294207
0.995720, 40.190065, 48.286657, 46.294875
0.995221, 39.715309, 48.308197, 46.220805
0.995264, 39.599880, 48.192407, 46.249136
0.995458, 39.775833, 48.269607, 46.239232
0.995761, 40.085042, 48.249305, 46.116768
0.995673, 39.818646, 48.375083, 46.168583
0.995572, 39.838697, 48.350171, 46.157135
0.995700, 39.953714, 48.326466, 46.121580
0.995637, 39.983788, 48.243372, 46.092153
0.995607, 39.840517, 48.294414, 46.151207
0.995742, 40.054129, 48.259619, 46.225404
0.995662, 39.901444, 48.201723, 46.185161
0.995557, 39.841121, 48.167318, 46.200385
0.995605, 40.063213, 48.190167, 46.206054
0.995465, 39.995747, 48.170060, 46.095661
0.995338, 39.789827, 48.150217, 46.059338
0.995395, 39.804403, 48.229445, 46.161236
0.995375, 39.749441, 48.299357, 46.231983
0.995554, 39.878610, 48.171432, 46.354400
0.995637, 40.113555, 48.269432, 46.362987
0.995588, 40.190434, 48.236925, 46.360047
0.995518, 40.187104, 48.261895, 46.234069
0.995537, 40.591040, 48.418982, 46.259062
0.995632, 40.732764, 48.707035, 46.892389
0.995873, 41.024435, 48.810705, 47.054166
0.995912, 40.978022, 48.919559, 47.207480
0.995827, 40.776639, 49.138517, 47.250552
0.995892, 40.799682, 49.100329, 47.263753
0.996113, 41.101374, 49.148171, 47.270716
0.996080, 41.067555, 49.165817, 47.232139
0.995917, 40.898228, 49.211993, 47.240160
0.995940, 40.937974, 49.149030, 47.261527
0.996020, 41.144350, 49.259987, 47.299946
0.996070, 41.138759, 49.211557, 47.240852
0.995923, 40.929817, 49.254261, 47.223582
0.996034, 41.130522, 49.276103, 47.191027
0.996004, 41.101601, 49.291614, 47.219723
0.996117, 41.252347, 49.324367, 47.277831
0.996020, 41.011090, 49.242393, 47.243067
0.996110, 41.222822, 49.283851, 47.261805
0.996021, 41.216749, 49.261970, 47.280205
0.995914, 40.844083, 49.328171, 47.298823
0.996016, 41.000064, 49.435365, 47.370682
0.996166, 41.252687, 49.399035, 47.377391
0.996200, 41.258619, 49.439497, 47.397866
0.996360, 41.331553, 49.481266, 47.573755
0.996327, 41.192877, 49.505449, 47.642752
0.996360, 41.282487, 49.535869, 47.625021
0.996359, 41.407973, 49.495202, 47.556155
0.996302, 41.249132, 49.420248, 47.573755
0.996280, 41.218816, 49.407462, 47.664368
0.996336, 41.345912, 49.409971, 47.666047
0.996373, 41.497246, 49.389716, 47.666505
0.996276, 41.379070, 49.385405, 47.694691
0.996414, 41.446985, 49.504050, 47.718267
0.996531, 41.522188, 49.481962, 47.780987
0.996557, 41.597678, 49.505916, 47.776600
0.996607, 41.696538, 49.515254, 47.727548
0.996502, 41.473950, 49.481730, 47.682720
0.996464, 41.396974, 49.445242, 47.678125
0.996410, 41.327525, 49.453068, 47.666200
0.996570, 41.498491, 49.454912, 47.631681
0.996619, 41.586217, 49.422306, 47.631529
0.996613, 41.585982, 49.466682, 47.609924
0.996631, 41.598197, 49.504050, 47.603599
0.996694, 41.710356, 49.514319, 47.610980
0.996791, 41.804247, 49.527189, 47.687627
0.996858, 41.816537, 49.499391, 47.679350
0.996929, 41.923455, 49.472926, 47.692540
0.996992, 41.985749, 49.438808, 47.713326
0.997013, 41.961750, 49.463910, 47.836839
0.997081, 42.105523, 49.527892, 47.819881
0.996929, 41.852075, 49.484282, 47.767683
0.996897, 41.713437, 49.485442, 47.789304
0.996789, 41.766398, 49.636831, 47.865835
0.996530, 41.462216, 49.705873, 47.958086
0.996388, 41.431162, 49.727906, 48.006524
0.996410, 41.652552, 49.701480, 48.083991
0.996371, 41.331313, 49.383591, 47.838745
0.996699, 41.273176, 49.073436, 47.044762
0.996691, 41.160577, 49.332650, 47.438386
0.996994, 41.476464, 49.007859, 47.629258
0.996769, 41.208380, 49.268589, 47.805038
0.996777, 41.316259, 49.129954, 47.780987
0.996954, 41.569852, 49.144951, 47.887309
0.997228, 41.859306, 49.177694, 47.906630
0.997017, 41.661967, 49.196329, 48.067215
0.997026, 41.578459, 49.040419, 47.967239
0.997114, 41.752996, 48.965440, 47.937560
0.997109, 41.680646, 49.035394, 47.874636
0.996986, 41.631215, 49.036440, 47.898891
0.996974, 41.555921, 48.980498, 47.783810
0.996982, 41.644140, 49.011188, 47.700073
