ms-ssim, psnr-y, psnr-u, psnr-v
0.990221, 38.346067, 52.945046, 55.993610
0.989000, 38.059920, 53.049776, 56.314738
0.989554, 38.653315, 53.115668, 56.163071
0.989611, 38.833372, 53.707920, 56.496315
0.990219, 39.371760, 54.173890, 56.491653
0.989696, 38.364626, 54.642333, 57.297000
0.990889, 38.887576, 54.643094, 56.997648
0.990474, 38.448697, 54.563156, 57.135953
0.989717, 38.111155, 54.498628, 56.948193
0.989120, 37.831800, 54.459783, 57.030495
0.989039, 37.890049, 54.542284, 56.736053
0.991040, 38.842590, 54.906669, 57.262083
0.992326, 39.556824, 55.012271, 57.407781
0.992756, 39.978116, 55.012271, 57.690083
0.993844, 41.022417, 55.057250, 57.639716
0.994746, 41.586123, 55.825515, 58.427888
0.995080, 41.716336, 56.105136, 58.888092
0.995346, 41.910911, 56.155517, 58.877989
0.995886, 42.586687, 56.382369, 59.074069
0.995767, 42.384039, 56.596592, 58.986288
0.996201, 42.646506, 56.571601, 59.261750
0.996044, 42.465465, 56.578727, 59.172291
0.996612, 42.977070, 56.525569, 59.704653
0.996251, 42.556537, 56.667582, 59.384724
0.996541, 42.879430, 56.638564, 59.464834
0.996388, 43.012885, 56.758293, 58.994572
0.996751, 43.602688, 57.037094, 59.453299
0.996630, 43.278804, 56.936561, 59.239760
0.996600, 43.259957, 56.876322, 59.371138
0.996738, 43.311420, 56.921101, 59.541743
0.997055, 43.795149, 57.012070, 59.605698
0.997035, 43.611922, 57.050323, 59.741426
0.996882, 43.401978, 57.249581, 59.707095
0.997135, 43.488144, 57.198560, 60.000000
0.997298, 43.809354, 57.126505, 59.932688
0.997237, 43.632228, 57.117077, 59.490319
0.997088, 43.678518, 57.100962, 59.506615
0.997102, 43.822014, 57.090252, 59.751285
0.997398, 44.233841, 57.103644, 59.499624
0.996989, 43.792254, 57.371966, 59.546448
0.997084, 43.798798, 57.283000, 59.189603
0.996986, 43.724921, 57.312453, 59.261750
0.997437, 44.332339, 57.509664, 59.675456
0.997019, 43.747327, 57.442444, 59.641640
0.997269, 43.989034, 57.555559, 59.846081
0.996936, 43.500676, 57.490562, 59.748819
0.997477, 44.116896, 57.539218, 59.793438
0.996886, 43.648193, 57.477386, 60.000000
0.997274, 44.208046, 57.982155, 60.000000
0.996922, 43.828776, 57.574951, 60.000000
0.997669, 44.834506, 57.936423, 60.000000
0.997143, 44.121028, 57.808350, 60.000000
0.997149, 43.812732, 57.676288, 60.000000
0.997211, 43.860234, 57.549610, 60.000000
0.997678, 44.648730, 57.567482, 60.000000
0.997326, 44.048444, 57.703921, 60.000000
0.997368, 44.230777, 57.770653, 60.000000
0.997341, 44.043021, 57.887952, 60.000000
0.997536, 44.552763, 57.902436, 60.000000
0.997294, 44.110899, 57.836839, 60.000000
0.997584, 44.686081, 57.985440, 60.000000
0.997397, 44.293875, 57.947811, 60.000000
0.997283, 44.223670, 57.870314, 60.000000
0.997352, 44.253592, 57.847968, 60.000000
0.997686, 44.650369, 57.843195, 60.000000
0.997060, 44.016915, 57.865516, 60.000000
0.997371, 44.275042, 57.761280, 60.000000
0.997159, 43.969975, 57.696228, 59.815921
0.997616, 44.429100, 57.809928, 59.843559
0.997149, 43.776951, 57.776913, 59.751285
0.997389, 44.135597, 57.791032, 60.000000
0.997060, 43.834743, 57.518509, 59.894266
0.997586, 44.594560, 57.600440, 60.000000
0.997067, 43.976580, 57.673229, 59.773551
0.997309, 44.408752, 57.773782, 60.000000
0.997025, 44.004463, 57.900824, 59.851128
0.997787, 44.945215, 57.992018, 60.000000
0.997450, 44.178179, 57.990373, 60.000000
0.997406, 44.373720, 57.967403, 60.000000
0.997402, 44.298091, 58.030035, 60.000000
0.997553, 44.553602, 58.100327, 60.000000
0.997525, 44.550751, 58.020085, 60.000000
0.997632, 44.781989, 58.060021, 60.000000
0.997460, 44.493717, 58.011811, 60.000000
0.997621, 44.780928, 57.975593, 60.000000
0.997428, 44.462922, 57.967403, 60.000000
0.997362, 44.328974, 58.038343, 60.000000
0.997332, 44.162547, 58.125709, 60.000000
0.997464, 44.449725, 58.207945, 60.000000
0.997060, 43.827562, 57.985440, 60.000000
0.997051, 43.915096, 58.110462, 60.000000
0.996901, 43.673796, 58.060021, 60.000000
0.997407, 44.234810, 58.056679, 60.000000
0.996919, 43.796167, 57.687013, 59.692464
0.997273, 44.240773, 57.862320, 60.000000
0.996912, 43.951599, 57.832078, 60.000000
0.997392, 44.413966, 57.990373, 60.000000
0.996940, 43.944903, 58.098640, 60.000000
0.997065, 44.120505, 58.180360, 60.000000
0.996853, 43.543007, 58.066712, 59.783483
0.997496, 44.658000, 58.051670, 60.000000
0.997147, 44.140458, 58.163207, 60.000000
0.997286, 44.316708, 58.192407, 60.000000
0.997284, 44.319056, 58.048335, 60.000000
0.997239, 44.342909, 58.244419, 60.000000
0.997032, 44.106676, 58.127407, 60.000000
0.997003, 44.090528, 58.118926, 60.000000
0.997067, 44.128610, 58.146123, 60.000000
0.997351, 44.587340, 58.100327, 60.000000
0.997159, 44.225675, 58.046668, 60.000000
0.997040, 43.991899, 57.992018, 60.000000
0.997182, 44.068918, 57.921824, 60.000000
0.997397, 44.484552, 58.030035, 60.000000
0.997294, 44.171909, 58.176924, 60.000000
0.997154, 44.140543, 58.295296, 60.000000
0.997197, 43.948501, 58.377241, 60.000000
0.997530, 44.439909, 58.221804, 60.000000
0.996992, 43.615405, 58.258394, 60.000000
0.997100, 44.034296, 58.305897, 60.000000
0.996801, 43.758706, 58.216601, 60.000000
0.997448, 44.531384, 58.182079, 60.000000
0.996856, 43.656236, 58.202759, 60.000000
0.997295, 44.062288, 58.117232, 60.000000
0.996942, 43.680362, 58.190684, 60.000000
0.997539, 44.536413, 58.216601, 60.000000
0.997024, 43.785393, 58.202759, 60.000000
0.997375, 44.141085, 58.158075, 60.000000
0.997100, 43.901969, 57.993664, 60.000000
0.997600, 44.405418, 58.051670, 60.000000
0.997368, 44.093159, 58.053339, 60.000000
0.997324, 44.243115, 58.103702, 60.000000
0.997235, 44.116711, 58.188961, 60.000000
0.997568, 44.670582, 58.334294, 60.000000
0.997415, 44.243740, 58.244419, 60.000000
0.997400, 44.254027, 58.175207, 60.000000
0.997748, 44.771628, 58.137605, 60.000000
0.997433, 44.302874, 58.028375, 60.000000
0.997621, 44.486773, 58.008506, 60.000000
0.997409, 44.197352, 57.883134, 60.000000
0.997712, 44.452037, 57.969040, 60.000000
0.997390, 43.905131, 57.840016, 60.000000
