ms-ssim, psnr-y, psnr-u, psnr-v
0.988069, 41.359461, 42.266894, 41.301645
0.984044, 40.387905, 40.478253, 39.536949
0.976252, 38.466334, 36.688876, 38.869099
0.980220, 39.248834, 38.970880, 39.670997
0.976155, 38.092471, 36.288845, 38.780902
0.976117, 37.692133, 35.827874, 37.898553
0.981220, 38.628392, 38.108332, 39.248169
0.977236, 37.988395, 36.008177, 38.029786
0.976229, 37.429572, 36.359550, 37.457172
0.975517, 36.949280, 35.370152, 37.630454
0.978565, 36.997439, 37.732118, 38.573621
0.988052, 33.042783, 39.184510, 41.170564
0.974551, 30.262338, 36.852192, 39.995349
0.970417, 29.416158, 36.499045, 39.396692
0.967573, 28.682419, 36.322328, 39.076265
0.969434, 28.776343, 36.727460, 39.188302
0.964123, 28.285441, 35.588247, 38.993515
0.956421, 28.057905, 35.472120, 38.757992
0.950893, 27.677005, 35.716941, 39.242810
0.953063, 27.781186, 36.212735, 38.885099
0.930036, 26.366560, 34.196665, 38.767602
0.929731, 26.387264, 34.095195, 38.060104
0.922806, 25.825877, 33.412775, 37.687827
0.932078, 26.436396, 34.100861, 37.511520
0.917877, 26.160970, 33.480724, 37.548837
0.915464, 25.951679, 33.399454, 36.969832
0.922270, 26.276544, 33.249872, 37.318015
0.933164, 26.360786, 34.129865, 36.820888
0.934232, 26.530900, 34.506188, 37.100560
0.920885, 26.098215, 33.383211, 36.531138
0.923407, 26.431358, 33.815146, 36.983209
0.927826, 26.637721, 33.997622, 36.973214
0.947399, 27.447304, 35.194498, 37.353713
0.940631, 26.952763, 34.421484, 37.163879
0.950432, 27.495275, 34.588043, 37.284873
0.949942, 27.369382, 33.835890, 37.385040
0.955951, 28.163431, 34.741814, 37.586103
0.951234, 27.869321, 33.360497, 37.406055
0.953720, 28.223244, 33.458765, 37.603404
0.954480, 28.196822, 33.837003, 37.899358
0.954552, 28.406808, 34.334430, 37.855282
0.948745, 27.912711, 33.426891, 37.944033
0.949750, 28.333744, 33.945424, 37.797353
0.949244, 28.437951, 33.525113, 38.227342
0.957288, 28.860937, 34.239698, 37.845311
0.955276, 28.630831, 33.773829, 37.856478
0.956916, 28.930593, 33.784971, 37.863374
0.959095, 29.071407, 33.783091, 37.741009
0.958304, 29.313338, 34.152097, 37.632620
0.957640, 29.108906, 33.682918, 37.107481
0.958811, 29.272560, 33.754836, 37.123122
0.958372, 29.293979, 33.086829, 37.224106
0.962093, 29.796138, 34.214124, 37.602245
0.957869, 29.519684, 33.495542, 37.743200
0.959962, 29.740630, 33.756729, 38.001326
0.962238, 29.866164, 33.628873, 38.115284
0.965103, 30.036596, 34.427868, 37.850309
0.965377, 29.867164, 34.016319, 37.856877
0.967154, 30.069667, 34.021395, 38.313280
0.968488, 30.111916, 33.945087, 38.166701
0.969941, 30.410731, 34.669234, 38.439986
0.968402, 30.147958, 34.180200, 38.560077
0.969848, 30.346252, 34.415486, 38.566083
0.969004, 30.184111, 34.038592, 38.277403
0.971341, 30.378419, 34.575271, 38.540035
0.971877, 30.614859, 35.081296, 38.807170
0.973606, 31.024161, 35.060357, 39.028766
0.972166, 30.705629, 34.529348, 38.961324
0.971330, 30.569125, 34.771448, 38.747560
0.968871, 30.289931, 34.533310, 38.532797
