ms-ssim, psnr-y, psnr-u, psnr-v
0.993826, 40.731682, 44.189206, 42.306855
0.993845, 40.742719, 44.182367, 42.303307
0.993848, 40.743741, 44.182731, 42.303543
0.993845, 40.743658, 44.182458, 42.303425
0.993853, 40.739243, 44.178814, 42.306204
0.993864, 40.747097, 44.184828, 42.307980
0.993869, 40.749008, 44.193681, 42.307980
0.993869, 40.748760, 44.189115, 42.308157
0.993863, 40.744949, 44.193224, 42.316985
0.993870, 40.750114, 44.190850, 42.318705
0.993871, 40.749576, 44.188476, 42.318408
0.993871, 40.751964, 44.191671, 42.319180
0.993865, 40.745826, 44.190758, 42.321494
0.995914, 42.358849, 45.150237, 43.635296
0.995923, 42.362923, 45.153768, 43.640361
0.995923, 42.362923, 45.153768, 43.640361
0.995923, 42.362818, 45.153768, 43.640361
0.997670, 44.123580, 47.134105, 46.075067
0.997670, 44.123580, 47.134105, 46.075067
0.997670, 44.123580, 47.134105, 46.075067
0.997670, 44.123580, 47.134105, 46.075067
0.997643, 44.195669, 47.304259, 46.056508
0.997690, 44.205758, 47.323562, 46.109299
0.997694, 44.215503, 47.358260, 46.109441
0.997739, 44.205460, 47.329200, 46.138224
0.997743, 44.211304, 47.351261, 46.150393
0.997743, 44.212795, 47.354854, 46.151684
0.997743, 44.212451, 47.357882, 46.151827
0.997743, 44.213690, 47.350694, 46.153692
0.997752, 44.222119, 47.358639, 46.136652
0.997751, 44.220280, 47.366220, 46.129369
0.997744, 44.217753, 47.361291, 46.135937
0.997749, 44.218534, 47.358071, 46.141657
0.997937, 44.560990, 47.780886, 46.529465
0.997942, 44.565814, 47.780469, 46.528683
0.997940, 44.563476, 47.780678, 46.533534
0.997942, 44.565665, 47.776715, 46.532438
0.998316, 45.141875, 48.438926, 47.226790
0.998317, 45.148671, 48.438684, 47.228627
0.998314, 45.142188, 48.440141, 47.223668
0.998317, 45.150009, 48.444515, 47.231936
0.998350, 45.239282, 48.634363, 47.278344
0.998341, 45.253136, 48.670582, 47.322998
0.998363, 45.266128, 48.664439, 47.267947
0.998391, 45.280126, 48.664439, 47.313806
0.998400, 45.317510, 48.661626, 47.326004
0.998406, 45.328382, 48.664695, 47.329577
0.998404, 45.328412, 48.658816, 47.325441
0.998408, 45.330162, 48.658560, 47.333528
0.998403, 45.364660, 48.704265, 47.371154
0.998421, 45.376460, 48.718744, 47.400306
0.998417, 45.375711, 48.728856, 47.381421
0.998434, 45.386639, 48.735611, 47.403557
