ms-ssim, psnr-y, psnr-u, psnr-v
0.983101, 35.603144, 40.991503, 40.632026
0.982890, 35.517046, 40.961402, 40.570803
0.982899, 35.491011, 40.937050, 40.544391
0.982929, 35.532845, 40.938412, 40.530758
0.982625, 35.451557, 40.885865, 40.422600
0.982553, 35.456635, 40.860402, 40.462296
0.982307, 35.388114, 40.857568, 40.463807
0.982385, 35.353226, 40.805639, 40.483127
0.982270, 35.379843, 40.799918, 40.399678
0.981847, 35.241878, 40.751465, 40.355526
0.981402, 35.095066, 40.661138, 40.233662
0.981036, 35.103903, 40.731102, 40.221106
0.980811, 35.058085, 40.594769, 40.055644
0.981302, 35.148891, 40.826482, 40.233524
0.981288, 35.121904, 40.776295, 40.143579
0.982546, 35.317249, 40.900277, 40.407851
0.983045, 35.429360, 40.868693, 40.390148
0.985162, 35.868081, 41.025187, 40.720108
0.985402, 35.933120, 40.966524, 40.721064
0.988123, 36.510025, 41.384233, 41.177001
0.989457, 36.908356, 41.769489, 41.451490
0.990625, 37.229463, 41.981798, 41.729148
0.991076, 37.362417, 42.195048, 41.907625
0.991798, 37.602358, 42.429085, 42.174694
0.991875, 37.644069, 42.515050, 42.229797
0.991942, 37.736585, 42.743806, 42.401424
0.992009, 37.667452, 42.699065, 42.355023
0.992036, 37.698004, 42.684980, 42.333147
0.992156, 37.731928, 42.626223, 42.346896
0.991902, 37.634578, 42.604702, 42.257612
0.991521, 37.586601, 42.559150, 42.262141
0.991559, 37.589218, 42.496810, 42.230102
0.991739, 37.651720, 42.483782, 42.284943
0.991880, 37.696931, 42.505315, 42.401016
0.992127, 37.746480, 42.532758, 42.425475
0.992436, 37.829109, 42.598233, 42.500805
0.992836, 37.951636, 42.791497, 42.620296
0.992904, 38.046064, 42.926809, 42.735753
0.992732, 37.962235, 42.942422, 42.692891
0.993117, 38.066064, 42.860367, 42.672972
0.993761, 38.358301, 43.276011, 43.215378
0.993832, 38.407028, 43.257107, 43.133965
0.994130, 38.574637, 43.558869, 43.437828
0.994295, 38.606730, 43.525260, 43.456205
0.994555, 38.726057, 43.722612, 43.613528
0.994520, 38.684881, 43.625795, 43.520614
0.994628, 38.773720, 43.785814, 43.642023
0.994758, 38.791528, 43.735191, 43.595491
0.994810, 38.770687, 43.749170, 43.632786
0.994786, 38.780005, 43.712587, 43.583190
0.994814, 38.784505, 43.697684, 43.583726
0.994716, 38.746400, 43.677832, 43.592621
0.994744, 38.806351, 43.676674, 43.622303
0.994817, 38.809012, 43.680819, 43.685945
0.994783, 38.830766, 43.682283, 43.745516
0.994737, 38.882932, 43.707982, 43.813832
0.994776, 38.825145, 43.694563, 43.756921
0.994738, 38.850138, 43.721503, 43.787126
0.994800, 38.823406, 43.696460, 43.803343
0.994979, 39.031284, 44.049572, 44.138306
0.995300, 39.138271, 44.171090, 44.245111
0.995340, 39.140773, 44.176555, 44.222254
0.995416, 39.295256, 44.433159, 44.440199
0.995483, 39.225455, 44.341879, 44.389074
0.995528, 39.256303, 44.385558, 44.422512
0.995589, 39.276700, 44.352615, 44.405760
0.995610, 39.330992, 44.462776, 44.425623
0.995591, 39.243430, 44.439763, 44.430042
0.995556, 39.297011, 44.418679, 44.400719
0.995615, 39.290182, 44.382474, 44.322678
0.995746, 39.373801, 44.543027, 44.536784
0.995881, 39.410170, 44.636706, 44.579251
0.995922, 39.435462, 44.666983, 44.569961
0.995926, 39.430916, 44.675410, 44.599398
0.995918, 39.425504, 44.674720, 44.616688
0.995927, 39.473233, 44.701174, 44.726083
0.995933, 39.470306, 44.676330, 44.649721
0.995982, 39.495795, 44.764734, 44.793872
0.995981, 39.501510, 44.747003, 44.747158
0.996093, 39.525836, 44.748874, 44.727325
0.996124, 39.549574, 44.766770, 44.719881
0.996161, 39.559125, 44.764813, 44.754805
0.996197, 39.564475, 44.803575, 44.787100
0.996256, 39.581658, 44.792847, 44.806103
0.996234, 39.605191, 44.806182, 44.814883
0.996266, 39.631210, 44.820113, 44.884486
0.996284, 39.680108, 44.877571, 44.946480
0.996212, 39.694868, 44.877973, 44.940525
0.996191, 39.626604, 44.849545, 44.904325
0.996262, 39.646648, 44.852419, 44.857774
0.996259, 39.650907, 44.984929, 44.946235
0.996381, 39.684559, 44.998619, 44.947133
0.996416, 39.722927, 45.025882, 44.972759
0.996401, 39.712930, 44.993501, 44.976373
0.996471, 39.763721, 44.999941, 45.088424
0.996473, 39.804240, 45.119739, 45.177026
0.996411, 39.760017, 45.127731, 45.178747
0.996345, 39.777018, 45.158989, 45.186159
0.996402, 39.739260, 45.106763, 45.131988
0.996437, 39.781973, 45.115409, 45.140685
0.996515, 39.839786, 45.212198, 45.249757
0.996483, 39.803910, 45.132840, 45.136761
0.996425, 39.765813, 45.144186, 45.097203
0.996426, 39.785354, 45.140514, 45.089774
0.996535, 39.889493, 45.267648, 45.315633
0.996473, 39.821560, 45.158475, 45.146151
0.996494, 39.835929, 45.177284, 45.156504
0.996531, 39.874966, 45.259307, 45.249407
0.996539, 39.877962, 45.170833, 45.171779
0.996548, 39.865310, 45.109728, 45.169201
0.996564, 39.871114, 45.220622, 45.183486
0.996581, 39.878579, 45.174788, 45.157875
0.996572, 39.895783, 45.185469, 45.187453
0.996600, 39.876578, 45.222275, 45.155133
0.996574, 39.884045, 45.206042, 45.109558
0.996565, 39.887042, 45.215323, 45.131136
0.996556, 39.886615, 45.210376, 45.154705
0.996546, 39.876870, 45.178231, 45.119739
0.996517, 39.871958, 45.206215, 45.119060
0.996568, 39.897939, 45.177542, 45.204049
0.996647, 39.924873, 45.247569, 45.215930
0.996714, 39.982779, 45.380630, 45.370089
0.996666, 39.969253, 45.311104, 45.293829
0.996646, 39.979878, 45.400428, 45.398526
0.996620, 39.969247, 45.437099, 45.386858
0.996635, 39.978207, 45.352668, 45.282526
0.996665, 40.046219, 45.379006, 45.406322
0.996625, 40.032797, 45.422594, 45.414951
0.996654, 39.991722, 45.355805, 45.353564
0.996624, 40.044357, 45.393366, 45.443958
0.996605, 40.050691, 45.401425, 45.386677
0.996563, 39.956720, 45.350159, 45.298783
0.996608, 40.026391, 45.427333, 45.380269
0.996526, 40.024505, 45.469477, 45.398345
0.996613, 40.009434, 45.380810, 45.335762
0.996747, 40.052112, 45.476019, 45.405234
0.996759, 40.051193, 45.467912, 45.398888
0.996698, 40.042543, 45.425054, 45.341569
0.996803, 40.087495, 45.511942, 45.383246
0.996750, 40.072450, 45.457342, 45.341748
0.996748, 40.086641, 45.461567, 45.336298
0.996775, 40.102351, 45.490149, 45.352220
0.996742, 40.077388, 45.508039, 45.304540
0.996772, 40.105716, 45.557361, 45.396624
0.996692, 40.096810, 45.458719, 45.319901
0.996695, 40.074536, 45.428609, 45.265979
0.996723, 40.059106, 45.423869, 45.204136
0.996745, 40.073287, 45.423323, 45.204915
0.996681, 40.098206, 45.462118, 45.234642
0.996678, 39.870607, 45.101515, 45.087159
0.996645, 39.963290, 45.064372, 44.938814
0.996672, 40.122462, 45.146493, 44.815834
0.996608, 40.316129, 45.317322, 45.044208
0.996756, 40.482755, 45.617430, 45.147348
0.996809, 40.631217, 45.899693, 45.436094
0.996785, 40.665742, 46.045755, 45.515383
0.996846, 40.710226, 46.007343, 45.585542
0.996824, 40.661739, 46.003073, 45.528802
0.996827, 40.667212, 45.948967, 45.525723
0.996750, 40.608974, 45.974023, 45.396715
0.996754, 40.643261, 45.965139, 45.436277
0.996716, 40.604421, 45.881839, 45.228976
0.996692, 40.606975, 45.857007, 45.286320
0.996725, 40.560594, 45.883358, 45.253084
0.996681, 40.549385, 45.821420, 45.210376
0.996544, 40.456624, 45.779987, 45.104307
0.996698, 40.473449, 45.765573, 45.117956
0.996715, 40.417585, 45.662144, 44.910715
0.996812, 40.455645, 45.740317, 44.585631
0.996789, 40.401970, 45.665706, 44.412612
0.996830, 40.435132, 45.672261, 44.503711
0.996655, 40.186300, 45.674480, 44.498849
0.996686, 40.155614, 45.464600, 44.503490
0.996667, 39.963529, 45.360561, 44.462703
0.996821, 40.011182, 45.211764, 44.464382
0.996789, 39.764222, 45.142478, 44.112162
0.996883, 39.894916, 44.980402, 44.531069
0.996612, 39.627114, 44.908044, 44.343371
0.996688, 39.708444, 44.941911, 44.445723
0.996657, 39.579060, 44.989625, 44.566520
0.996793, 39.727728, 44.849705, 44.522769
0.996683, 39.575877, 44.974565, 44.332516
0.996761, 39.666251, 44.974155, 44.518921
0.996672, 39.706368, 44.992758, 44.792532
0.996852, 39.804078, 45.063282, 44.806103
0.996699, 39.630154, 45.035868, 44.595934
0.996798, 39.735774, 45.070331, 44.795290
0.996703, 39.608461, 44.928804, 44.507841
0.996902, 39.748036, 45.039202, 44.673493
0.996713, 39.569827, 44.943542, 44.522695
0.996746, 39.700072, 45.027794, 44.662776
0.996648, 39.746119, 45.237783, 44.758790
0.996850, 39.952608, 45.282702, 44.952197
0.996831, 39.948533, 45.311281, 45.012022
0.996810, 39.981296, 45.283143, 45.103207
0.996567, 39.906786, 45.302147, 45.152651
0.996671, 39.934682, 45.362627, 45.094922
0.996686, 40.008223, 45.448629, 45.306668
0.996832, 40.071328, 45.436825, 45.372789
0.996800, 40.098339, 45.496166, 45.357151
0.996820, 40.109620, 45.507481, 45.435912
0.996920, 40.109459, 45.493480, 45.359394
0.996925, 40.138389, 45.411770, 45.410498
0.996885, 40.094913, 45.497741, 45.259132
0.996871, 40.138740, 45.618955, 45.422139
0.996868, 40.101555, 45.546571, 45.370719
0.996875, 40.132627, 45.638629, 45.452570
0.996881, 40.104987, 45.663780, 45.284555
0.996877, 40.152365, 45.558207, 45.423778
0.996898, 40.130075, 45.613907, 45.387671
0.996850, 40.046252, 45.561779, 45.264573
0.996859, 40.089495, 45.572607, 45.190905
0.996895, 40.067444, 45.633080, 45.354998
0.996940, 40.056895, 45.715791, 45.218710
0.996987, 40.081739, 45.593682, 44.680243
0.996924, 39.973978, 45.527588, 44.543920
0.996884, 40.006240, 45.571853, 44.660636
0.996934, 39.986900, 45.518827, 44.747314
0.996834, 39.882557, 45.507481, 44.554720
0.996872, 39.918752, 45.491536, 44.484809
0.996818, 39.944649, 45.332728, 44.660330
0.996913, 39.966685, 45.374140, 44.743963
0.996831, 39.845022, 45.262817, 44.715545
0.996816, 39.871216, 45.259307, 44.718487
0.996914, 39.906089, 45.266506, 44.654297
0.996929, 39.841814, 45.264222, 44.570036
0.996936, 39.832514, 45.173584, 44.705727
0.996947, 39.794130, 45.190905, 44.753009
0.996926, 39.828525, 45.199721, 44.832180
0.996817, 39.822168, 45.235601, 44.742094
0.996900, 39.800339, 45.354460, 44.717790
0.996823, 39.715499, 45.372069, 44.800812
0.996999, 39.931768, 45.425327, 44.906346
0.996834, 39.752519, 45.281733, 44.674336
0.996904, 39.899107, 45.332906, 44.813696
0.996834, 39.872941, 45.531416, 44.868022
0.996893, 40.063479, 45.589799, 45.122288
0.996866, 40.026883, 45.577701, 45.187884
0.996928, 40.112254, 45.526189, 45.191855
0.996884, 40.133119, 45.617526, 45.292414
0.996891, 40.137870, 45.571476, 45.184951
0.996947, 40.183437, 45.656277, 45.300819
0.996977, 40.230292, 45.652818, 45.304717
0.997001, 40.199117, 45.655316, 45.378015
0.996962, 40.231119, 45.717350, 45.493387
0.996942, 40.170841, 45.729160, 45.523485
0.996919, 40.197128, 45.708878, 45.501912
0.996961, 40.182435, 45.679405, 45.445972
0.996880, 40.135484, 45.640639, 45.356792
0.996537, 39.784105, 45.469937, 45.148117
0.997744, 40.786704, 46.947934, 46.987843
0.996940, 40.302171, 46.685086, 46.349888
0.996418, 40.258439, 46.396365, 46.035570
0.996640, 40.312794, 46.333007, 46.082707
0.996173, 40.078259, 46.080693, 45.561027
0.996350, 40.123416, 46.076985, 45.792663
0.996267, 40.012119, 46.134865, 45.628399
0.996529, 40.121186, 46.128968, 45.675252
0.996218, 39.869060, 46.042602, 45.479431
0.996265, 39.889226, 45.892482, 45.228715
0.996219, 39.797770, 45.941058, 45.312968
0.996277, 39.823147, 45.808859, 45.229325
0.996241, 39.685580, 45.758384, 44.905861
0.996424, 39.863435, 45.761534, 45.288085
0.996190, 39.581569, 45.799611, 45.192978
0.996394, 39.831798, 45.715791, 45.248707
0.996308, 39.684741, 45.746200, 45.355447
0.996418, 39.819598, 45.759368, 45.146835
0.996220, 39.611686, 45.816132, 45.130455
0.996421, 39.886367, 45.820322, 45.148801
0.996183, 39.719398, 45.918029, 45.156418
0.996327, 39.808226, 45.908036, 45.033952
0.996260, 39.705348, 45.898677, 45.076550
0.996262, 39.720090, 45.891163, 44.846593
0.996281, 39.763765, 45.811547, 45.077811
0.996360, 39.910592, 45.797227, 45.130796
0.996266, 39.753433, 45.618193, 44.724609
0.996203, 39.804778, 45.852681, 45.232898
0.996351, 39.943765, 45.831014, 45.395538
0.996266, 39.862461, 45.784043, 45.206561
0.996423, 39.978266, 45.782954, 45.039536
0.996268, 39.818220, 45.691790, 45.085389
0.996236, 39.756563, 45.624962, 44.563679
0.996243, 39.714618, 45.569685, 44.706500
0.996366, 39.828764, 45.694408, 44.808553
0.996202, 39.743846, 45.512778, 44.859374
0.996131, 39.695033, 45.373059, 44.811796
0.996168, 39.783968, 45.638916, 44.977113
0.996312, 39.751396, 45.620194, 44.744197
0.996311, 39.701468, 45.542262, 44.727325
0.996225, 39.603116, 45.645622, 44.874359
0.996088, 39.545731, 45.614288, 44.693929
0.996234, 39.679544, 45.342731, 44.858174
0.996095, 39.548032, 45.311370, 44.850343
0.996004, 39.408534, 45.281380, 44.547641
0.995830, 39.400344, 45.374861, 44.887222
0.995998, 39.589074, 45.492554, 44.953014
0.995824, 39.410598, 45.381261, 45.052982
0.995577, 39.256572, 45.313324, 44.675026
0.995529, 39.180782, 45.252734, 44.640964
