ms-ssim, psnr-y, psnr-u, psnr-v
0.992845, 34.929103, 40.737879, 39.647322
0.992461, 34.407429, 40.713636, 39.695897
0.992068, 34.332222, 40.631603, 39.538100
0.991986, 34.341748, 40.701150, 39.546048
0.992070, 34.712271, 40.736857, 39.774989
0.992405, 34.945810, 40.760888, 39.858937
0.992092, 34.579216, 40.758740, 39.843156
0.991799, 34.541722, 40.741845, 39.714967
0.991049, 33.872474, 40.718844, 39.540850
0.990201, 33.307344, 40.612124, 39.390875
0.989994, 33.442234, 40.318955, 39.136140
0.990696, 34.075096, 40.360406, 39.272632
0.991239, 34.432784, 40.374027, 39.313913
0.991204, 34.452396, 40.376505, 39.295633
0.991069, 34.441087, 40.334449, 39.245006
0.992110, 35.098600, 39.085655, 39.297189
0.991969, 31.868943, 36.982270, 37.337476
0.994303, 36.318699, 40.522675, 40.423810
0.994730, 36.834851, 41.498057, 40.670031
0.994762, 37.054995, 41.798925, 40.867671
0.994923, 37.234419, 41.952944, 40.980453
0.995034, 37.506790, 41.965128, 40.922226
0.995475, 37.707838, 42.038334, 40.987565
0.994967, 37.220106, 41.783256, 40.672075
0.994963, 37.238599, 41.810566, 40.502299
0.994877, 37.357263, 41.616082, 40.452947
0.995282, 37.504969, 41.534922, 40.715207
0.995086, 37.401345, 41.697938, 40.509521
0.994682, 37.048399, 41.613353, 40.455529
0.994829, 37.052781, 41.743022, 40.714005
0.994976, 37.361954, 41.796909, 40.643890
0.994894, 37.510839, 41.853156, 40.811494
0.994617, 37.278595, 41.831071, 40.665400
0.994543, 37.250868, 41.886110, 40.684630
0.995105, 37.805354, 41.889783, 40.903332
0.995310, 38.044806, 42.083103, 41.206914
0.995130, 37.869378, 42.088974, 41.215755
0.995407, 38.284263, 42.176204, 41.249663
0.995344, 38.190141, 42.140468, 41.127024
0.995404, 38.348125, 42.239413, 41.379815
0.995509, 38.268314, 42.059191, 41.416229
0.995820, 38.706914, 42.172884, 41.538756
0.995913, 38.627868, 42.186048, 41.653814
0.995862, 38.773897, 42.318148, 41.915741
0.995618, 38.726997, 42.485680, 42.017910
0.995851, 39.038801, 42.599612, 42.208714
0.996189, 39.065427, 42.659598, 42.202158
0.995924, 39.317612, 42.809373, 42.446032
0.995941, 39.255020, 42.711048, 42.453289
0.995930, 39.256303, 42.799355, 42.727176
0.996366, 39.494161, 42.875185, 42.727274
0.996479, 39.779787, 43.054683, 42.916210
0.996161, 39.420911, 43.012702, 42.930142
0.996167, 39.381516, 43.110798, 43.017882
0.996764, 39.774611, 43.219983, 43.020133
0.996623, 39.855890, 43.199519, 42.993814
0.996561, 39.790263, 43.459275, 43.166835
0.996646, 39.915445, 43.512100, 43.137300
0.996810, 39.873830, 43.517676, 43.102356
0.996172, 39.343532, 43.506589, 43.106629
0.996487, 39.627821, 43.672351, 43.338855
0.996717, 39.977661, 43.656918, 43.399248
0.996920, 40.022403, 43.659830, 43.424815
0.996788, 39.743858, 43.807548, 43.535451
0.996853, 39.785118, 43.963656, 43.661044
0.996987, 40.064964, 43.981724, 43.781381
0.997215, 40.253464, 44.085036, 43.850648
0.997224, 40.348279, 44.133633, 43.926713
0.997083, 40.196540, 44.202128, 43.998160
0.997229, 40.220652, 44.294139, 44.145495
0.997361, 40.484807, 44.014659, 43.979698
0.997445, 40.792753, 44.252201, 44.093411
0.997353, 40.487649, 44.149025, 44.045856
0.997154, 40.300784, 44.201922, 44.108863
0.997495, 40.522432, 44.212042, 44.015252
0.997522, 40.772618, 44.346213, 44.198005
0.997398, 40.533630, 44.264670, 44.103751
0.997542, 40.759246, 44.387925, 44.077212
0.997548, 40.605112, 44.351192, 44.050568
0.997393, 40.392042, 44.347422, 44.039625
0.997430, 40.453512, 44.296387, 44.061472
0.997647, 40.779687, 44.344081, 44.134852
0.997734, 40.742790, 44.373881, 44.149773
0.997715, 40.860561, 44.670045, 44.308702
0.997656, 40.731713, 44.842367, 44.478502
0.997709, 40.930635, 44.794423, 44.380611
0.997794, 40.897665, 44.820747, 44.349911
0.997766, 41.151932, 44.808395, 44.427868
0.997743, 40.819171, 44.803733, 44.441870
0.997498, 40.864139, 44.851621, 44.480042
0.997807, 41.055485, 44.887947, 44.577227
0.997803, 41.310725, 45.011028, 44.689234
0.997780, 41.143746, 45.075457, 44.568465
0.997625, 40.860617, 44.980237, 44.413623
0.997834, 41.135992, 45.080841, 44.623956
0.997807, 41.232928, 44.992593, 44.617672
0.997752, 41.130344, 45.063282, 44.621457
0.997753, 41.076744, 45.015006, 44.556884
0.997881, 40.992184, 45.085136, 44.562857
0.997760, 40.767673, 45.148459, 44.683392
0.997678, 40.727331, 44.884164, 44.405256
0.997730, 40.948892, 45.060600, 44.580077
0.997842, 40.893402, 45.168771, 44.475426
0.997765, 40.785327, 45.229151, 44.618655
0.997742, 40.627593, 45.105154, 44.564501
0.997819, 40.911858, 45.176681, 44.680013
0.997957, 41.048061, 45.223753, 44.802154
0.997914, 41.225039, 45.244247, 44.891975
0.997855, 40.869921, 45.027960, 44.775628
0.997798, 40.758281, 44.998289, 44.818052
0.997899, 40.909964, 45.021810, 44.787887
0.997943, 41.138768, 45.169029, 44.782775
0.997752, 40.181665, 45.074448, 44.630630
0.997618, 39.879913, 44.908449, 44.408211
0.997989, 40.923914, 45.224449, 44.630175
0.997795, 40.922751, 44.891491, 44.662011
0.997806, 40.432129, 44.919710, 44.499806
0.997828, 40.458018, 44.952115, 44.502311
0.997835, 40.486626, 44.995812, 44.605129
0.997612, 40.231573, 45.120504, 44.424827
0.997608, 40.342627, 45.063785, 44.518552
0.997682, 40.453817, 45.247395, 44.834883
0.997810, 40.697352, 45.206995, 44.970706
0.997611, 40.486034, 45.250020, 44.861374
0.997465, 40.328527, 45.007798, 44.463944
0.997526, 40.134803, 45.187711, 44.549801
0.997772, 40.561716, 45.141965, 44.688234
0.997626, 40.349581, 45.230022, 44.580227
0.997606, 40.205524, 45.164220, 44.518182
0.997596, 40.167445, 45.322659, 44.483122
0.997771, 40.466272, 45.207255, 44.531588
0.997642, 40.343186, 45.329696, 44.580677
0.997505, 40.077029, 45.104984, 44.608752
0.997662, 40.378458, 45.213413, 44.686927
0.997696, 40.274039, 45.088340, 44.631617
0.997514, 40.027909, 44.950644, 44.604601
0.997523, 39.810515, 44.977688, 44.589915
0.997661, 40.403827, 45.119824, 44.743184
0.997689, 40.199801, 45.067057, 44.650865
0.997717, 40.094058, 45.114985, 44.746145
0.997286, 39.462940, 45.023970, 44.417595
0.997412, 39.807283, 44.965047, 44.497598
0.997470, 39.878432, 44.815675, 44.437440
0.997653, 40.015763, 44.930105, 44.386921
0.997325, 39.561876, 44.817259, 44.320487
0.997001, 39.332561, 44.379895, 44.113509
0.996945, 39.116363, 43.319620, 43.753881
0.997199, 39.878509, 44.382331, 44.130791
0.997352, 39.816247, 44.601660, 44.471839
0.997559, 40.033211, 44.659566, 44.378462
0.997586, 40.126294, 44.703257, 44.435408
0.997361, 40.015697, 44.783797, 44.425985
0.997328, 40.156115, 44.726859, 44.451546
0.997255, 39.876045, 44.748406, 44.388069
0.997260, 39.822513, 44.732372, 44.316531
0.997516, 40.172975, 44.861694, 44.309548
