ms-ssim, psnr-y, psnr-u, psnr-v
0.977720, 32.115354, 40.116359, 42.302047
0.974161, 31.742621, 40.309180, 42.330688
0.971983, 31.629917, 40.470354, 42.627324
0.969483, 31.316113, 40.420527, 42.617287
0.971220, 31.609774, 40.443676, 42.520789
0.969972, 31.605926, 40.524886, 42.788715
0.971824, 31.783118, 40.665461, 42.872906
0.971721, 31.787884, 40.646800, 42.935173
0.975361, 32.114522, 40.540305, 42.777555
0.971139, 31.804207, 40.430239, 42.755125
0.966791, 31.397594, 40.153935, 42.689298
0.962434, 31.092401, 40.136562, 42.566552
0.956883, 30.756706, 40.113514, 42.603798
0.961665, 30.915049, 40.122429, 42.781867
0.965666, 31.161888, 40.246060, 42.722136
0.966177, 31.272473, 40.215198, 42.864762
0.969463, 31.653839, 40.320024, 42.780033
0.970177, 31.809180, 40.606411, 43.169707
0.974602, 32.330330, 40.918221, 43.303655
0.976887, 32.633880, 40.909674, 43.180890
0.980479, 33.396995, 41.079223, 43.249646
0.979740, 33.273274, 41.259954, 43.410064
0.979673, 33.286957, 41.394524, 43.496466
0.980789, 33.292063, 41.382508, 43.373603
0.983467, 33.973930, 41.363868, 43.496816
0.980515, 33.345809, 41.282680, 43.596567
0.982292, 33.716874, 41.403611, 43.738342
0.981000, 33.511267, 41.363975, 43.735068
0.984000, 34.417304, 41.473592, 43.845007
0.981950, 34.106345, 41.355148, 43.897960
0.981324, 34.136211, 41.329059, 44.070936
0.980603, 34.044304, 41.408596, 44.080821
0.982534, 34.468963, 41.499053, 44.146513
0.979666, 34.028792, 41.249106, 44.021712
0.980972, 34.140644, 41.454046, 44.261880
0.979945, 33.862671, 41.236895, 43.925100
0.982560, 34.451094, 41.309162, 43.983162
0.979840, 33.894394, 41.443212, 44.046917
0.981295, 33.970385, 41.413152, 43.982835
0.981501, 33.998866, 41.476271, 44.069668
0.983212, 34.414666, 41.310575, 44.076610
0.982745, 34.283698, 41.470695, 44.088518
0.983459, 34.327997, 41.473922, 44.094484
0.982046, 33.786172, 41.325760, 44.227300
0.983531, 34.007753, 41.432660, 44.298003
0.984297, 33.899618, 41.411705, 44.092740
0.985358, 34.451595, 41.614490, 44.195738
0.983728, 33.897326, 41.632604, 43.970822
0.984879, 34.311719, 41.752908, 44.123222
0.984894, 34.289999, 41.814889, 44.053225
0.986325, 34.889300, 41.711596, 43.957412
0.983608, 34.361213, 41.870325, 44.075942
0.983143, 34.362909, 41.880829, 44.167541
0.982645, 34.212672, 41.699792, 43.989247
0.983773, 34.564776, 41.690797, 44.054488
0.980676, 33.876711, 41.578525, 44.002755
0.980566, 34.038044, 41.624810, 43.936922
0.979310, 33.590026, 41.429463, 43.667545
0.984488, 34.472412, 41.242074, 43.572172
0.982424, 33.935368, 41.356969, 43.637976
0.981776, 33.823545, 41.346803, 43.537752
0.981252, 33.692977, 41.353114, 43.558929
0.983444, 33.961361, 41.280890, 43.467919
0.980767, 33.236465, 41.108333, 43.162936
0.982615, 33.451169, 41.241205, 43.202140
0.981502, 33.115439, 41.160312, 43.325910
0.983951, 33.551228, 41.255416, 43.355968
0.981126, 33.218182, 41.295619, 43.492376
0.982213, 33.615133, 41.435932, 43.408746
0.983260, 33.879390, 41.590907, 43.614368
0.984716, 34.493897, 41.812033, 43.585993
0.982237, 34.170904, 41.781326, 43.592323
0.981085, 34.281275, 41.922489, 43.755122
0.980938, 34.094306, 41.645257, 43.466003
0.983137, 34.484303, 41.743607, 43.512159
0.980716, 33.983783, 41.515395, 43.608906
0.983173, 34.331251, 41.740173, 43.782442
0.979551, 33.706288, 41.663500, 43.589157
0.983387, 34.356415, 41.627204, 43.761578
0.978731, 33.427223, 41.512321, 43.576516
0.979944, 33.627671, 41.506255, 43.465190
0.978978, 33.332842, 41.361221, 43.525319
0.981401, 33.479060, 41.250848, 43.434773
0.978830, 32.667806, 41.184168, 43.325741
0.980770, 33.163480, 41.156320, 43.491091
0.979889, 32.795980, 41.134177, 43.330464
0.981573, 33.153629, 41.172823, 43.380654
0.977907, 32.563147, 41.067814, 43.454468
0.980245, 33.126587, 41.337051, 43.780133
0.978962, 33.034576, 41.276120, 43.768169
0.983234, 33.792946, 41.469705, 43.702952
0.979915, 33.288932, 41.610967, 43.722920
0.979052, 33.071649, 41.485568, 43.792004
0.978507, 32.810103, 41.257021, 43.421884
0.980562, 33.084642, 41.352222, 43.510223
0.979361, 32.698698, 41.591284, 43.566941
0.980704, 32.962415, 41.467433, 43.584561
0.979463, 32.697451, 41.414781, 43.378947
