ms-ssim, psnr-y, psnr-u, psnr-v
0.974260, 36.539613, 44.602187, 47.441284
0.973629, 36.457581, 44.686235, 47.404042
0.973405, 36.407819, 44.722206, 47.438675
0.972865, 36.321897, 44.728101, 47.457696
0.973396, 36.347109, 44.725850, 47.350617
0.972529, 36.337280, 44.398344, 47.242513
0.972802, 36.371930, 44.050037, 46.891878
0.972221, 36.263760, 44.490684, 47.122866
0.973384, 36.399463, 44.747158, 47.243760
0.971868, 36.065158, 44.498555, 47.298262
0.972658, 36.213808, 44.395683, 47.389407
0.972586, 36.195347, 44.180659, 47.363983
0.972219, 36.124681, 43.993242, 47.216143
0.982139, 37.301676, 44.433377, 47.554815
0.982850, 37.499948, 44.642029, 47.768621
0.983015, 37.615006, 45.135141, 48.243721
0.983145, 37.753438, 45.340318, 48.148852
0.989525, 39.138437, 46.253434, 49.123330
0.990073, 39.319829, 46.517475, 49.170348
0.990220, 39.476359, 46.750496, 49.203066
0.990273, 39.585385, 46.709025, 49.156340
0.990288, 39.539146, 46.829732, 49.222248
0.990321, 39.530407, 46.825704, 49.250741
0.990323, 39.533562, 46.916603, 49.246565
0.990075, 39.662327, 47.034057, 49.403588
0.990151, 39.713878, 47.045953, 49.394942
0.990287, 39.772769, 47.053371, 49.386085
0.989246, 39.254508, 46.963490, 49.346116
0.990041, 39.737126, 46.978450, 49.379285
0.989555, 39.524565, 46.965698, 49.410199
0.989608, 39.625507, 46.972329, 49.430549
0.989757, 39.654713, 46.989802, 49.462293
0.990152, 39.817387, 47.090519, 49.437660
0.989676, 39.495504, 46.981579, 49.416134
0.990442, 39.904478, 47.069709, 49.417505
0.991253, 40.167758, 47.216831, 49.479643
0.991294, 40.137297, 47.277970, 49.552101
0.991008, 39.947442, 47.299806, 49.589027
0.991589, 40.310660, 47.275319, 49.577394
0.993003, 40.775569, 47.613694, 49.511049
0.993394, 41.063272, 47.637744, 49.539157
0.993428, 41.123638, 47.816561, 49.574314
0.993495, 41.211470, 47.991525, 49.704164
0.993231, 41.032440, 47.879124, 49.602359
0.994261, 41.630531, 47.876719, 49.669640
0.994402, 41.639802, 48.034187, 49.751779
0.994405, 41.684938, 47.994817, 49.764631
0.993606, 41.006360, 47.916322, 49.828211
0.993968, 41.365388, 48.037346, 49.844568
0.993904, 41.325007, 48.026218, 49.786467
0.993747, 41.337833, 47.927333, 49.653446
0.993644, 41.225030, 48.047001, 49.697579
0.993136, 40.832396, 47.874957, 49.702944
0.992902, 40.760896, 47.715487, 49.509182
0.993218, 40.905407, 47.557643, 49.268810
0.992252, 40.338741, 47.443894, 49.269693
0.993183, 40.976983, 47.365123, 49.250741
0.993075, 41.008098, 47.298122, 49.349489
0.993423, 41.145592, 47.490562, 49.084850
0.993739, 41.207561, 47.454496, 49.333771
0.993607, 41.081225, 47.566288, 49.349264
0.993743, 41.237738, 47.581234, 49.218100
0.993674, 41.238867, 47.614297, 49.308739
0.993434, 40.945926, 47.743993, 49.370234
0.993552, 41.066519, 47.707927, 49.337583
0.993959, 41.342040, 47.720586, 49.302949
0.994154, 41.492683, 47.794175, 49.421391
0.994170, 41.475408, 47.617768, 49.229026
0.993922, 41.218288, 47.615806, 49.387447
0.994067, 41.324901, 47.744770, 49.480802
0.994064, 41.383038, 47.696381, 49.569341
0.994212, 41.379833, 47.692232, 49.572419
0.993993, 41.197557, 47.499809, 49.455373
0.994223, 41.396145, 47.575698, 49.384044
0.994107, 41.422098, 47.375106, 49.458832
0.994304, 41.515219, 47.625173, 49.458832
0.993511, 40.718204, 47.557197, 49.663107
0.994415, 41.442411, 47.619429, 49.512217
0.994390, 41.463140, 47.799997, 49.808414
0.993464, 40.669856, 47.748658, 49.751285
0.994217, 41.287378, 47.759096, 49.761909
0.994707, 41.651262, 47.913735, 49.710027
0.993377, 40.713821, 47.924092, 49.914971
0.994365, 41.533685, 47.972806, 49.856939
0.993611, 40.797515, 47.936098, 49.846081
0.994446, 41.586471, 47.988070, 49.859974
0.994320, 41.593348, 48.124012, 49.935004
0.994595, 41.851965, 48.248083, 50.111262
0.994064, 41.350652, 48.079791, 50.086135
0.994674, 41.857041, 48.007680, 49.944797
0.994554, 41.788006, 48.290710, 50.071235
0.994612, 41.901710, 48.185863, 50.079743
0.994624, 41.873924, 48.172633, 50.086668
0.994738, 41.974505, 48.080463, 50.030520
0.994831, 41.905021, 48.219549, 50.067783
0.994690, 41.799627, 48.106405, 50.102692
0.994807, 41.843807, 48.006855, 50.103227
0.994931, 41.913559, 48.087859, 50.103495
0.995006, 42.065934, 48.179844, 50.171732
0.994883, 42.110607, 48.317588, 50.187254
0.994656, 41.767565, 48.075763, 50.063008
0.994889, 41.956612, 48.054675, 50.024472
0.994842, 41.859065, 48.053172, 49.935004
0.994310, 41.504786, 48.098640, 49.953836
0.994365, 41.634536, 47.902114, 49.861745
0.994410, 41.679223, 47.980185, 49.852138
0.994385, 41.639736, 47.893901, 49.617167
0.994045, 41.377787, 47.883776, 49.626988
0.994527, 41.710666, 48.178298, 49.879246
0.993712, 41.276856, 48.123843, 49.857950
0.993531, 41.102763, 48.198788, 49.966005
0.993858, 41.354595, 48.100495, 49.938609
0.994073, 41.477896, 48.133693, 49.883314
0.994111, 41.496314, 48.180188, 50.052152
0.993179, 40.843417, 48.177954, 50.010829
0.994168, 41.571953, 48.124691, 49.999318
0.993683, 41.249010, 48.214003, 49.977947
0.993543, 41.038326, 48.052338, 49.869853
0.992174, 40.204839, 48.015781, 49.797177
0.993646, 41.032995, 47.709777, 49.902178
0.993897, 41.271784, 47.912443, 50.096275
0.994014, 41.148654, 47.800469, 50.009519
0.993853, 41.106107, 47.628198, 49.932945
0.993872, 41.157130, 47.577792, 49.877721
0.993736, 41.145430, 47.346502, 49.764878
0.993839, 41.057293, 47.125022, 49.509649
0.993285, 40.754666, 47.001446, 49.601405
0.992721, 40.440327, 46.976105, 49.529064
0.992021, 40.266649, 46.748271, 49.333098
0.992786, 40.957834, 47.206793, 49.729134
0.991199, 40.212810, 47.381535, 49.695386
0.990285, 41.335123, 47.550948, 50.516137
0.992096, 42.075732, 48.365209, 51.199261
0.996161, 45.912444, 49.483122, 52.214236
0.992523, 43.610721, 48.148852, 50.414342
0.993907, 44.807348, 48.433896, 51.347088
0.993622, 44.407040, 47.897442, 50.183164
0.994901, 44.865798, 47.819723, 49.703920
0.993798, 43.403966, 46.980666, 48.526148
0.994916, 43.829613, 47.337575, 47.907759
0.994965, 43.216474, 46.911467, 47.606309
0.994769, 42.554160, 46.275768, 47.129202
0.994631, 42.267874, 46.256634, 46.999350
0.993792, 41.684601, 45.776724, 47.013252
0.994656, 41.602768, 46.102153, 46.829984
0.994509, 41.544057, 45.921297, 46.873141
0.993705, 41.224346, 45.771589, 46.822309
