ms-ssim, psnr-y, psnr-u, psnr-v
0.981889, 32.272949, 41.152060, 40.428508
0.978116, 31.507504, 41.365478, 40.491078
0.978197, 31.406257, 41.406464, 40.256554
0.975868, 31.224413, 41.504481, 40.505468
0.978583, 31.649820, 41.383191, 40.438412
0.976168, 31.236061, 41.853396, 40.730700
0.977130, 31.730743, 41.895601, 40.622425
0.977024, 31.533580, 41.907382, 40.425164
0.980157, 32.038981, 41.590870, 40.432173
0.972963, 30.791608, 41.554164, 40.292880
0.972007, 30.789220, 41.373250, 40.218797
0.969575, 30.310466, 41.270900, 39.997281
0.972413, 30.787430, 41.181012, 39.934412
0.967291, 30.299039, 41.222086, 40.081367
0.975057, 31.215383, 41.339576, 40.021740
0.973920, 30.807020, 41.275874, 39.932610
0.976072, 31.393847, 41.263238, 39.869827
0.974959, 31.441366, 41.417315, 40.100873
0.974572, 31.433497, 41.592905, 40.176682
0.978942, 31.832646, 41.419524, 40.181120
0.978022, 31.686721, 41.611422, 40.167357
0.979208, 31.849244, 41.640565, 40.130257
0.978597, 31.669723, 41.651979, 40.222838
0.981016, 32.071238, 41.848074, 40.255833
0.980007, 32.036302, 41.890429, 40.380383
0.980401, 32.480342, 41.912412, 40.413825
0.979753, 32.275531, 42.111181, 40.856040
0.982802, 32.946509, 41.995677, 40.492512
0.980974, 32.135786, 42.009684, 40.475803
0.981996, 32.346321, 41.954952, 40.097157
0.981323, 31.936123, 42.086227, 40.429056
0.984240, 32.640341, 41.805296, 40.389062
0.981984, 32.237607, 42.141794, 40.621460
0.983539, 32.348693, 42.329928, 40.947502
0.986722, 33.698667, 42.370555, 40.876551
0.984053, 33.358228, 42.480681, 40.869905
0.985550, 33.594036, 42.443233, 41.076175
0.983650, 32.862069, 42.497135, 41.070187
0.986165, 33.600544, 42.497274, 41.105736
0.983860, 33.133719, 42.591205, 41.093653
0.984736, 33.250511, 42.696925, 41.129023
0.984050, 32.693229, 42.506199, 41.121134
0.985498, 33.104029, 42.615903, 40.881926
0.984362, 32.615182, 42.602751, 41.009433
0.984264, 32.604616, 42.632207, 40.917188
0.983445, 32.610824, 42.675729, 41.041431
0.985317, 33.357142, 42.746461, 41.279732
0.982983, 32.590788, 42.708025, 40.972731
0.983081, 32.476014, 42.713049, 40.930732
0.981984, 32.224972, 42.799156, 40.914768
0.984737, 32.457000, 42.578506, 40.770675
0.982708, 32.141142, 42.431966, 40.810518
0.983336, 32.415075, 42.133331, 40.472743
0.982449, 32.265251, 42.039337, 40.529223
0.984110, 32.392563, 42.188642, 40.465029
0.982258, 32.185237, 42.264473, 40.673478
0.982180, 32.309156, 42.487626, 40.582710
0.982522, 32.248066, 42.549316, 40.683498
0.986251, 33.338600, 42.574486, 40.731009
0.984194, 32.763787, 42.408243, 40.789939
0.983944, 32.880667, 42.436955, 41.000771
0.983448, 32.512498, 42.768797, 41.097755
0.986039, 33.424047, 42.453335, 41.047313
0.983269, 32.527350, 42.463368, 41.078586
0.983819, 32.854108, 42.698919, 41.171899
0.983338, 32.640017, 42.741546, 41.348549
0.985212, 33.232511, 42.628233, 41.200157
0.983250, 32.510862, 42.778546, 41.194821
0.983960, 32.731395, 42.770231, 40.899441
0.982358, 32.501706, 42.649487, 40.961663
0.985583, 33.298714, 42.586557, 40.832080
0.982762, 32.699131, 42.307867, 40.902656
0.983084, 32.670393, 42.256865, 40.731906
0.982892, 32.212087, 42.269581, 40.597197
0.984977, 32.844099, 42.262097, 40.522675
0.980984, 31.819531, 42.413661, 40.445847
0.984157, 32.588272, 42.456370, 40.670031
0.982616, 32.275374, 42.544478, 40.850284
0.985742, 33.147543, 42.615712, 40.781110
0.983293, 32.762776, 42.819564, 40.973418
0.983655, 32.988017, 42.636473, 40.803563
0.983469, 32.875045, 42.401651, 40.934360
0.984687, 33.458042, 42.599232, 41.183722
0.983303, 32.753540, 42.556089, 41.167896
0.984101, 32.841136, 42.492401, 41.016593
0.983621, 32.647093, 42.407697, 40.852191
0.985698, 33.025780, 42.500712, 40.790723
0.982368, 32.217280, 42.574533, 40.701519
0.983579, 32.624889, 42.353630, 40.580410
0.982578, 32.601834, 42.375068, 40.604008
0.985094, 33.501264, 42.447133, 40.639528
0.982187, 32.847283, 42.572501, 40.838414
0.981864, 32.811284, 42.289456, 40.758585
0.982440, 32.725213, 42.355068, 40.934910
0.986079, 33.377530, 42.225258, 41.007917
0.982890, 32.824639, 41.996670, 40.979798
0.984662, 33.004142, 42.120836, 40.898412
0.984344, 32.578965, 42.316990, 40.974857
0.985872, 33.156417, 42.348511, 41.072160
0.983734, 32.441945, 42.398745, 40.969431
0.984652, 32.795458, 42.330956, 40.847488
0.983024, 32.534082, 42.418811, 40.804192
0.986440, 33.573172, 42.692357, 41.102771
0.984208, 32.420263, 42.421183, 40.917155
0.984723, 33.030521, 42.418902, 40.932610
0.984615, 32.738125, 42.589876, 40.984548
0.985478, 33.181170, 42.495185, 41.194821
0.984786, 33.086047, 42.603988, 41.141647
0.984847, 33.172216, 42.533694, 41.164991
0.984676, 33.540327, 42.604226, 41.415468
0.986247, 34.074470, 42.587268, 41.469558
0.983682, 33.387119, 42.485912, 41.217207
0.984560, 33.204256, 42.573541, 41.038044
