ms-ssim, psnr-y, psnr-u, psnr-v
0.980165, 31.701110, 42.652903, 44.954486
0.978285, 31.467801, 42.673262, 45.014591
0.978034, 31.569869, 42.689152, 44.977359
0.977355, 31.495022, 42.653095, 45.052731
0.977325, 31.446328, 42.632111, 44.999445
0.976397, 31.357255, 42.637144, 45.010945
0.976332, 31.424073, 42.656177, 44.984681
0.976337, 31.360959, 42.574486, 44.868824
0.977048, 31.488714, 42.629286, 44.893104
0.975708, 31.259519, 42.653576, 44.892459
0.974090, 30.962810, 42.616189, 44.841093
0.972213, 30.741047, 42.633836, 44.872112
0.971139, 30.684710, 42.594385, 44.811401
0.971195, 30.729107, 42.613183, 44.912901
0.973288, 31.009022, 42.710024, 44.949255
0.973315, 31.045586, 42.712658, 44.976455
0.973811, 31.104834, 42.668332, 44.893507
0.977044, 31.553099, 42.770280, 45.103461
0.978560, 31.753643, 42.817664, 45.149656
0.978895, 31.780318, 42.810271, 45.123648
0.980474, 32.089909, 42.697508, 44.977770
0.984104, 32.813285, 42.945767, 45.239878
0.984320, 32.813484, 42.899927, 45.188143
0.984920, 32.909246, 42.952466, 45.195224
0.986069, 33.232194, 42.894530, 45.219319
0.986147, 33.378930, 43.095582, 45.382434
0.986449, 33.376671, 43.082225, 45.391377
0.986444, 33.327070, 43.147536, 45.420500
0.987328, 33.550221, 43.105934, 45.369639
0.986676, 33.400756, 43.317488, 45.484417
0.986686, 33.447088, 43.319788, 45.495332
0.987142, 33.583006, 43.278123, 45.519013
0.987711, 33.841258, 43.234927, 45.462578
0.987267, 33.706876, 43.271236, 45.646581
0.987402, 33.596238, 43.317656, 45.583462
0.987813, 33.809285, 43.356307, 45.627539
0.988870, 34.069323, 43.383159, 45.558583
0.988583, 33.970449, 43.422113, 45.555670
0.988548, 33.910499, 43.403994, 45.547039
0.988732, 33.993323, 43.483101, 45.604875
0.989507, 34.313840, 43.403193, 45.555483
0.989737, 34.343412, 43.592263, 45.705183
0.989752, 34.321340, 43.570032, 45.676990
0.990265, 34.640293, 43.594833, 45.697511
0.989502, 34.338405, 43.625855, 45.759368
0.989713, 34.380156, 43.681795, 45.798121
0.989587, 34.370324, 43.594175, 45.810750
0.990279, 34.677515, 43.651887, 45.798419
0.989800, 34.334403, 43.740072, 45.920071
0.990061, 34.643290, 43.704056, 45.912520
0.990031, 34.437667, 43.667302, 45.907731
0.990816, 34.887685, 43.612807, 45.841433
0.990310, 34.605500, 43.671133, 45.945884
0.990785, 35.016063, 43.841272, 46.005052
0.990687, 34.754989, 43.836971, 46.008698
0.991441, 35.159777, 43.879918, 45.927635
0.990936, 34.868703, 44.036315, 46.028129
0.991270, 35.095174, 44.006238, 45.929682
0.990809, 34.824789, 44.014659, 46.049962
0.990868, 35.008272, 44.151471, 46.090241
0.991160, 34.859940, 44.085772, 46.068417
0.992012, 35.450015, 44.067601, 46.058494
0.991372, 35.075087, 44.104759, 46.103644
0.991467, 35.274599, 44.180796, 46.125540
0.991258, 34.927390, 44.193816, 46.111215
0.992140, 35.412042, 44.093344, 46.065036
0.991190, 34.909232, 44.069602, 46.004010
0.991539, 35.216451, 44.055418, 46.048068
0.991417, 35.073977, 44.051764, 46.062292
0.991936, 35.351695, 44.073071, 46.012661
0.991152, 35.001679, 44.182917, 46.163287
0.991581, 35.287176, 44.205430, 46.178110
0.991255, 35.038677, 44.203779, 46.165556
0.991999, 35.467155, 44.163041, 46.137442
0.990737, 34.685015, 44.235677, 46.229680
0.991379, 35.081999, 44.252131, 46.220477
0.991701, 35.218762, 44.212800, 46.216538
0.992120, 35.449366, 44.253174, 46.251670
0.991385, 35.047368, 44.272770, 46.280537
0.991480, 35.183315, 44.311169, 46.295098
0.991600, 35.308430, 44.273818, 46.327956
0.992462, 35.647969, 44.258326, 46.292204
0.991896, 35.429656, 44.351263, 46.386574
0.991950, 35.322957, 44.388212, 46.423803
0.991357, 34.916505, 44.333933, 46.415095
0.992182, 35.386944, 44.326709, 46.359708
0.991794, 35.344855, 44.353826, 46.383164
0.991808, 35.106053, 44.379751, 46.384187
0.991552, 35.199293, 44.410808, 46.403208
0.992438, 35.490704, 44.391012, 46.399899
0.991920, 35.280928, 44.393455, 46.394883
0.991317, 35.007035, 44.361024, 46.424147
0.991870, 35.363274, 44.407707, 46.392605
0.992213, 35.522963, 44.378462, 46.415897
0.991594, 35.270734, 44.490464, 46.550059
0.991444, 35.131600, 44.462410, 46.558805
0.991539, 35.341079, 44.445650, 46.532619
0.992098, 35.466537, 44.648807, 46.765111
0.991748, 35.280836, 44.675410, 46.787750
0.991472, 34.934101, 44.815675, 46.926249
0.991692, 35.188969, 44.764734, 46.897247
