ms-ssim, psnr-y, psnr-u, psnr-v
0.973861, 29.712132, 37.392731, 38.447034
0.986339, 32.307132, 39.563595, 40.675737
0.984762, 31.638612, 39.402222, 40.614411
0.984350, 31.653393, 39.356536, 40.367737
0.984062, 31.604473, 39.166098, 40.172656
0.983930, 31.501593, 39.210685, 40.106627
0.983114, 31.418483, 39.133998, 40.125816
0.982887, 31.343679, 39.126726, 40.352747
0.983653, 31.557889, 39.061504, 40.345555
0.980071, 30.451288, 38.848865, 39.920997
0.975828, 29.573639, 38.582888, 39.566668
0.974809, 29.393342, 38.513790, 39.382208
0.973710, 29.259352, 38.408246, 39.289572
0.972744, 28.926435, 38.416350, 39.234105
0.977708, 29.985986, 38.517911, 39.690346
0.978560, 30.159771, 38.476814, 39.672572
0.979692, 30.428785, 38.460047, 39.822639
0.979643, 30.407292, 38.420090, 39.723883
0.979776, 30.406202, 38.430563, 39.750249
0.981814, 31.163207, 38.652587, 39.774791
0.982326, 31.269577, 38.637457, 39.855447
0.982018, 31.173251, 38.652452, 39.876629
0.982259, 31.239674, 38.639042, 39.841871
0.982015, 31.165854, 38.584718, 39.926954
0.981116, 30.782855, 38.569484, 39.902408
0.980924, 31.561058, 38.802209, 39.724447
0.980256, 31.269285, 38.615479, 39.678246
0.981006, 31.485734, 38.800642, 39.886444
0.979709, 31.104752, 38.580928, 39.768197
0.982311, 31.719925, 38.375910, 39.675796
0.980853, 31.390958, 38.473301, 39.612935
0.981134, 31.479175, 38.337590, 39.367636
0.981503, 31.503306, 38.363003, 39.412024
0.983366, 31.928491, 38.274206, 39.214936
0.979826, 31.218741, 38.335915, 39.365287
0.980839, 31.420452, 38.347437, 39.411568
0.978358, 31.173152, 38.428743, 39.480408
0.978383, 31.116619, 38.251680, 39.157071
0.975201, 30.535265, 38.188221, 39.029936
0.975223, 30.559080, 38.001739, 38.956780
0.972727, 30.077933, 37.733405, 38.733307
0.990730, 33.942905, 40.892343, 41.132752
0.988808, 32.925283, 40.869363, 41.095233
0.987033, 32.310282, 40.626408, 40.891733
0.987466, 32.287582, 40.572323, 40.835246
0.986784, 32.080067, 40.499102, 40.784583
0.986408, 31.930260, 40.322387, 40.792636
0.985957, 31.983097, 40.373087, 40.779140
0.985651, 31.968755, 40.242743, 40.633447
0.984038, 31.584676, 40.218192, 40.603888
0.982773, 31.130835, 40.106841, 40.554236
0.988563, 33.625162, 39.878305, 40.797091
0.982316, 31.668072, 39.662067, 40.276809
0.982069, 31.684675, 39.445748, 40.002324
0.980458, 31.611365, 39.474084, 39.980990
0.982153, 31.663881, 39.093452, 39.647852
0.979397, 31.264127, 39.249488, 39.658539
0.980722, 31.375475, 39.199479, 39.613699
0.979720, 31.129014, 39.156921, 39.674438
0.981704, 31.454563, 39.089022, 39.397079
0.979655, 31.282115, 39.132928, 39.491667
