ms-ssim, psnr-y, psnr-u, psnr-v
0.994868, 37.077631, 45.594250, 45.277502
0.994889, 37.081306, 45.591030, 45.281115
0.994889, 37.083495, 45.579872, 45.280234
0.994885, 37.081763, 45.562907, 45.280058
0.994896, 37.080302, 45.535246, 45.270637
0.994897, 37.079908, 45.518547, 45.249845
0.994892, 37.078928, 45.514452, 45.243635
0.994895, 37.078925, 45.506646, 45.241625
0.994895, 37.078575, 45.503211, 45.235427
0.994893, 37.078525, 45.498575, 45.239354
0.994893, 37.078325, 45.499038, 45.234293
0.994893, 37.078205, 45.490519, 45.232201
0.994893, 37.078435, 45.492925, 45.233334
0.994893, 37.078825, 45.491721, 45.233072
0.995319, 37.369847, 45.767052, 45.477217
0.995359, 37.386915, 45.823816, 45.504882
0.995371, 37.389217, 45.846250, 45.495888
0.995393, 37.386535, 45.855296, 45.492369
0.996658, 38.552014, 46.821555, 46.399785
0.996682, 38.556739, 46.869581, 46.416469
0.996691, 38.560790, 46.875558, 46.401610
0.996692, 38.559810, 46.872251, 46.396137
0.996963, 38.661275, 47.130417, 46.778033
0.997068, 38.846485, 47.623661, 47.564648
0.997214, 38.903426, 47.701458, 47.370682
0.997635, 39.374390, 47.686400, 47.570617
0.997507, 39.537572, 48.027379, 47.410659
0.997492, 39.685847, 47.950581, 47.737469
0.997554, 39.279422, 47.914059, 47.302192
0.997628, 39.333670, 47.981827, 47.645486
0.997364, 39.116043, 47.938210, 47.405336
0.997411, 39.493079, 47.949114, 47.710548
0.997238, 38.941589, 47.716413, 47.286356
0.997452, 39.148729, 47.825579, 47.602396
0.997175, 38.892321, 47.662843, 47.154505
0.997190, 39.263740, 47.699149, 47.486751
0.997155, 38.918168, 47.567035, 46.977017
0.997347, 39.190638, 47.733126, 47.395284
0.997150, 39.116544, 47.784751, 47.086376
0.997120, 39.291120, 47.720895, 47.421902
0.996971, 38.767784, 47.594129, 46.948193
0.997215, 39.011645, 47.584979, 47.330363
0.997003, 38.846571, 47.336585, 46.867675
0.997075, 39.288845, 47.337292, 47.256522
0.996838, 38.676936, 47.236562, 46.901342
0.997198, 39.055745, 47.239744, 47.314001
0.996878, 38.773464, 47.019036, 47.093061
0.996987, 39.065258, 47.233245, 47.170548
0.996724, 38.549109, 47.407206, 46.967257
0.997098, 38.932705, 47.430136, 47.194039
0.996751, 38.688111, 47.193080, 46.711475
0.996871, 39.011188, 47.166191, 47.270020
0.996769, 38.629703, 47.054299, 47.151250
0.997034, 38.899323, 47.087578, 47.385684
0.996685, 38.460537, 47.102705, 47.350759
0.996751, 38.656636, 47.260970, 47.421036
0.996650, 38.335688, 47.182277, 47.579887
0.996942, 38.640609, 47.154777, 47.484701
0.996756, 38.504623, 47.275458, 47.507309
0.996679, 38.606493, 47.278250, 47.339558
0.996593, 38.263844, 47.295037, 47.343241
0.996951, 38.587236, 47.260831, 47.454496
0.996641, 38.203269, 47.436647, 47.443749
0.996722, 38.505539, 47.296860, 47.413251
0.996611, 38.241603, 47.416421, 47.477678
0.996978, 38.707234, 47.436792, 47.668491
0.996675, 38.424382, 47.503631, 47.750059
0.996694, 38.719840, 47.546490, 47.738401
0.996490, 38.518859, 47.666811, 47.730956
0.996845, 38.789703, 47.616712, 47.679044
0.996466, 38.570941, 47.617768, 48.087354
0.996596, 38.785962, 47.580186, 47.860723
0.996478, 38.683468, 47.845899, 47.948299
0.996885, 39.133463, 47.701458, 47.735452
0.996543, 39.087560, 47.789932, 47.966421
0.996566, 39.181139, 47.726929, 47.820356
0.996554, 39.137055, 47.884739, 47.532995
0.996844, 39.334656, 47.916484, 47.635166
0.996544, 39.037874, 47.946182, 47.516444
0.996716, 39.441099, 47.879605, 47.626534
0.996680, 39.155592, 48.053506, 47.935448
0.996898, 39.539986, 48.188961, 47.866475
0.996619, 39.453592, 48.261370, 47.770810
0.996683, 39.552054, 48.282609, 47.802202
0.996656, 39.519463, 48.287714, 48.012969
0.996980, 39.747376, 48.128256, 47.874636
0.996738, 39.591767, 48.241803, 47.990866
0.996689, 39.637317, 48.041338, 47.891327
0.996634, 39.461312, 48.152607, 48.035849
0.996914, 39.847083, 48.096785, 47.887791
0.996698, 39.615529, 48.159443, 48.004378
0.996658, 39.708078, 48.166119, 47.883616
0.996623, 39.389847, 48.223886, 47.985769
0.996934, 39.844246, 47.983633, 47.878963
0.996761, 39.553982, 48.166804, 48.008837
0.996742, 39.655304, 48.158759, 47.878963
0.996627, 39.420705, 48.179157, 48.116554
0.996982, 39.791084, 48.116046, 47.881209
0.996794, 39.638393, 48.295649, 48.207599
0.996759, 39.720733, 48.271889, 48.105560
0.996715, 39.643541, 48.314929, 48.103702
0.996988, 39.994624, 48.324512, 48.037346
0.996797, 39.753180, 48.283840, 48.299887
0.996969, 40.010004, 48.335719, 48.227012
0.996965, 40.000122, 48.331980, 47.951722
0.997064, 39.981946, 48.340887, 48.217988
0.997115, 40.146618, 48.428434, 48.287362
0.997196, 40.224640, 48.464980, 48.293884
0.997245, 40.199767, 48.533785, 48.303421
0.997234, 40.223423, 48.644241, 48.342493
0.997282, 40.293251, 48.752087, 48.344813
0.997284, 40.283470, 48.766815, 48.314042
0.997341, 40.402544, 48.804153, 48.342314
0.997338, 40.390277, 48.777056, 48.462595
0.997359, 40.401806, 48.716164, 48.411181
0.997431, 40.352230, 48.756205, 48.408283
0.997330, 40.096275, 48.558839, 48.123673
0.997354, 40.170142, 48.539942, 48.180703
0.997413, 40.077947, 48.478765, 48.032360
0.997385, 40.060318, 48.401586, 47.946345
0.997454, 40.001977, 48.417711, 48.115200
0.997496, 40.049455, 48.408101, 48.336075
0.997505, 39.882678, 48.400140, 48.215215
0.997549, 39.853034, 48.462962, 48.233444
0.997579, 39.994840, 48.471040, 48.293355
0.997633, 40.120098, 48.493701, 48.214349
0.997627, 40.034713, 48.387684, 48.349098
0.997602, 39.883912, 48.426251, 48.373286
0.997625, 39.925740, 48.534717, 48.443381
0.997681, 40.013482, 48.580080, 48.410275
0.997722, 40.065395, 48.684780, 48.565970
0.997727, 40.088781, 48.661486, 48.555840
0.997718, 40.046331, 48.650556, 48.584416
0.997686, 39.929145, 48.636980, 48.461678
0.997696, 39.933801, 48.992914, 48.559777
