ms-ssim, psnr-y, psnr-u, psnr-v
0.989471, 35.478239, 40.718508, 39.751425
0.988839, 35.204431, 40.680571, 39.656470
0.989047, 35.327908, 40.658210, 39.665306
0.987938, 34.986368, 40.470356, 39.445165
0.987834, 34.978318, 40.432686, 39.457234
0.988429, 35.264136, 40.580211, 39.578116
0.987973, 35.102208, 40.526396, 39.555500
0.988930, 35.480702, 40.664732, 39.625873
0.989066, 35.530560, 40.654852, 39.642426
0.988347, 35.213512, 40.602426, 39.471286
0.988613, 35.268303, 40.536079, 39.550384
0.988627, 35.352300, 40.646245, 39.784599
0.989289, 35.596808, 40.654892, 39.794718
0.988848, 35.480475, 40.595146, 39.711682
0.988892, 35.484942, 40.590986, 39.704440
0.988066, 35.127501, 40.488938, 39.569664
0.987275, 34.746690, 40.351088, 39.404093
0.988177, 34.979623, 40.452381, 39.474305
0.987990, 35.164414, 40.445181, 39.486960
0.988724, 35.364994, 40.509686, 39.532835
0.988996, 35.550432, 40.481833, 39.527892
0.989054, 35.516796, 40.463733, 39.440841
0.989006, 35.477350, 40.436889, 39.494921
0.989532, 35.777705, 40.601267, 39.666412
0.990684, 36.339843, 40.868443, 40.246014
0.991421, 36.785303, 41.020542, 40.364031
0.992183, 37.215554, 41.285560, 40.565512
0.992664, 37.412988, 41.438781, 40.648291
0.992336, 37.096453, 41.322792, 40.558412
0.992642, 37.354531, 41.449307, 40.636165
0.992928, 37.543504, 41.462537, 40.727711
0.993957, 38.320979, 41.865564, 41.243254
0.994627, 38.634822, 42.163554, 41.528953
0.994495, 38.482900, 42.229796, 41.428828
0.994728, 38.506387, 42.339063, 41.532120
0.994701, 38.491110, 42.349965, 41.555432
0.994970, 38.768254, 42.336104, 41.633180
0.995025, 38.875355, 42.617066, 41.753805
0.995189, 39.006014, 42.605516, 41.812351
0.995184, 39.005576, 42.596609, 41.813812
0.994919, 38.821561, 42.521675, 41.738655
0.994822, 38.706326, 42.511347, 41.782411
0.994976, 38.855761, 42.528083, 41.773244
0.994817, 38.798568, 42.645566, 41.787921
0.995178, 39.115364, 42.633812, 41.873233
0.995221, 39.148014, 42.657630, 41.915831
0.994776, 38.639645, 42.552809, 41.678731
0.994850, 38.632471, 42.505686, 41.738931
0.994734, 38.542348, 42.378364, 41.633585
0.995024, 38.914587, 42.566690, 41.829033
0.995388, 39.257229, 42.845877, 42.015341
0.995429, 39.329879, 42.875115, 42.046379
0.995115, 39.057497, 42.813953, 41.982033
0.995342, 39.255844, 42.853543, 41.967963
0.995480, 39.334189, 42.881368, 42.023943
0.995302, 39.236140, 42.967126, 42.080748
0.995465, 39.238597, 42.986894, 42.162142
0.995483, 39.268588, 42.980348, 42.172819
0.995672, 39.609248, 43.175071, 42.377522
0.995338, 39.153650, 43.179240, 42.332968
0.995478, 39.179107, 43.179915, 42.308414
0.995862, 39.494297, 43.407913, 42.578956
0.996109, 39.919568, 43.500744, 42.705748
0.996176, 39.949963, 43.520756, 42.709944
0.995997, 39.751269, 43.627564, 42.722145
0.995993, 39.757213, 43.641004, 42.782833
0.996190, 40.031689, 43.832973, 43.013269
0.996117, 39.920035, 43.681090, 42.948635
0.996272, 40.119873, 43.815379, 42.994698
0.996342, 40.155204, 43.825887, 42.989340
0.996177, 39.930275, 43.848471, 43.009349
0.996219, 39.909461, 43.751070, 42.867972
0.996458, 40.218617, 43.890499, 43.058408
0.996360, 40.027498, 43.906233, 43.146549
0.996522, 40.351475, 43.883490, 43.114649
0.996494, 40.352440, 43.817166, 43.080883
0.996347, 40.202769, 43.919108, 43.166889
0.996205, 40.113171, 43.681631, 42.946190
0.996447, 40.322629, 43.883093, 43.138540
0.996417, 40.110907, 43.910511, 43.236370
0.996559, 40.557486, 43.988791, 43.270363
0.996603, 40.613079, 44.051586, 43.318842
0.996393, 40.232672, 43.932680, 43.190104
0.996376, 40.136572, 44.063303, 43.300382
0.996406, 40.154886, 43.891635, 43.063710
0.996605, 40.380445, 44.006052, 43.232146
0.996502, 40.260725, 43.980867, 43.085930
0.996476, 40.254053, 43.981824, 43.073700
0.996424, 40.161238, 43.842428, 42.916789
0.996550, 40.351274, 44.124824, 43.248970
0.996432, 40.071417, 44.131514, 43.306659
0.996556, 40.199220, 44.250112, 43.449075
0.996692, 40.544299, 44.106070, 43.289041
0.996720, 40.563726, 44.127133, 43.285359
0.996596, 40.390582, 43.966884, 43.232561
0.996447, 40.141173, 44.055006, 43.286520
0.996591, 40.322213, 44.170294, 43.307329
0.996643, 40.255661, 44.198099, 43.408040
0.996832, 40.562548, 44.214256, 43.476691
0.996901, 40.629934, 44.261914, 43.516871
0.996581, 40.283439, 44.084664, 43.382977
0.996676, 40.269778, 44.277255, 43.498693
0.996647, 40.317670, 44.229245, 43.389856
0.996875, 40.562730, 44.430211, 43.640012
0.996806, 40.416923, 44.241236, 43.397024
0.996813, 40.433554, 44.212267, 43.381108
0.996725, 40.321976, 44.194321, 43.272087
