ms-ssim, psnr-y, psnr-u, psnr-v
0.990767, 38.171871, 42.765504, 42.317776
0.989172, 37.859246, 42.646440, 42.357721
0.988450, 37.629400, 42.601757, 42.252934
0.987988, 37.404973, 42.553915, 41.941248
0.989126, 37.636307, 42.541802, 41.816630
0.987495, 37.431001, 42.499826, 41.823806
0.987973, 37.594728, 42.497744, 41.926316
0.988433, 37.649248, 42.440684, 41.898849
0.989100, 37.721659, 42.361175, 41.806600
0.987982, 37.524089, 42.424381, 41.849896
0.988093, 37.542793, 42.420553, 41.827938
0.987893, 37.579827, 42.424928, 41.905246
0.989114, 37.767060, 42.297458, 41.913182
0.987411, 37.436357, 42.293111, 41.863890
0.986606, 37.218071, 42.330250, 41.827214
0.984503, 36.551457, 41.930655, 41.190666
0.985804, 36.824127, 41.992404, 41.207262
0.984535, 36.729072, 42.035841, 41.263029
0.984432, 36.701743, 41.883722, 41.034674
0.985026, 36.744545, 41.906846, 41.130365
0.986510, 37.022092, 41.994092, 41.181798
0.985602, 36.956977, 42.125045, 41.434262
0.987530, 37.364606, 42.368870, 41.644951
0.987880, 37.488450, 42.414463, 41.743762
0.989967, 37.924461, 42.469315, 41.911021
0.989991, 37.914759, 42.707543, 42.130401
0.990392, 38.010607, 42.808747, 42.272262
0.991196, 38.193625, 42.841257, 42.448257
0.992025, 38.519032, 42.897201, 42.556588
0.992649, 38.858943, 43.382573, 43.066082
0.992570, 38.848188, 43.313989, 42.937241
0.992654, 38.776713, 43.318617, 42.975492
0.993849, 39.254269, 43.423826, 43.196368
0.993384, 39.239828, 43.791495, 43.326442
0.993594, 39.344691, 43.780543, 43.314661
0.993771, 39.400970, 43.993238, 43.688186
0.994636, 39.672137, 43.986525, 43.580186
0.994112, 39.483667, 44.123775, 43.669549
0.994104, 39.584681, 44.163061, 43.651663
0.994141, 39.576472, 44.141041, 43.907431
0.994875, 39.848841, 44.244532, 43.962954
0.994264, 39.575354, 44.270988, 43.922454
0.994015, 39.466838, 44.133706, 43.641782
0.994070, 39.451006, 44.171445, 43.731969
0.995109, 39.951092, 44.437453, 43.953262
0.994199, 39.637177, 44.132985, 43.759990
0.994435, 39.772156, 44.243669, 43.910454
0.994312, 39.646389, 44.296453, 43.943677
0.995292, 40.075258, 44.423848, 44.248293
0.995333, 40.128512, 44.488063, 44.301382
0.994642, 39.924539, 44.558737, 44.430147
0.994765, 39.850939, 44.464499, 44.269469
0.995376, 40.157524, 44.560592, 44.337056
0.994386, 39.752243, 44.594593, 44.312667
0.994370, 39.781177, 44.523897, 44.213093
0.994370, 39.739202, 44.570047, 44.332023
0.995382, 40.207665, 44.754374, 44.492889
0.994673, 39.821661, 44.664456, 44.307506
0.994849, 39.943388, 44.698804, 44.354023
0.994808, 39.780593, 44.750391, 44.274555
0.995616, 40.236407, 44.742816, 44.441127
0.995095, 40.009754, 44.774205, 44.541942
0.995369, 40.202960, 45.060972, 44.747242
0.995559, 40.204680, 44.934141, 44.525869
0.995688, 40.262858, 44.933491, 44.532482
0.994989, 39.976395, 44.937718, 44.499648
0.995297, 40.088968, 44.824623, 44.537885
0.995243, 40.032194, 44.880053, 44.562713
0.995800, 40.338886, 45.023686, 44.778663
0.995507, 40.218754, 44.888801, 44.608643
0.995540, 40.240257, 44.887336, 44.622739
0.995347, 40.077462, 45.026194, 44.736151
0.996040, 40.491684, 45.027596, 44.805367
0.995474, 40.225222, 44.989131, 44.920871
0.995745, 40.443716, 45.223426, 45.070427
0.995290, 40.019221, 44.828921, 44.496088
0.996054, 40.445370, 44.971902, 44.799096
0.995481, 40.172920, 44.938116, 44.675909
0.995676, 40.298262, 44.987595, 44.765789
0.995702, 40.237721, 44.906529, 44.664184
0.996199, 40.529191, 45.169181, 44.877130
0.995285, 40.044715, 45.007898, 44.663234
0.995629, 40.363618, 45.130128, 44.864565
0.995811, 40.372687, 45.077290, 44.781870
0.996460, 40.771898, 45.330469, 44.969024
0.996040, 40.494688, 45.265163, 44.903264
0.995859, 40.366160, 45.215442, 44.761171
0.995721, 40.219547, 45.226322, 44.723334
0.996271, 40.574357, 45.312464, 44.842125
0.996164, 40.457254, 45.381612, 44.925879
0.995968, 40.431440, 45.304079, 44.889373
0.996000, 40.416457, 45.303961, 44.908898
0.996384, 40.666252, 45.355189, 44.972011
0.996072, 40.368339, 45.294729, 44.877878
0.996212, 40.477851, 45.328214, 45.014552
0.996175, 40.427913, 45.374012, 45.134097
0.996480, 40.701852, 45.458964, 45.180519
0.996307, 40.501795, 45.536350, 45.203437
0.996227, 40.410456, 45.238159, 44.810770
0.996195, 40.375837, 45.217909, 44.864921
0.996386, 40.559444, 45.238507, 44.881909
0.996158, 40.328006, 45.193649, 44.898068
0.996259, 40.470191, 45.146936, 44.743818
0.996111, 40.265769, 45.123257, 44.521203
0.996470, 40.278136, 45.075424, 44.571043
0.996110, 40.148930, 44.895919, 44.370264
0.996264, 40.365144, 44.980544, 44.555227
0.996343, 40.297433, 44.932372, 44.459284
0.996490, 40.494490, 45.193726, 44.627145
0.996223, 40.210290, 45.096143, 44.300009
0.996140, 40.343392, 45.083453, 44.667783
0.996102, 40.356196, 45.276403, 44.898712
0.996567, 40.689963, 45.442611, 45.197408
0.996083, 40.398131, 45.140189, 44.766588
0.996076, 40.475489, 45.148263, 44.864281
0.996086, 40.404976, 45.126615, 44.930964
