ms-ssim, psnr-y, psnr-u, psnr-v
0.994022, 41.940042, 46.704943, 46.738082
0.991895, 40.797977, 46.433029, 46.404308
0.992014, 41.176481, 46.711844, 46.509227
0.992031, 41.211743, 46.864316, 46.724534
0.992716, 41.541473, 47.004265, 46.811578
0.991890, 41.169744, 46.994329, 46.953719
0.991773, 40.996175, 47.268442, 47.192454
0.996183, 40.981728, 45.987287, 46.870234
0.993373, 39.107868, 45.482502, 46.351383
0.993437, 38.670772, 45.410694, 46.436498
0.992529, 38.573114, 44.759436, 45.879147
0.993283, 38.846734, 45.045308, 45.876409
0.991863, 38.380371, 44.780580, 45.527398
0.991425, 38.060423, 44.491845, 45.482380
0.990801, 37.625652, 44.484707, 45.328214
0.991656, 37.859342, 44.492302, 45.168495
0.991132, 37.669817, 44.040136, 45.093033
0.991898, 38.233323, 44.366682, 45.182010
0.992502, 38.408100, 44.329382, 45.413718
0.993986, 39.077500, 44.539006, 45.502833
0.992759, 38.366932, 44.248231, 45.283638
0.992179, 38.074371, 44.345437, 45.349065
0.991396, 37.768815, 44.043635, 44.967969
0.992076, 38.170531, 44.029947, 45.064953
0.991135, 37.814768, 43.738628, 45.065920
0.991549, 37.947859, 43.715871, 44.750495
0.991388, 37.804460, 43.691224, 44.788361
0.992788, 38.349888, 43.842653, 44.867089
0.991783, 37.873392, 43.777415, 44.799271
0.992447, 38.257680, 43.821692, 44.811788
0.992014, 37.955013, 43.784144, 44.848707
0.992927, 38.129092, 43.797690, 44.959206
0.991964, 37.886255, 43.599267, 44.888336
0.991925, 37.708221, 43.551564, 44.734564
0.995042, 41.859693, 46.401472, 46.064372
0.992992, 40.524593, 46.093045, 45.657849
0.992881, 40.381290, 45.811968, 45.809803
0.994658, 41.608067, 46.304290, 46.100739
0.993253, 40.670100, 46.217672, 45.805651
0.993069, 40.523183, 46.149103, 45.733943
0.994758, 42.282983, 46.683927, 46.448868
0.993256, 40.800078, 46.220488, 45.845517
0.993793, 41.798417, 46.822944, 46.695397
0.993636, 41.505521, 46.792643, 46.798520
0.995226, 43.226055, 47.449009, 47.486549
0.993701, 41.956832, 47.008688, 47.069438
0.994926, 42.742500, 47.277043, 47.343140
0.993370, 41.411999, 47.108587, 47.181048
0.994740, 42.342537, 47.150318, 47.196648
0.992826, 40.705250, 46.674535, 46.757603
0.993235, 41.052807, 46.570120, 46.648409
0.992956, 40.854900, 46.619245, 46.731466
0.994105, 41.838983, 46.572648, 46.742899
0.993202, 41.352695, 46.445593, 46.868599
0.992977, 41.227004, 46.638987, 47.006534
0.991652, 40.512148, 46.571226, 46.875652
0.993145, 41.502488, 46.301172, 46.843413
0.991769, 41.027859, 46.374971, 46.681280
0.992391, 41.315031, 46.168975, 46.591914
0.991817, 40.737972, 45.820021, 46.432825
0.991538, 40.715075, 45.365547, 46.073001
0.997263, 43.200449, 47.035616, 47.539852
0.995291, 40.559935, 46.286107, 46.978456
0.995493, 40.928948, 46.041056, 46.541737
0.994846, 40.351469, 45.867535, 46.375373
0.995337, 40.939081, 45.888090, 46.457220
0.994158, 40.093986, 45.505634, 45.951990
0.994591, 40.442705, 45.490049, 45.996779
0.994199, 40.151351, 45.569040, 46.043386
0.995204, 41.127891, 45.694998, 46.178440
0.994129, 40.232460, 45.564403, 46.075349
0.994573, 40.738996, 45.730384, 46.202217
0.994506, 40.479926, 45.594109, 46.316685
0.995351, 41.144283, 45.599031, 46.157519
0.994496, 40.276387, 45.447446, 46.007078
0.994504, 40.448339, 45.314474, 45.833461
0.993782, 39.983777, 45.038717, 45.537263
0.994619, 40.587393, 45.353995, 45.918700
0.991411, 38.650537, 45.554726, 45.902149
0.993185, 39.606599, 45.572846, 45.898360
0.993829, 40.053991, 45.453425, 45.755663
0.995014, 40.986225, 45.445861, 45.838617
0.992770, 39.527177, 45.642687, 46.080377
0.993850, 40.341322, 45.307895, 45.924049
0.992801, 39.476404, 45.606024, 45.902149
0.995410, 41.186218, 45.462389, 45.922824
0.994417, 40.496423, 45.511735, 45.902375
0.994345, 40.404614, 45.398419, 45.932949
0.994158, 40.179015, 45.752348, 46.041056
0.995683, 41.519034, 45.738722, 45.998209
0.994706, 40.725600, 45.805166, 46.069857
0.994878, 40.916956, 45.542993, 45.817099
0.994760, 40.689569, 45.565530, 45.787239
0.995673, 41.467013, 45.632411, 45.984159
0.994656, 40.593700, 45.638735, 45.974052
0.994439, 40.413896, 45.614590, 45.930677
0.994347, 40.468073, 45.572678, 45.980113
0.995720, 41.453976, 45.723448, 46.172672
0.994706, 40.658001, 45.717259, 45.941366
0.994910, 40.773948, 45.756710, 46.113135
0.994519, 40.427472, 45.448056, 45.816922
0.995464, 41.198673, 45.804592, 46.008095
0.994370, 40.290450, 45.625502, 45.755008
0.994691, 40.572277, 45.608132, 45.723145
0.994306, 40.226654, 45.560730, 45.831418
0.995233, 41.117148, 45.559812, 45.840441
0.993926, 40.076919, 45.668357, 45.857115
0.994654, 40.702881, 45.511405, 45.915303
0.994359, 40.396638, 45.277966, 45.527398
0.995337, 40.998601, 45.295985, 45.282894
0.994484, 40.268889, 45.052576, 45.356741
0.994515, 40.430553, 44.922060, 45.280899
0.994115, 40.151234, 45.156086, 45.337359
0.994521, 40.407704, 45.084649, 45.258581
0.994016, 40.083835, 45.130997, 45.340967
0.993756, 39.721864, 44.931434, 45.236261
0.996564, 42.584361, 46.807351, 47.053465
0.993439, 39.896741, 45.425956, 46.025333
0.993904, 39.934647, 45.025161, 45.515945
0.993826, 39.674656, 44.942167, 45.446633
0.995137, 41.325234, 45.767636, 46.167823
0.993676, 40.261195, 45.437823, 45.804460
0.993555, 40.050227, 45.252592, 45.469818
0.993276, 39.709304, 45.072627, 45.300345
0.994758, 40.403363, 45.229878, 45.588269
0.993538, 39.509832, 44.944447, 45.610453
0.993838, 39.873422, 45.113836, 45.499253
0.993345, 39.874635, 45.103159, 45.555768
0.994531, 40.755857, 45.371255, 45.830974
0.992971, 40.018138, 45.195490, 45.488243
0.993119, 40.103779, 45.077663, 45.342038
0.993295, 39.698430, 44.904304, 45.116359
0.994499, 40.270663, 44.885407, 45.244283
0.992168, 38.728623, 44.692787, 44.949445
0.992851, 39.169279, 44.699317, 44.910478
0.992668, 39.226475, 44.627280, 44.827159
0.993711, 39.910193, 44.858456, 44.935406
0.992111, 39.749449, 44.822053, 44.849132
0.992623, 39.978374, 45.097493, 45.145495
0.992102, 39.628709, 44.927141, 45.094869
0.993627, 40.301703, 45.009515, 45.439811
0.991954, 38.908340, 44.505239, 44.666866
0.992888, 39.411673, 44.567059, 44.733047
0.992475, 39.705697, 44.614645, 44.950678
0.993544, 40.355827, 45.224353, 45.248164
0.992120, 39.571581, 45.079119, 45.204282
0.992786, 39.813114, 44.689713, 44.795246
0.992950, 39.302392, 44.281604, 44.452167
0.994285, 39.968163, 44.584151, 44.854980
0.991776, 38.738246, 44.370645, 44.749768
0.992586, 39.196418, 44.276572, 44.666561
0.992403, 39.042183, 44.068360, 44.390006
0.993554, 39.620815, 44.294364, 44.434619
0.991965, 39.208101, 44.357058, 44.592856
0.992725, 40.180465, 45.197792, 45.364829
0.991680, 39.423501, 44.833718, 44.983319
0.992143, 39.764102, 44.799096, 45.050684
0.990478, 38.336008, 44.580221, 45.069123
0.992953, 40.171672, 44.849061, 45.167504
0.991529, 39.431391, 44.818078, 45.027375
0.991754, 39.928113, 44.824024, 44.808173
0.991545, 39.577542, 44.444384, 44.597065
0.993694, 39.757929, 44.279926, 44.364052
0.993475, 39.553577, 44.037902, 44.492432
0.990693, 38.157535, 43.717753, 44.297731
0.992377, 38.835911, 43.792244, 44.313356
0.990842, 38.516080, 43.810999, 44.160310
0.992158, 39.203352, 44.057131, 44.370613
0.989325, 37.793609, 43.523339, 43.916850
0.990836, 37.487768, 43.032480, 43.513537
0.996421, 39.383429, 46.167439, 45.676405
0.994433, 37.562787, 46.173969, 45.647452
0.994059, 37.471475, 45.968640, 45.336012
0.993284, 37.088396, 45.448950, 44.962912
0.994032, 37.354817, 45.591840, 44.862860
0.992733, 36.655782, 44.848176, 44.149444
0.992834, 36.598710, 44.874172, 44.050584
0.992663, 36.355662, 44.637219, 43.716880
0.993650, 36.967161, 44.942637, 43.918364
0.992135, 36.118154, 44.294520, 43.293569
0.992133, 36.108234, 44.307943, 43.344362
0.991345, 35.806508, 44.003224, 43.068620
0.992593, 36.562295, 44.119701, 43.458732
0.991051, 35.577863, 43.675383, 42.980118
0.991134, 35.511899, 43.606124, 42.748157
0.990897, 35.337901, 43.359063, 42.633514
0.991950, 36.029571, 43.634011, 42.802751
0.990563, 35.273134, 43.228023, 42.375137
0.990865, 35.279731, 43.204824, 42.308354
0.990711, 35.232749, 43.193465, 42.257202
0.992119, 35.902251, 43.182834, 42.375818
0.990381, 35.104901, 42.880873, 42.036175
0.990686, 35.089534, 43.007286, 42.252545
0.990168, 34.924551, 42.759349, 41.913056
0.991640, 35.654475, 42.915745, 41.956068
0.989693, 34.742095, 42.372793, 41.367933
0.989831, 34.793521, 42.298914, 41.427411
0.989391, 34.566557, 42.468803, 41.416857
0.991109, 35.330648, 42.539596, 41.606175
0.989222, 34.594577, 42.237456, 41.234802
0.989705, 34.700776, 42.312974, 41.412714
0.989454, 34.586909, 42.224703, 41.267017
0.990561, 35.102556, 42.296749, 41.459421
0.989362, 34.698828, 42.290850, 41.306861
0.989870, 34.911321, 42.428476, 41.484531
0.989268, 34.653578, 42.183407, 41.227074
0.990602, 35.030794, 42.268389, 41.483307
0.989026, 34.575584, 42.029176, 41.097173
0.989360, 34.723625, 42.074723, 41.216520
0.989019, 34.436376, 42.060351, 41.138450
0.989842, 34.738793, 42.216486, 41.256675
0.988864, 34.451863, 42.138798, 41.029101
0.988915, 34.538759, 42.246841, 41.192435
0.988617, 34.359617, 42.192868, 40.971582
0.989179, 34.583053, 42.354011, 41.296268
0.987991, 34.304213, 42.049705, 41.076042
0.988159, 34.354061, 41.949033, 41.004058
0.987798, 34.144088, 41.890849, 40.878566
0.987977, 34.024741, 41.927997, 41.083595
0.987061, 33.912178, 41.780664, 40.919986
0.985940, 33.546941, 41.645086, 40.552588
0.995091, 38.350136, 44.613874, 44.115003
0.992107, 36.715537, 44.296515, 43.949950
0.991107, 36.232903, 44.004157, 43.360521
0.989464, 35.628192, 43.786861, 42.936421
0.990819, 35.945225, 43.488248, 42.713668
0.986942, 35.008510, 43.532169, 42.877228
0.989760, 35.884855, 43.517914, 42.857504
0.988204, 35.530338, 43.321307, 42.739345
0.990473, 36.415728, 43.226536, 42.766052
0.988312, 35.983034, 43.234929, 42.567067
0.988443, 36.100280, 43.095498, 42.631983
0.990566, 36.739976, 43.278569, 42.829563
0.988471, 35.788854, 42.936557, 42.205297
0.987630, 35.979694, 43.319364, 42.568889
0.990705, 36.756217, 43.340232, 42.574968
0.989507, 36.395960, 43.359943, 42.699806
0.990511, 36.724950, 43.133575, 42.648701
0.990229, 36.804512, 43.158891, 42.743552
0.986899, 35.636416, 43.248235, 42.650494
0.987878, 35.450342, 42.635598, 42.189776
0.983919, 34.656480, 42.686828, 42.253207
0.990289, 36.635952, 42.761298, 42.406364
0.985600, 35.113855, 42.663107, 42.329477
0.987843, 35.884499, 42.564764, 42.174445
0.986142, 35.504966, 42.481658, 41.893162
0.987411, 36.267166, 42.745407, 42.392442
0.986370, 36.049601, 42.559200, 42.111184
0.984059, 36.069341, 42.688314, 42.457006
0.985888, 35.365079, 42.013054, 41.673426
