ms-ssim, psnr-y, psnr-u, psnr-v
0.991346, 40.858506, 48.836437, 48.597352
0.990194, 40.790578, 48.341125, 48.442975
0.989611, 40.723169, 48.335035, 48.495713
0.989259, 40.734105, 48.347144, 48.576749
0.988472, 40.323553, 48.341441, 48.784154
0.977144, 39.594352, 47.756815, 48.033875
0.974655, 39.144228, 47.529993, 47.779078
0.972296, 38.823924, 47.072569, 47.682739
0.980909, 39.012664, 46.813414, 47.127098
0.975464, 37.359232, 45.776527, 46.002226
0.979579, 36.984242, 45.267073, 45.635211
0.977050, 36.389406, 44.597366, 44.902798
0.984376, 36.510510, 44.070046, 44.310883
0.977476, 34.516755, 43.217673, 43.825971
0.984393, 34.906337, 43.215339, 44.183825
0.988840, 35.928552, 43.808128, 44.594259
0.983582, 34.527050, 43.342735, 44.316268
0.983252, 34.363617, 43.298299, 44.030240
0.980594, 33.878588, 43.340732, 43.978606
0.981412, 33.873576, 43.304127, 43.994139
0.980737, 33.702692, 43.136510, 43.964803
0.984603, 34.385972, 43.133981, 43.945518
0.980947, 33.449006, 42.686140, 43.732435
0.978603, 32.783620, 42.514511, 43.310012
0.976174, 32.219227, 42.179900, 43.063100
0.977055, 32.209891, 42.049408, 43.231585
0.973269, 31.608640, 41.771099, 42.917447
0.972865, 31.530726, 41.656329, 42.932114
0.973535, 31.733549, 42.434951, 43.285457
0.972402, 31.707813, 42.459049, 43.018076
0.973650, 31.954694, 42.443491, 43.263892
0.976868, 32.639998, 42.834037, 43.693204
0.974385, 32.340998, 42.490558, 43.144755
0.973359, 32.818046, 41.920773, 42.452538
0.977091, 32.917699, 42.140146, 42.837177
0.976949, 32.690444, 42.328843, 42.747152
0.976791, 32.677982, 42.322148, 42.414362
0.979053, 33.136858, 42.691437, 42.828162
0.978613, 33.125737, 43.118927, 43.018819
0.978505, 32.827918, 43.164774, 43.005780
0.977941, 32.741887, 43.318717, 43.116312
0.980417, 33.215584, 43.026191, 42.981546
0.978267, 32.779956, 43.329336, 43.267827
0.978768, 32.787024, 43.523756, 43.333656
0.978077, 32.639387, 43.565746, 43.498460
0.979224, 32.943486, 43.264458, 43.277903
0.976925, 32.345317, 43.409006, 43.161891
0.976589, 32.450751, 43.317497, 43.230340
