ms-ssim, psnr-y, psnr-u, psnr-v
0.985944, 34.182334, 42.620520, 43.591386
0.980679, 32.906131, 42.428456, 43.509528
0.981038, 33.129485, 42.155680, 43.314686
0.979315, 32.771136, 42.072667, 43.250881
0.982504, 33.511607, 42.190794, 43.206644
0.977192, 32.582851, 42.386672, 42.950259
0.978154, 32.904549, 41.986501, 42.818077
0.976497, 32.582755, 42.177277, 43.193319
0.979546, 33.240614, 42.017167, 43.016171
0.976346, 32.638634, 42.063352, 43.064344
0.976308, 32.611861, 42.009425, 42.873901
0.974870, 32.324078, 42.034267, 43.046629
0.978396, 32.867355, 41.747714, 42.806047
0.968782, 31.449891, 41.634092, 42.542073
0.961675, 30.506287, 41.111782, 41.937515
0.946706, 29.227753, 40.770368, 41.441124
0.935448, 28.676619, 40.116945, 40.874523
0.927272, 28.355152, 40.237494, 41.296143
0.918576, 28.217272, 40.047439, 41.065152
0.915032, 27.936704, 39.952775, 40.962180
0.915476, 27.970078, 39.545066, 40.646487
0.899588, 27.408137, 39.588524, 40.560311
0.900047, 27.515954, 39.225274, 40.288520
0.986544, 36.354888, 45.345729, 46.215973
0.984966, 35.075609, 45.330825, 46.174161
0.983806, 34.494863, 45.210090, 46.067465
0.983002, 34.367373, 45.186907, 46.047445
0.982442, 34.125463, 45.113874, 46.059829
0.983577, 34.242880, 45.015068, 46.068731
0.982965, 34.164994, 45.001218, 46.078685
0.982373, 33.693689, 44.960550, 45.991662
0.985727, 35.569004, 42.975630, 43.452771
0.971081, 32.280063, 42.288964, 43.044945
0.971169, 32.276053, 41.803068, 42.569056
0.970015, 32.101193, 42.004823, 42.845609
0.973274, 32.874010, 41.684743, 42.381693
0.964989, 31.616953, 42.060034, 42.812113
0.969914, 32.105066, 41.693485, 42.393790
0.967017, 31.739202, 41.934310, 42.798509
0.974838, 32.957044, 41.734521, 42.739759
0.969239, 31.960296, 41.770995, 42.832523
0.972640, 32.707479, 41.795628, 42.505397
0.971895, 32.293858, 42.032767, 42.628541
0.979559, 33.616114, 42.079699, 42.747196
0.975777, 32.956633, 42.259640, 43.088715
0.979124, 33.660024, 42.027234, 43.079728
0.976958, 33.356727, 42.389968, 43.589212
0.981861, 33.960079, 42.298678, 43.023446
0.977938, 33.339174, 42.216447, 43.087417
0.980380, 34.060329, 42.146071, 42.914770
0.977794, 33.973061, 42.304706, 43.162516
0.981281, 34.599150, 42.053573, 43.228023
0.977506, 33.995933, 42.347217, 43.482660
0.979808, 34.406182, 42.303425, 43.418523
0.979259, 34.106563, 42.587700, 43.775728
0.981910, 35.246266, 42.536704, 43.811836
0.977446, 34.493870, 42.794623, 44.190850
0.978209, 34.629380, 42.636620, 44.222219
0.977579, 34.578582, 43.064649, 44.389496
0.982018, 35.609153, 43.235027, 44.456597
0.979328, 35.137078, 43.668173, 44.684186
0.979829, 35.162631, 43.363740, 44.707845
0.980584, 35.127684, 43.605699, 44.714192
0.983695, 36.109542, 43.564244, 44.601211
0.981216, 35.346094, 43.532587, 44.627045
0.981136, 35.488431, 43.560005, 44.339984
0.979691, 35.141419, 43.465963, 44.357185
0.984446, 35.956803, 43.248627, 44.033028
0.981378, 35.352131, 43.369731, 44.314827
0.980895, 35.344461, 43.241993, 44.124015
0.980557, 35.177343, 43.383836, 44.071349
0.983501, 35.725464, 43.201285, 44.095696
0.981137, 35.400250, 43.384342, 44.457633
0.981853, 35.716768, 43.435498, 44.431498
0.984824, 34.001940, 42.373434, 42.926560
0.979876, 32.733238, 42.528083, 42.995576
0.979500, 32.729648, 42.438752, 43.039712
0.977136, 32.343045, 42.318488, 42.864629
0.980138, 32.822587, 41.986427, 42.743945
0.977364, 32.393502, 42.146984, 42.900750
0.978351, 32.510746, 42.015986, 42.723730
0.976742, 32.331426, 41.947798, 42.492780
0.979381, 32.736493, 41.887213, 42.454271
0.976380, 32.135373, 41.966468, 42.512629
0.978502, 32.465771, 41.788936, 42.282703
0.977324, 32.217944, 41.883275, 42.366770
0.980143, 32.688461, 41.807303, 42.275080
0.976553, 32.256970, 41.851085, 42.329180
0.976963, 32.184007, 41.801505, 42.442881
0.974972, 31.806240, 41.809730, 42.385166
0.977581, 32.238673, 41.644697, 42.278841
0.972959, 31.460201, 41.709285, 42.232684
0.973717, 31.503284, 41.609163, 42.332313
0.973187, 31.220853, 41.435746, 42.099209
0.985350, 36.192977, 45.170821, 46.162404
0.982352, 35.234285, 45.201939, 46.182674
0.980792, 34.829060, 45.090186, 46.027052
0.979274, 34.311595, 44.872641, 45.767986
0.979927, 34.433488, 44.936923, 45.781704
0.976972, 33.910269, 44.870362, 45.704647
0.976817, 33.845951, 44.720342, 45.473661
0.976011, 33.730448, 44.657639, 45.513303
0.976287, 33.851704, 44.637860, 45.494484
0.974394, 33.469442, 44.446966, 45.484470
0.975851, 33.619319, 44.560526, 45.517142
0.973841, 33.254335, 44.440031, 45.457008
0.974113, 33.442425, 44.289691, 45.228641
0.973634, 33.323980, 44.358133, 45.326395
0.973292, 33.331768, 44.294115, 45.387461
0.972263, 33.088863, 44.094565, 45.172080
0.973721, 33.506250, 44.066111, 45.046049
0.972102, 33.075425, 44.015922, 45.100719
0.973133, 33.225074, 43.925602, 45.053764
0.972701, 33.223076, 44.057426, 45.270779
0.973344, 33.511286, 43.813593, 45.046160
0.972755, 33.276354, 43.947388, 45.130959
0.972725, 33.192954, 43.929956, 45.169715
0.971621, 32.977576, 43.863263, 45.015730
0.972781, 33.387336, 43.924772, 44.974452
0.971383, 32.832957, 43.879720, 45.010030
0.972199, 33.163870, 43.752693, 45.002245
0.971567, 32.984074, 43.854072, 44.997845
0.970548, 33.035191, 43.637520, 44.634454
0.968363, 32.569374, 43.650104, 44.546465
0.991470, 40.767707, 46.586310, 47.244460
0.986024, 38.672023, 46.194100, 46.963504
0.988069, 39.134301, 46.112377, 46.932267
0.986999, 38.657000, 45.907297, 46.707550
0.990005, 40.131478, 46.011148, 46.757493
0.988587, 39.699885, 46.208557, 46.581136
0.990492, 40.448786, 45.809758, 46.247428
0.988864, 39.821619, 46.078732, 46.420501
0.989417, 39.949780, 46.075630, 46.427524
0.989261, 39.917551, 46.226952, 46.521754
0.989855, 39.901652, 45.711294, 46.091583
0.987512, 38.316511, 45.190813, 45.071844
0.988476, 38.615959, 44.902655, 45.160003
0.988406, 38.513800, 44.982297, 45.053875
0.990277, 39.674107, 45.338429, 45.564779
0.988338, 39.243051, 45.859081, 46.256576
0.987939, 39.234854, 45.819312, 46.438592
0.988640, 39.703430, 45.922915, 46.680524
0.990013, 39.955675, 45.884448, 46.468878
0.988687, 39.499060, 45.927044, 46.542573
0.988798, 39.561491, 45.852874, 46.368233
0.988893, 39.267581, 45.682151, 46.023430
0.990861, 35.998141, 43.769370, 44.491910
0.987236, 34.408594, 43.606949, 44.483633
0.987125, 34.360057, 43.394414, 44.147997
0.985547, 34.065532, 43.287558, 43.936582
0.986596, 34.318470, 43.047073, 43.959981
0.984150, 33.679607, 42.997841, 43.834066
0.984905, 33.996847, 42.888691, 43.783563
0.983194, 33.473164, 42.687431, 43.774704
0.985760, 34.043335, 42.676379, 43.697332
0.983835, 33.439013, 42.676959, 43.654540
0.984117, 33.685569, 42.712477, 43.563823
0.982789, 33.315205, 42.696138, 43.453926
0.984336, 33.814257, 42.504757, 43.309788
0.981730, 33.225962, 42.522297, 43.372907
0.982622, 33.404537, 42.548511, 43.330984
0.981650, 33.078234, 42.428111, 43.269920
0.982973, 33.493674, 42.355347, 43.226683
0.980528, 32.966390, 42.266357, 43.229096
0.981506, 33.108449, 42.154994, 43.064509
0.980047, 32.877961, 42.361454, 43.347243
0.981609, 33.246619, 42.146832, 43.321980
0.979129, 32.797725, 42.291007, 43.389527
0.978754, 32.506620, 42.020434, 43.167490
0.992071, 37.830240, 44.996086, 45.217794
0.986524, 35.598756, 44.258945, 44.393768
0.986472, 35.719175, 44.212237, 44.377852
0.985500, 35.146085, 44.271360, 44.463138
0.987356, 35.456276, 43.985713, 44.356963
0.984902, 34.983715, 44.159615, 44.381475
0.986235, 35.195947, 43.848105, 44.059404
0.984740, 35.052295, 43.850497, 44.205361
0.986919, 35.704295, 43.710499, 44.046048
0.985354, 35.402213, 43.736983, 43.854213
0.986531, 35.424564, 43.463054, 43.326916
0.985101, 34.608419, 43.248039, 43.155532
0.987570, 35.785437, 43.222906, 43.647928
0.984034, 34.948783, 42.997818, 43.331383
0.982224, 34.684732, 42.949825, 43.435831
0.984696, 35.829647, 42.751498, 43.359214
0.992251, 38.570971, 44.620051, 44.917380
0.985908, 35.792252, 43.841164, 44.150891
0.986902, 36.184089, 43.439413, 43.963330
0.982839, 35.623102, 43.055267, 43.630907
0.982561, 35.374415, 42.958615, 43.383609
0.987448, 36.591881, 43.172471, 43.757235
0.986321, 35.801782, 43.441846, 43.914507
0.985902, 35.221116, 43.435063, 43.839311
0.980328, 33.530774, 43.300282, 43.915935
0.982195, 33.728054, 43.359465, 43.946985
0.979643, 33.303075, 43.474213, 44.169022
0.982985, 34.287965, 43.399509, 44.403921
0.981373, 33.943422, 44.091768, 45.054135
0.984615, 34.887431, 43.874539, 44.995207
0.985675, 35.402878, 43.811166, 45.039975
0.987525, 35.909544, 43.846699, 44.989460
0.985082, 35.600177, 43.746754, 45.193611
0.985613, 35.789974, 43.725348, 45.001438
0.985275, 35.584792, 43.608971, 44.696991
0.986083, 35.562016, 43.837880, 44.814317
0.985424, 35.264207, 43.999640, 44.960659
0.981098, 34.431725, 43.749777, 44.857463
0.982402, 34.792921, 43.807292, 44.824306
0.980953, 34.478272, 43.872983, 44.956264
0.984201, 35.218597, 43.423341, 44.704795
0.980286, 34.106967, 43.469932, 44.840959
0.980527, 33.855359, 43.601418, 44.513591
0.983344, 34.592200, 43.362105, 44.230442
0.990797, 35.724369, 44.319904, 45.570629
0.984359, 33.379887, 43.935290, 45.193764
0.983623, 33.212819, 43.662752, 44.828745
0.981830, 32.801605, 43.521903, 44.759610
0.984042, 33.285484, 43.087865, 44.422789
0.980172, 32.706617, 43.334806, 44.523798
0.981220, 32.875200, 43.114150, 44.548348
0.980430, 32.651575, 43.196417, 44.578457
0.982993, 33.031687, 43.038125, 44.518445
0.980072, 32.588730, 43.348246, 44.694667
0.980951, 32.686727, 43.237079, 44.613169
0.979974, 32.663241, 43.366886, 44.857356
0.981038, 32.728091, 43.254756, 44.381062
0.978667, 32.277494, 43.044618, 44.429761
0.978726, 32.455973, 43.129950, 44.575563
0.977976, 32.036092, 42.925900, 44.329131
0.986753, 35.073256, 44.449323, 45.133378
0.981280, 33.056314, 44.423335, 45.006136
0.979516, 32.739324, 44.281168, 44.820680
0.977492, 32.385673, 44.031179, 44.516116
0.979667, 32.787288, 44.014051, 44.415539
0.976269, 32.251605, 44.002903, 44.491780
0.976608, 32.266032, 43.801083, 44.378297
0.975811, 32.073872, 43.923856, 44.476899
0.976869, 32.323841, 43.836590, 44.344459
0.974208, 31.954468, 43.782787, 44.324923
0.975733, 32.041921, 43.875869, 44.538182
0.974652, 31.906036, 43.692010, 44.369281
0.975719, 32.053395, 43.584313, 44.223783
0.972901, 31.730534, 43.766499, 44.434973
0.971957, 31.632015, 43.589159, 44.266619
0.971626, 31.578692, 43.563006, 44.243330
0.972003, 31.658667, 43.289239, 43.833197
0.970888, 31.520313, 43.344938, 44.057898
0.970077, 31.380062, 43.101035, 43.881505
0.968671, 31.058432, 43.025540, 43.653223
0.965365, 30.377816, 42.669685, 43.242189
