ms-ssim, psnr-y, psnr-u, psnr-v
0.993046, 40.603816, 44.498689, 42.467629
0.993126, 40.800490, 44.719711, 43.017758
0.992821, 40.631835, 44.706211, 43.001095
0.992707, 40.637637, 44.495641, 42.819091
0.992774, 40.466753, 44.842620, 43.091983
0.992730, 40.694926, 44.445955, 42.712123
0.992812, 40.783115, 44.571165, 42.753021
0.992637, 40.706526, 44.414439, 42.633535
0.992877, 40.771106, 44.742413, 42.881826
0.992891, 40.864956, 44.431948, 42.515511
0.992971, 40.923518, 44.571475, 42.556706
0.992774, 40.868745, 44.356088, 42.368350
0.993063, 40.994659, 44.731277, 42.690726
0.992768, 40.797581, 44.271102, 42.094048
0.992902, 40.945676, 44.457546, 42.250188
0.992627, 40.631732, 44.204770, 41.812257
0.992724, 40.678623, 44.544186, 42.028146
0.994116, 41.605145, 45.118644, 43.190676
0.994274, 41.751976, 45.179054, 43.474325
0.994670, 42.347987, 45.519552, 44.100194
0.994760, 42.277855, 45.523908, 44.076059
0.996067, 43.438850, 46.424995, 45.143334
0.996177, 43.367767, 46.511719, 45.207474
0.996395, 43.921891, 46.910618, 45.827379
0.996476, 43.873115, 46.898490, 45.805843
0.997051, 44.723070, 47.639611, 46.728299
0.997124, 44.627516, 47.592552, 46.516292
0.997302, 45.166958, 47.943202, 47.173703
0.997341, 45.056376, 47.887810, 46.958935
0.997684, 45.702291, 48.413451, 47.621066
0.997559, 45.305390, 48.211470, 47.156800
0.997790, 45.783988, 48.752515, 47.851930
0.997732, 45.513578, 48.515933, 47.425551
0.997695, 45.518588, 48.520440, 47.456685
0.997785, 45.670197, 48.707852, 47.717882
0.997691, 45.531139, 48.354414, 47.328699
0.997713, 45.639344, 48.757854, 47.708659
0.997704, 45.505208, 48.339727, 47.352584
0.997834, 45.859304, 48.524290, 47.683102
0.997732, 45.498567, 48.286989, 47.375418
0.997813, 45.752580, 48.720615, 47.794612
0.997782, 45.655688, 48.327087, 47.479123
0.997845, 45.844507, 48.533656, 47.762722
0.997761, 45.711481, 48.233031, 47.468062
0.997822, 45.893102, 48.742897, 47.890187
0.997862, 45.832795, 48.480377, 47.522689
0.998029, 46.093092, 48.988131, 48.037318
0.997798, 45.811880, 48.737923, 47.726484
0.997936, 46.092401, 49.090238, 47.952840
0.998074, 46.437928, 49.192236, 48.375954
0.997999, 46.083200, 48.831414, 47.899041
0.998084, 46.520609, 49.197117, 48.459833
0.997998, 46.247640, 49.115892, 48.237459
0.998176, 46.638381, 49.284082, 48.692379
0.998091, 46.264713, 49.012695, 48.229430
0.998192, 46.708021, 49.412886, 48.683236
0.998125, 46.430785, 49.268247, 48.364905
0.998222, 46.723425, 49.391868, 48.642329
0.998076, 46.308930, 49.104933, 48.201445
0.998168, 46.691462, 49.423974, 48.563651
0.998051, 46.401134, 49.348140, 48.253355
0.997835, 46.420195, 49.156697, 48.152573
0.997789, 46.063528, 48.562097, 47.630015
0.997851, 46.252448, 48.650933, 47.753957
0.997974, 46.442747, 49.425058, 48.219671
0.997814, 46.249122, 48.677873, 47.470566
0.998106, 47.145408, 49.395768, 48.408625
0.997780, 46.363746, 48.530458, 47.384552
0.997899, 46.476718, 49.364536, 47.984704
0.997810, 46.765616, 48.948995, 47.844018
0.997844, 46.549029, 48.742203, 47.525137
0.997585, 46.230422, 48.413129, 47.277931
0.997833, 46.455254, 49.208440, 47.864488
0.997545, 46.235569, 48.424623, 47.261194
0.997695, 46.338555, 48.479723, 47.312682
0.997477, 46.120216, 48.190220, 47.239770
0.997749, 46.334731, 49.312494, 47.833679
0.997399, 46.047180, 48.523740, 47.215437
0.997615, 46.278587, 48.557325, 47.327947
