ms-ssim, psnr-y, psnr-u, psnr-v
0.992688, 36.962134, 45.062311, 44.155356
0.989207, 35.309929, 44.523272, 43.519608
0.987217, 34.940209, 45.054024, 44.064929
0.989452, 35.584670, 44.518052, 43.478060
0.986456, 34.669193, 44.561984, 43.308720
0.985376, 34.868193, 44.544252, 43.529398
0.985312, 34.323925, 44.448678, 43.186214
0.990156, 36.452635, 44.801127, 43.653518
0.985973, 34.462248, 44.246967, 43.219303
0.986245, 35.099663, 44.400981, 43.600117
0.985272, 34.601812, 44.213491, 43.323301
0.990281, 36.378957, 44.062476, 43.159419
0.986346, 35.052511, 44.016945, 42.970318
0.982972, 34.394748, 43.613472, 42.380169
0.981712, 34.103710, 42.970410, 41.772320
0.981805, 34.109196, 42.501992, 41.254353
0.980543, 33.867208, 42.654915, 41.086245
0.980677, 33.986933, 42.396165, 41.144181
0.980858, 33.991327, 42.480344, 41.237761
0.982141, 34.453647, 42.502714, 41.406345
0.981017, 34.173060, 42.947378, 41.607400
0.981191, 34.276808, 42.894219, 41.708409
0.981521, 34.512217, 43.395757, 42.062905
0.982360, 34.789552, 42.994698, 41.935342
0.980364, 34.479364, 43.356375, 42.108696
0.982728, 35.409597, 43.582249, 42.388360
0.982555, 35.139133, 43.569886, 42.338964
0.984325, 35.937610, 43.454671, 42.440073
0.982029, 35.476506, 44.123475, 42.946578
0.985737, 36.318938, 43.749832, 42.648637
0.985646, 36.279607, 44.035934, 42.493892
0.987365, 37.271190, 44.020455, 42.734707
0.986973, 36.878129, 44.596397, 43.152871
0.987663, 37.386984, 44.865809, 43.346767
0.988714, 37.890785, 44.963785, 43.434782
0.990154, 38.520632, 44.660520, 43.160235
0.988569, 37.944842, 44.848884, 43.176011
0.987769, 37.411166, 44.778733, 43.273515
0.985309, 36.789921, 45.221766, 43.938735
0.990090, 37.370646, 44.374421, 42.941051
0.989162, 36.898821, 44.502067, 43.087794
0.988127, 37.285118, 44.816777, 43.466247
0.986616, 36.618546, 44.538742, 43.119141
0.989949, 37.930466, 45.395968, 43.978809
0.988912, 36.953256, 45.332527, 44.078164
0.989666, 37.505842, 45.378970, 44.059374
0.989004, 37.169641, 45.639840, 44.444223
0.991652, 37.808883, 45.034982, 43.833589
0.991438, 37.716430, 45.279530, 44.187838
0.991420, 37.780313, 45.360524, 44.142606
0.990889, 37.572610, 45.258425, 43.934917
0.991246, 37.817473, 45.111051, 43.833393
0.990966, 37.416366, 45.198982, 43.830423
0.990820, 37.603861, 45.198444, 43.855959
0.989159, 37.184861, 45.409445, 43.908999
0.990697, 37.511654, 44.769022, 43.446074
0.988278, 37.120177, 45.217909, 44.084634
0.989651, 37.264718, 44.730324, 43.644894
0.987902, 37.110234, 45.075014, 43.923856
0.990686, 37.875921, 44.818183, 43.656666
0.989795, 37.083118, 44.912095, 43.431178
0.990471, 37.622565, 45.163314, 43.823370
0.989527, 36.842626, 44.854270, 43.493143
0.991174, 38.230932, 44.993522, 43.938907
0.990572, 37.005168, 44.640188, 43.328263
0.991613, 37.720190, 44.999568, 43.687563
0.991291, 37.852512, 44.952128, 43.537900
0.992551, 38.501560, 44.946837, 43.771664
0.991677, 37.713518, 44.539797, 43.623743
0.991617, 37.778609, 44.601545, 43.480075
0.991321, 37.306653, 44.380426, 43.554034
0.991948, 37.848880, 44.427993, 43.592393
0.990866, 37.054425, 44.307193, 43.415849
0.991276, 37.231803, 44.376263, 43.437775
0.988668, 36.116319, 44.608911, 43.695267
0.991043, 37.027991, 44.104936, 43.291812
0.986357, 35.305818, 44.330168, 43.555191
0.989669, 35.867122, 43.899056, 43.160523
0.988304, 35.200114, 43.986671, 43.029428
0.990972, 36.801220, 44.202033, 43.336430
0.988445, 35.084345, 43.797940, 42.798619
0.988223, 35.672853, 44.163847, 43.285433
0.986579, 35.246692, 44.017852, 43.098999
0.990734, 36.620469, 44.026810, 43.135961
