ms-ssim, psnr-y, psnr-u, psnr-v
0.988819, 35.776389, 44.295954, 43.624250
0.980848, 34.382899, 43.831067, 43.304325
0.982075, 34.389137, 43.991871, 43.454157
0.979156, 33.926874, 43.613232, 43.128854
0.983472, 34.649108, 43.661513, 43.201139
0.978871, 33.911162, 43.545894, 43.123090
0.980711, 34.149419, 43.853058, 43.277829
0.978678, 33.834960, 43.707285, 43.143870
0.982771, 34.469857, 43.832188, 43.345264
0.977772, 33.728657, 43.612806, 43.131166
0.979924, 34.145049, 43.822279, 43.269083
0.975923, 33.241166, 43.235784, 42.689843
0.981517, 34.277020, 43.389375, 42.917992
0.970609, 32.749898, 43.157739, 42.622386
0.963242, 32.289919, 43.172808, 42.565140
0.951104, 31.223033, 42.852559, 42.186705
0.940677, 30.801742, 42.607375, 41.989066
0.942440, 30.969845, 42.728226, 42.215095
0.941390, 30.941525, 42.663835, 42.126047
0.944542, 31.117813, 42.637173, 42.112579
0.942759, 31.019221, 42.232587, 41.772006
0.948644, 31.367777, 42.626142, 42.017499
0.950128, 31.428071, 42.508701, 42.029361
0.953324, 31.556722, 42.483157, 41.975815
0.952910, 31.444716, 42.008246, 41.618815
0.957779, 31.856963, 42.537162, 41.988516
0.960247, 32.041590, 42.516498, 42.025200
0.964204, 32.251913, 42.729443, 42.091376
0.966496, 32.510171, 42.416020, 41.838372
0.966951, 32.570467, 42.827939, 42.296257
0.967655, 32.587910, 42.738125, 42.190813
0.969090, 32.698095, 42.871070, 42.268526
0.973202, 33.199352, 42.730552, 42.002763
0.971033, 32.992429, 43.165591, 42.352317
0.973147, 33.240818, 43.068549, 42.361394
0.973433, 33.101992, 43.073864, 42.401322
0.977603, 33.673471, 42.939637, 42.201195
0.973872, 33.017392, 43.005919, 42.265985
0.975700, 33.364943, 43.092779, 42.413311
0.975014, 33.187455, 43.049202, 42.398360
0.979550, 33.863205, 42.972617, 42.321554
0.976443, 33.389058, 43.258929, 42.584503
0.978182, 33.787029, 43.334931, 42.664092
0.977460, 33.574097, 43.335505, 42.662165
0.980997, 34.134900, 43.192715, 42.524080
0.977366, 33.487946, 43.160331, 42.620224
0.978756, 33.869971, 43.289116, 42.666341
0.977193, 33.543349, 43.182110, 42.644479
0.981417, 34.242432, 43.042492, 42.561960
0.977652, 33.650594, 43.251396, 42.751607
0.976857, 33.142159, 42.707391, 42.378685
0.977925, 33.678098, 43.090652, 42.732270
0.980263, 33.928838, 42.781953, 42.491237
0.976959, 33.600674, 43.296020, 42.747895
0.977468, 33.450379, 42.988186, 42.554646
0.976955, 33.624417, 43.400803, 42.917107
0.979132, 33.807896, 42.959463, 42.490846
0.975981, 33.559749, 43.352560, 42.867725
0.976257, 33.364634, 43.071676, 42.517243
0.974319, 33.307010, 43.044688, 42.543176
0.978275, 33.628026, 42.854974, 42.360096
0.976113, 33.593738, 43.241675, 42.699375
0.975891, 33.506436, 43.128210, 42.611308
0.975033, 33.415281, 43.206061, 42.638195
0.978072, 33.614999, 42.907584, 42.358958
0.975120, 33.459690, 43.331433, 42.782855
0.976155, 33.410385, 43.095639, 42.499228
0.975846, 33.495361, 43.298052, 42.738300
0.978472, 33.736286, 43.066646, 42.521302
0.975043, 33.497418, 43.532117, 42.944933
0.975940, 33.477798, 43.364797, 42.697993
0.975575, 33.557412, 43.691685, 42.940983
0.978714, 33.900198, 43.375353, 42.586711
0.975966, 33.600425, 43.692309, 42.927720
0.975955, 33.462508, 43.328962, 42.706310
0.975803, 33.586577, 43.624170, 42.793299
0.978832, 33.667058, 43.023771, 42.444000
0.976370, 33.569201, 43.366357, 42.812734
0.975756, 33.289031, 43.005919, 42.559054
0.976508, 33.550094, 43.452129, 42.736710
0.978808, 33.753824, 43.083099, 42.434728
0.975879, 33.564252, 43.405575, 42.790543
0.977368, 33.529196, 43.193440, 42.694736
0.977666, 33.795845, 43.534576, 42.949367
0.979457, 33.806347, 43.209653, 42.484595
0.976853, 33.580974, 43.637332, 42.906429
0.977046, 33.315021, 43.215144, 42.656946
0.976218, 33.416814, 43.413126, 42.826005
0.979637, 33.916213, 43.147363, 42.610674
0.975713, 33.232823, 43.159827, 42.593637
0.976385, 33.355027, 43.141288, 42.411755
0.975819, 33.362224, 43.252892, 42.650750
0.980158, 33.872139, 43.107149, 42.501208
0.976774, 33.467715, 43.497137, 42.830542
0.977558, 33.393846, 43.208998, 42.624826
0.977370, 33.484732, 43.446869, 42.802751
0.980484, 33.947537, 43.180735, 42.594733
0.977131, 33.474413, 43.487704, 42.830475
0.977747, 33.509640, 43.296763, 42.706743
0.976888, 33.426935, 43.326068, 42.748528
0.980495, 33.787961, 42.857011, 42.398521
0.976481, 33.216443, 43.087511, 42.613615
0.978293, 33.366049, 42.833190, 42.367410
0.978594, 33.659876, 43.196707, 42.659640
0.979769, 33.730390, 42.916993, 42.440195
0.976834, 33.413168, 43.317099, 42.746716
0.977599, 33.437829, 43.042819, 42.567716
0.978012, 33.665294, 43.320236, 42.799171
0.980250, 33.837158, 43.089211, 42.479482
0.978038, 33.662428, 43.586405, 42.872126
0.978303, 33.441359, 43.363841, 42.730900
0.978142, 33.617277, 43.556637, 42.953645
0.979939, 33.760938, 43.087653, 42.588184
0.977401, 33.535149, 43.488688, 42.936329
0.978059, 33.534394, 43.411650, 42.801845
0.976975, 33.265826, 43.349424, 42.701728
0.980304, 33.770104, 43.196756, 42.537079
0.977824, 33.510537, 43.492755, 42.700217
0.978745, 33.492643, 43.303234, 42.598992
0.978222, 33.512475, 43.374344, 42.743443
0.980708, 33.766745, 42.837868, 42.411391
0.977855, 33.581331, 43.387022, 42.839696
0.978019, 33.488126, 43.240477, 42.639365
0.977779, 33.516190, 43.423953, 42.737102
0.980539, 33.740780, 43.091148, 42.366530
0.978008, 33.606681, 43.387199, 42.721559
0.978138, 33.542034, 43.251421, 42.635173
0.978392, 33.720052, 43.454209, 42.753006
0.980391, 33.689554, 42.738757, 42.206260
0.978543, 33.542431, 43.276301, 42.678420
0.978153, 33.300852, 43.128282, 42.476856
0.978558, 33.660187, 43.444305, 42.682697
0.980489, 33.774936, 43.065894, 42.399508
0.980072, 33.814124, 43.375983, 42.566522
0.975773, 33.180938, 43.145879, 42.396406
0.978816, 33.614182, 43.309515, 42.569182
0.976478, 33.102788, 42.953256, 42.159434
0.980964, 34.005604, 43.351857, 42.663364
0.976435, 33.306340, 43.197288, 42.506285
0.979534, 33.773408, 43.457267, 42.736732
0.977130, 33.374993, 43.270240, 42.459927
0.981060, 33.903650, 43.274156, 42.510933
0.977183, 33.349607, 43.195449, 42.370811
0.979316, 33.758615, 43.265933, 42.539554
0.977432, 33.349041, 43.118665, 42.250403
0.981284, 34.039822, 43.413075, 42.616155
0.977476, 33.462705, 43.245468, 42.529287
0.979943, 33.944297, 43.511038, 42.694693
0.977588, 33.436396, 43.163717, 42.337037
0.980935, 34.065323, 43.454260, 42.665248
0.977228, 33.516435, 43.161003, 42.382055
0.979721, 33.820993, 43.424055, 42.610568
0.977470, 33.460063, 43.166432, 42.331500
0.981505, 34.182251, 43.260673, 42.585912
0.976161, 33.091326, 42.785211, 41.953812
0.979676, 33.712542, 43.167394, 42.275942
0.976663, 33.111003, 42.968274, 42.072032
0.981387, 34.113355, 43.304995, 42.422700
0.977408, 33.378157, 43.117310, 42.326167
0.979594, 33.786404, 43.390438, 42.510293
0.977523, 33.343627, 43.040389, 42.182027
0.981323, 34.132741, 43.447818, 42.517346
0.977421, 33.330389, 43.116360, 42.403802
0.979965, 33.863909, 43.484521, 42.587132
0.977400, 33.375787, 43.175842, 42.238369
0.981787, 34.246090, 43.590962, 42.585512
0.977281, 33.478674, 43.415722, 42.375718
0.979543, 33.732936, 43.575376, 42.621411
0.978252, 33.552237, 43.275906, 42.416829
0.981498, 34.118866, 43.520234, 42.642880
0.977468, 33.406108, 43.121567, 42.288748
0.980144, 33.882337, 43.662321, 42.745123
0.977658, 33.450712, 43.336930, 42.554917
0.981648, 34.180878, 43.473104, 42.721668
0.977862, 33.461556, 43.238912, 42.426814
0.979785, 33.786991, 43.648707, 42.817146
0.978355, 33.586740, 43.445638, 42.659469
0.982807, 34.315839, 43.546602, 42.756986
0.977718, 33.475719, 43.302911, 42.377381
0.979664, 33.772837, 43.546183, 42.654531
0.976751, 33.004321, 42.624593, 42.009185
0.981555, 34.068944, 43.077490, 42.295018
0.976829, 33.341617, 42.871721, 42.010806
0.979727, 33.807484, 43.291169, 42.380510
0.977181, 33.281292, 43.041090, 42.166455
0.981278, 34.079364, 43.462565, 42.622747
0.978887, 33.790367, 43.626388, 42.783978
0.980275, 33.992077, 43.744227, 42.898014
0.978253, 33.828858, 43.698092, 42.922990
0.981478, 34.247449, 43.594462, 42.798420
0.978304, 33.818248, 43.698011, 42.872418
0.979806, 33.872741, 43.675059, 42.962307
0.979169, 33.934491, 43.756491, 42.936489
0.981052, 33.973825, 43.312000, 42.615033
0.977183, 33.544933, 43.395959, 42.610906
0.978772, 33.485501, 43.337480, 42.869184
0.978242, 33.686965, 43.535518, 42.921376
0.980694, 34.028683, 43.362281, 42.763072
0.978313, 33.883365, 43.602853, 42.897336
0.979195, 33.738582, 43.467200, 42.745385
0.980288, 34.229405, 43.686262, 42.982883
0.981409, 34.191676, 43.239865, 42.601292
0.979663, 34.044913, 43.669576, 43.030430
0.979658, 33.894645, 43.348672, 42.678248
0.978969, 33.985517, 43.646210, 42.874058
0.981534, 34.225525, 43.349575, 42.620584
0.979049, 33.769038, 43.650911, 42.914974
0.979707, 33.798296, 43.432583, 42.728595
0.978714, 33.882209, 43.677600, 42.919900
0.981130, 34.238902, 43.377018, 42.625908
0.978523, 34.001763, 43.652039, 42.830230
0.979736, 34.012640, 43.476872, 42.609405
0.978933, 33.859854, 43.757593, 42.764934
0.981973, 34.325263, 43.254830, 42.541219
0.978989, 33.984305, 43.700103, 42.860057
0.979145, 33.914419, 43.690383, 42.806224
0.979056, 33.961077, 43.795772, 42.905931
0.981744, 34.245005, 43.384923, 42.622620
0.979559, 33.900699, 43.767520, 42.878983
0.979167, 33.588388, 43.282839, 42.548344
