ms-ssim, psnr-y, psnr-u, psnr-v
0.984597, 36.097297, 42.790317, 41.773190
0.975715, 34.745689, 42.007319, 40.896114
0.982473, 35.119886, 42.462461, 41.417300
0.977357, 34.286306, 42.205211, 40.845982
0.984617, 35.124004, 42.658927, 41.366002
0.978495, 33.990712, 42.311526, 41.010536
0.977706, 33.943617, 42.377486, 40.885880
0.983041, 34.802087, 42.815522, 41.415640
0.977552, 34.159859, 42.613984, 41.203494
0.978943, 34.355222, 42.607192, 41.129658
0.977794, 34.179868, 42.661518, 41.245630
0.983818, 34.747881, 42.502164, 41.408952
0.971107, 33.384538, 42.075076, 40.803206
0.959982, 32.558535, 41.827070, 40.403213
0.954933, 32.057472, 41.825913, 40.426815
0.946902, 31.485576, 41.583922, 40.080145
0.944007, 31.212273, 41.259624, 39.994986
0.947287, 31.350111, 41.463829, 40.381525
0.949097, 31.494172, 41.175740, 40.559009
0.952877, 31.672702, 41.488426, 40.547243
0.953486, 31.631832, 41.566646, 40.503665
0.955613, 31.686535, 41.477767, 40.464059
0.960078, 32.084788, 41.623117, 40.802307
0.960190, 32.074349, 41.271625, 40.575172
0.957360, 32.015294, 41.313263, 40.879691
0.956553, 31.858681, 40.973881, 40.538177
0.961735, 32.225440, 41.312409, 40.995474
0.961655, 32.222263, 40.866082, 40.688810
0.964339, 32.527575, 41.203510, 41.152915
0.966942, 32.693883, 41.067011, 41.275062
0.965280, 32.654760, 41.535196, 41.653439
0.963822, 32.578820, 41.431321, 41.605255
0.965400, 32.682343, 41.765503, 41.728267
0.970527, 32.835830, 41.763085, 41.854451
0.967689, 32.706346, 41.904359, 42.043262
0.968901, 32.580887, 41.736619, 41.948284
0.967583, 32.265291, 41.704243, 41.860359
0.970816, 32.347882, 41.783202, 41.991436
0.963198, 31.623095, 41.435443, 41.673280
0.966412, 32.050857, 41.402292, 41.570454
0.965207, 32.135126, 41.403662, 41.647147
0.976553, 32.974059, 41.791718, 41.800739
0.972549, 31.949439, 41.136883, 41.544342
0.983002, 33.568353, 42.218010, 42.413024
0.980700, 33.216285, 42.391988, 42.627152
0.980818, 33.232775, 42.389731, 42.625123
0.981414, 33.403335, 42.646161, 42.848240
0.982183, 33.585091, 42.438248, 42.766793
0.981135, 33.563651, 42.695464, 42.813797
0.980914, 33.565336, 42.496963, 42.650831
0.979049, 33.245716, 42.478983, 42.547117
0.976630, 33.058997, 41.747799, 41.868216
0.971805, 32.383993, 41.164827, 41.252553
0.981771, 33.774154, 41.719434, 42.000330
0.957725, 31.106775, 41.056663, 41.145143
0.960250, 31.278315, 41.035843, 41.017240
0.958037, 31.090197, 41.115144, 41.215749
0.971493, 32.421263, 41.708174, 41.917762
0.964279, 31.490559, 41.620328, 41.997839
0.966492, 31.767647, 41.751230, 41.971084
0.962204, 31.366613, 41.824756, 41.840965
0.966553, 31.862001, 41.764052, 42.056440
0.961055, 31.549205, 41.756555, 42.084852
0.960846, 31.552037, 41.658533, 41.836578
0.958136, 31.254633, 40.897112, 41.158833
0.965437, 32.043412, 41.243400, 41.490005
0.963257, 31.775189, 41.644606, 42.069595
0.968342, 32.431429, 41.874976, 42.208295
0.968950, 32.593231, 42.037470, 42.362167
0.972831, 32.872983, 41.846855, 42.190636
0.968804, 32.469081, 42.086268, 42.438790
0.969669, 32.552187, 42.028849, 42.385133
0.970401, 32.735867, 42.025541, 42.297246
0.972124, 32.863179, 41.787652, 42.046583
0.969788, 32.632538, 42.008383, 42.169820
0.969626, 32.711470, 42.007688, 42.243743
0.967738, 32.583818, 42.277829, 42.104071
0.971151, 32.784708, 42.176301, 42.119933
0.967928, 32.404605, 42.257176, 42.181620
0.967516, 32.426181, 42.381118, 42.133303
0.967307, 32.401479, 42.467188, 42.179981
0.968721, 32.539671, 42.300461, 41.983515
0.965256, 32.102273, 42.190721, 41.901064
0.965501, 32.094632, 42.101124, 41.855893
0.964511, 31.924930, 42.028931, 41.780211
0.969660, 32.232224, 41.861368, 41.659798
0.964213, 31.714146, 41.839351, 41.646036
0.966591, 31.663873, 41.886976, 41.531308
0.963991, 31.264957, 41.743139, 41.575395
0.968360, 31.592406, 41.345388, 41.360324
0.964769, 30.931823, 41.536425, 41.367132
0.967680, 31.291890, 41.650254, 41.701535
0.967462, 31.246957, 41.755609, 41.710771
0.970371, 31.530390, 41.651931, 41.640055
0.968231, 31.256028, 41.648522, 41.505284
0.966750, 31.238570, 41.805813, 41.434601
0.969425, 31.564748, 41.875194, 41.647316
0.966609, 31.327061, 42.032530, 41.809993
0.967279, 31.443973, 41.995983, 41.654326
0.965853, 31.297593, 41.927712, 41.766993
0.970262, 31.802285, 41.966117, 41.784503
0.969588, 31.857012, 41.965489, 41.755976
0.966597, 31.537262, 41.910995, 41.622255
0.964317, 31.307414, 41.531583, 41.359249
0.962138, 31.101785, 41.551463, 41.451142
0.967459, 31.634109, 41.745237, 41.668189
0.963611, 31.321046, 41.918023, 41.600857
0.965274, 31.474522, 41.929399, 41.738483
0.965364, 31.496955, 41.698638, 41.426845
0.970957, 32.084110, 41.837463, 41.668870
0.967448, 31.779472, 41.794308, 41.532903
0.963655, 31.570990, 41.768948, 41.521659
0.964201, 31.522340, 41.174204, 41.211881
0.968997, 31.947677, 41.570010, 41.594585
0.965666, 31.810692, 41.523159, 41.668264
0.968025, 31.802520, 41.618850, 41.550782
0.967849, 31.862232, 41.837305, 41.710313
0.971030, 32.277251, 41.700792, 41.519428
0.967590, 31.964714, 41.689618, 41.676615
0.966274, 32.329727, 41.638402, 41.575488
0.964839, 32.186893, 41.866354, 41.781590
0.969329, 32.705040, 41.739464, 41.730915
0.965995, 32.158107, 41.552310, 41.693193
0.967627, 32.473424, 41.457499, 41.631081
0.967343, 32.227529, 41.445981, 41.547542
0.972376, 32.724997, 41.283312, 41.445855
