ms-ssim, psnr-y, psnr-u, psnr-v
0.988741, 34.079729, 44.195113, 45.542245
0.985196, 32.623304, 44.171203, 45.591083
0.986269, 33.470381, 44.183946, 45.579168
0.985334, 33.227860, 44.213552, 45.582060
0.985745, 32.955976, 44.158316, 45.575733
0.983611, 32.519788, 44.065077, 45.565321
0.984211, 32.645063, 44.191550, 45.687603
0.983005, 32.266950, 44.129203, 45.635932
0.984732, 32.768170, 44.206185, 45.671866
0.983480, 32.356087, 44.097721, 45.537470
0.983414, 32.377051, 44.129983, 45.560897
0.983029, 32.412476, 44.262502, 45.627959
0.984268, 32.697596, 44.110310, 45.548273
0.982220, 32.068800, 44.086505, 45.509425
0.980468, 31.667495, 43.994052, 45.464837
0.978869, 31.098499, 43.963185, 45.462593
0.978693, 30.913055, 43.913337, 45.441718
0.976595, 30.993836, 43.960414, 45.474806
0.976646, 30.981397, 43.941033, 45.446958
0.976521, 31.025316, 43.937213, 45.437174
0.977054, 30.925626, 43.859934, 45.400992
0.976019, 30.862353, 43.731613, 45.330469
0.976272, 30.927606, 43.725402, 45.373972
0.976009, 30.884382, 43.657527, 45.348390
0.976826, 30.924811, 43.692933, 45.338587
0.975932, 30.936964, 43.687563, 45.336447
0.977911, 31.199634, 43.649540, 45.260995
0.977850, 31.217171, 43.581879, 45.220030
0.979287, 31.438756, 43.582990, 45.185988
0.979014, 31.392817, 43.611714, 45.256791
0.980370, 31.639054, 43.677357, 45.281877
0.980230, 31.649133, 43.528771, 45.160383
0.981693, 32.152641, 43.605433, 45.050646
0.982682, 32.424959, 43.666743, 45.186983
0.983398, 32.558240, 43.681983, 45.263877
0.983911, 32.604090, 43.558926, 45.067037
0.984848, 32.889537, 43.600382, 45.063985
0.984608, 33.057556, 43.715871, 45.199673
0.984801, 32.884976, 43.617791, 45.150047
0.984631, 32.929124, 43.678438, 45.172728
0.986152, 33.301196, 43.818898, 45.243973
0.984844, 32.923168, 43.732818, 45.195145
0.984910, 33.004952, 43.828910, 45.302585
0.984808, 32.883542, 43.898060, 45.375371
0.986088, 33.245683, 43.904580, 45.297634
0.983834, 32.525950, 43.757731, 45.154224
0.984482, 32.583642, 43.895927, 45.329005
0.984051, 32.783731, 43.878927, 45.292415
0.985615, 33.224803, 43.916793, 45.369059
0.983832, 32.770974, 43.635323, 45.162705
0.984627, 32.859588, 43.725512, 45.336487
0.983431, 32.508364, 43.790246, 45.407834
0.984497, 32.903236, 43.721631, 45.223349
0.983461, 32.605907, 43.706877, 45.196487
0.984525, 32.748474, 43.789857, 45.334506
0.983693, 32.664110, 43.688783, 45.210475
0.985029, 33.020860, 43.767244, 45.343942
0.983967, 32.844819, 43.737614, 45.298105
0.984389, 32.560906, 43.741097, 45.345411
0.983921, 32.459631, 43.556243, 45.249989
0.985743, 33.212126, 43.763216, 45.290650
0.984239, 32.797521, 43.790856, 45.353438
0.984918, 33.056597, 43.737723, 45.309667
0.984406, 32.878272, 43.643392, 45.225550
0.986019, 33.442632, 43.763326, 45.305495
0.984902, 33.243770, 43.707530, 45.297281
0.985039, 33.231038, 43.767244, 45.371335
0.984933, 33.009604, 43.752940, 45.293278
0.985789, 33.261216, 43.707530, 45.238624
0.984915, 32.935676, 43.685585, 45.270038
0.985374, 33.324570, 43.787416, 45.317865
0.985166, 33.180368, 43.724254, 45.212322
0.986368, 33.483482, 43.614805, 45.165523
0.985485, 33.512380, 43.778799, 45.340610
0.986032, 33.650718, 43.770917, 45.306990
0.985771, 33.517059, 43.767796, 45.308919
0.986570, 33.544733, 43.657258, 45.220840
0.985746, 33.201794, 43.705516, 45.245059
0.985894, 33.395699, 43.726852, 45.266683
0.985893, 33.269618, 43.682389, 45.210205
0.986256, 33.436258, 43.668658, 45.223194
0.985454, 33.366986, 43.723298, 45.279452
0.985450, 33.132674, 43.684014, 45.238624
0.985419, 33.082804, 43.637439, 45.125596
0.986628, 33.547941, 43.527908, 45.041308
0.986034, 33.432435, 43.599320, 45.101770
0.986136, 33.170066, 43.640683, 45.095281
0.985361, 32.959874, 43.546917, 45.016576
0.986629, 33.396460, 43.508202, 44.985767
0.985967, 33.364647, 43.597355, 45.017349
0.986101, 33.428541, 43.569860, 44.997075
0.985754, 33.201475, 43.723380, 45.110600
0.986216, 33.298802, 43.618965, 44.938080
0.985206, 33.051602, 43.681685, 44.962513
0.986121, 33.616042, 43.610595, 44.949010
0.985418, 33.046966, 43.712189, 45.032285
0.986419, 33.448075, 43.667228, 45.000815
0.986656, 33.454334, 43.686967, 45.078074
0.987134, 33.579501, 43.622061, 44.992790
0.986504, 33.471848, 43.650991, 45.072067
0.986663, 33.443609, 43.614405, 45.051871
0.986809, 33.536926, 43.720484, 45.162857
0.987126, 33.514246, 43.689352, 45.126313
0.986793, 33.308886, 43.719692, 45.125105
0.987123, 33.759966, 43.690166, 45.068639
0.987513, 33.653744, 43.736764, 45.158748
0.986580, 33.368892, 43.784727, 45.169143
0.986984, 33.704457, 43.847937, 45.223426
0.986178, 32.974233, 43.727344, 45.163352
0.987591, 33.643230, 43.827875, 45.262358
0.986075, 33.005859, 43.874482, 45.346046
0.986395, 33.103537, 43.892999, 45.361959
0.986394, 33.261921, 43.807598, 45.316130
0.987458, 33.539071, 43.861739, 45.387942
0.986311, 33.220317, 43.885929, 45.405579
0.987049, 33.505385, 43.947589, 45.439527
0.986478, 32.990383, 43.838048, 45.358812
0.987475, 33.532557, 43.890925, 45.402279
0.986271, 33.246942, 43.893823, 45.416946
0.987221, 33.659131, 43.932852, 45.428262
0.986763, 33.544028, 43.815965, 45.359528
0.987519, 33.564113, 43.960500, 45.443992
0.986862, 33.489482, 43.931934, 45.460921
0.987466, 33.708347, 43.948712, 45.485454
0.986429, 33.005037, 43.821525, 45.359927
0.987736, 33.624150, 43.916278, 45.413033
0.986262, 32.993198, 43.990098, 45.419449
0.986771, 33.132854, 43.833505, 45.371295
0.986918, 33.381180, 43.947560, 45.470922
0.988125, 33.785539, 43.906547, 45.453059
0.987303, 33.661249, 43.977331, 45.529386
0.986885, 33.346611, 43.940487, 45.471821
0.986576, 32.808902, 43.898402, 45.504151
0.987702, 33.470942, 43.853199, 45.507199
0.986922, 33.216625, 43.914079, 45.468634
