ms-ssim, psnr-y, psnr-u, psnr-v
0.995759, 38.535804, 41.172158, 42.835128
0.995089, 37.885348, 41.903897, 42.961045
0.994772, 37.556892, 41.818745, 42.901496
0.995066, 37.640662, 41.698557, 42.970525
0.994284, 36.865838, 41.557937, 42.738060
0.994172, 37.036263, 41.339349, 42.659105
0.994229, 36.943433, 41.033174, 42.486712
0.994877, 37.266661, 41.178633, 42.545134
0.994068, 36.539287, 40.803572, 42.308414
0.994277, 36.689366, 40.800796, 42.379727
0.994303, 36.561240, 40.641256, 42.268722
0.994950, 36.979699, 40.657131, 42.245188
0.993566, 35.850400, 40.109114, 41.861557
0.992210, 35.076078, 39.835477, 41.655225
0.990660, 33.943645, 39.446788, 41.268942
0.989846, 33.881020, 39.296989, 41.200484
0.990190, 33.851484, 39.379166, 41.243980
0.990944, 34.277289, 39.304629, 41.137968
0.992527, 34.974668, 39.396215, 41.370253
0.992932, 34.992953, 39.494323, 41.234863
0.993120, 35.227841, 39.427344, 41.082048
0.993576, 35.545054, 39.230593, 40.964670
0.994072, 35.672750, 39.656084, 41.336288
0.994329, 36.037403, 39.529452, 41.267327
0.994469, 36.345423, 39.510868, 41.277601
0.995068, 36.624081, 40.095154, 41.680848
0.995147, 36.953470, 39.919628, 41.575501
0.995232, 36.938503, 39.792661, 41.593772
0.995761, 37.338642, 40.228624, 41.845832
0.996008, 37.715345, 40.392584, 42.081272
0.995491, 37.292763, 40.555064, 42.237670
0.995556, 37.429280, 40.215505, 42.133015
0.995943, 37.787791, 40.462688, 42.203544
0.995557, 37.520009, 40.281982, 42.077641
0.995765, 37.927952, 40.824523, 42.375618
0.995582, 37.814629, 40.446016, 42.151587
0.996157, 38.495012, 40.762745, 42.394534
0.995713, 37.930419, 40.728287, 42.417416
0.995679, 37.773215, 40.954200, 42.651177
0.995626, 37.981396, 40.836667, 42.560873
0.996095, 38.585740, 41.042789, 42.693399
0.995600, 38.354314, 40.925751, 42.653783
0.995576, 38.246863, 40.804172, 42.667691
0.995919, 38.501572, 41.104180, 42.818299
0.995649, 38.420793, 40.764031, 42.592795
0.995691, 38.531581, 40.962441, 42.742593
0.995477, 38.218016, 40.648829, 42.489735
0.995480, 37.923437, 41.050329, 42.723426
0.995277, 37.869054, 40.586219, 42.419561
0.994915, 37.224562, 40.759305, 42.574905
0.997272, 40.147148, 43.143894, 45.089625
0.996836, 39.073451, 43.748760, 45.418157
0.996616, 39.182299, 43.599585, 45.290885
0.996443, 38.700500, 43.614325, 45.276325
0.996560, 38.933791, 43.548728, 45.144130
0.996346, 38.584993, 43.520078, 45.056586
0.996316, 38.510341, 42.827450, 44.716012
0.996289, 38.413219, 42.981892, 44.751083
0.996526, 38.869537, 43.507136, 45.129976
0.996711, 39.251116, 43.211912, 45.046605
0.996415, 38.268200, 42.621687, 44.778942
0.996445, 38.376609, 42.815327, 44.739223
0.996398, 38.417797, 42.708862, 44.702706
0.996737, 39.267772, 43.158291, 44.925518
0.996580, 38.822852, 42.884972, 44.682550
0.996440, 38.638441, 42.501641, 44.416661
0.996403, 38.430666, 42.741045, 44.496316
0.996726, 39.005020, 42.923149, 44.524127
0.996503, 38.496896, 42.506078, 44.393927
0.996574, 38.891138, 42.497291, 44.382684
0.996482, 38.699404, 42.308394, 44.221238
0.996732, 39.136748, 43.168597, 44.682755
0.996360, 38.787185, 42.276294, 44.224672
0.996364, 38.648978, 42.660582, 44.330482
0.996246, 38.490039, 42.680418, 44.348244
0.996822, 39.402152, 43.137489, 44.566461
0.996572, 38.933582, 42.649064, 44.163151
0.996569, 38.675598, 42.942010, 44.322601
