ms-ssim, psnr-y, psnr-u, psnr-v
0.995527, 38.919175, 46.421569, 46.084423
0.993111, 37.575489, 46.109110, 45.749732
0.993393, 37.473237, 45.703354, 45.458760
0.992865, 37.074333, 45.753307, 45.465653
0.994536, 37.640669, 45.734768, 45.312424
0.993253, 36.969319, 45.518423, 45.173797
0.992535, 36.636594, 45.257375, 44.985877
0.994239, 37.307481, 45.292964, 44.756419
0.992781, 36.459803, 44.943759, 44.673562
0.993093, 36.588692, 44.873282, 44.477061
0.992869, 36.366862, 44.827089, 44.289473
0.994285, 36.961810, 44.669482, 44.341118
0.990543, 35.017163, 44.306099, 43.938649
0.988876, 34.311199, 43.978606, 43.438875
0.986469, 33.387315, 43.515855, 43.150715
0.987753, 33.336128, 43.159683, 42.884206
0.986893, 33.139470, 43.176709, 43.173771
0.987681, 33.320579, 42.944202, 43.051683
0.988472, 33.602343, 42.867478, 43.037495
0.990599, 34.542156, 42.832100, 43.144300
0.989927, 34.392699, 43.121258, 43.278101
0.990628, 34.699629, 43.218744, 43.282395
0.990802, 34.759355, 43.129473, 43.115029
0.992383, 35.376779, 43.149278, 43.194965
0.991196, 34.991607, 43.202351, 43.152799
0.991883, 35.207120, 43.434654, 43.311354
0.992063, 35.242864, 43.281852, 43.238399
0.993345, 35.697203, 43.337980, 43.259936
0.992382, 35.328436, 43.459863, 43.444946
0.992606, 35.690118, 43.709192, 43.687102
0.993006, 35.813548, 43.905492, 43.753738
0.994725, 36.509349, 44.209638, 44.332274
0.993966, 36.327746, 44.187229, 44.416116
0.994269, 36.506704, 44.329822, 44.438709
0.994267, 36.674365, 44.258698, 44.504062
0.995118, 37.150768, 44.385198, 44.712956
0.994474, 36.842369, 44.587418, 44.834495
0.994721, 37.043216, 44.681869, 44.858953
0.995107, 37.316968, 44.690977, 44.899071
0.995770, 37.730621, 44.642146, 44.941949
0.995111, 37.388763, 44.695829, 44.964621
0.995002, 37.419752, 44.833012, 44.934575
0.995118, 37.462447, 44.752677, 44.955793
0.995991, 37.959405, 44.785812, 44.840004
0.995426, 37.654238, 44.768013, 44.863321
0.995440, 37.663168, 44.857924, 44.929088
0.995840, 37.811684, 44.995647, 45.171469
0.996390, 38.156378, 44.855476, 45.001438
0.995800, 37.768616, 44.786999, 44.983904
0.995732, 37.736712, 44.807050, 44.989643
0.995874, 37.825639, 44.810243, 45.028777
0.996429, 38.237418, 44.807997, 45.000154
