ms-ssim, psnr-y, psnr-u, psnr-v
0.992848, 39.024180, 45.108682, 45.402842
0.991850, 38.553145, 45.180978, 45.375371
0.990968, 38.112920, 45.168762, 45.386419
0.990839, 38.110698, 44.944302, 45.195720
0.991525, 38.376823, 45.179410, 45.326632
0.990519, 38.121953, 44.909939, 45.099556
0.990704, 38.262694, 45.124539, 45.294808
0.990558, 38.053646, 44.977661, 45.199788
0.991609, 38.588504, 45.174827, 45.444886
0.990927, 38.279840, 45.027375, 45.326909
0.990907, 38.323402, 45.007825, 45.298695
0.991185, 38.448786, 44.930315, 45.266917
0.991526, 38.641744, 45.000484, 45.396048
0.990090, 37.955635, 44.709079, 45.138183
0.989842, 37.960664, 44.730392, 45.138940
0.989461, 37.807061, 44.697504, 45.070055
0.989184, 37.599994, 44.754513, 45.126653
0.989127, 37.659983, 44.828498, 45.085397
0.989853, 37.908756, 44.966986, 45.327305
0.990654, 38.294304, 45.002172, 45.413678
0.991034, 38.629630, 45.014957, 45.506252
0.992039, 38.761379, 45.463449, 45.886561
0.992497, 38.819893, 45.656698, 45.925818
0.993389, 39.146616, 45.815241, 46.054030
0.994410, 40.075813, 45.813339, 46.106696
0.994722, 40.314185, 46.254422, 46.573227
0.995011, 40.377512, 46.401978, 46.803572
0.995162, 40.559098, 46.518112, 46.939884
0.995698, 41.105518, 46.523420, 46.923123
0.995895, 41.273903, 46.886112, 47.366726
0.995732, 41.013917, 46.712878, 47.333403
0.996123, 41.372965, 46.829030, 47.415371
0.996455, 41.865898, 46.877177, 47.354223
0.995984, 41.342408, 46.841675, 47.365840
0.995800, 41.159475, 46.774784, 47.414157
0.995787, 40.989959, 46.809297, 47.428821
0.996507, 41.904356, 47.013174, 47.570494
0.996174, 41.473532, 46.734636, 47.420554
0.996482, 41.768611, 47.062122, 47.588358
0.996366, 41.590848, 47.097340, 47.557987
0.996750, 42.146851, 47.151401, 47.647181
0.996513, 41.867315, 47.218043, 47.703190
0.996573, 41.958424, 47.225504, 47.688319
0.996449, 41.819212, 47.163393, 47.619345
0.996762, 42.168284, 47.292494, 47.678729
0.996118, 41.568836, 47.268812, 47.638893
0.996109, 41.667566, 47.360849, 47.804742
0.996565, 41.815802, 47.322623, 47.782556
0.996860, 42.266523, 47.320620, 47.842325
0.996540, 41.965242, 47.357566, 47.892280
0.996776, 42.113225, 47.359586, 47.931351
0.996779, 42.207624, 47.268071, 47.853840
0.996986, 42.461424, 47.260166, 47.801596
0.996987, 42.319600, 47.193669, 47.861061
0.996997, 42.231075, 47.350316, 48.013352
0.996871, 42.042893, 47.169069, 47.846277
0.997277, 42.615240, 47.537221, 48.109743
0.997015, 42.211872, 47.271286, 47.903786
0.997213, 42.424249, 47.461853, 48.011298
0.997190, 42.516560, 47.517077, 48.082442
0.997293, 42.626567, 47.545845, 48.071495
