ms-ssim, psnr-y, psnr-u, psnr-v
0.992365, 38.407570, 44.065904, 43.766720
0.992040, 38.369512, 43.861655, 43.422219
0.988912, 36.717474, 43.301101, 42.444428
0.988695, 36.605092, 43.333232, 42.744403
0.989902, 36.987948, 43.253431, 42.726053
0.989829, 37.174035, 43.594303, 43.137322
0.989743, 37.124382, 43.542354, 43.085198
0.987942, 36.464126, 43.137537, 42.592711
0.987071, 35.898884, 42.791028, 42.289671
0.994172, 41.878671, 45.088951, 46.119536
0.990846, 39.932327, 44.604859, 45.620339
0.990693, 39.823642, 44.639749, 45.694309
0.988455, 38.641807, 43.899255, 45.269999
0.990736, 39.454579, 43.857171, 45.004373
0.988021, 38.333832, 43.788997, 44.827230
0.990413, 39.191234, 44.614847, 44.960950
0.990529, 39.245557, 44.617935, 44.932011
0.987753, 38.368496, 44.259749, 44.470824
0.987445, 38.482867, 44.217102, 44.525737
0.989593, 39.451681, 44.448936, 44.768570
0.990926, 40.149155, 45.168495, 45.229994
0.990684, 40.095723, 45.171584, 45.300620
0.989242, 39.393280, 44.872997, 45.341720
0.992023, 40.272694, 44.554598, 45.005365
0.990516, 39.511512, 44.485619, 45.151641
0.993589, 41.070022, 45.241104, 45.500652
0.993508, 41.051082, 45.213863, 45.348867
0.990664, 39.169315, 43.891380, 44.692582
0.989330, 38.598143, 43.529581, 44.596096
0.992513, 39.825953, 43.927234, 44.492563
0.992113, 39.852883, 44.383066, 44.905596
0.992008, 39.789076, 44.379313, 44.884693
0.990698, 39.408808, 44.113090, 44.912813
0.992555, 40.138562, 44.257802, 44.565964
0.990471, 39.163528, 43.844366, 44.830684
0.993413, 40.852046, 44.587485, 45.282542
0.993396, 40.864692, 44.434877, 45.163048
0.990203, 39.449045, 43.853593, 44.402514
0.989570, 38.759401, 43.498330, 44.325143
0.991668, 39.380460, 43.609850, 44.229521
0.991605, 39.319774, 43.530443, 44.307787
0.991481, 39.274304, 43.804228, 44.446546
0.989519, 38.503350, 43.805787, 44.456759
0.991986, 39.466084, 43.730518, 44.364147
0.989812, 38.938520, 43.539707, 44.606935
0.993032, 40.408809, 44.130883, 44.853171
0.992918, 40.385346, 43.809716, 44.516345
0.989015, 38.613471, 42.798752, 43.871908
0.989075, 38.579953, 42.979496, 44.146038
0.991205, 39.515265, 42.999044, 44.053443
0.991445, 39.656622, 43.070736, 44.404272
0.991304, 39.570953, 43.131762, 44.496871
0.987832, 38.056221, 42.523022, 43.839283
0.991452, 39.688805, 42.973997, 44.029595
0.989759, 39.041762, 43.263105, 44.441095
0.992109, 40.110788, 43.707830, 44.872712
0.992108, 40.150973, 43.616857, 44.804105
0.990157, 38.929097, 42.986710, 44.229490
0.986606, 37.939327, 43.147387, 44.278000
0.989874, 38.959981, 43.132024, 44.455918
0.988817, 38.462056, 42.951975, 44.590787
0.988715, 38.389718, 42.936649, 44.552811
0.996209, 42.402027, 45.953452, 46.589376
0.994111, 40.467046, 45.297281, 46.166432
0.993578, 40.184855, 45.199212, 46.035467
0.993773, 40.554402, 45.178341, 45.947199
0.993698, 40.525479, 45.112820, 45.920104
0.992301, 39.692295, 44.776434, 45.794542
0.992392, 39.614187, 44.515296, 45.656527
0.992456, 39.328448, 44.187290, 45.375291
0.993412, 39.932124, 44.063746, 45.378490
0.993495, 39.977226, 43.969862, 45.317747
0.992697, 39.406671, 43.615444, 45.179563
0.992374, 39.282263, 43.610356, 45.096818
0.993241, 39.495270, 43.787666, 44.984342
0.992987, 39.651429, 44.144924, 45.352882
0.993095, 39.713267, 44.229552, 45.387300
0.993434, 39.800448, 43.710200, 45.043678
0.992825, 39.436806, 43.749695, 44.921267
0.994013, 39.924383, 43.795522, 45.137350
0.993307, 39.120155, 43.438620, 45.002208
0.993302, 39.088710, 43.584975, 45.248824
0.993376, 38.972254, 43.770310, 45.426280
0.994260, 40.001951, 43.672087, 45.134210
0.993851, 39.832212, 43.490242, 45.049571
0.993975, 40.075243, 43.542223, 45.127257
0.994066, 40.133917, 43.444485, 45.104173
0.994042, 39.965948, 43.459503, 45.000191
0.993429, 39.668238, 43.069960, 44.905201
0.993408, 39.711240, 43.156060, 44.725433
0.994317, 40.185439, 43.316377, 45.073298
0.994333, 40.103164, 43.493247, 45.121823
0.993333, 39.402837, 42.936922, 44.760061
0.993518, 39.638428, 43.077066, 44.740398
0.993300, 39.640098, 43.054142, 44.585451
0.993472, 39.479293, 43.202133, 44.699659
0.993508, 39.485103, 43.198693, 44.699454
0.996078, 42.936227, 48.413907, 48.531120
0.994866, 42.007984, 48.251752, 48.307934
0.994304, 41.455893, 48.193763, 48.167299
0.994825, 41.809650, 48.243078, 48.113196
0.994792, 41.779720, 48.200960, 48.070305
0.993960, 41.103690, 48.150755, 47.951562
0.993898, 40.913438, 48.032991, 47.926529
0.994521, 41.284976, 48.149997, 48.096857
0.994383, 41.009614, 48.056275, 48.081175
0.994408, 41.008707, 48.125152, 48.137670
0.994685, 41.000250, 47.882869, 47.894921
0.993861, 39.972594, 47.967944, 47.713245
0.993621, 39.282137, 47.828167, 47.549339
0.994568, 40.412831, 47.880449, 47.751008
0.994553, 40.385792, 47.843242, 47.725179
0.993989, 40.043889, 48.037711, 47.944261
0.993857, 39.933385, 47.826409, 47.702096
0.994053, 40.035385, 47.811392, 47.796985
0.994942, 40.362144, 47.715095, 47.714821
0.994848, 40.431805, 47.754326, 47.726552
0.993816, 39.706125, 47.572549, 47.462628
0.993412, 39.878371, 47.542288, 47.381294
0.994384, 40.582461, 47.646912, 47.408151
0.994244, 40.732025, 47.730745, 47.568771
0.994417, 40.819360, 47.757092, 47.605628
0.994706, 40.445235, 47.331521, 47.170821
0.994003, 40.045339, 47.338803, 47.208338
0.993922, 40.207261, 47.346726, 47.224770
0.995393, 41.439488, 47.634048, 47.419722
0.995315, 41.437720, 47.510144, 47.296848
0.994260, 40.635259, 47.802504, 47.553166
0.994234, 40.537552, 47.646035, 47.450299
0.994994, 41.121856, 47.626724, 47.431067
0.994904, 41.364415, 47.887929, 47.580712
0.994818, 41.293046, 47.844089, 47.571157
0.994231, 40.679439, 47.680971, 47.443793
0.995029, 41.159782, 47.645833, 47.281877
0.994203, 40.516462, 47.756331, 47.238316
0.995428, 41.459762, 47.820789, 47.489605
0.995468, 41.500374, 47.819666, 47.501330
0.994154, 40.323387, 47.551846, 47.339557
0.994334, 40.358122, 47.715095, 47.461142
0.994996, 41.134959, 48.044876, 47.950983
0.995152, 41.438491, 48.250590, 48.083411
0.995147, 41.448389, 48.273982, 48.120110
0.995134, 41.448737, 48.264408, 48.197896
0.994286, 41.094696, 48.098503, 48.128090
0.994374, 41.094625, 48.065698, 48.100524
0.995010, 41.627834, 48.343658, 48.216851
0.994982, 41.617439, 48.346985, 48.205943
0.994112, 40.921523, 48.095211, 47.991100
0.994187, 40.776118, 48.220775, 48.151588
