ms-ssim, psnr-y, psnr-u, psnr-v
0.995047, 39.035949, 42.400616, 43.035465
0.993491, 38.260099, 42.088356, 42.780853
0.992946, 38.092921, 41.998076, 42.593616
0.992396, 37.789709, 41.700031, 42.423915
0.993796, 38.363846, 41.811858, 42.423267
0.993348, 38.115581, 41.701644, 42.268194
0.993463, 38.221487, 41.758374, 42.206395
0.993277, 38.133266, 41.751097, 42.349766
0.993952, 38.534451, 41.834637, 42.597980
0.992298, 37.713059, 41.617249, 42.205470
0.992571, 37.725206, 41.610776, 42.232606
0.992608, 37.910928, 41.727473, 42.353094
0.993887, 38.536448, 42.029324, 42.557131
0.992013, 37.784254, 41.750316, 42.323731
0.991350, 37.372816, 41.575634, 42.141892
0.991278, 37.310660, 41.604614, 42.179862
0.991821, 37.526066, 41.546880, 42.172666
0.990928, 37.200772, 41.453081, 42.035360
0.990730, 37.198843, 41.548917, 42.185152
0.991026, 37.237968, 41.643901, 42.257378
0.992279, 37.827284, 41.729769, 42.365131
0.991987, 37.661236, 41.640313, 42.273573
0.992520, 37.933611, 41.704476, 42.215713
0.992612, 38.001765, 41.831154, 42.456700
0.994127, 38.699447, 41.988846, 42.615753
0.993799, 38.557473, 42.012557, 42.476548
0.994210, 38.771139, 42.192004, 42.743400
0.994353, 38.770082, 42.254785, 42.707456
0.995312, 39.318894, 42.569706, 43.171893
0.994872, 38.970262, 42.459171, 43.059346
0.995195, 39.163487, 42.473370, 43.153806
0.995300, 39.191614, 42.565140, 43.208804
0.995936, 39.744709, 42.772853, 43.450024
0.995493, 39.366620, 42.781029, 43.362331
0.995681, 39.538558, 42.863956, 43.457755
0.995771, 39.667371, 42.929017, 43.478370
0.996327, 40.003663, 43.060401, 43.618484
0.996050, 39.773342, 43.008515, 43.562927
0.996064, 39.797102, 43.078950, 43.600356
0.996096, 39.746243, 43.019214, 43.594754
0.996518, 40.064309, 43.133837, 43.614405
0.996172, 39.828702, 43.106651, 43.524252
0.996223, 39.911056, 43.095852, 43.482660
0.996099, 39.809880, 43.071371, 43.605619
0.996567, 40.150634, 43.106556, 43.709846
0.996252, 39.991576, 43.068408, 43.659466
0.996315, 40.019716, 43.035232, 43.665556
0.996253, 40.017771, 43.086355, 43.672681
0.996479, 40.140712, 43.198063, 43.761616
0.996098, 39.874587, 42.962559, 43.609344
0.996162, 39.812375, 42.884476, 43.458912
0.996080, 39.767865, 42.847284, 43.474394
0.995921, 39.630612, 42.831387, 43.512417
0.997518, 40.624732, 45.215905, 45.974832
0.996686, 39.852891, 44.502426, 45.298459
0.996359, 39.607455, 44.113209, 45.130694
0.996322, 39.585600, 43.837122, 44.830614
0.996655, 39.780747, 43.818088, 44.862185
0.996349, 39.582060, 43.797162, 44.713368
0.996346, 39.541356, 43.642265, 44.480997
0.996303, 39.429565, 43.544346, 44.566362
0.996611, 39.740207, 43.633529, 44.666391
0.996368, 39.417474, 43.656962, 44.555591
0.996551, 39.648418, 43.812142, 44.698222
0.996580, 39.717250, 43.896211, 44.770969
0.996892, 39.916544, 43.960241, 44.755691
0.996597, 39.708496, 43.768017, 44.629502
0.996483, 39.662908, 43.689054, 44.533338
0.996357, 39.548048, 43.514110, 44.343419
0.996596, 39.735077, 43.636743, 44.492497
0.996357, 39.521204, 43.513120, 44.306912
0.996285, 39.375679, 43.250734, 44.115512
0.996365, 39.428388, 43.447997, 44.241759
0.996648, 39.712583, 43.635564, 44.389815
0.996398, 39.467358, 43.490837, 44.137883
0.996452, 39.522292, 43.680630, 44.399448
0.996421, 39.488338, 43.675113, 44.448419
0.996728, 39.827109, 43.789802, 44.514476
0.996670, 39.758205, 43.859003, 44.511198
0.996679, 39.770440, 43.790190, 44.524357
0.996552, 39.722560, 43.632700, 44.309882
0.996878, 39.939427, 44.002758, 44.663879
0.996721, 39.851096, 43.909227, 44.574732
0.996713, 39.814188, 43.794105, 44.423624
0.996729, 39.832165, 43.868601, 44.517034
0.996967, 40.028429, 44.088764, 44.719104
0.996774, 39.863955, 43.865889, 44.577958
0.996956, 40.027352, 44.014344, 44.780545
0.996926, 40.044943, 44.098377, 44.823250
0.997164, 40.163715, 44.174476, 44.873531
0.997068, 40.128694, 44.110101, 44.724228
0.996963, 40.071912, 44.061471, 44.742159
0.996933, 40.002456, 43.999728, 44.663607
0.997174, 40.210488, 44.220625, 44.905703
0.996783, 39.996607, 43.815547, 44.617767
0.996861, 40.034043, 44.101476, 44.862717
0.996970, 40.100455, 44.188720, 44.935984
0.997247, 40.271749, 44.461842, 45.135534
0.997135, 40.251463, 44.390898, 45.048421
0.997109, 40.237999, 44.283220, 44.968915
0.996989, 40.144792, 44.078906, 44.801862
0.997364, 40.329413, 44.430147, 45.104774
0.997113, 40.185336, 44.280236, 45.024903
0.997039, 40.131466, 44.071527, 44.796051
0.997051, 40.093622, 44.147515, 44.835624
0.997372, 40.317994, 44.425005, 45.101282
0.997058, 40.062879, 44.183703, 44.730806
0.997229, 40.193100, 44.224580, 44.802213
0.997128, 40.093462, 44.244131, 44.841489
0.997350, 40.267816, 44.345563, 44.903300
0.997140, 40.126966, 44.223077, 44.777966
0.997177, 40.107581, 44.078639, 44.793603
0.997043, 39.992765, 44.132084, 44.831883
0.997434, 40.367229, 44.441804, 45.080165
0.997150, 40.082239, 44.279926, 44.913532
0.997145, 40.166199, 44.263678, 44.874778
0.997155, 40.107295, 44.328503, 44.957789
0.997480, 40.390947, 44.566627, 45.124917
0.997215, 40.251100, 44.482819, 45.054135
0.997243, 40.257466, 44.411887, 44.887193
0.997172, 40.196147, 44.356457, 44.875241
0.997463, 40.368778, 44.460805, 44.981274
0.997121, 39.991298, 44.047785, 44.616458
0.997062, 39.997122, 44.138665, 44.735323
0.996933, 39.935453, 43.781873, 44.518708
0.997384, 40.344283, 44.399480, 44.978975
0.997183, 40.169992, 44.355920, 44.966695
0.997506, 40.408752, 44.532449, 45.130354
0.997527, 40.430268, 44.547885, 45.118770
0.997364, 40.302107, 44.463527, 45.035722
0.997264, 40.230601, 44.365192, 44.950279
0.997439, 40.354138, 44.406063, 45.035167
0.997138, 40.017178, 44.133225, 44.699146
0.997174, 40.075774, 44.020777, 44.639783
0.997059, 39.898269, 43.942298, 44.580721
0.997405, 40.335493, 44.441901, 45.058072
0.997146, 40.141852, 44.171051, 44.741261
0.997077, 40.070326, 44.040959, 44.704864
0.997141, 40.090919, 44.133135, 44.794302
0.997460, 40.365419, 44.456630, 45.022838
0.997156, 40.014364, 44.004507, 44.644105
0.997273, 40.171539, 44.159101, 44.789793
0.997230, 40.147946, 44.223261, 44.785394
0.997422, 40.245097, 44.272756, 44.915438
0.997184, 40.011384, 44.082823, 44.596698
0.997080, 39.958545, 44.108040, 44.625531
