ms-ssim, psnr-y, psnr-u, psnr-v
0.991380, 38.133357, 44.904053, 43.474781
0.990539, 37.854657, 45.239902, 43.570730
0.990506, 37.812353, 45.223851, 43.563955
0.990526, 37.855434, 45.235990, 43.555612
0.990547, 37.763047, 44.976567, 43.452308
0.990820, 37.824736, 44.927609, 43.478163
0.990460, 37.496504, 44.932372, 43.705598
0.990472, 37.486307, 44.936345, 43.697576
0.990374, 37.374612, 44.922852, 43.689325
0.989431, 37.038409, 44.973140, 43.770310
0.989398, 37.011164, 44.935839, 43.756574
0.990630, 37.476266, 44.691079, 43.817892
0.990433, 37.354794, 44.685721, 43.807515
0.989264, 36.899308, 44.300009, 43.623663
0.989197, 36.864961, 44.299541, 43.622915
0.989255, 36.888703, 44.301320, 43.637654
0.988359, 36.548079, 43.957125, 43.459992
0.988651, 36.655579, 43.984522, 43.478731
0.990534, 37.564100, 44.392588, 43.937271
0.990543, 37.563225, 44.391058, 43.930701
0.990490, 37.486524, 44.388031, 43.908942
0.994681, 39.928230, 45.422803, 44.736427
0.994730, 39.938441, 45.493744, 44.796751
0.994871, 40.109254, 45.551478, 44.988546
0.994826, 40.065574, 45.554393, 44.986023
0.994888, 40.129712, 45.710258, 45.234713
0.994892, 40.131487, 45.704734, 45.220030
0.994860, 40.093172, 45.692202, 45.221573
0.994806, 40.012029, 45.663570, 45.040679
0.994759, 39.951668, 45.660282, 45.036461
0.995484, 40.619707, 46.046325, 45.461532
0.995674, 40.796567, 46.222382, 45.537885
0.995645, 40.719308, 46.216264, 45.533364
0.994796, 40.051037, 46.140226, 45.218141
0.994865, 40.120955, 46.117354, 45.216946
0.996287, 41.210402, 46.469443, 45.676448
0.996318, 41.223476, 46.445747, 45.662716
0.996143, 40.900043, 46.586786, 45.755314
0.996161, 40.916347, 46.586522, 45.739591
0.996101, 40.845800, 46.557926, 45.709480
0.995741, 40.532060, 46.499480, 45.694869
0.995764, 40.564040, 46.497512, 45.681035
0.996629, 41.521865, 46.723171, 46.017447
0.996664, 41.537816, 46.683386, 45.968411
0.996662, 41.532046, 46.673996, 45.990833
0.996219, 41.142208, 46.395956, 45.856802
