ms-ssim, psnr-y, psnr-u, psnr-v
0.987947, 35.536634, 39.899550, 41.203604
0.987959, 35.544781, 39.897250, 41.203895
0.987966, 35.544624, 39.895676, 41.204736
0.987968, 35.545126, 39.895359, 41.204308
0.987967, 35.539540, 39.885376, 41.199659
0.987972, 35.544880, 39.889681, 41.208946
0.987973, 35.546096, 39.892067, 41.208119
0.987971, 35.544876, 39.890665, 41.208885
0.987973, 35.540516, 39.885353, 41.202916
0.987980, 35.551430, 39.888121, 41.211183
0.987988, 35.550750, 39.894126, 41.218714
0.987990, 35.552233, 39.887963, 41.215845
0.987991, 35.542373, 39.885918, 41.208793
0.987992, 35.545642, 39.886426, 41.209130
0.987992, 35.545248, 39.886460, 41.209008
0.987995, 35.547994, 39.886426, 41.209421
0.987991, 35.542372, 39.886065, 41.208518
0.987994, 35.548231, 39.886359, 41.208824
0.987990, 35.543996, 39.886630, 41.207614
0.987994, 35.547782, 39.886506, 41.207874
0.987992, 35.542344, 39.886121, 41.206450
0.988012, 35.560967, 39.900558, 41.233616
0.988021, 35.560099, 39.907193, 41.244983
0.988032, 35.562528, 39.906183, 41.246204
0.988034, 35.556409, 39.899742, 41.241710
0.990134, 36.182856, 40.157166, 41.529201
0.990204, 36.185162, 40.146144, 41.514106
0.990223, 36.187509, 40.146275, 41.514813
0.990226, 36.178001, 40.123347, 41.488237
0.993708, 37.847014, 40.775009, 42.651434
0.993703, 37.845982, 40.766783, 42.654488
0.993707, 37.847861, 40.768056, 42.658592
0.993695, 37.842663, 40.759361, 42.650857
0.995251, 38.857555, 41.512677, 43.578071
0.995253, 38.854839, 41.528129, 43.570915
0.995256, 38.855877, 41.529596, 43.565377
0.995254, 38.852815, 41.527173, 43.564455
0.995468, 39.067816, 41.669576, 43.756822
0.995499, 39.077554, 41.666392, 43.757042
0.995511, 39.082449, 41.664146, 43.759880
0.995568, 39.081468, 41.648373, 43.730162
0.995575, 39.084777, 41.652374, 43.744639
0.995576, 39.085559, 41.652697, 43.755004
0.995577, 39.086543, 41.652578, 43.753573
0.995572, 39.084937, 41.653324, 43.764926
0.995576, 39.087605, 41.654546, 43.762471
0.995578, 39.087333, 41.654275, 43.757758
0.995576, 39.087408, 41.654852, 43.760238
0.995570, 39.085505, 41.654512, 43.755059
0.995571, 39.085834, 41.654292, 43.752390
0.995572, 39.085752, 41.654088, 43.748458
0.995572, 39.086292, 41.653850, 43.751977
0.995569, 39.084514, 41.652086, 43.747578
0.995576, 39.087565, 41.652018, 43.752885
0.995576, 39.088092, 41.651272, 43.753931
0.995576, 39.088905, 41.651781, 43.754564
0.995576, 39.087953, 41.652323, 43.754481
0.995606, 39.157175, 41.734192, 43.880202
0.995664, 39.168518, 41.731773, 43.874001
0.995649, 39.164824, 41.733968, 43.861683
0.995679, 39.159107, 41.717268, 43.853452
0.995930, 39.362118, 41.917057, 44.239297
0.995774, 39.220874, 41.883364, 44.221759
0.995854, 39.381061, 41.918482, 44.380649
0.995733, 39.378455, 41.948833, 44.430758
0.995494, 39.276995, 41.947090, 44.413328
0.995224, 39.101033, 41.938729, 44.390197
0.995248, 39.194987, 42.026697, 44.595294
0.995847, 39.874044, 42.124950, 44.716974
0.996012, 40.015822, 42.185708, 44.827265
0.995990, 40.069390, 42.165272, 44.783858
0.995668, 39.852154, 42.147345, 44.733736
0.996035, 40.257746, 42.248670, 44.939092
0.996401, 40.494149, 42.384062, 45.213670
0.996266, 40.409937, 42.331083, 45.074902
0.995952, 40.060671, 42.303996, 45.078597
0.996410, 40.475619, 42.426266, 45.204013
0.996604, 40.559652, 42.550972, 45.382012
0.996581, 40.421897, 42.441762, 45.282816
0.996269, 39.954484, 42.364211, 45.266566
0.996521, 40.283560, 42.446688, 45.260995
0.996430, 40.187775, 42.523478, 45.231772
0.996160, 39.840045, 42.390390, 44.867623
0.995595, 39.207838, 42.163363, 44.668972
0.995978, 39.757218, 42.288454, 44.667817
0.996038, 39.761157, 42.223000, 44.514214
0.995730, 39.451635, 42.066654, 44.272569
