ms-ssim, psnr-y, psnr-u, psnr-v
0.995102, 39.561337, 46.412168, 47.800128
0.992804, 38.434849, 46.312715, 47.146169
0.992866, 38.581495, 46.406386, 46.640752
0.992959, 38.612363, 46.626171, 47.173844
0.994531, 39.125283, 46.707767, 47.006825
0.993274, 38.673464, 46.612755, 46.956077
0.993665, 38.872628, 46.950155, 47.701618
0.993612, 38.943940, 46.698270, 47.532225
0.995009, 39.646384, 46.956940, 48.028054
0.993687, 39.065674, 47.264178, 48.135783
0.994131, 39.184980, 46.870854, 47.948163
0.993245, 38.976819, 46.832439, 47.923149
0.994607, 39.402147, 46.424774, 47.509883
0.991938, 38.238021, 45.943872, 47.139743
0.991289, 37.934553, 45.648516, 46.937133
0.988728, 37.001238, 45.185835, 46.198591
0.992302, 37.747930, 44.375787, 45.714794
0.989078, 36.722552, 44.877557, 45.791153
0.990734, 37.315413, 44.741157, 45.948659
0.990291, 37.242595, 45.128012, 45.954594
0.993205, 38.104861, 44.778350, 46.181808
0.991225, 37.553583, 45.039568, 45.764924
0.991951, 37.744350, 45.291787, 46.060953
0.992192, 37.783317, 45.327502, 46.122764
0.994384, 38.664667, 45.417834, 46.417857
0.992030, 37.649865, 45.605181, 46.170607
0.992493, 37.770999, 45.389867, 46.250997
0.992041, 37.610972, 45.399022, 46.438387
0.993712, 38.140841, 45.255430, 46.476083
0.991721, 37.169345, 45.256713, 46.133604
0.991931, 36.933860, 44.592155, 45.985769
0.991492, 36.600011, 44.498798, 45.899713
0.993087, 37.212558, 44.596163, 46.127325
0.991252, 36.377590, 44.618774, 45.873629
0.991684, 36.256930, 44.655606, 45.862434
0.990575, 35.489330, 44.353771, 45.562942
0.992503, 36.081687, 44.169295, 45.554934
0.989968, 34.848998, 44.365383, 45.488530
0.990515, 35.049682, 44.401939, 45.374172
0.989083, 34.717687, 44.504160, 45.263215
0.991230, 35.463425, 44.389783, 45.274059
0.988999, 34.666821, 44.401684, 44.883907
0.989930, 34.606826, 44.265876, 45.345332
0.989736, 34.192028, 44.180302, 45.199634
0.991552, 34.577170, 43.884908, 45.223233
0.988471, 33.537548, 43.689352, 44.712270
0.989325, 33.672841, 43.640790, 44.576395
0.988175, 33.400683, 43.516636, 44.289255
0.989500, 33.746565, 43.130999, 44.589052
0.985861, 33.008302, 43.139161, 44.375438
0.994672, 38.804395, 44.992717, 46.373310
0.993811, 38.315657, 44.639108, 46.389034
0.988919, 35.794993, 43.729040, 45.505675
0.988898, 35.646681, 43.725348, 45.596380
0.986258, 34.706974, 43.533110, 45.613619
0.990578, 36.670031, 44.103027, 45.675634
0.990463, 36.596388, 44.623076, 46.160201
0.989660, 36.699622, 44.867125, 46.436652
0.989554, 36.693153, 44.805577, 46.452248
0.989624, 36.771751, 44.736841, 46.382224
0.990161, 36.782129, 44.739465, 46.357343
0.990256, 37.049298, 44.889838, 46.542835
0.983798, 35.091769, 44.429857, 46.171471
0.985452, 34.933998, 44.026136, 45.875423
0.986150, 35.045461, 44.054416, 45.978092
0.991198, 36.947601, 44.267208, 46.054544
0.991080, 36.906519, 44.047609, 45.906394
0.990806, 36.800501, 44.020719, 45.842845
0.990945, 36.773891, 43.983420, 45.803665
0.990513, 36.605413, 44.098436, 45.765230
0.990019, 36.641612, 43.998039, 45.669983
0.990393, 36.956734, 44.704076, 46.146810
0.991203, 37.283653, 44.392875, 46.065918
0.992267, 37.714107, 44.131544, 45.802607
0.991100, 37.737237, 45.082182, 45.855552
0.990367, 37.363715, 45.117187, 45.818250
0.994621, 39.114177, 45.329203, 46.522535
0.992797, 38.621249, 45.194186, 46.541318
0.992244, 38.562398, 45.691514, 46.584197
0.992743, 38.686150, 45.723881, 46.499117
