ms-ssim, psnr-y, psnr-u, psnr-v
0.993912, 38.271647, 43.766913, 44.176751
0.993959, 38.264672, 43.742277, 44.136651
0.993178, 37.675871, 43.584525, 44.015659
0.992958, 37.529958, 43.235369, 43.794772
0.992936, 37.457499, 43.226878, 43.760927
0.993135, 37.667685, 43.255688, 43.787000
0.993080, 37.655826, 43.217892, 43.727125
0.992792, 37.488925, 43.065918, 43.687915
0.992884, 37.587106, 42.983966, 43.708102
0.992917, 37.733199, 42.986410, 43.707258
0.993213, 37.762429, 43.115290, 43.669333
0.993118, 37.722281, 43.080246, 43.576063
0.989659, 35.645388, 42.534376, 43.082297
0.989956, 35.749368, 42.381252, 42.808658
0.990483, 36.022423, 42.417274, 42.868915
0.991367, 36.420820, 42.491319, 42.987148
0.991636, 36.534514, 42.481452, 43.022864
0.992309, 37.035963, 42.623405, 43.193368
0.992729, 37.263000, 42.623786, 43.258290
0.993126, 37.569721, 42.800828, 43.469854
0.993703, 37.970915, 42.953096, 43.771912
0.993869, 38.069597, 43.014360, 43.821105
0.993806, 37.981431, 42.967838, 43.713252
0.994491, 38.502496, 43.301200, 43.860555
0.994827, 38.833744, 43.421480, 44.004915
0.995092, 39.029256, 43.490786, 44.173961
0.995148, 39.125563, 43.566801, 44.243577
0.995137, 39.075866, 43.618991, 44.199471
0.995441, 39.327028, 43.728903, 44.492139
0.995646, 39.477175, 43.803393, 44.529388
0.995748, 39.522201, 43.722751, 44.587018
0.995772, 39.555777, 43.769122, 44.576694
0.995741, 39.506443, 43.813509, 44.497002
0.995929, 39.632737, 43.892544, 44.504192
0.995967, 39.690586, 44.093583, 44.587685
0.995911, 39.629002, 43.997835, 44.616928
0.995908, 39.655131, 43.984261, 44.605461
0.995631, 39.438876, 44.000718, 44.671317
0.995837, 39.443002, 43.803365, 44.570877
0.995923, 39.582368, 43.954126, 44.777653
0.996042, 39.700965, 43.924944, 44.742021
0.996019, 39.699239, 43.940114, 44.714673
0.995931, 39.563331, 43.933196, 44.777548
0.995992, 39.626477, 44.022007, 44.774867
0.996054, 39.653498, 44.048846, 44.816882
0.996087, 39.643480, 44.006577, 44.798046
0.996143, 39.694318, 44.018290, 44.818886
0.996220, 39.699890, 43.971887, 44.920079
0.996221, 39.684730, 44.046961, 44.896170
0.996314, 39.809026, 44.249650, 44.999714
0.996391, 40.067046, 44.271608, 44.958516
0.996404, 40.084450, 44.308600, 44.958951
0.996386, 40.029316, 44.396256, 45.023207
0.996401, 40.080644, 44.427607, 45.015436
0.996393, 40.073784, 44.551455, 45.147163
0.996490, 40.167720, 44.781242, 45.306951
0.996517, 40.222453, 44.831566, 45.360325
0.996425, 40.104438, 44.742505, 45.197178
0.996448, 40.180635, 44.645220, 45.247698
0.996499, 40.225103, 44.775667, 45.289552
0.996579, 40.260798, 44.783405, 45.217023
0.996609, 40.299233, 44.733598, 45.201362
0.996537, 40.180435, 44.712682, 45.106728
0.996588, 40.168540, 44.682789, 45.105863
0.996596, 40.163874, 44.576694, 45.100757
0.996644, 40.181009, 44.627953, 45.142083
0.996635, 40.189752, 44.615551, 45.148112
0.996539, 40.107007, 44.601111, 45.107479
0.996617, 40.159211, 44.580288, 45.110713
0.996633, 40.150838, 44.881659, 45.223851
0.996588, 40.187887, 44.759055, 45.170859
0.996578, 40.164563, 44.758395, 45.160421
0.996624, 40.169510, 44.751603, 45.138107
0.996682, 40.250351, 44.768743, 45.119297
0.996666, 40.252747, 44.819097, 45.182010
0.996701, 40.285216, 44.885978, 45.208281
0.996715, 40.332735, 44.877343, 45.206205
0.996657, 40.274904, 44.924978, 45.246456
0.996671, 40.292447, 44.900396, 45.323945
0.996682, 40.333079, 44.920043, 45.383093
0.996781, 40.409564, 44.935767, 45.397374
0.996772, 40.404534, 44.894666, 45.380251
0.996681, 40.210360, 44.813544, 45.317195
0.996688, 40.233048, 44.868903, 45.276911
0.996657, 40.215496, 44.652559, 45.305102
0.996710, 40.284857, 44.693265, 45.340054
0.996696, 40.236095, 44.711103, 45.301956
0.996644, 40.111413, 44.682243, 45.344577
0.996643, 40.103862, 44.750253, 45.236881
0.996640, 40.076904, 44.751360, 45.197293
0.996626, 40.113314, 44.677168, 45.196679
0.996621, 40.123734, 44.667715, 45.178073
0.996500, 39.953911, 44.529256, 45.185376
0.996501, 39.938550, 44.569250, 45.161715
0.996421, 39.882145, 44.404400, 45.110751
0.996431, 39.893860, 44.412175, 45.097230
0.996387, 39.897018, 44.285490, 44.985841
0.996143, 39.512002, 44.165995, 44.884764
0.995972, 39.299374, 43.905236, 44.773161
0.995583, 38.854636, 43.737285, 44.542503
0.997847, 44.511338, 47.039015, 46.352233
0.997648, 44.348828, 47.025374, 46.286107
0.996687, 42.549413, 45.942869, 45.250727
0.996162, 41.593713, 45.163923, 44.585051
0.995425, 40.343329, 44.365699, 43.688810
0.995044, 39.454341, 43.900849, 43.234758
0.995150, 39.479080, 43.893909, 43.225927
0.995065, 39.134786, 44.000864, 43.348522
0.995135, 39.028514, 43.452642, 42.815283
0.993919, 38.466758, 43.206353, 42.494592
0.995331, 39.204952, 43.345940, 42.735338
0.995296, 39.249787, 43.381284, 42.748943
0.993878, 38.534306, 43.151362, 42.523852
0.993363, 38.126922, 42.930884, 42.255565
0.994912, 38.986332, 43.153111, 42.469069
0.994509, 38.703798, 42.978276, 42.253986
0.994509, 38.680764, 42.982975, 42.242389
0.992948, 38.006573, 42.759612, 41.938493
0.993334, 38.080589, 42.513270, 41.573452
0.993200, 38.036178, 42.802928, 42.096766
0.994815, 38.887299, 42.843310, 42.168174
0.994763, 38.861248, 42.838671, 42.169932
0.993887, 38.240636, 42.667627, 42.096522
0.993556, 38.148748, 42.631048, 41.952231
0.991650, 37.476452, 42.761758, 41.874214
0.994043, 38.486736, 42.778918, 42.052271
0.993930, 38.497417, 42.786180, 42.074405
0.992018, 37.698962, 42.701016, 41.844715
0.991665, 37.187192, 42.091883, 41.362709
0.993691, 38.102336, 42.440155, 41.637201
0.993044, 37.846468, 42.409594, 41.614053
0.993089, 37.829728, 42.410684, 41.601763
0.991370, 37.311625, 42.476528, 41.427169
0.991836, 37.379044, 42.039642, 41.189857
0.991751, 37.451988, 42.420614, 41.547426
0.994076, 38.399918, 42.414241, 41.716458
0.993970, 38.390341, 42.444977, 41.752937
0.992198, 37.422821, 42.306658, 41.559216
0.991492, 36.983665, 42.018145, 41.380041
0.993215, 37.605018, 41.876268, 41.253332
0.992463, 37.069912, 41.858141, 41.108024
0.992367, 37.014075, 41.850411, 41.101848
0.992176, 36.821134, 41.866705, 41.095263
0.991880, 36.542798, 41.694375, 40.999589
0.991601, 36.406489, 41.517032, 40.987884
0.990712, 36.114643, 41.531807, 40.795668
0.990885, 36.109213, 41.530718, 40.819689
0.991260, 36.287355, 41.669337, 40.857552
0.989439, 35.645330, 41.363058, 40.479230
0.989985, 35.821127, 41.531460, 40.835556
0.991791, 36.534406, 41.591195, 41.099921
0.991970, 36.542137, 41.635832, 41.120388
0.990596, 36.197419, 41.818956, 41.184249
0.991121, 36.276176, 41.651798, 40.881619
0.991413, 36.457785, 41.992239, 41.218822
0.992901, 37.168215, 41.863730, 41.090729
0.993003, 37.203247, 41.878537, 41.109866
0.990708, 36.171909, 41.824689, 40.977329
0.990344, 36.080482, 41.581238, 40.644429
0.992173, 36.728602, 41.657059, 40.776617
0.991466, 36.631829, 41.592216, 40.864791
0.991489, 36.601661, 41.606695, 40.871673
0.989832, 35.904632, 41.574968, 40.759775
0.991673, 36.464120, 41.330519, 40.541566
0.989933, 35.848401, 41.524652, 40.727177
0.992304, 36.786672, 41.381810, 40.624327
0.992356, 36.819521, 41.416375, 40.639374
0.990398, 35.962960, 41.367218, 40.513456
0.989857, 35.754993, 41.149254, 40.095106
0.991819, 36.526873, 41.253208, 40.390515
0.991429, 36.546481, 41.366360, 40.397511
0.991297, 36.486661, 41.380423, 40.394932
0.989985, 35.851621, 41.359933, 40.204601
0.991329, 36.228585, 41.092399, 40.013390
0.989940, 35.603237, 41.336178, 40.256408
0.991767, 36.311202, 41.228627, 40.064518
0.991814, 36.335438, 41.212639, 40.078274
0.989332, 35.320669, 40.977126, 39.857896
0.988262, 34.920721, 40.827131, 39.774162
0.990749, 35.630054, 40.669910, 39.692055
0.990344, 35.637728, 40.625746, 39.699201
0.990281, 35.596932, 40.618213, 39.712637
0.988850, 35.037190, 40.631911, 39.768607
0.990249, 35.421586, 40.513378, 39.523151
0.988684, 34.979289, 40.590560, 39.621673
0.990366, 35.519960, 40.640073, 39.575328
0.990363, 35.563298, 40.633011, 39.572217
0.988089, 34.808044, 40.573113, 39.513883
0.987389, 34.627553, 40.694182, 39.438018
0.988382, 34.808943, 40.470214, 39.330085
0.987591, 34.593718, 40.413067, 39.224692
0.987524, 34.656251, 40.784722, 39.671559
0.997453, 47.834307, 51.693365, 53.121686
0.996055, 46.748860, 51.307253, 52.673353
0.996099, 46.609128, 51.053328, 52.616007
0.996342, 46.613871, 51.094756, 52.377241
0.996172, 46.479845, 51.147744, 52.384865
0.996284, 46.524592, 51.104913, 52.462052
0.996300, 46.233498, 51.173646, 52.543343
0.995789, 45.827812, 50.744760, 52.325831
0.995938, 46.006338, 51.000743, 52.434545
0.995958, 46.023105, 50.985585, 52.395923
0.996219, 46.185841, 51.095651, 52.916971
