ms-ssim, psnr-y, psnr-u, psnr-v
0.993613, 40.526572, 46.176420, 46.242348
0.991527, 39.179099, 45.970016, 45.922779
0.991204, 39.161085, 46.151779, 46.007170
0.990419, 39.632010, 46.607071, 46.568331
0.992685, 41.159388, 46.727207, 46.643642
0.990666, 40.456104, 46.751891, 46.446770
0.991037, 40.872109, 46.951534, 46.930208
0.993220, 41.859070, 46.936962, 46.872886
0.991255, 40.139523, 46.611160, 46.854076
0.992143, 39.480885, 46.194582, 46.251094
0.991881, 38.173104, 45.775782, 46.334947
0.993819, 39.786630, 45.739721, 46.222236
0.990705, 38.939777, 46.004628, 46.260691
0.990131, 38.794997, 45.898630, 45.629951
0.991939, 39.666780, 45.838973, 46.283988
0.991934, 39.173697, 44.948648, 46.282313
0.992516, 40.328303, 45.357776, 46.621588
0.994418, 42.352207, 46.637276, 47.164177
0.993718, 42.211693, 46.639629, 47.521531
0.994931, 43.424495, 46.747009, 47.811462
0.993566, 42.891471, 46.736495, 47.609638
0.993304, 43.087989, 46.665378, 47.453071
0.992556, 42.091855, 46.398384, 47.119565
0.994122, 43.096361, 46.548174, 47.475253
0.992095, 41.319071, 45.370776, 46.562285
0.992248, 40.442008, 44.303162, 45.723405
0.991491, 39.585996, 43.932508, 45.488858
0.993622, 41.868184, 44.993339, 46.227535
0.992526, 42.519313, 45.160041, 46.800351
0.994136, 43.492444, 46.507411, 47.261462
0.992217, 41.577418, 45.458108, 46.360000
0.992812, 40.417213, 44.384879, 45.522391
0.991859, 38.875599, 44.123505, 45.535105
0.994378, 41.088907, 44.872854, 45.840753
0.992652, 40.776242, 45.251465, 46.201105
0.993114, 41.417379, 45.635084, 46.462968
0.993513, 41.753266, 46.038261, 46.697836
0.994790, 42.733951, 46.126517, 46.562863
0.993275, 41.179960, 45.223773, 46.275471
0.993145, 40.171832, 44.518150, 46.079954
0.993921, 41.393041, 44.909939, 46.221896
0.994003, 41.191058, 44.946511, 46.222576
0.996834, 45.386349, 49.355231, 48.355790
0.995520, 43.661250, 48.919631, 47.998700
0.995360, 43.246447, 48.962701, 47.788127
0.994985, 42.778148, 48.881015, 47.603423
0.995519, 43.593587, 48.496451, 47.336604
0.995129, 43.016369, 48.237279, 47.254246
0.994969, 42.737167, 48.245168, 47.278158
0.994695, 42.368715, 48.114398, 47.130870
0.995001, 42.983574, 48.190322, 47.138123
0.994483, 42.239922, 47.896636, 46.807295
0.994681, 42.424538, 47.871064, 46.728135
0.994282, 41.835265, 47.858865, 46.758867
0.995047, 42.996934, 48.283109, 47.195249
0.994294, 42.394142, 48.424946, 47.286096
0.994544, 42.619100, 48.477953, 47.331332
0.994359, 42.431063, 48.291003, 47.111806
0.994833, 42.787688, 48.283968, 47.031106
0.994850, 42.639424, 48.427852, 47.222017
0.994768, 42.754345, 48.427932, 47.219938
0.994926, 43.205928, 47.920563, 47.045001
0.994447, 42.192090, 47.622430, 46.836075
0.995122, 43.314754, 47.708112, 46.789265
0.994469, 42.389395, 47.630552, 46.766130
0.994741, 42.657042, 47.630217, 46.715598
0.994580, 42.849256, 47.952141, 47.075702
0.995735, 43.880499, 47.947223, 47.148935
0.995025, 42.780028, 47.976522, 47.059882
0.994857, 42.427660, 48.203566, 47.328135
0.996043, 43.835734, 47.995848, 47.252152
0.995676, 42.578457, 47.715369, 46.916334
0.995733, 42.671486, 47.802434, 46.842516
0.995707, 42.511962, 47.741416, 46.816422
0.996106, 43.350703, 47.759445, 46.859193
0.995874, 42.947738, 47.726071, 47.012125
0.995847, 42.521276, 47.367737, 46.713694
0.995559, 42.471521, 47.395402, 46.643053
0.995956, 42.988809, 47.513806, 46.823168
0.995484, 42.486460, 47.201819, 46.583194
0.995633, 42.645736, 47.280699, 46.550321
0.995420, 42.211389, 47.264487, 46.542050
0.995451, 42.426053, 47.272709, 46.461325
0.995251, 42.186432, 47.250243, 46.560341
0.997155, 45.004236, 47.300832, 47.394829
0.996069, 43.694256, 46.877912, 47.056407
0.995913, 43.604302, 46.662958, 46.720445
0.995819, 42.845375, 46.193182, 46.463276
0.996336, 43.310583, 46.319417, 46.419433
0.995734, 42.959704, 46.440226, 46.414707
0.995721, 43.365602, 46.722353, 46.610842
0.995272, 43.542020, 46.737480, 46.448817
0.995825, 43.982738, 46.705269, 46.639682
0.995361, 43.627049, 46.755241, 46.725952
0.996377, 44.434933, 46.917474, 47.022978
0.995739, 43.510075, 46.674157, 46.664249
0.996298, 44.133473, 46.977299, 46.705269
0.996103, 43.699104, 47.009620, 46.816589
0.995059, 42.399483, 46.417145, 46.270113
0.995330, 43.221427, 46.694747, 46.398536
0.995222, 42.930053, 46.487946, 46.477989
0.996167, 43.814026, 46.727972, 46.666239
0.995520, 42.915490, 46.536824, 46.476959
0.996227, 43.741303, 46.905687, 46.624891
0.995405, 42.328506, 46.307856, 46.286946
0.995507, 41.884179, 46.306469, 46.287686
0.995289, 42.026203, 46.104237, 46.136842
0.995994, 43.369681, 46.734035, 46.636421
0.995257, 42.035976, 46.380661, 46.346680
0.995495, 42.521442, 46.227730, 46.364466
0.995345, 42.226726, 46.203378, 46.183300
0.996042, 42.186101, 46.314352, 46.299885
0.995508, 42.207465, 46.223694, 46.141704
0.995891, 43.223119, 46.741037, 46.590433
0.995411, 42.196837, 46.308599, 46.020739
0.995129, 41.640178, 46.180027, 45.861226
0.995575, 42.771597, 46.661399, 46.517280
0.994887, 42.459600, 46.104190, 45.974832
0.995231, 42.733869, 46.205071, 46.063575
0.995061, 42.505304, 46.147574, 46.004813
0.995799, 43.196453, 46.358245, 46.175939
0.994667, 41.602387, 45.563943, 45.588059
0.994979, 42.488192, 46.320361, 45.865028
0.995199, 42.143183, 46.497616, 46.084470
0.995844, 42.202952, 45.936268, 45.739113
0.995212, 41.551390, 45.932767, 45.644261
0.995451, 42.021583, 46.136890, 45.619409
0.995109, 41.130786, 45.784427, 45.498924
0.995659, 41.662250, 45.801019, 45.499418
0.995001, 41.639510, 45.604464, 45.462634
0.994710, 41.070734, 45.627027, 45.409163
0.995396, 42.696796, 46.276454, 45.862076
0.994618, 42.191855, 46.014621, 45.367622
0.994986, 42.454909, 46.071827, 45.727955
0.994836, 42.162986, 45.899036, 45.708272
0.995653, 42.604739, 46.072860, 45.842400
0.994485, 41.284886, 45.652179, 45.163847
0.994858, 41.736462, 45.598189, 45.266995
0.994447, 41.406810, 45.827335, 45.545237
0.995416, 42.091217, 45.951123, 45.626307
0.994580, 41.650945, 45.616027, 45.557310
0.994944, 41.910612, 45.737548, 45.530711
0.994611, 42.122303, 45.632114, 45.501516
0.995246, 42.700951, 45.898405, 45.783285
0.994441, 42.231700, 45.547025, 45.489392
0.994770, 42.330860, 45.439162, 45.422156
0.994225, 42.203207, 45.513138, 45.496169
0.995298, 42.867029, 45.600883, 45.673921
0.994053, 41.765589, 45.221882, 45.385777
0.994296, 41.606867, 45.203744, 44.952164
0.994351, 41.666222, 45.459535, 45.230496
0.995180, 42.218901, 45.258036, 45.198560
0.994140, 41.514459, 45.113046, 44.942347
0.994399, 41.502070, 44.864459, 44.829909
0.994134, 41.303267, 44.752365, 44.609146
0.994240, 41.425402, 44.909257, 44.490312
0.993434, 40.931653, 44.924473, 44.405455
0.997810, 44.235382, 49.100941, 48.439007
0.997163, 42.689795, 48.814054, 48.170037
0.996977, 42.344103, 48.648610, 47.840279
0.996725, 42.040013, 48.479751, 47.709822
0.996808, 42.648243, 48.307463, 47.460754
0.996360, 41.678910, 48.189710, 47.427282
0.996246, 42.146746, 47.993291, 47.382055
0.996171, 41.975641, 47.977177, 47.314681
0.996472, 42.527165, 47.895921, 47.208277
0.996100, 41.899666, 47.332148, 46.773571
0.996489, 42.223634, 47.513871, 46.847226
0.996412, 42.201897, 47.428885, 46.757988
0.995918, 41.832519, 47.182685, 46.511511
0.995988, 41.506853, 47.189903, 46.399295
0.996079, 41.817916, 47.049583, 46.365068
0.996429, 41.966304, 47.239545, 46.379049
0.996130, 41.627159, 47.123928, 46.378545
0.996075, 41.630960, 47.357503, 46.557296
0.995956, 41.551303, 47.166471, 46.405980
0.996313, 42.038093, 47.391585, 46.621268
0.996112, 41.505410, 47.152906, 46.453221
0.996175, 41.807145, 47.263808, 46.474487
0.995987, 41.723169, 47.069851, 46.370343
0.996350, 42.196376, 47.543012, 46.749532
0.995884, 41.927098, 47.271843, 46.289462
0.996093, 42.223508, 47.291686, 46.391610
0.996427, 42.413503, 47.453265, 46.610629
0.995794, 41.635668, 47.138003, 46.422586
0.995859, 41.455014, 47.152424, 46.425742
