ms-ssim, psnr-y, psnr-u, psnr-v
0.988880, 37.197738, 42.148486, 42.829474
0.988849, 37.201174, 42.130268, 42.803525
0.988842, 37.195157, 42.122114, 42.791402
0.975263, 34.636208, 40.374522, 40.840098
0.986871, 36.513466, 41.330881, 41.927780
0.986795, 36.535992, 41.290661, 41.877304
0.986792, 36.526251, 41.289725, 41.879788
0.983880, 35.891033, 40.840717, 41.405993
0.983846, 35.880203, 40.792647, 41.374866
0.983845, 35.897675, 40.803949, 41.385046
0.983857, 35.893546, 40.798092, 41.374070
0.981085, 35.586122, 40.749277, 41.183777
0.980934, 35.561825, 40.733446, 41.173479
0.963183, 33.428350, 39.801370, 40.012274
0.961332, 33.355192, 39.771224, 39.988964
0.959810, 32.731495, 39.383500, 39.622449
0.957748, 32.499392, 39.288162, 39.567869
0.967986, 33.718496, 39.893085, 40.115540
0.968141, 33.726219, 39.886234, 40.112100
0.967500, 33.632243, 39.747419, 39.949931
0.969274, 33.852826, 39.825351, 40.047779
0.969323, 33.868935, 39.879214, 40.061917
0.973477, 34.233851, 39.812772, 40.000035
0.973463, 34.216499, 39.805482, 39.959260
0.979810, 35.043368, 40.550889, 40.757579
0.979701, 35.039342, 40.506258, 40.719958
0.979700, 35.042954, 40.496420, 40.707508
0.983943, 35.705951, 40.557423, 41.020952
0.985029, 35.925830, 40.907221, 41.331653
0.986779, 36.251828, 40.956511, 41.333387
0.987987, 36.518471, 41.092727, 41.493336
0.987990, 36.520299, 41.093204, 41.498082
0.987982, 36.519467, 41.083997, 41.498278
0.987963, 36.515134, 41.093592, 41.502963
0.988599, 36.598704, 41.794103, 42.121849
0.992094, 37.730416, 42.178253, 42.423875
0.992134, 37.744545, 42.175688, 42.427543
0.992142, 37.748660, 42.184040, 42.438589
0.992139, 37.747169, 42.182027, 42.441375
0.992144, 37.744304, 42.184845, 42.439992
0.990755, 37.041505, 42.036620, 42.344949
0.990705, 37.034826, 42.036379, 42.343775
0.990731, 37.044914, 42.037732, 42.340912
0.993078, 37.962183, 42.315167, 42.749074
0.993185, 38.068309, 42.373654, 42.817079
0.993251, 38.071303, 42.370471, 42.811116
0.993260, 38.076395, 42.369471, 42.812135
0.993313, 38.062130, 42.355527, 42.790961
0.993343, 38.112400, 42.377842, 42.815261
0.993356, 38.112961, 42.390672, 42.811980
0.993346, 38.106181, 42.387798, 42.811006
0.993357, 38.103306, 42.391114, 42.806578
0.991582, 37.070157, 42.421970, 42.809167
0.991623, 37.087788, 42.422679, 42.818233
0.994848, 38.509113, 42.667155, 43.106509
0.994899, 38.517835, 42.661737, 43.109877
0.994945, 38.562562, 42.685666, 43.129688
0.994959, 38.568992, 42.694844, 43.134171
0.994951, 38.565809, 42.689111, 43.128854
0.994953, 38.564247, 42.695577, 43.125494
0.995325, 38.624297, 43.002353, 43.350026
0.995390, 38.798148, 43.140452, 43.525714
0.995382, 38.796684, 43.137083, 43.522869
0.995386, 38.797825, 43.144731, 43.516272
0.995416, 38.870581, 43.192521, 43.620886
0.995428, 38.898390, 43.194650, 43.640951
0.995413, 38.894678, 43.195836, 43.637627
0.995409, 38.866267, 43.193997, 43.616857
0.995419, 38.864372, 43.186479, 43.614218
0.995431, 38.919220, 43.252867, 43.684691
0.995443, 38.915881, 43.259469, 43.690301
0.995409, 38.916725, 43.263056, 43.694914
0.995057, 38.770962, 43.378128, 43.795022
0.995012, 38.771288, 43.383937, 43.812644
0.993107, 37.783203, 42.879973, 43.421888
0.995107, 38.615744, 43.007541, 43.456650
0.995100, 38.610946, 42.999992, 43.438005
0.995117, 38.637422, 43.015103, 43.455725
0.994939, 38.446169, 42.900026, 43.255198
0.994923, 38.428061, 42.873204, 43.232903
0.994916, 38.419955, 42.860214, 43.224441
0.993581, 37.712918, 42.641538, 42.904233
0.993746, 37.527543, 42.484965, 43.030756
0.996015, 38.940675, 43.109473, 43.566458
0.996041, 38.962258, 43.115457, 43.587252
0.996059, 38.966959, 43.115647, 43.587888
0.996050, 38.964855, 43.113818, 43.589875
0.996057, 38.963087, 43.116288, 43.592075
0.996049, 38.970470, 43.122328, 43.595231
0.996145, 38.938644, 43.083948, 43.584446
0.996039, 38.858332, 43.006614, 43.491278
0.996036, 38.855463, 43.013293, 43.488895
0.996051, 38.845434, 42.998581, 43.479584
0.996059, 38.851106, 43.003209, 43.486488
0.996042, 38.847528, 43.002561, 43.484599
0.996151, 38.734292, 42.881706, 43.415162
0.996151, 38.735245, 42.878398, 43.413431
0.996153, 38.766700, 42.908626, 43.465989
0.996116, 38.672262, 42.751586, 43.298721
0.996091, 38.700730, 42.792417, 43.335630
0.996017, 38.552389, 42.645459, 43.276029
0.995995, 38.558652, 42.651498, 43.271914
0.995990, 38.554228, 42.647720, 43.271274
0.995763, 38.374220, 42.348751, 42.945025
0.995772, 38.358795, 42.336660, 42.929222
0.993852, 37.072685, 41.482002, 41.936356
0.996653, 39.225230, 43.205867, 43.835496
0.996699, 39.289463, 43.233098, 43.896581
0.996757, 39.286344, 43.218938, 43.891238
0.996704, 39.219673, 43.192642, 43.880032
0.996707, 39.207773, 43.186504, 43.856495
0.996674, 39.191561, 43.201479, 43.873322
0.996713, 39.214028, 43.248064, 43.881732
0.996888, 39.313060, 43.538005, 44.117486
0.996867, 39.333908, 43.563691, 44.141974
0.996857, 39.301965, 43.548177, 44.116379
0.996853, 39.300726, 43.549148, 44.110161
0.996858, 39.298420, 43.543035, 44.107145
0.996871, 39.348896, 43.567961, 44.178025
0.996870, 39.342876, 43.566563, 44.155749
0.996613, 39.075171, 43.241968, 43.878304
0.996772, 39.203171, 43.375681, 43.874595
0.996898, 39.317128, 43.488481, 43.980055
0.996942, 39.385764, 43.537795, 44.069573
0.996968, 39.402081, 43.565878, 44.074963
0.996985, 39.460215, 43.525636, 44.082170
0.996975, 39.484423, 43.519608, 44.041165
0.996997, 39.476219, 43.490475, 44.008036
0.997038, 39.543117, 43.590988, 44.118055
0.997004, 39.563662, 43.527516, 44.013116
0.997075, 39.638079, 43.527856, 44.023441
0.997134, 39.647859, 43.497811, 44.076593
0.997187, 39.716628, 43.450383, 44.044459
0.997227, 39.759590, 43.495918, 44.157893
0.997250, 39.777364, 43.495425, 44.161005
0.997246, 39.736861, 43.406261, 43.987803
0.997249, 39.733910, 43.395604, 43.984813
0.997326, 39.784337, 43.446202, 44.056127
0.997347, 39.798043, 43.485608, 44.079113
0.997374, 39.801043, 43.480876, 44.078580
0.997371, 39.860537, 43.559005, 44.118504
0.997374, 39.878501, 43.577939, 44.170415
0.997351, 39.966702, 43.649809, 44.263956
0.997349, 39.951373, 43.627510, 44.248693
0.997347, 39.929724, 43.606816, 44.236097
0.997342, 39.941226, 43.613126, 44.244717
0.997312, 39.915373, 43.591624, 44.248138
0.997312, 39.911934, 43.576301, 44.225868
0.997313, 39.886158, 43.584022, 44.213307
0.997330, 39.914790, 43.594621, 44.219430
0.997313, 39.895487, 43.575007, 44.248909
0.997308, 39.898751, 43.587226, 44.224795
0.997311, 39.896588, 43.580292, 44.224304
0.997283, 39.891957, 43.611181, 44.234529
0.997275, 39.889393, 43.597886, 44.226973
0.997133, 39.707908, 43.330010, 43.923255
0.997135, 39.704871, 43.317995, 43.917364
0.997167, 39.740846, 43.355070, 43.979012
0.997153, 39.709749, 43.333531, 43.903840
0.997145, 39.728177, 43.329436, 43.920108
0.997130, 39.723428, 43.291762, 43.902045
0.997124, 39.739830, 43.282913, 43.945489
0.997116, 39.734820, 43.269624, 43.926289
0.996467, 38.663442, 43.017611, 43.636743
0.996307, 38.803479, 42.743596, 43.200170
0.995427, 38.226648, 42.040736, 42.503147
0.994914, 37.880447, 41.403381, 42.025533
0.995758, 38.606201, 42.208785, 42.629242
0.995755, 38.608170, 42.198308, 42.625272
0.994287, 37.582446, 40.991773, 41.419799
0.993713, 37.433322, 40.968335, 41.203956
0.996495, 38.866343, 42.198635, 42.792086
0.994829, 38.008004, 41.893699, 42.444387
0.996205, 38.879317, 42.682246, 43.217479
0.996216, 38.884177, 42.683708, 43.215241
0.996222, 38.887237, 42.683321, 43.217649
0.996219, 38.882420, 42.681966, 43.221177
0.996216, 38.886075, 42.684848, 43.221080
0.994960, 37.928058, 41.750004, 42.053983
0.994956, 37.926254, 41.709749, 42.031323
0.992557, 37.165298, 41.133811, 41.561026
0.995099, 38.610263, 42.384704, 42.761977
0.995095, 38.609986, 42.382356, 42.758692
0.996169, 39.711688, 43.550015, 43.955683
0.996154, 39.724935, 43.553824, 43.956779
0.996173, 39.727014, 43.553430, 43.955279
0.996142, 39.721929, 43.544897, 43.953233
0.996171, 39.721932, 43.536722, 43.937902
0.996175, 39.722780, 43.535989, 43.941177
0.996176, 39.723713, 43.532457, 43.931189
0.996179, 39.723507, 43.535701, 43.935864
0.996174, 39.721845, 43.535439, 43.937902
0.996178, 39.723765, 43.535675, 43.937988
0.996175, 39.723787, 43.535020, 43.929326
0.996171, 39.722397, 43.534262, 43.934200
0.996148, 39.720056, 43.529398, 43.936008
0.996631, 40.196098, 43.884454, 44.634218
0.990505, 37.348379, 42.200483, 42.335171
0.991441, 37.455726, 42.392864, 42.406969
0.995818, 39.779113, 43.916307, 44.383193
0.995828, 39.775313, 43.902387, 44.363989
0.995840, 39.796045, 43.936725, 44.379441
0.995860, 39.803010, 43.936553, 44.385834
0.995856, 39.803575, 43.940487, 44.384020
0.995868, 39.799584, 43.935864, 44.377725
0.995856, 39.805401, 43.938161, 44.381984
0.995856, 39.802700, 43.928294, 44.374294
0.995863, 39.808521, 43.930529, 44.376231
0.995869, 39.805207, 43.925201, 44.374421
0.995873, 39.809858, 43.928495, 44.376009
0.995689, 39.771681, 43.873407, 44.283842
0.995676, 39.767378, 43.864110, 44.278404
0.995678, 39.765689, 43.867244, 44.280205
0.995670, 39.766425, 43.862078, 44.277752
0.995662, 39.763264, 43.854804, 44.265133
0.995613, 39.758853, 43.856213, 44.269965
0.992951, 39.307263, 43.878077, 44.346257
0.990166, 38.540044, 43.941981, 44.378678
0.994065, 39.978062, 44.635465, 45.074566
0.993895, 39.965166, 44.622403, 45.082631
0.994629, 40.419591, 45.109998, 45.439770
0.994628, 40.419993, 45.038754, 45.385617
0.994622, 40.415838, 45.020885, 45.361042
0.994658, 40.456552, 45.082593, 45.434094
0.994724, 40.456285, 45.061902, 45.394081
0.994522, 40.423434, 44.960950, 45.287319
0.994471, 40.410488, 44.938116, 45.270428
0.994481, 40.414192, 44.937429, 45.268165
0.994503, 40.407975, 44.928078, 45.269101
0.994504, 40.410941, 44.937104, 45.266683
0.994489, 40.406517, 44.929124, 45.260839
0.994487, 40.406415, 44.929485, 45.261034
0.994232, 40.115751, 44.896993, 45.292062
0.994225, 40.123105, 44.907103, 45.295789
0.991855, 39.434606, 44.490541, 45.041974
0.991890, 39.442041, 44.500203, 45.050758
0.994417, 40.480644, 45.049459, 45.774380
0.994502, 40.482912, 45.194646, 45.785569
0.994499, 40.483780, 45.153996, 45.732250
0.994473, 40.478796, 45.128805, 45.710301
0.994373, 40.327374, 44.934755, 45.558352
0.994319, 40.323113, 44.946656, 45.563902
0.994344, 40.329872, 44.955212, 45.563067
0.994378, 40.323303, 44.933925, 45.551519
0.994354, 40.324131, 44.930784, 45.554893
0.994360, 40.324143, 44.934755, 45.549272
0.989124, 38.935617, 43.540886, 44.001388
0.993144, 39.787099, 44.004507, 44.429439
0.993079, 39.784290, 43.986322, 44.392492
0.990330, 39.045058, 43.667633, 44.082645
