ms-ssim, psnr-y, psnr-u, psnr-v
0.996031, 43.710574, 47.854406, 47.833444
0.995056, 43.009477, 47.676623, 47.752045
0.995268, 43.032923, 47.845924, 47.878741
0.995452, 43.201455, 47.886146, 48.032770
0.995700, 43.579115, 47.718042, 48.089830
0.995411, 43.271471, 47.975358, 48.196212
0.995222, 43.258382, 48.062579, 48.026656
0.995262, 43.356582, 48.057609, 48.226783
0.995789, 43.796828, 48.026435, 48.266508
0.995251, 43.251513, 48.069636, 48.333613
0.995367, 43.397144, 47.932071, 48.408679
0.995509, 43.509262, 47.930487, 48.359604
0.995792, 43.687922, 47.892637, 48.324064
0.995481, 43.431414, 47.886503, 48.243388
0.995591, 43.653949, 47.932143, 48.413907
0.995660, 43.848098, 47.997237, 48.461650
0.995948, 43.878672, 47.942817, 48.347619
0.996223, 44.293258, 48.495631, 48.963889
0.996425, 44.716664, 48.731193, 49.260905
0.996595, 45.036018, 48.800133, 49.506053
0.997248, 45.906010, 49.515480, 50.002830
0.997087, 45.757147, 49.326737, 49.876813
0.997233, 45.773426, 49.519735, 50.113290
0.997275, 46.036910, 49.928629, 50.253715
0.997992, 47.098915, 50.568485, 50.795710
0.997768, 46.687129, 50.297327, 50.651482
0.997810, 46.672284, 50.413602, 50.656739
0.997822, 46.742310, 50.475256, 50.679323
0.998175, 47.363612, 50.869024, 51.196802
0.997890, 46.798312, 50.634272, 50.879802
0.997982, 46.902489, 50.632394, 50.914443
0.997758, 46.835306, 50.521424, 50.682172
0.998111, 47.367121, 50.769606, 51.170153
0.997984, 47.420506, 51.008634, 51.463739
0.997914, 47.255956, 51.224075, 51.475775
0.998216, 47.800198, 51.246111, 51.625738
0.997920, 47.357046, 50.760894, 51.162570
0.997971, 47.342260, 50.670519, 51.147744
0.997856, 47.115922, 50.348160, 50.859686
0.998182, 47.618524, 51.090580, 51.176382
0.997878, 47.000834, 50.654312, 50.863928
0.997956, 47.147762, 50.770160, 50.969031
0.997831, 46.969776, 50.658223, 50.728411
0.998126, 47.402792, 51.009073, 51.043586
0.997762, 46.982824, 50.647308, 50.788752
0.997912, 47.166018, 50.707890, 50.823794
0.997847, 47.144171, 50.776672, 50.872283
0.998156, 47.826989, 51.544232, 51.665541
0.997958, 47.555592, 51.092220, 51.186732
0.998197, 47.754879, 51.365296, 51.640770
0.998107, 47.837900, 51.276341, 51.636542
0.998168, 48.056738, 51.579286, 51.870574
0.998039, 48.102303, 51.664350, 51.868434
0.998082, 48.092333, 51.937986, 52.117184
0.998618, 47.411377, 51.519812, 53.022422
0.998317, 47.163046, 51.160146, 52.615160
0.998131, 46.988167, 50.737333, 52.168079
0.998181, 46.820783, 50.454736, 51.673034
0.997955, 46.341671, 49.919855, 51.061612
0.998187, 46.441759, 49.997496, 50.990972
0.998110, 46.139928, 49.744280, 50.558847
0.997708, 45.534732, 49.184028, 50.310135
0.998029, 45.714956, 49.384214, 50.242788
0.998083, 45.733270, 49.382403, 50.240091
0.997885, 45.518495, 49.267855, 50.255559
0.997892, 45.630630, 49.241096, 50.476291
0.997915, 45.682108, 49.328128, 50.477844
0.998095, 45.874167, 49.567963, 50.691951
0.997983, 45.743516, 49.331904, 50.556079
0.997837, 45.621608, 49.324950, 50.538848
0.997759, 45.428930, 49.146142, 50.361372
0.997941, 45.536951, 49.301686, 50.570865
0.997842, 45.517597, 49.225352, 50.609118
0.997815, 45.467031, 49.121067, 50.538717
0.997819, 45.611402, 49.353432, 50.725943
0.997877, 45.660912, 49.235647, 50.704343
0.997692, 45.786031, 49.330214, 50.756061
0.997667, 45.666604, 49.378784, 50.524433
0.997775, 46.232549, 49.593864, 50.773623
0.998091, 46.470845, 49.938336, 51.187799
0.997896, 46.419039, 49.632793, 50.960777
0.997817, 46.043398, 49.276190, 50.684207
0.997960, 46.463366, 49.554443, 50.879092
