ms-ssim, psnr-y, psnr-u, psnr-v
0.995949, 46.196936, 50.048084, 50.881932
0.996077, 46.314352, 50.059942, 50.865909
0.996233, 46.432277, 50.120198, 50.777504
0.996106, 46.342020, 49.919400, 50.747651
0.996044, 46.300009, 50.172486, 50.915732
0.996092, 46.418098, 50.214068, 50.871149
0.996225, 46.697985, 50.380442, 50.803377
0.996377, 46.856015, 50.489380, 51.028572
0.996240, 46.719042, 50.763105, 51.410627
0.996464, 47.197149, 50.686787, 51.530685
0.996460, 47.164600, 50.756751, 51.629787
0.996613, 47.262125, 50.759789, 51.529860
0.996596, 47.222246, 50.871007, 51.563634
0.997096, 47.987706, 50.952395, 51.829210
0.997399, 48.574598, 51.369109, 51.955413
0.997494, 48.734918, 51.182620, 51.857572
0.997796, 49.266827, 51.612440, 52.017702
0.997975, 49.701257, 51.791387, 52.401967
0.998033, 49.822907, 52.106435, 52.333761
0.998192, 50.128790, 52.118505, 52.523603
0.998568, 50.524760, 52.563383, 52.913114
0.998203, 50.002134, 51.998737, 52.406404
0.998372, 50.398738, 52.380449, 52.898173
0.998455, 51.038133, 52.543551, 53.294237
0.998782, 51.683786, 53.381007, 54.111775
0.998498, 51.301538, 52.741263, 53.423392
0.998559, 51.302790, 52.857683, 53.320809
0.998553, 51.203298, 52.463483, 53.001080
0.998869, 51.660864, 53.228145, 53.904609
0.998638, 51.295088, 52.594670, 53.140762
0.998597, 50.807669, 52.294448, 52.699828
0.998865, 51.371652, 53.037098, 53.401767
0.998587, 50.747513, 52.271694, 52.804941
0.998671, 51.002568, 52.208766, 52.432515
0.998544, 50.699437, 52.048255, 52.380048
0.998845, 51.250825, 52.818233, 53.261434
0.998446, 50.221382, 51.848866, 52.127959
0.998498, 50.197563, 52.174961, 52.612620
0.998375, 50.238192, 51.890957, 52.388481
0.998681, 50.595133, 52.813133, 53.118832
0.998300, 49.697930, 51.846737, 52.284626
0.998398, 49.869240, 51.836283, 52.194328
0.998293, 49.606263, 51.663500, 51.867543
0.998610, 50.101464, 52.215713, 52.489118
0.998289, 49.158830, 51.692337, 51.908016
0.998273, 48.930903, 51.319962, 51.429441
0.998163, 48.695047, 51.289428, 51.472519
0.998290, 49.009640, 51.682590, 51.969806
0.998037, 48.334186, 50.958029, 51.204752
0.998019, 48.163878, 51.004394, 51.203986
0.998065, 48.114210, 50.677561, 51.190239
0.998120, 48.117591, 50.694400, 50.961211
0.997986, 47.542469, 50.125089, 50.572981
0.997942, 47.614138, 50.402648, 50.532421
0.997736, 46.940500, 50.351176, 50.477585
0.998068, 47.294468, 50.302670, 50.569278
0.998026, 46.849766, 49.713886, 50.146024
0.997958, 46.656349, 49.578263, 49.882226
0.997961, 46.491189, 49.446033, 49.868368
0.998088, 46.690997, 49.550259, 49.977840
0.997978, 46.129465, 49.306922, 49.722797
0.997842, 45.749732, 49.019598, 49.535751
0.997784, 45.927759, 49.010448, 49.508330
0.998105, 47.260891, 49.576054, 50.032168
0.997657, 45.302162, 48.695326, 49.569643
0.997428, 45.179582, 48.730501, 49.276681
0.997624, 45.131044, 48.808586, 49.520150
0.998058, 46.243569, 49.404184, 49.871969
0.997954, 45.572082, 48.849584, 49.354031
0.997497, 45.097165, 48.978528, 49.623108
