ms-ssim, psnr-y, psnr-u, psnr-v
0.994965, 37.792705, 45.479471, 46.110719
0.993941, 36.957819, 45.544822, 46.012630
0.993883, 37.054952, 45.554393, 45.890115
0.993665, 37.036460, 45.434418, 45.785262
0.993871, 37.051491, 45.205859, 45.820995
0.993854, 37.212639, 45.153388, 45.797713
0.993883, 37.034716, 45.084986, 45.792429
0.993437, 36.580609, 45.142387, 45.738156
0.994056, 37.054196, 45.111729, 45.787899
0.993508, 36.549812, 45.076170, 45.812720
0.993545, 36.614648, 44.954559, 45.671053
0.993297, 36.437214, 45.074939, 45.705510
0.993887, 36.968990, 44.895311, 45.588731
0.992981, 36.356310, 45.001218, 45.634150
0.992986, 36.369594, 44.989497, 45.580718
0.992530, 36.082294, 44.850691, 45.397736
0.992882, 36.118401, 45.053467, 45.428788
0.992699, 35.990932, 45.029884, 45.558186
0.992959, 36.294084, 45.093070, 45.583527
0.993168, 36.371307, 44.926203, 45.443789
0.993670, 36.839926, 45.005511, 45.369258
0.994578, 37.444029, 45.369418, 45.724705
0.994867, 37.764724, 45.442896, 45.878384
0.995233, 38.094461, 45.366585, 45.817320
0.995508, 38.048133, 45.649240, 46.173584
0.995438, 37.675635, 45.779817, 46.310632
0.995749, 38.216979, 45.912452, 46.478195
0.996153, 38.821687, 45.781661, 46.399245
0.996111, 38.608334, 46.151062, 46.771641
0.996349, 38.802229, 46.188263, 46.778870
0.996481, 38.982755, 46.422434, 46.995722
0.996959, 39.681148, 46.598691, 47.207789
0.996710, 39.219145, 46.805016, 47.431067
0.996595, 38.874966, 46.750135, 47.312494
0.996565, 38.961660, 46.858743, 47.484469
0.997154, 40.065871, 47.057467, 47.562549
0.996617, 38.704999, 47.131888, 47.718728
0.996964, 39.610303, 47.138003, 47.726484
0.996990, 39.605808, 47.147011, 47.796357
0.997212, 40.045550, 47.157664, 47.778661
0.996963, 39.654440, 47.194824, 47.760553
0.997073, 39.900082, 47.145688, 47.777688
0.997051, 39.762924, 47.153929, 47.825636
0.997243, 40.076302, 47.185292, 47.820368
0.997020, 39.409863, 47.165143, 47.838375
0.997052, 39.671320, 46.989167, 47.608702
0.996821, 39.195264, 46.969617, 47.662250
0.997285, 40.083959, 46.996767, 47.692203
0.996986, 39.453544, 47.022277, 47.764362
0.997138, 39.858441, 47.005312, 47.780469
0.996970, 39.452532, 47.059529, 47.873763
0.997299, 40.184550, 47.258253, 48.023859
0.996973, 39.295219, 47.237580, 48.033875
0.997087, 39.669922, 47.133386, 47.902283
0.997207, 39.997571, 47.291499, 47.999065
0.997482, 40.468538, 47.267638, 47.955253
0.997075, 39.571684, 47.237027, 47.837952
0.997253, 39.993966, 47.206083, 47.837459
0.997098, 39.399990, 47.189903, 47.932864
0.997585, 40.727417, 47.320683, 48.084157
0.997109, 39.567194, 47.187476, 47.979798
0.997331, 40.129578, 47.149235, 47.931495
0.997233, 39.736822, 47.313681, 48.090203
0.997562, 40.623946, 47.347293, 47.951851
0.997110, 39.479214, 47.159894, 47.768522
0.997131, 39.674869, 47.110733, 47.769840
0.996976, 39.683689, 47.193001, 47.840702
0.997391, 40.386841, 47.375968, 48.043545
0.997136, 39.773474, 47.301019, 48.048647
0.997128, 39.746959, 47.067785, 47.761383
0.997351, 40.420268, 47.866379, 48.533187
0.995886, 38.744160, 47.227831, 48.227708
0.996041, 39.012027, 47.478366, 48.458315
0.997069, 40.114370, 47.353025, 48.178719
0.997333, 40.403930, 47.804882, 48.499405
0.997118, 39.920060, 47.030931, 47.695475
0.996989, 39.582571, 47.115803, 47.682399
0.996980, 39.537805, 46.749422, 47.340562
0.997241, 40.138080, 47.343203, 47.879737
0.996867, 39.467830, 46.797411, 47.295728
0.996798, 39.343596, 46.974583, 47.499308
0.995890, 38.830618, 47.088435, 47.643945
0.996910, 39.993668, 47.504070, 48.093192
0.996229, 38.576551, 46.662528, 47.077003
0.996296, 39.379852, 47.236168, 47.523366
0.995611, 38.729412, 47.032453, 47.362870
0.996568, 39.725166, 47.396484, 47.733221
0.995931, 38.792709, 47.273576, 47.617536
0.996131, 39.453664, 47.378313, 47.913385
0.994335, 38.635872, 46.998684, 47.406556
0.994450, 37.980885, 46.773626, 47.442699
0.994735, 38.183877, 46.757493, 47.339054
0.996573, 40.359359, 47.617737, 48.171939
0.994757, 38.101709, 46.958263, 47.547229
0.995736, 39.436969, 46.957803, 47.653594
0.995281, 38.899326, 46.915878, 47.518387
0.996754, 40.670540, 47.604091, 48.277490
0.994380, 38.171496, 47.282187, 48.081025
0.995210, 38.845169, 46.956594, 47.600353
0.995113, 38.446128, 47.096568, 47.733427
0.997128, 40.577386, 47.482585, 48.059389
0.996125, 39.036706, 47.338112, 48.035867
0.996862, 40.036425, 47.319995, 47.929479
0.995346, 38.216854, 47.031985, 47.806841
0.996698, 39.875523, 47.067490, 47.763877
0.995377, 37.997131, 46.440737, 47.031633
0.995176, 38.084116, 46.352233, 47.103525
0.995719, 38.495889, 46.135318, 46.813637
0.996213, 39.457080, 46.269572, 46.818093
0.995662, 38.451204, 45.838128, 46.347830
0.995203, 38.068328, 45.714967, 46.262750
0.995043, 37.817043, 45.530463, 45.980848
0.995673, 38.745354, 45.737548, 46.152831
0.995034, 37.729325, 45.506169, 45.995580
0.994873, 37.825738, 45.389105, 45.812675
0.994633, 37.689649, 45.330944, 45.660965
0.995184, 38.397184, 45.547982, 45.888675
0.993994, 37.276204, 45.356900, 45.787679
0.994446, 37.557670, 45.274137, 45.754354
0.994586, 37.551331, 45.265241, 45.661990
0.995087, 38.406467, 45.416179, 45.639117
0.995033, 38.067256, 45.200902, 45.661221
0.994836, 38.002215, 45.256480, 45.800843
0.994357, 37.485577, 45.446348, 45.890160
0.995099, 38.377744, 45.559937, 45.928542
0.994582, 37.612839, 45.359489, 45.884493
0.994575, 37.516537, 45.534732, 46.044226
0.994571, 37.457403, 45.450129, 45.830042
0.995423, 38.443796, 45.692718, 46.118492
0.995070, 38.088017, 45.531996, 45.830796
0.995307, 38.307542, 45.882785, 46.180460
0.995248, 38.339635, 45.667117, 45.999501
0.995622, 38.713841, 45.858276, 46.060906
0.995488, 38.428792, 45.686529, 45.959667
0.995399, 38.203148, 45.794850, 46.042594
0.995360, 38.037650, 45.783944, 46.012583
0.995889, 38.883305, 46.121530, 46.270015
0.995279, 38.053889, 45.645622, 45.713584
