ms-ssim, psnr-y, psnr-u, psnr-v
0.993782, 37.689661, 44.588585, 45.278435
0.992266, 36.933212, 44.178268, 44.875953
0.992241, 36.827371, 44.382716, 45.010471
0.992004, 36.761161, 44.497361, 45.149440
0.992582, 36.680061, 44.380394, 45.108494
0.992049, 36.649977, 44.338819, 45.010544
0.991868, 36.567083, 44.160975, 44.833965
0.991877, 36.549715, 44.154571, 44.931073
0.992789, 36.944190, 44.087545, 44.798501
0.992161, 36.737257, 44.121199, 44.786476
0.991964, 36.596922, 44.154421, 44.827970
0.992001, 36.574843, 44.279988, 44.865347
0.992211, 36.639806, 44.142937, 44.796471
0.991017, 36.031441, 44.039636, 44.586451
0.989465, 35.425165, 43.799164, 44.420478
0.988082, 35.021151, 43.702142, 44.223875
0.987390, 34.619597, 43.464264, 43.913908
0.986730, 34.452375, 43.247745, 43.910768
0.987315, 34.630621, 43.457446, 44.042312
0.988295, 34.976270, 43.603093, 44.293709
0.988885, 35.177504, 43.584684, 44.186287
0.989483, 35.519862, 43.754949, 44.196606
0.990383, 35.811309, 43.818562, 44.362215
0.990927, 36.086946, 43.766968, 44.314765
0.991604, 36.286822, 43.896695, 44.604189
0.992327, 36.823719, 44.117726, 44.707502
0.992776, 37.055577, 44.317302, 44.819871
0.992947, 37.259700, 44.245549, 44.718417
0.993538, 37.486755, 44.357279, 44.881659
0.994415, 38.099120, 44.634252, 45.261072
0.994571, 38.231185, 44.831707, 45.415413
0.994595, 38.124405, 44.751949, 45.394803
0.994675, 38.222852, 44.824165, 45.451919
0.995163, 38.555502, 44.935731, 45.397053
0.994928, 38.385157, 45.054358, 45.423126
0.994970, 38.374924, 45.143599, 45.647962
0.995044, 38.483480, 45.172232, 45.686701
0.995503, 38.869197, 45.215134, 45.735550
0.995352, 38.757153, 45.169791, 45.708272
0.995370, 38.697087, 45.304079, 45.811349
0.995417, 38.787981, 45.237965, 45.732554
0.995476, 38.785694, 45.256208, 45.833994
0.995271, 38.617713, 45.207666, 45.744202
0.995195, 38.531225, 45.220185, 45.809582
0.994955, 38.383093, 45.191465, 45.778106
0.995427, 38.636978, 45.417390, 46.013185
0.994738, 38.286208, 45.112180, 45.575566
0.994901, 38.470265, 45.109434, 45.691686
0.994888, 38.448971, 45.090711, 45.720114
0.995299, 38.661893, 45.294062, 45.813250
0.994939, 38.496721, 45.172270, 45.816524
0.995034, 38.505222, 45.186294, 45.759024
0.994952, 38.376382, 44.998835, 45.743592
0.995519, 38.793818, 45.148795, 45.825383
0.995021, 38.513232, 45.022949, 45.775738
0.995162, 38.594339, 45.192384, 45.881482
0.995046, 38.454044, 45.205320, 45.921419
0.995744, 38.989788, 45.210128, 45.994151
0.995411, 38.808819, 45.157569, 45.952949
0.995444, 38.656447, 45.138902, 45.941184
0.995424, 38.719310, 45.279178, 45.888990
0.995718, 38.909232, 45.342236, 45.874839
0.995756, 38.966881, 45.259904, 46.047305
0.995484, 38.821369, 45.120843, 46.008696
0.995445, 38.754328, 45.225704, 45.996133
0.995382, 38.691327, 45.326553, 45.940137
0.995803, 39.031480, 45.419247, 45.990556
0.995363, 38.688501, 45.273551, 45.861092
0.995420, 38.688557, 45.296731, 45.831862
0.995290, 38.614711, 45.237113, 45.808036
0.995857, 39.060931, 45.441394, 45.885122
0.995384, 38.718688, 45.312306, 45.904903
0.995543, 38.758730, 45.394964, 45.955827
0.995538, 38.850950, 45.342395, 45.887056
0.995891, 39.160330, 45.376490, 46.031281
0.995559, 38.867839, 45.400107, 46.019626
0.995572, 38.905182, 45.286026, 46.001718
0.995559, 38.918858, 45.279061, 46.059549
0.995869, 39.097753, 45.283912, 46.035886
0.995473, 38.838655, 45.213016, 46.018235
0.995479, 38.818519, 45.312818, 45.958067
0.995470, 38.795206, 45.356462, 45.945239
0.995803, 39.046051, 45.312818, 45.975979
0.995434, 38.814016, 45.220030, 45.939545
0.995574, 38.942683, 45.322286, 46.104852
0.995503, 38.873653, 45.339856, 46.092574
0.995733, 39.037547, 45.243158, 46.103433
0.995492, 39.009398, 45.229607, 46.033606
0.995474, 38.975800, 45.130128, 45.995534
0.995124, 38.523854, 45.294847, 45.921691
0.995738, 39.085851, 45.647367, 46.235569
0.994885, 38.231461, 45.152439, 45.899262
0.995234, 38.469201, 45.313685, 46.006338
0.994936, 38.195599, 45.369578, 46.009344
0.995700, 38.893355, 45.638395, 46.231380
0.994709, 38.207737, 45.302899, 45.949070
0.994618, 38.017104, 45.258503, 45.954319
0.994804, 38.068120, 45.341363, 45.896466
0.995473, 38.659985, 45.407995, 46.095781
0.994923, 38.346444, 45.319838, 46.008095
0.995127, 38.394609, 45.447405, 46.115315
0.994870, 38.345044, 45.409445, 45.945512
0.995518, 38.806828, 45.621989, 46.040217
0.994813, 38.163650, 45.329915, 45.963739
0.995017, 38.345062, 45.457823, 45.986229
0.995034, 38.464124, 45.866684, 46.268787
0.995790, 39.144813, 45.866595, 46.303993
0.994815, 38.162851, 45.485044, 45.864984
0.994992, 38.254868, 45.355786, 45.837683
0.994935, 38.206373, 45.369498, 45.886921
0.995638, 38.803446, 45.521771, 46.040031
0.995012, 38.191287, 45.077439, 45.826270
0.994948, 38.059897, 45.241685, 45.991800
0.994671, 37.796198, 45.090449, 45.858321
0.995510, 38.603089, 45.304118, 46.059923
0.994881, 38.001864, 45.088165, 45.786316
0.994950, 38.022991, 45.112030, 45.847700
0.994704, 37.743798, 45.146215, 45.796964
0.995491, 38.339841, 45.205935, 45.953771
0.994690, 37.585511, 44.937718, 45.690396
0.994776, 37.708021, 45.126955, 45.825694
0.994294, 37.480631, 45.173148, 45.534027
0.994781, 37.777924, 45.184764, 45.752348
0.994240, 37.494548, 45.094082, 45.462919
0.994474, 37.677419, 45.040420, 45.585499
0.994236, 37.602452, 45.311046, 45.808786
0.994770, 37.985031, 45.209243, 45.781222
0.994006, 37.586695, 45.133416, 45.735506
0.994366, 37.650149, 45.094869, 45.470145
0.994226, 37.683368, 45.168647, 45.695342
0.995073, 38.192115, 45.284460, 45.659001
0.994266, 37.626890, 45.143561, 45.568121
0.994308, 37.571245, 45.058778, 45.392997
0.994226, 37.516001, 44.965858, 45.353279
0.995062, 38.179331, 45.135761, 45.517101
0.994397, 37.701936, 45.128579, 45.636102
0.994460, 37.651649, 44.892448, 45.238507
0.994370, 37.609387, 45.072962, 45.414364
0.995039, 38.134228, 45.159356, 45.525659
0.994424, 37.607497, 45.090561, 45.488407
0.994577, 37.831443, 44.961059, 45.500899
0.994267, 37.593883, 45.074827, 45.558561
0.994947, 38.147222, 45.108269, 45.733422
0.994285, 37.673702, 44.880660, 45.360485
0.994443, 37.932748, 44.961095, 45.407310
0.994283, 37.740791, 44.848530, 45.422722
0.994932, 38.069508, 45.189051, 45.794366
0.994254, 37.589732, 44.985658, 45.598989
0.994575, 37.876203, 45.140530, 45.581137
0.994182, 37.484411, 44.936779, 45.436526
0.994984, 38.147926, 45.175018, 45.623936
0.994119, 37.381472, 44.671759, 45.210282
0.994599, 37.794041, 44.954305, 45.359807
0.994428, 37.517375, 44.854377, 45.422641
0.995113, 38.166314, 45.058109, 45.534234
0.994469, 37.561302, 44.795631, 45.308840
