ms-ssim, psnr-y, psnr-u, psnr-v
0.991687, 41.357578, 47.968670, 47.249073
0.991382, 41.216777, 48.014013, 47.283862
0.991375, 41.279418, 48.016876, 47.249320
0.991348, 41.238208, 48.101198, 47.274690
0.991035, 40.826952, 48.034392, 47.175659
0.991020, 40.924251, 48.078641, 47.237334
0.995680, 38.281286, 45.654608, 45.715961
0.994820, 37.483642, 45.788558, 45.835061
0.994398, 37.356479, 45.887371, 45.882875
0.994328, 37.319413, 45.444520, 45.471984
0.993839, 37.095923, 45.575524, 45.567786
0.993211, 36.773648, 44.649547, 44.867801
0.992955, 36.717323, 44.591454, 44.748868
0.992457, 36.433827, 44.459640, 44.514509
0.991810, 36.127765, 44.795141, 44.797941
0.992625, 36.549606, 44.239112, 44.404368
0.992731, 36.616528, 44.412976, 44.571974
0.992524, 36.705667, 44.311478, 44.409774
0.992706, 36.673342, 44.661402, 44.743715
0.992292, 36.334409, 44.510936, 44.629973
0.992462, 36.669224, 44.405327, 44.453007
0.992212, 36.445669, 44.321660, 44.406990
0.991904, 36.395374, 44.588852, 44.688553
0.992998, 36.973123, 44.376549, 44.716871
0.993024, 37.038728, 44.634218, 44.912813
0.993269, 37.147278, 44.498439, 44.799096
0.993559, 37.373324, 44.757806, 44.938261
0.993748, 37.480746, 44.844035, 45.058816
0.993452, 37.445780, 44.969607, 45.122766
0.993296, 37.672749, 44.767179, 45.005475
0.993607, 37.696597, 44.964549, 45.150806
0.993528, 37.546735, 44.908790, 45.118431
0.994059, 37.687453, 45.054209, 45.319523
0.993943, 37.342877, 45.152781, 45.531540
0.995182, 38.106079, 45.137464, 45.662032
0.994909, 37.721309, 45.357975, 45.738591
0.995142, 37.719577, 45.155174, 45.382853
0.995052, 37.354983, 45.076282, 45.334110
0.995751, 37.869063, 45.344657, 45.625418
0.995186, 37.242707, 45.468184, 45.715875
0.995678, 37.591858, 45.416583, 45.635932
0.995487, 37.191816, 45.004373, 45.202476
0.996199, 38.013402, 45.380291, 45.650645
0.995554, 37.107012, 45.109622, 45.477097
0.995921, 37.586640, 45.286888, 45.628637
0.995600, 36.941722, 44.788047, 45.116547
0.996081, 37.423476, 45.040531, 45.395607
0.995475, 36.667932, 45.108269, 45.454198
0.995774, 37.061174, 45.143713, 45.246495
0.995718, 36.434534, 44.786231, 44.963421
0.996077, 37.062254, 45.080651, 45.186983
0.995314, 35.915466, 45.010985, 45.246534
0.995828, 36.799278, 45.392114, 45.372813
0.995429, 35.809110, 45.058184, 45.059856
0.996060, 36.557750, 45.217138, 45.278983
0.995830, 35.943622, 45.153464, 45.260255
0.996173, 36.584982, 45.173453, 45.167047
0.995728, 35.815239, 45.071210, 45.243779
0.995791, 35.889252, 44.749872, 44.869615
0.995809, 36.007191, 44.951548, 45.015914
0.996148, 36.369040, 45.121409, 45.137994
0.995917, 36.029598, 44.971464, 45.023096
0.995951, 36.151728, 45.149667, 45.225241
0.995773, 36.178223, 45.175514, 45.433729
0.996231, 36.459554, 45.222345, 45.381211
0.995829, 36.067220, 45.294572, 45.446227
0.995902, 36.192660, 45.132357, 45.376170
0.995812, 36.149982, 45.092546, 45.299991
0.996094, 36.416637, 45.336408, 45.575817
0.995918, 36.196566, 45.397696, 45.521357
0.995911, 36.284022, 45.367981, 45.641454
0.995834, 36.219492, 45.045308, 45.393117
0.996065, 36.441106, 45.292572, 45.590747
0.995960, 36.249219, 45.403365, 45.652136
0.995794, 36.246385, 45.451146, 45.723578
0.995962, 36.348767, 45.438918, 45.687517
0.996213, 36.597964, 45.540002, 45.777931
0.995990, 36.377192, 45.543367, 45.762607
0.996004, 36.453508, 45.584828, 45.842978
