ms-ssim, psnr-y, psnr-u, psnr-v
0.987767, 35.324308, 46.683008, 47.057408
0.982317, 33.550682, 46.657315, 46.977530
0.982220, 33.682487, 46.512914, 46.825456
0.980748, 33.362703, 46.399599, 46.846609
0.982342, 33.839158, 46.276159, 46.637917
0.978208, 33.004846, 46.224472, 46.549169
0.979654, 33.265967, 46.153357, 46.438336
0.977853, 33.005448, 45.934858, 46.355088
0.980188, 33.735974, 45.826226, 46.157376
0.977271, 33.336498, 45.972171, 46.260201
0.979073, 34.221428, 45.497156, 46.156275
0.979290, 34.305013, 45.784515, 46.379603
0.982961, 34.857414, 45.832661, 46.498910
0.976224, 33.632500, 45.602021, 46.175074
0.970733, 32.780555, 45.371734, 45.916163
0.964410, 31.991327, 44.990960, 45.595918
0.960415, 31.614059, 44.831460, 45.227984
0.958514, 31.387258, 44.986243, 45.027596
0.957408, 31.277022, 44.897924, 44.957826
0.957343, 31.229005, 44.965422, 44.531165
0.956766, 31.015994, 44.824764, 44.586451
0.958740, 31.059937, 45.238972, 44.931181
0.958776, 31.112887, 45.214865, 44.844460
0.958251, 31.142924, 45.262319, 44.860977
0.960899, 31.443290, 45.266410, 44.882836
0.962741, 31.510667, 45.281329, 45.170058
0.966016, 31.798043, 45.338706, 45.293238
0.963501, 31.445795, 45.180901, 45.121446
0.966445, 31.905253, 45.169410, 45.140985
0.968179, 31.863977, 45.563359, 45.651710
0.969461, 32.071010, 45.563818, 45.686357
0.970509, 32.056973, 45.540002, 45.617168
0.973048, 32.554564, 45.510580, 45.567034
0.974179, 32.435555, 45.819711, 45.707020
0.975156, 32.656237, 45.826536, 45.748077
0.975452, 32.546580, 45.816878, 45.803268
0.977508, 33.260147, 45.767723, 45.776747
0.977022, 32.925085, 45.948613, 45.881976
0.977639, 33.013412, 46.028631, 46.078027
0.977670, 32.857317, 45.914171, 46.001071
0.979455, 33.398537, 45.828044, 45.957152
0.979286, 33.119437, 45.932312, 45.956375
0.979715, 33.094729, 45.916978, 45.945831
0.979755, 33.038118, 45.813914, 45.832839
0.981138, 33.575335, 45.766542, 45.836972
0.980298, 33.093973, 45.888630, 45.949982
0.980791, 33.324397, 45.911819, 45.982917
0.980509, 33.133095, 45.756012, 45.805828
0.981776, 33.633285, 45.709912, 45.782539
0.980581, 33.003076, 45.744680, 45.643623
0.980936, 33.137845, 45.795334, 45.629103
0.980696, 33.082471, 45.665194, 45.567745
0.982220, 33.540662, 45.565238, 45.603916
0.980700, 32.974448, 45.537221, 45.677605
0.981059, 33.153092, 45.522391, 45.700639
0.980403, 32.979048, 45.596633, 45.695772
0.982034, 33.500289, 45.512890, 45.567285
0.979911, 32.830644, 45.472148, 45.632326
0.980523, 33.131003, 45.451879, 45.682708
0.979604, 32.822088, 45.251193, 45.676234
0.981045, 33.291720, 45.251659, 45.555684
0.978471, 32.864052, 45.307266, 45.697322
0.979327, 33.370429, 45.257375, 45.748774
0.975957, 32.854684, 45.279999, 45.552394
0.976171, 33.164996, 45.275348, 45.400308
0.973306, 32.950819, 44.962622, 45.219297
0.977843, 33.414522, 44.971355, 44.575264
0.974440, 33.548006, 44.939454, 44.907247
0.977980, 34.407440, 45.067633, 45.169410
0.979087, 34.594149, 45.352603, 45.377450
0.986319, 35.331610, 45.244632, 45.683567
0.980881, 34.947166, 45.301052, 45.607542
0.982497, 35.433610, 45.320430, 45.789613
0.980871, 35.050918, 45.162096, 45.716956
0.986939, 35.918362, 45.182239, 45.717302
0.983129, 35.621857, 45.062274, 45.644048
0.983913, 35.963331, 45.289866, 45.598694
0.985933, 36.366627, 45.169562, 45.471494
0.989855, 37.458827, 45.281564, 45.385978
0.986510, 36.639840, 44.674888, 45.095506
0.988115, 37.328042, 44.971610, 45.110600
0.989737, 37.173208, 44.722095, 44.921915
0.993348, 38.339742, 44.832907, 45.088614
0.992676, 37.177914, 43.942211, 44.343230
0.993329, 37.663796, 44.636005, 44.787418
0.993645, 37.689109, 44.454980, 44.666764
0.993744, 37.908285, 44.308975, 44.444739
0.993824, 37.482550, 44.330922, 44.738118
0.993819, 37.567909, 44.651137, 44.966295
0.993963, 37.761325, 44.443416, 44.831742
0.994117, 37.974094, 44.394980, 44.750945
0.994206, 37.751528, 44.261357, 44.731737
0.994205, 37.652721, 44.641268, 44.990704
0.994309, 37.758142, 44.425583, 44.782044
0.994585, 38.145883, 44.498308, 44.878805
0.994528, 37.964712, 44.472480, 44.870576
0.994623, 37.896053, 44.872747, 45.169982
0.994640, 38.161693, 44.674174, 45.008413
0.994882, 38.460685, 44.773613, 45.128163
0.994811, 38.250818, 44.756176, 45.161335
0.995033, 38.243796, 44.899644, 45.321536
0.995145, 38.606356, 44.976203, 45.329954
0.995332, 38.831304, 44.926131, 45.279100
0.995317, 38.673834, 45.194148, 45.511570
0.995270, 38.491592, 45.273395, 45.608681
0.995374, 38.722212, 45.171660, 45.537553
0.995609, 39.097456, 45.188285, 45.519869
0.995528, 38.719038, 45.402923, 45.748512
0.995611, 38.739630, 45.448706, 45.744115
0.995493, 38.767106, 45.405176, 45.739939
0.995808, 39.233532, 45.343069, 45.754921
0.995749, 38.957679, 45.480208, 45.875064
0.995797, 38.888702, 45.558811, 45.874795
0.995737, 39.019593, 45.537678, 45.875019
0.996014, 39.405505, 45.508230, 45.857383
0.995749, 38.865307, 45.522929, 45.867938
0.995899, 38.969144, 45.746161, 46.008511
0.995850, 38.928816, 45.453791, 45.807903
0.996223, 39.509215, 45.737461, 46.101637
0.995957, 39.072416, 45.680092, 46.087578
0.996049, 39.171305, 45.819047, 46.196707
0.995986, 38.997856, 45.533115, 45.944601
0.996285, 39.584167, 45.895069, 46.242544
0.996140, 39.191978, 45.860511, 46.183493
0.996244, 39.394485, 45.999086, 46.384946
0.996184, 39.225710, 45.707883, 46.093800
0.996436, 39.703625, 46.045812, 46.330312
0.996355, 39.462804, 45.987057, 46.330262
0.996352, 39.509381, 46.201443, 46.523108
0.996317, 39.446541, 45.899668, 46.269572
0.996607, 39.885190, 46.185564, 46.529204
0.996510, 39.694891, 46.175458, 46.593184
0.996406, 39.583385, 45.958158, 46.424011
0.996429, 39.576288, 46.128086, 46.432825
0.996675, 40.023046, 46.248796, 46.639522
0.996445, 39.715601, 46.230455, 46.650875
0.996372, 39.495479, 46.155701, 46.536928
0.996534, 39.799183, 46.380107, 46.770428
0.996717, 40.099432, 46.503210, 46.905289
0.996586, 39.968566, 46.326976, 46.864935
0.996517, 39.775224, 46.244253, 46.774122
0.996513, 39.761919, 46.428034, 46.848292
0.996781, 40.217114, 46.559763, 47.007815
