ms-ssim, psnr-y, psnr-u, psnr-v
0.985212, 37.279806, 43.290327, 45.139091
0.982478, 36.620594, 43.007309, 45.065250
0.982471, 36.615256, 43.011460, 45.066479
0.978641, 35.953409, 42.852022, 44.788466
0.981309, 36.436724, 42.882945, 44.624118
0.979170, 36.002575, 42.860146, 44.719895
0.979092, 35.992339, 42.861536, 44.721511
0.970741, 35.047904, 42.292442, 44.308006
0.969715, 34.983947, 42.282546, 44.296796
0.973544, 35.549261, 42.194521, 43.570044
0.973577, 35.557077, 42.192273, 43.567723
0.974402, 35.804580, 42.212875, 43.598523
0.974369, 35.789970, 42.171978, 43.576882
0.956747, 34.128360, 41.541949, 42.678463
0.940205, 32.415610, 40.023020, 41.246667
0.950145, 32.930566, 39.881279, 41.644070
0.951347, 33.056654, 40.006812, 41.752138
0.945891, 32.715376, 40.085375, 41.785856
0.948912, 33.009323, 40.213641, 41.695968
0.958139, 33.637969, 40.025433, 41.325749
0.958333, 33.692664, 40.092760, 41.425011
0.952539, 33.523937, 40.223872, 41.451315
0.954771, 33.918702, 40.165867, 41.430617
0.954384, 33.905868, 40.158489, 41.416745
0.950758, 33.761991, 40.374573, 41.558535
0.965028, 34.515284, 41.148151, 42.299505
0.976735, 35.797834, 41.483176, 42.729030
0.976855, 35.823866, 41.501046, 42.805980
0.975270, 35.562615, 41.498425, 42.994582
0.975606, 35.674055, 41.599399, 43.011274
0.975405, 35.679179, 41.567958, 43.043029
0.975418, 35.657451, 41.546764, 43.026587
0.970119, 35.337010, 41.531081, 42.959097
0.970191, 35.347649, 41.536974, 42.963729
0.981346, 36.333336, 41.958725, 43.320012
0.981291, 36.338200, 41.980459, 43.322079
0.976519, 35.723028, 41.803859, 43.262343
0.976592, 35.730512, 41.800628, 43.249705
0.975666, 35.519392, 41.504471, 42.940526
0.973061, 35.398345, 41.715340, 43.169366
0.979832, 36.228494, 41.946110, 43.349951
0.980031, 36.267624, 42.024331, 43.438261
0.979375, 36.243649, 42.081609, 43.539314
0.975513, 35.814527, 42.284312, 43.393780
0.979611, 36.455839, 42.216698, 43.486100
