ms-ssim, psnr-y, psnr-u, psnr-v
0.991174, 37.134551, 43.862435, 43.421342
0.991004, 36.921614, 43.880084, 43.503201
0.990713, 36.804664, 43.818759, 43.398062
0.990807, 36.891214, 43.844235, 43.437040
0.990812, 36.903284, 43.857878, 43.448809
0.990793, 36.913172, 43.880712, 43.491201
0.991034, 37.062144, 43.932554, 43.594526
0.990710, 36.925757, 43.931282, 43.532104
0.990579, 36.834373, 43.871385, 43.396215
0.990519, 36.700484, 43.951950, 43.366445
0.990907, 36.948518, 43.913516, 43.440040
0.991235, 37.110092, 43.936281, 43.650870
0.990897, 36.886853, 43.734698, 43.535170
0.990620, 36.687061, 43.680176, 43.474652
0.990921, 36.908433, 43.705282, 43.451249
0.992142, 37.670429, 43.968684, 43.778147
0.992984, 38.261467, 44.184014, 44.003454
0.993724, 38.657836, 44.618757, 44.238655
0.994405, 39.124414, 44.808419, 44.590015
0.995211, 39.706395, 44.978677, 44.927878
0.995359, 39.814356, 45.138457, 44.924680
0.995418, 39.829810, 45.149025, 44.933023
0.996343, 40.672267, 45.867683, 45.858189
0.996682, 41.014297, 46.082294, 46.330889
0.997010, 41.255077, 46.472378, 46.578011
0.997102, 41.472255, 46.615767, 46.583194
0.997202, 41.556153, 46.663385, 46.642138
0.997231, 41.564638, 46.734853, 46.748385
0.997181, 41.512700, 46.759520, 46.723954
0.997234, 41.576004, 46.868178, 46.819157
0.997197, 41.563756, 46.855693, 46.721190
0.997222, 41.596741, 46.935864, 46.765970
0.997209, 41.544564, 46.823575, 46.533795
0.997217, 41.640847, 46.762133, 46.663044
0.997176, 41.686177, 46.872825, 46.693135
0.997097, 41.529674, 46.814391, 46.582023
0.997091, 41.562506, 46.793272, 46.606507
0.997043, 41.393958, 46.795204, 46.598275
0.997115, 41.367201, 46.824636, 46.509716
0.997162, 41.479983, 46.756559, 46.541078
0.997090, 41.380584, 46.841468, 46.320013
0.997218, 41.580548, 46.896492, 46.702237
0.997208, 41.656393, 46.756385, 46.825874
0.997338, 41.768113, 47.125923, 47.067746
0.997391, 41.900046, 47.116645, 47.169546
0.997419, 41.877529, 47.087240, 47.105123
0.997632, 42.229816, 47.267714, 47.284589
0.997761, 42.289044, 47.353747, 47.532559
0.997791, 42.413917, 47.155401, 47.308837
0.997806, 42.417457, 47.183929, 47.597990
0.997849, 42.416976, 47.451314, 47.440908
0.997913, 42.525007, 47.626610, 47.573128
0.997924, 42.493239, 47.502689, 47.520918
0.998079, 42.834268, 47.829515, 47.793117
0.998019, 42.574536, 47.895766, 47.797539
0.997898, 42.497922, 47.818164, 47.744982
0.997827, 42.263588, 47.671509, 47.564312
0.997856, 42.295194, 47.830853, 47.673444
0.997891, 42.406478, 47.829070, 47.938521
0.997748, 42.298778, 47.930073, 47.804846
