ms-ssim, psnr-y, psnr-u, psnr-v
0.992619, 42.136716, 47.100313, 47.147131
0.992154, 41.713645, 46.945045, 47.048995
0.992055, 41.791479, 46.968232, 47.045705
0.991913, 41.639438, 47.006825, 47.168827
0.991739, 41.626493, 46.822442, 46.882774
0.991490, 41.302461, 46.864034, 47.040482
0.991551, 41.489250, 46.878646, 47.035850
0.991390, 41.386618, 46.836691, 47.054171
0.991369, 41.425329, 46.831657, 46.940571
0.991440, 41.351005, 46.894385, 46.988645
0.991478, 41.453004, 46.936332, 46.972157
0.991228, 41.245304, 47.037432, 47.019241
0.991295, 41.295354, 46.916049, 46.955156
0.991253, 41.129910, 46.967309, 46.948375
0.991104, 41.161073, 46.992704, 46.966214
0.990891, 40.956172, 46.968059, 46.913313
0.991039, 41.333206, 46.867640, 46.880342
0.993457, 42.636093, 47.564799, 47.692680
0.994224, 43.179090, 47.729232, 47.991757
0.994532, 43.328981, 47.683011, 47.927752
0.994978, 43.704013, 47.798521, 48.043176
0.995726, 44.204674, 48.279909, 48.481140
0.995952, 44.448120, 48.394875, 48.592402
0.996070, 44.448088, 48.356664, 48.493827
0.996588, 44.943189, 48.464498, 48.643517
0.996499, 45.020673, 48.774699, 48.919270
0.996672, 45.166913, 49.053313, 49.097831
0.996899, 45.238672, 49.172704, 49.249574
0.997320, 45.772813, 49.264232, 49.310185
0.997009, 45.380281, 49.327234, 49.345845
0.997055, 45.532286, 49.209954, 49.259047
0.997036, 45.384285, 49.301489, 49.349237
0.997194, 45.628171, 49.276779, 49.404689
0.997058, 45.315883, 49.403981, 49.509366
0.996889, 45.229056, 49.085790, 49.290544
0.996759, 45.066497, 49.158256, 49.356130
0.997105, 45.412428, 49.314144, 49.485198
0.996781, 44.994456, 49.274914, 49.397517
0.996661, 45.057775, 49.214887, 49.365638
0.996579, 44.799630, 49.197117, 49.387939
0.996777, 45.044557, 49.278448, 49.432581
0.996505, 44.737954, 49.254455, 49.440117
0.996661, 44.929097, 49.144713, 49.388845
0.996552, 44.710803, 49.042604, 49.138148
0.996986, 45.147135, 49.270109, 49.383309
0.996755, 45.243808, 49.187874, 49.216726
0.996798, 45.093463, 49.047443, 49.179898
0.996869, 45.172347, 49.151480, 49.040000
0.997286, 45.663752, 49.465674, 49.517555
0.996867, 45.200297, 49.140335, 49.107167
0.997150, 45.534815, 49.393885, 49.273247
0.996985, 45.306597, 49.283066, 49.250745
0.997428, 45.833816, 49.491279, 49.481286
0.997170, 45.376660, 49.419576, 49.328823
0.997196, 45.491126, 49.363134, 49.253967
0.996993, 45.248193, 49.397618, 49.226904
0.997362, 45.731447, 49.543991, 49.451957
0.996990, 45.216859, 49.464854, 49.348639
0.997075, 45.404100, 49.421809, 49.374063
0.997028, 45.318319, 49.370852, 49.296851
0.997323, 45.808742, 49.490970, 49.386831
0.996976, 45.304531, 49.391667, 49.401253
0.997120, 45.596738, 49.307614, 49.311669
0.997121, 45.440765, 49.493549, 49.502949
0.997270, 45.714664, 49.427903, 49.349936
0.997062, 45.393428, 49.407116, 49.412481
0.996946, 45.294877, 49.258265, 49.258559
0.996861, 45.115116, 49.385321, 49.428818
0.997123, 45.540137, 49.420489, 49.399233
0.996969, 45.241443, 49.331208, 49.277368
0.997103, 45.230003, 49.194515, 49.348938
0.996919, 45.142254, 49.223024, 49.218179
0.997291, 45.656004, 49.535856, 49.486125
0.997025, 45.254730, 49.418765, 49.307416
0.997119, 45.434509, 49.391364, 49.353332
0.997122, 45.418036, 49.595448, 49.441238
0.997409, 45.767329, 49.546079, 49.573951
0.997180, 45.298380, 49.407318, 49.405498
0.997309, 45.529748, 49.569118, 49.514547
0.996968, 45.038079, 49.366841, 49.329320
0.997465, 45.733444, 49.540860, 49.568278
0.997162, 45.224160, 49.470598, 49.411468
0.997194, 45.335328, 49.520773, 49.308900
0.997171, 45.312001, 49.451241, 49.416838
0.997399, 45.572908, 49.483860, 49.463419
0.997224, 45.278445, 49.351334, 49.304254
0.997197, 45.250882, 49.513406, 49.377477
0.997155, 45.249989, 49.505846, 49.367643
0.997424, 45.588584, 49.542738, 49.396810
0.997202, 45.284088, 49.459834, 49.299120
0.997156, 45.320401, 49.520357, 49.312461
0.997103, 45.258659, 49.465366, 49.360231
0.997290, 45.529209, 49.529192, 49.411772
0.997167, 45.225569, 49.382202, 49.420591
0.997106, 45.298498, 49.354831, 49.355730
0.997240, 45.405730, 49.575738, 49.458298
0.997466, 45.752980, 49.537106, 49.511437
0.997270, 45.553289, 49.566914, 49.446747
0.997302, 45.532504, 49.551200, 49.509883
0.997248, 45.448726, 49.671000, 49.622364
0.997463, 45.755859, 49.628640, 49.556850
0.997280, 45.543866, 49.597139, 49.593864
0.997328, 45.567243, 49.573215, 49.554547
0.997297, 45.563182, 49.581947, 49.584581
0.997507, 45.857450, 49.639511, 49.678316
0.997281, 45.431906, 49.624490, 49.632687
0.997264, 45.482359, 49.630450, 49.599676
0.997179, 45.318201, 49.618539, 49.577000
0.997524, 45.801504, 49.823046, 49.798292
0.997229, 45.494433, 49.753144, 49.619388
0.997352, 45.717626, 49.670462, 49.778964
0.997413, 45.753198, 49.883129, 49.869493
0.997609, 45.980802, 49.934450, 49.924639
0.997548, 45.908755, 49.867918, 49.839777
0.997575, 46.009413, 49.804384, 49.730527
0.997471, 45.839429, 49.918717, 49.803608
0.997769, 46.321542, 49.965399, 49.893866
0.997577, 45.905377, 49.841789, 49.783705
0.997570, 46.031734, 49.751173, 49.745811
