ms-ssim, psnr-y, psnr-u, psnr-v
0.996629, 40.029687, 45.676705, 45.192346
0.996170, 39.636162, 45.656058, 45.144850
0.996135, 39.574298, 45.486807, 45.093932
0.995885, 39.415467, 45.540667, 45.117790
0.995968, 39.499662, 45.512642, 45.123143
0.995879, 39.484042, 45.486848, 45.083341
0.995827, 39.377420, 45.294494, 45.010250
0.995962, 39.503376, 45.356980, 44.990668
0.995840, 39.359663, 45.235758, 44.927357
0.996047, 39.553302, 45.268828, 44.943614
0.996163, 39.581139, 45.327581, 44.944012
0.995624, 39.218922, 45.270389, 44.916517
0.995225, 38.967887, 45.093220, 44.817867
0.995227, 38.943703, 45.137350, 44.836083
0.995217, 38.939618, 45.094681, 44.794092
0.995184, 39.004358, 45.060377, 44.824341
0.994996, 38.823678, 44.984708, 44.743196
0.995065, 38.855919, 44.989972, 44.758395
0.995054, 38.962016, 45.066032, 44.712304
0.995429, 39.205281, 45.127975, 44.777862
0.995674, 39.330408, 45.227636, 44.814176
0.995792, 39.350633, 45.260878, 44.845698
0.996072, 39.563604, 45.199327, 44.798116
0.996446, 39.892799, 45.517307, 45.101695
0.996576, 40.001525, 45.656484, 45.234945
0.996671, 40.079109, 45.617126, 45.254886
0.996919, 40.293845, 45.693105, 45.331379
0.997144, 40.627535, 45.928633, 45.727262
0.997419, 40.811039, 46.137748, 45.812543
0.997529, 40.964120, 46.258731, 45.936860
0.997701, 41.079059, 46.306568, 45.972262
0.997724, 41.250052, 46.489290, 46.176853
0.997809, 41.273892, 46.535048, 46.221750
0.997841, 41.297948, 46.531030, 46.233036
0.997942, 41.361007, 46.534891, 46.278373
0.997930, 41.305040, 46.596784, 46.331806
0.997936, 41.393269, 46.561391, 46.326628
0.997875, 41.345489, 46.657476, 46.418162
0.998082, 41.547998, 46.810075, 46.505751
0.997958, 41.376111, 46.681874, 46.487068
0.997986, 41.434730, 46.717177, 46.498392
0.997926, 41.356833, 46.647016, 46.445287
0.997980, 41.382344, 46.632788, 46.405727
0.997920, 41.310999, 46.601659, 46.351332
0.997916, 41.313842, 46.632788, 46.348681
0.997877, 41.289222, 46.608026, 46.383434
0.997869, 41.293276, 46.648570, 46.390044
0.997777, 41.224252, 46.598797, 46.330710
0.997773, 41.210819, 46.530091, 46.246793
0.997717, 41.083603, 46.484642, 46.235325
0.998272, 43.587848, 46.934499, 47.558978
0.997711, 42.984634, 46.737261, 46.938222
0.997799, 43.034083, 46.400257, 46.753264
0.997505, 42.659121, 46.512914, 46.648088
0.998027, 43.261993, 46.677825, 46.954351
0.997495, 42.744196, 46.637597, 46.625798
0.997754, 43.090534, 46.450916, 46.737917
0.997473, 42.932609, 46.502536, 46.792865
0.997973, 43.424227, 46.739997, 47.068316
0.997550, 42.948916, 46.581611, 46.846609
0.997674, 42.934381, 46.293954, 46.603303
0.997324, 42.836531, 46.407096, 46.727371
0.997879, 43.381701, 46.710974, 47.147371
0.997089, 42.338472, 46.008049, 46.476856
0.997342, 42.458548, 45.808477, 46.412828
0.996820, 42.217215, 45.850866, 46.332454
0.997475, 42.796449, 46.046091, 46.605001
0.996597, 42.159491, 45.743244, 46.261672
0.997010, 42.346999, 45.587765, 46.039984
0.996491, 42.231942, 45.872284, 46.357543
0.997393, 42.874322, 46.051927, 46.415926
0.996602, 42.230702, 45.508642, 46.143756
0.996747, 42.370501, 45.491896, 46.076664
0.996501, 42.206231, 45.085248, 45.840441
0.997299, 42.642342, 45.960170, 46.512083
0.996431, 42.050407, 45.443911, 46.320908
0.996568, 42.221970, 45.350496, 46.145140
0.996657, 42.067751, 45.407391, 46.278275
0.996948, 42.363212, 45.702578, 46.442781
0.996565, 41.965087, 45.149136, 45.989589
0.996442, 41.900897, 45.240057, 45.930677
0.996411, 41.708237, 45.061716, 45.878160
0.996664, 41.873415, 45.159965, 45.888945
0.995934, 41.479360, 44.777270, 45.660794
0.995846, 41.501316, 44.583285, 45.378770
0.995531, 41.058696, 44.398458, 45.223812
0.996353, 41.428011, 44.832130, 45.442246
0.995177, 40.929340, 44.267053, 45.062385
