ms-ssim, psnr-y, psnr-u, psnr-v
0.995058, 38.708623, 47.757300, 46.220682
0.994787, 38.477292, 47.741003, 46.226028
0.994776, 38.475418, 47.639297, 46.221022
0.994725, 38.480815, 47.661031, 46.174209
0.994747, 38.360245, 47.671126, 46.138034
0.994769, 38.397715, 47.652446, 46.124569
0.994693, 38.238463, 47.536497, 46.015130
0.994713, 38.358124, 47.537221, 46.023616
0.994680, 38.366745, 47.436525, 45.986873
0.994762, 38.477310, 47.482975, 46.027609
0.994484, 38.284048, 47.411345, 45.946470
0.994504, 38.293400, 47.386309, 45.952447
0.994561, 38.334200, 47.323499, 45.919334
0.994642, 38.455673, 47.434469, 46.017030
0.994500, 38.222530, 47.402027, 45.967495
0.994521, 38.289879, 47.379391, 45.955781
0.994590, 38.399272, 47.266340, 45.905581
0.994686, 38.528838, 47.315868, 46.017911
0.994621, 38.396025, 47.250366, 46.034211
0.994735, 38.493153, 47.273452, 46.084894
0.994746, 38.537872, 47.211266, 46.010038
0.994807, 38.567339, 47.195128, 46.050059
0.995334, 39.016074, 47.598818, 46.400054
0.995703, 39.350475, 47.824933, 46.615839
0.995396, 39.205657, 47.937765, 46.656134
0.996137, 39.797816, 48.323197, 46.964081
0.996125, 39.546829, 48.338989, 47.161402
0.996614, 40.053859, 48.599451, 47.321246
0.996976, 40.715509, 48.827133, 47.683147
0.996782, 40.831359, 48.360319, 47.250859
0.996811, 40.848993, 49.027654, 47.628201
0.996932, 41.296995, 48.735784, 47.590288
0.996906, 41.280493, 48.449056, 47.306503
0.996845, 41.368684, 48.527649, 47.418378
0.996494, 40.896051, 48.913487, 47.644417
0.996865, 41.605394, 48.921440, 47.807681
0.996865, 41.766543, 48.680839, 47.797055
0.996466, 41.487763, 48.600039, 47.763254
0.996115, 41.023252, 48.874836, 47.870425
0.996193, 41.273239, 48.604998, 47.712835
0.995299, 40.490746, 47.897279, 47.137403
0.995880, 40.537234, 48.065549, 47.388152
0.995109, 39.968652, 47.715026, 47.099540
0.995577, 39.752528, 47.560234, 47.187294
0.996066, 39.963176, 47.338865, 46.999033
0.996304, 39.940571, 47.387389, 47.065778
0.996117, 39.673403, 47.201210, 46.789653
0.996128, 39.715957, 47.233347, 46.752769
0.995981, 39.339514, 47.234696, 46.775667
0.995982, 39.536814, 47.235923, 46.772688
0.995922, 39.528258, 47.251659, 46.838930
0.996018, 39.935301, 47.106085, 46.850145
0.996040, 39.915580, 47.135844, 46.851155
0.996090, 39.985007, 47.083041, 46.874240
0.996079, 39.933731, 47.120640, 46.924036
0.995971, 39.857672, 47.077062, 46.857393
0.996022, 39.871018, 47.114610, 46.903981
0.996108, 39.856715, 47.145448, 46.919071
0.996134, 39.882243, 47.187476, 46.944357
0.996141, 39.856387, 47.165264, 46.935129
0.996159, 39.856749, 47.154531, 46.911206
0.996164, 39.877653, 47.130091, 46.922837
0.996189, 39.901000, 47.174449, 46.977877
0.996181, 39.880455, 47.199263, 46.976837
0.996175, 39.844770, 47.198837, 46.945045
0.996155, 39.816689, 47.204742, 46.952281
0.996102, 39.804157, 47.242923, 46.952914
0.995603, 39.675119, 47.252398, 47.030287
0.995341, 39.404729, 47.138603, 46.960509
0.996111, 39.959789, 47.436718, 47.312494
0.996323, 40.200130, 47.762630, 47.764917
0.996154, 40.010277, 47.458041, 47.431131
0.995592, 39.535973, 47.501264, 47.277291
0.996239, 40.286748, 47.499830, 47.259919
0.996317, 40.367544, 47.493184, 47.217738
0.996453, 40.308719, 47.604826, 47.216332
0.995822, 39.720554, 47.510536, 46.917303
0.996688, 40.806639, 47.656635, 47.228811
0.997087, 41.121398, 47.993218, 47.505180
0.996739, 40.847544, 47.637412, 47.135364
0.996118, 40.123874, 47.584301, 46.978166
0.996743, 41.216305, 47.670244, 47.178928
0.997060, 41.748130, 47.926097, 47.488824
0.996917, 41.646390, 48.092819, 47.395211
0.996509, 40.974487, 48.259978, 47.252768
0.996155, 40.679317, 47.781234, 46.828751
0.996390, 40.415222, 47.435369, 46.719465
0.996559, 40.590557, 47.536695, 46.819933
0.996419, 40.305306, 47.296474, 46.544404
0.996467, 39.893767, 47.301081, 46.650178
0.996578, 40.190097, 47.173482, 46.281574
0.996673, 40.264978, 47.195310, 46.287883
0.996723, 40.278160, 47.181594, 46.290991
0.996884, 40.343298, 47.228995, 46.334548
0.996958, 40.399373, 47.285848, 46.442474
0.997019, 40.453352, 47.319119, 46.520401
0.997007, 40.412936, 47.342763, 46.543463
0.997084, 40.482082, 47.324940, 46.537712
0.997080, 40.496202, 47.353214, 46.576705
0.997016, 40.254244, 47.479210, 46.742735
0.996916, 40.378480, 47.029994, 46.250165
0.996981, 40.432141, 47.039661, 46.250556
0.997054, 40.469494, 47.130031, 46.349981
0.997113, 40.528900, 47.225504, 46.370947
0.997141, 40.557038, 47.213096, 46.351082
0.997168, 40.564264, 47.287338, 46.411762
0.997205, 40.603079, 47.314306, 46.508812
0.997241, 40.623735, 47.375587, 46.539070
0.997265, 40.663087, 47.383833, 46.580661
0.997281, 40.677632, 47.460948, 46.628998
0.997300, 40.688213, 47.445531, 46.646480
0.997321, 40.699062, 47.468580, 46.663119
0.997274, 40.668923, 47.466315, 46.737808
0.997342, 40.691724, 47.485314, 46.745036
0.997345, 40.693247, 47.583503, 46.783124
0.997318, 40.657748, 47.515965, 46.713911
0.997301, 40.654905, 47.471624, 46.692039
0.997361, 40.661446, 47.509621, 46.746461
0.997430, 40.721447, 47.621357, 46.849808
0.997486, 40.753350, 47.674315, 46.909669
0.997529, 40.782000, 47.679680, 46.959415
0.997546, 40.788440, 47.734873, 47.016090
0.997558, 40.794179, 47.784157, 47.048408
0.997574, 40.807425, 47.785619, 47.068198
0.997596, 40.818803, 47.758545, 47.068611
0.997646, 40.851432, 47.880520, 47.191786
0.997670, 40.870639, 47.923940, 47.274814
0.997633, 40.859449, 47.945706, 47.237027
0.997651, 40.842202, 47.880805, 47.182382
0.997642, 40.836073, 47.917044, 47.262696
0.997634, 40.835546, 47.920563, 47.251043
0.997733, 40.885972, 48.011738, 47.365524
0.997751, 40.906085, 48.027465, 47.365714
0.997775, 40.933007, 48.024374, 47.392348
0.997743, 40.870377, 47.940579, 47.321997
0.997753, 40.884138, 47.987670, 47.341505
0.997721, 40.878566, 47.991173, 47.324000
0.997752, 40.915044, 48.055015, 47.388152
0.997793, 40.941550, 48.075960, 47.431709
0.997775, 40.953622, 48.121540, 47.471948
0.997789, 40.969223, 48.153785, 47.467027
0.997793, 40.964630, 48.180701, 47.483430
0.997788, 40.948754, 48.130050, 47.469163
0.997774, 40.934183, 48.137444, 47.536103
0.997760, 40.915195, 48.112445, 47.511124
0.997718, 40.873629, 48.114323, 47.484534
0.997733, 40.902630, 48.167831, 47.524612
0.997737, 40.913824, 48.207401, 47.556731
0.997692, 40.912011, 48.220005, 47.585564
0.997651, 40.885976, 48.242459, 47.615594
0.997628, 40.838284, 48.184822, 47.589955
0.997593, 40.818009, 48.268531, 47.577591
0.997565, 40.790731, 48.336774, 47.548613
0.997575, 40.739367, 48.329033, 47.525333
0.997572, 40.725018, 48.308405, 47.492598
0.997532, 40.697915, 48.344450, 47.501656
0.997535, 40.699324, 48.272346, 47.482326
